,date,value,name_B07P7M34C7
0,2020-06-01,8097.0,Canned
1,2020-06-02,8097.0,Canned
2,2020-06-03,8097.0,Canned
3,2020-06-04,7670.0,Canned
4,2020-06-05,10733.0,Canned
5,2020-06-06,10733.0,Canned
6,2020-06-07,10733.0,Canned
7,2020-06-08,9057.0,Canned
8,2020-06-09,9057.0,Canned
9,2020-06-10,9057.0,Canned
10,2020-06-11,9057.0,Canned
11,2020-06-12,9057.0,Canned
12,2020-06-13,11015.0,Canned
13,2020-06-14,11015.0,Canned
14,2020-06-15,10176.0,Canned
15,2020-06-16,10176.0,Canned
16,2020-06-17,10176.0,Canned
17,2020-06-18,10176.0,Canned
18,2020-06-19,10176.0,Canned
19,2020-06-20,10176.0,Canned
20,2020-06-21,7894.0,Canned
21,2020-06-22,7894.0,Canned
22,2020-06-23,7894.0,Canned
23,2020-06-24,7656.0,Canned
24,2020-06-25,7656.0,Canned
25,2020-06-26,7656.0,Canned
26,2020-06-27,7656.0,Canned
27,2020-06-28,10262.0,Canned
28,2020-06-29,10262.0,Canned
29,2020-06-30,10262.0,Canned
30,2020-07-01,10262.0,Canned
31,2020-07-02,10262.0,Canned
32,2020-07-03,7765.0,Canned
33,2020-07-04,7765.0,Canned
34,2020-07-05,7765.0,Canned
35,2020-07-06,7765.0,Canned
36,2020-07-07,9262.0,Canned
37,2020-07-08,9262.0,Canned
38,2020-07-09,9262.0,Canned
39,2020-07-10,9262.0,Canned
40,2020-07-11,8924.0,Canned
41,2020-07-12,8924.0,Canned
42,2020-07-13,8924.0,Canned
43,2020-07-14,7819.0,Canned
44,2020-07-15,7819.0,Canned
45,2020-07-16,7819.0,Canned
46,2020-07-17,7773.0,Canned
47,2020-07-18,7773.0,Canned
48,2020-07-19,7773.0,Canned
49,2020-07-20,7712.0,Canned
50,2020-07-21,7712.0,Canned
51,2020-07-22,7712.0,Canned
52,2020-07-23,7835.0,Canned
53,2020-07-24,8706.0,Canned
54,2020-07-25,8706.0,Canned
55,2020-07-26,8706.0,Canned
56,2020-07-27,8668.0,Canned
57,2020-07-28,8668.0,Canned
58,2020-07-29,8668.0,Canned
59,2020-07-30,8668.0,Canned
60,2020-07-31,8668.0,Canned
61,2020-08-01,8668.0,Canned
62,2020-08-02,8568.0,Canned
63,2020-08-03,8568.0,Canned
64,2020-08-04,8568.0,Canned
65,2020-08-05,8568.0,Canned
66,2020-08-06,8568.0,Canned
67,2020-08-07,7859.0,Canned
68,2020-08-08,7859.0,Canned
69,2020-08-09,7859.0,Canned
70,2020-08-10,7859.0,Canned
