,date,value,name_B07PBPHB48
0,2020-05-26,2048.0,Pencils
1,2020-05-27,2048.0,Pencils
2,2020-05-28,1779.0,Pencils
3,2020-05-29,1779.0,Pencils
4,2020-05-30,1779.0,Pencils
5,2020-05-31,2005.0,Pencils
6,2020-06-01,2005.0,Pencils
7,2020-06-02,2005.0,Pencils
8,2020-06-03,1778.0,Pencils
9,2020-06-04,1884.0,Pencils
10,2020-06-05,1951.0,Pencils
11,2020-06-06,1951.0,Pencils
12,2020-06-07,1765.0,Pencils
13,2020-06-08,2497.0,Pencils
14,2020-06-09,2497.0,Pencils
15,2020-06-10,2497.0,Pencils
16,2020-06-11,2810.0,Pencils
17,2020-06-12,2810.0,Pencils
18,2020-06-13,2810.0,Pencils
19,2020-06-14,1608.0,Pencils
20,2020-06-15,1608.0,Pencils
21,2020-06-16,1608.0,Pencils
22,2020-06-17,2113.0,Pencils
23,2020-06-18,2113.0,Pencils
24,2020-06-19,2113.0,Pencils
25,2020-06-20,1494.0,Pencils
26,2020-06-21,1494.0,Pencils
27,2020-06-22,1494.0,Pencils
28,2020-06-23,2487.0,Pencils
29,2020-06-24,2487.0,Pencils
30,2020-06-25,2145.0,Pencils
31,2020-06-26,2145.0,Pencils
32,2020-06-27,2145.0,Pencils
33,2020-06-28,2145.0,Pencils
34,2020-06-29,2398.0,Pencils
35,2020-06-30,2398.0,Pencils
36,2020-07-01,2288.0,Pencils
37,2020-07-02,2667.0,Pencils
38,2020-07-03,1682.0,Pencils
39,2020-07-04,1934.0,Pencils
40,2020-07-05,1934.0,Pencils
41,2020-07-06,1934.0,Pencils
42,2020-07-07,3249.0,Pencils
43,2020-07-08,3063.0,Pencils
44,2020-07-09,2819.0,Pencils
45,2020-07-10,2227.0,Pencils
46,2020-07-11,2227.0,Pencils
47,2020-07-12,2474.0,Pencils
48,2020-07-13,2474.0,Pencils
49,2020-07-14,2474.0,Pencils
50,2020-07-15,2430.0,Pencils
51,2020-07-16,2430.0,Pencils
52,2020-07-17,2430.0,Pencils
53,2020-07-18,2430.0,Pencils
54,2020-07-19,2207.0,Pencils
55,2020-07-20,2207.0,Pencils
56,2020-07-21,2207.0,Pencils
57,2020-07-22,2414.0,Pencils
58,2020-07-23,2414.0,Pencils
59,2020-07-24,2414.0,Pencils
60,2020-07-25,3184.0,Pencils
61,2020-07-26,3184.0,Pencils
62,2020-07-27,3605.0,Pencils
63,2020-07-28,3605.0,Pencils
64,2020-07-29,4649.0,Pencils
65,2020-07-30,3572.0,Pencils
66,2020-07-31,3212.0,Pencils
67,2020-08-01,3085.0,Pencils
68,2020-08-02,2597.0,Pencils
69,2020-08-03,3087.0,Pencils
70,2020-08-04,3087.0,Pencils
71,2020-08-05,3087.0,Pencils
72,2020-08-06,3360.0,Pencils
73,2020-08-07,3360.0,Pencils
74,2020-08-08,3360.0,Pencils
75,2020-08-09,3099.0,Pencils
76,2020-08-10,3099.0,Pencils
77,2020-08-11,3099.0,Pencils
78,2020-08-12,2313.0,Pencils
79,2020-08-13,2313.0,Pencils
80,2020-08-14,2313.0,Pencils
81,2020-08-15,2329.0,Pencils
82,2020-08-16,2329.0,Pencils
83,2020-08-17,2918.0,Pencils
84,2020-08-18,2918.0,Pencils
85,2020-08-19,2918.0,Pencils
86,2020-08-20,2991.0,Pencils
87,2020-08-21,2991.0,Pencils
88,2020-08-22,3163.0,Pencils
89,2020-08-23,3163.0,Pencils
90,2020-08-24,3026.0,Pencils
91,2020-08-25,3047.0,Pencils
92,2020-08-26,3598.0,Pencils
93,2020-08-27,3598.0,Pencils
94,2020-08-28,3598.0,Pencils
95,2020-08-29,3598.0,Pencils
96,2020-08-30,2982.0,Pencils
97,2020-08-31,2982.0,Pencils
98,2020-09-01,2982.0,Pencils
99,2020-09-02,2273.0,Pencils
100,2020-09-03,2273.0,Pencils
101,2020-09-04,2273.0,Pencils
102,2020-09-05,2393.0,Pencils
103,2020-09-06,2393.0,Pencils
104,2020-09-07,2409.0,Pencils
105,2020-09-08,2409.0,Pencils
106,2020-09-09,2409.0,Pencils
107,2020-09-10,2844.0,Pencils
108,2020-09-11,2844.0,Pencils
109,2020-09-12,2502.0,Pencils
110,2020-09-13,2502.0,Pencils
111,2020-09-14,2502.0,Pencils
112,2020-09-15,2118.0,Pencils
113,2020-09-16,2927.0,Pencils
114,2020-09-17,2927.0,Pencils
115,2020-09-18,3133.0,Pencils
116,2020-09-19,3133.0,Pencils
117,2020-09-20,2461.0,Pencils
118,2020-09-21,2461.0,Pencils
119,2020-09-22,2461.0,Pencils
120,2020-09-23,2761.0,Pencils
121,2020-09-24,2761.0,Pencils
122,2020-09-25,2761.0,Pencils
123,2020-09-26,2784.0,Pencils
124,2020-09-27,2784.0,Pencils
125,2020-09-28,2784.0,Pencils
126,2020-09-29,3919.0,Pencils
127,2020-09-30,3359.0,Pencils
128,2020-10-01,3259.0,Pencils
129,2020-10-02,3259.0,Pencils
130,2020-10-03,3259.0,Pencils
131,2020-10-04,3533.0,Pencils
132,2020-10-05,3533.0,Pencils
133,2020-10-06,3797.0,Pencils
134,2020-10-07,3797.0,Pencils
135,2020-10-08,3797.0,Pencils
136,2020-10-09,3797.0,Pencils
137,2020-10-10,3797.0,Pencils
138,2020-10-11,3961.0,Pencils
139,2020-10-12,3961.0,Pencils
140,2020-10-13,4897.0,Pencils
141,2020-10-14,4897.0,Pencils
142,2020-10-15,3903.0,Pencils
143,2020-10-16,3903.0,Pencils
144,2020-10-17,2314.0,Pencils
145,2020-10-18,2314.0,Pencils
146,2020-10-19,2314.0,Pencils
147,2020-10-20,6093.0,Pencils
148,2020-10-21,6093.0,Pencils
149,2020-10-22,6093.0,Pencils
150,2020-10-23,2625.0,Pencils
151,2020-10-24,2625.0,Pencils
152,2020-10-25,2625.0,Pencils
153,2020-10-26,3496.0,Pencils
154,2020-10-27,3496.0,Pencils
155,2020-10-28,3496.0,Pencils
156,2020-10-29,2358.0,Pencils
157,2020-10-30,2586.0,Pencils
158,2020-10-31,2586.0,Pencils
159,2020-11-01,2586.0,Pencils
160,2020-11-02,2487.0,Pencils
161,2020-11-03,2487.0,Pencils
162,2020-11-04,2487.0,Pencils
163,2020-11-05,2492.0,Pencils
164,2020-11-06,2492.0,Pencils
165,2020-11-07,2714.0,Pencils
166,2020-11-08,2714.0,Pencils
167,2020-11-09,2714.0,Pencils
168,2020-11-10,2729.0,Pencils
169,2020-11-11,2729.0,Pencils
170,2020-11-12,2729.0,Pencils
171,2020-11-13,4114.0,Pencils
172,2020-11-14,927.0,Pencils
173,2020-11-15,927.0,Pencils
174,2020-11-16,927.0,Pencils
175,2020-11-17,2341.0,Pencils
176,2020-11-18,2341.0,Pencils
177,2020-11-19,2622.0,Pencils
178,2020-11-20,2622.0,Pencils
179,2020-11-21,2622.0,Pencils
180,2020-11-22,2622.0,Pencils
181,2020-11-23,1683.0,Pencils
182,2020-11-24,1683.0,Pencils
183,2020-11-25,1683.0,Pencils
184,2020-11-26,1929.0,Pencils
185,2020-11-27,1929.0,Pencils
186,2020-11-28,1929.0,Pencils
187,2020-11-29,2526.0,Pencils
188,2020-11-30,2341.0,Pencils
189,2020-12-01,2341.0,Pencils
190,2020-12-02,2341.0,Pencils
191,2020-12-03,635.0,Pencils
192,2020-12-04,635.0,Pencils
193,2020-12-05,635.0,Pencils
194,2020-12-06,1629.0,Pencils
195,2020-12-07,1629.0,Pencils
196,2020-12-08,4110.0,Pencils
197,2020-12-09,4110.0,Pencils
198,2020-12-10,4110.0,Pencils
199,2020-12-11,813.0,Pencils
