,date,value,name_B07PGQ42FH
0,2020-05-28,2125.0,Clay
1,2020-05-29,2125.0,Clay
2,2020-05-30,2125.0,Clay
3,2020-05-31,2125.0,Clay
4,2020-06-01,1598.0,Clay
5,2020-06-02,1598.0,Clay
6,2020-06-03,1306.0,Clay
7,2020-06-04,1306.0,Clay
8,2020-06-05,3646.0,Clay
9,2020-06-06,3646.0,Clay
10,2020-06-07,4107.0,Clay
11,2020-06-08,4107.0,Clay
12,2020-06-09,4107.0,Clay
13,2020-06-10,1576.0,Clay
14,2020-06-11,1272.0,Clay
15,2020-06-12,1272.0,Clay
16,2020-06-13,1272.0,Clay
17,2020-06-14,1272.0,Clay
18,2020-06-15,981.0,Clay
19,2020-06-16,981.0,Clay
20,2020-06-17,981.0,Clay
21,2020-06-18,1837.0,Clay
22,2020-06-19,1837.0,Clay
23,2020-06-20,1837.0,Clay
24,2020-06-21,1837.0,Clay
25,2020-06-22,9759.0,Clay
26,2020-06-23,9759.0,Clay
27,2020-06-24,9759.0,Clay
28,2020-06-25,20395.0,Clay
29,2020-06-26,20395.0,Clay
30,2020-06-27,20395.0,Clay
31,2020-06-28,17879.0,Clay
32,2020-06-29,17879.0,Clay
33,2020-06-30,17879.0,Clay
34,2020-07-01,17879.0,Clay
35,2020-07-02,17879.0,Clay
36,2020-07-03,30877.0,Clay
37,2020-07-04,30877.0,Clay
38,2020-07-05,30877.0,Clay
39,2020-07-06,30877.0,Clay
40,2020-07-07,30877.0,Clay
41,2020-07-08,30877.0,Clay
42,2020-07-09,30877.0,Clay
43,2020-07-10,30877.0,Clay
44,2020-07-11,52975.0,Clay
45,2020-07-12,52975.0,Clay
46,2020-07-13,52975.0,Clay
47,2020-07-14,52975.0,Clay
48,2020-07-15,52975.0,Clay
49,2020-07-16,52975.0,Clay
50,2020-07-17,52975.0,Clay
51,2020-07-18,52975.0,Clay
52,2020-07-19,52975.0,Clay
53,2020-07-20,44953.0,Clay
54,2020-07-21,44953.0,Clay
55,2020-07-22,44953.0,Clay
56,2020-07-23,44953.0,Clay
57,2020-07-24,44953.0,Clay
58,2020-07-25,44953.0,Clay
59,2020-07-26,76678.0,Clay
60,2020-07-27,76678.0,Clay
61,2020-07-28,76678.0,Clay
62,2020-07-29,76678.0,Clay
63,2020-07-30,76678.0,Clay
64,2020-07-31,76678.0,Clay
65,2020-08-01,81094.0,Clay
66,2020-08-02,81094.0,Clay
67,2020-08-03,81094.0,Clay
68,2020-08-04,81094.0,Clay
69,2020-08-05,81094.0,Clay
70,2020-08-06,81094.0,Clay
71,2020-08-07,81094.0,Clay
72,2020-08-08,81685.0,Clay
73,2020-08-09,81685.0,Clay
74,2020-08-10,81685.0,Clay
75,2020-08-11,81685.0,Clay
76,2020-08-12,81685.0,Clay
77,2020-08-13,30584.0,Clay
78,2020-08-14,30584.0,Clay
79,2020-08-15,30584.0,Clay
80,2020-08-16,20999.0,Clay
81,2020-08-17,20999.0,Clay
82,2020-08-18,8814.0,Clay
83,2020-08-19,8814.0,Clay
84,2020-08-20,8814.0,Clay
85,2020-08-21,8814.0,Clay
86,2020-08-22,8814.0,Clay
87,2020-08-23,1860.0,Clay
88,2020-08-24,1860.0,Clay
89,2020-08-25,2433.0,Clay
90,2020-08-26,2433.0,Clay
91,2020-08-27,2433.0,Clay
92,2020-08-28,1878.0,Clay
93,2020-08-29,1878.0,Clay
94,2020-08-30,1417.0,Clay
95,2020-08-31,1431.0,Clay
96,2020-09-01,1431.0,Clay
97,2020-09-02,1431.0,Clay
98,2020-09-03,2011.0,Clay
99,2020-09-04,2011.0,Clay
100,2020-09-05,1435.0,Clay
101,2020-09-06,1435.0,Clay
102,2020-09-07,1338.0,Clay
103,2020-09-08,1338.0,Clay
104,2020-09-09,1338.0,Clay
105,2020-09-10,1243.0,Clay
106,2020-09-11,1243.0,Clay
107,2020-09-12,1160.0,Clay
108,2020-09-13,1160.0,Clay
109,2020-09-14,1160.0,Clay
110,2020-09-15,1474.0,Clay
111,2020-09-16,933.0,Clay
112,2020-09-17,933.0,Clay
113,2020-09-18,933.0,Clay
114,2020-09-19,1638.0,Clay
115,2020-09-20,1638.0,Clay
116,2020-09-21,1638.0,Clay
117,2020-09-22,1638.0,Clay
118,2020-09-23,1568.0,Clay
119,2020-09-24,1568.0,Clay
120,2020-09-25,1275.0,Clay
121,2020-09-26,1275.0,Clay
122,2020-09-27,2336.0,Clay
123,2020-09-28,2336.0,Clay
124,2020-09-29,2819.0,Clay
125,2020-09-30,2819.0,Clay
126,2020-10-01,2819.0,Clay
127,2020-10-02,2819.0,Clay
128,2020-10-03,2819.0,Clay
129,2020-10-04,2290.0,Clay
130,2020-10-05,2290.0,Clay
131,2020-10-06,2290.0,Clay
132,2020-10-07,3491.0,Clay
133,2020-10-08,3208.0,Clay
134,2020-10-09,3208.0,Clay
135,2020-10-10,3208.0,Clay
136,2020-10-11,2283.0,Clay
137,2020-10-12,2283.0,Clay
138,2020-10-13,2283.0,Clay
139,2020-10-14,2283.0,Clay
140,2020-10-15,2283.0,Clay
141,2020-10-16,4231.0,Clay
142,2020-10-17,4231.0,Clay
143,2020-10-18,4310.0,Clay
144,2020-10-19,4310.0,Clay
145,2020-10-20,4310.0,Clay
