,date,value,name_B07PM36QSD
0,2020-05-24,1953.0,Lifejackets
1,2020-05-25,2040.0,Lifejackets
2,2020-05-26,1879.0,Lifejackets
3,2020-05-27,1339.0,Lifejackets
4,2020-05-28,1268.0,Lifejackets
5,2020-05-29,1651.0,Lifejackets
6,2020-05-30,2569.0,Lifejackets
7,2020-05-31,2569.0,Lifejackets
8,2020-06-01,2569.0,Lifejackets
9,2020-06-02,1679.0,Lifejackets
10,2020-06-03,1679.0,Lifejackets
11,2020-06-04,1872.0,Lifejackets
12,2020-06-05,2450.0,Lifejackets
13,2020-06-06,2450.0,Lifejackets
14,2020-06-07,2400.0,Lifejackets
15,2020-06-08,1577.0,Lifejackets
16,2020-06-09,2065.0,Lifejackets
17,2020-06-10,2390.0,Lifejackets
18,2020-06-11,3342.0,Lifejackets
19,2020-06-12,3558.0,Lifejackets
20,2020-06-13,3558.0,Lifejackets
21,2020-06-14,1837.0,Lifejackets
22,2020-06-15,587.0,Lifejackets
23,2020-06-16,1057.0,Lifejackets
24,2020-06-17,1048.0,Lifejackets
25,2020-06-18,1008.0,Lifejackets
26,2020-06-19,760.0,Lifejackets
27,2020-06-20,683.0,Lifejackets
28,2020-06-21,711.0,Lifejackets
29,2020-06-22,687.0,Lifejackets
30,2020-06-23,854.0,Lifejackets
31,2020-06-24,769.0,Lifejackets
32,2020-06-25,783.0,Lifejackets
33,2020-06-26,1104.0,Lifejackets
34,2020-06-27,1104.0,Lifejackets
35,2020-06-28,1518.0,Lifejackets
36,2020-06-29,1692.0,Lifejackets
37,2020-06-30,1692.0,Lifejackets
38,2020-07-01,4632.0,Lifejackets
39,2020-07-02,4632.0,Lifejackets
40,2020-07-03,4124.0,Lifejackets
41,2020-07-04,4124.0,Lifejackets
42,2020-07-05,4124.0,Lifejackets
43,2020-07-06,2169.0,Lifejackets
44,2020-07-07,2072.0,Lifejackets
45,2020-07-08,3277.0,Lifejackets
46,2020-07-09,2854.0,Lifejackets
47,2020-07-10,2854.0,Lifejackets
48,2020-07-11,3162.0,Lifejackets
49,2020-07-12,2885.0,Lifejackets
50,2020-07-13,2771.0,Lifejackets
51,2020-07-14,2771.0,Lifejackets
52,2020-07-15,2360.0,Lifejackets
53,2020-07-16,2360.0,Lifejackets
54,2020-07-17,2321.0,Lifejackets
55,2020-07-18,2324.0,Lifejackets
56,2020-07-19,2324.0,Lifejackets
57,2020-07-20,2324.0,Lifejackets
58,2020-07-21,2324.0,Lifejackets
59,2020-07-22,5062.0,Lifejackets
60,2020-07-23,5062.0,Lifejackets
61,2020-07-24,5062.0,Lifejackets
62,2020-07-25,4068.0,Lifejackets
63,2020-07-26,4068.0,Lifejackets
64,2020-07-27,2729.0,Lifejackets
65,2020-07-28,3236.0,Lifejackets
66,2020-07-29,4126.0,Lifejackets
67,2020-07-30,4940.0,Lifejackets
68,2020-07-31,4940.0,Lifejackets
69,2020-08-01,4940.0,Lifejackets
70,2020-08-02,2303.0,Lifejackets
71,2020-08-03,1142.0,Lifejackets
72,2020-08-04,1241.0,Lifejackets
73,2020-08-05,1203.0,Lifejackets
74,2020-08-06,1170.0,Lifejackets
75,2020-08-07,1327.0,Lifejackets
76,2020-08-08,1196.0,Lifejackets
77,2020-08-09,987.0,Lifejackets
78,2020-08-10,801.0,Lifejackets
79,2020-08-11,954.0,Lifejackets
80,2020-08-12,954.0,Lifejackets
81,2020-08-13,1077.0,Lifejackets
82,2020-08-14,1078.0,Lifejackets
83,2020-08-15,1244.0,Lifejackets
84,2020-08-16,1501.0,Lifejackets
85,2020-08-17,1079.0,Lifejackets
86,2020-08-18,1401.0,Lifejackets
87,2020-08-19,1401.0,Lifejackets
88,2020-08-20,1830.0,Lifejackets
89,2020-08-21,2019.0,Lifejackets
90,2020-08-22,2019.0,Lifejackets
91,2020-08-23,2029.0,Lifejackets
92,2020-08-24,2029.0,Lifejackets
93,2020-08-25,3207.0,Lifejackets
94,2020-08-26,3207.0,Lifejackets
95,2020-08-27,4272.0,Lifejackets
96,2020-08-28,4272.0,Lifejackets
97,2020-08-29,4330.0,Lifejackets
98,2020-08-30,4330.0,Lifejackets
99,2020-08-31,5200.0,Lifejackets
100,2020-09-01,4728.0,Lifejackets
101,2020-09-02,4410.0,Lifejackets
102,2020-09-03,4954.0,Lifejackets
103,2020-09-04,4954.0,Lifejackets
104,2020-09-05,5545.0,Lifejackets
105,2020-09-06,5545.0,Lifejackets
106,2020-09-07,6819.0,Lifejackets
107,2020-09-08,6819.0,Lifejackets
108,2020-09-09,6819.0,Lifejackets
109,2020-09-10,8579.0,Lifejackets
110,2020-09-11,8579.0,Lifejackets
111,2020-09-12,8579.0,Lifejackets
112,2020-09-13,8133.0,Lifejackets
113,2020-09-14,8133.0,Lifejackets
114,2020-09-15,8133.0,Lifejackets
115,2020-09-16,12444.0,Lifejackets
116,2020-09-17,12630.0,Lifejackets
117,2020-09-18,14662.0,Lifejackets
118,2020-09-19,14028.0,Lifejackets
119,2020-09-20,15204.0,Lifejackets
120,2020-09-21,10217.0,Lifejackets
121,2020-09-22,10217.0,Lifejackets
122,2020-09-23,10217.0,Lifejackets
123,2020-09-24,14644.0,Lifejackets
124,2020-09-25,13680.0,Lifejackets
125,2020-09-26,13680.0,Lifejackets
126,2020-09-27,18132.0,Lifejackets
127,2020-09-28,16692.0,Lifejackets
128,2020-09-29,21814.0,Lifejackets
129,2020-09-30,21814.0,Lifejackets
130,2020-10-01,18555.0,Lifejackets
131,2020-10-02,19839.0,Lifejackets
132,2020-10-03,19839.0,Lifejackets
133,2020-10-04,19839.0,Lifejackets
134,2020-10-05,19839.0,Lifejackets
135,2020-10-06,23011.0,Lifejackets
136,2020-10-07,23011.0,Lifejackets
137,2020-10-08,22556.0,Lifejackets
138,2020-10-09,23553.0,Lifejackets
139,2020-10-10,23553.0,Lifejackets
140,2020-10-11,23553.0,Lifejackets
141,2020-10-12,27147.0,Lifejackets
142,2020-10-13,27147.0,Lifejackets
143,2020-10-14,23408.0,Lifejackets
144,2020-10-15,23408.0,Lifejackets
145,2020-10-16,23408.0,Lifejackets
146,2020-10-17,23408.0,Lifejackets
147,2020-10-18,23408.0,Lifejackets
148,2020-10-19,36472.0,Lifejackets
149,2020-10-20,36472.0,Lifejackets
150,2020-10-21,36472.0,Lifejackets
151,2020-10-22,29465.0,Lifejackets
152,2020-10-23,29465.0,Lifejackets
153,2020-10-24,29465.0,Lifejackets
154,2020-10-25,29465.0,Lifejackets
155,2020-10-26,23921.0,Lifejackets
156,2020-10-27,23921.0,Lifejackets
157,2020-10-28,23921.0,Lifejackets
158,2020-10-29,24492.0,Lifejackets
159,2020-10-30,24492.0,Lifejackets
160,2020-10-31,24492.0,Lifejackets
161,2020-11-01,24492.0,Lifejackets
162,2020-11-02,24492.0,Lifejackets
163,2020-11-03,24492.0,Lifejackets
164,2020-11-04,24492.0,Lifejackets
165,2020-11-05,24492.0,Lifejackets
166,2020-11-06,24492.0,Lifejackets
167,2020-11-07,35552.0,Lifejackets
168,2020-11-08,35552.0,Lifejackets
169,2020-11-09,37681.0,Lifejackets
170,2020-11-10,37681.0,Lifejackets
171,2020-11-11,26361.0,Lifejackets
172,2020-11-12,26361.0,Lifejackets
173,2020-11-13,26361.0,Lifejackets
174,2020-11-14,26361.0,Lifejackets
175,2020-11-15,26361.0,Lifejackets
176,2020-11-16,26361.0,Lifejackets
177,2020-11-17,21640.0,Lifejackets
178,2020-11-18,21640.0,Lifejackets
179,2020-11-19,21640.0,Lifejackets
180,2020-11-20,27319.0,Lifejackets
181,2020-11-21,27319.0,Lifejackets
182,2020-11-22,31218.0,Lifejackets
183,2020-11-23,31218.0,Lifejackets
184,2020-11-24,31218.0,Lifejackets
185,2020-11-25,39537.0,Lifejackets
186,2020-11-26,33002.0,Lifejackets
187,2020-11-27,33002.0,Lifejackets
188,2020-11-28,33002.0,Lifejackets
189,2020-11-29,33002.0,Lifejackets
190,2020-11-30,39015.0,Lifejackets
191,2020-12-01,45238.0,Lifejackets
192,2020-12-02,38186.0,Lifejackets
193,2020-12-03,38186.0,Lifejackets
194,2020-12-04,38186.0,Lifejackets
195,2020-12-05,38186.0,Lifejackets
196,2020-12-06,38186.0,Lifejackets
197,2020-12-07,38186.0,Lifejackets
198,2020-12-08,39612.0,Lifejackets
199,2020-12-09,41831.0,Lifejackets
200,2020-12-10,41831.0,Lifejackets
201,2020-12-11,41831.0,Lifejackets
202,2020-12-12,37936.0,Lifejackets
203,2020-12-13,37936.0,Lifejackets
204,2020-12-14,37936.0,Lifejackets
205,2020-12-15,37936.0,Lifejackets
206,2020-12-16,41513.0,Lifejackets
207,2020-12-17,41513.0,Lifejackets
208,2020-12-18,41513.0,Lifejackets
209,2020-12-19,41513.0,Lifejackets
210,2020-12-20,41513.0,Lifejackets
211,2020-12-21,41513.0,Lifejackets
212,2020-12-22,44647.0,Lifejackets
213,2020-12-23,44647.0,Lifejackets
214,2020-12-24,33771.0,Lifejackets
215,2020-12-25,37651.0,Lifejackets
216,2020-12-26,37651.0,Lifejackets
217,2020-12-27,37651.0,Lifejackets
218,2020-12-28,37651.0,Lifejackets
219,2020-12-29,37651.0,Lifejackets
220,2020-12-30,40949.0,Lifejackets
221,2020-12-31,40949.0,Lifejackets
222,2021-01-01,40949.0,Lifejackets
223,2021-01-02,41526.0,Lifejackets
224,2021-01-03,41526.0,Lifejackets
225,2021-01-04,47805.0,Lifejackets
226,2021-01-05,47805.0,Lifejackets
227,2021-01-06,35949.0,Lifejackets
228,2021-01-07,35560.0,Lifejackets
229,2021-01-08,35560.0,Lifejackets
230,2021-01-09,35560.0,Lifejackets
231,2021-01-10,24491.0,Lifejackets
232,2021-01-11,22987.0,Lifejackets
233,2021-01-12,15768.0,Lifejackets
234,2021-01-13,15768.0,Lifejackets
235,2021-01-14,15768.0,Lifejackets
236,2021-01-15,15768.0,Lifejackets
237,2021-01-16,15768.0,Lifejackets
238,2021-01-17,15768.0,Lifejackets
239,2021-01-18,16036.0,Lifejackets
240,2021-01-19,17530.0,Lifejackets
241,2021-01-20,24426.0,Lifejackets
242,2021-01-21,24426.0,Lifejackets
243,2021-01-22,24426.0,Lifejackets
244,2021-01-23,15033.0,Lifejackets
245,2021-01-24,15033.0,Lifejackets
246,2021-01-25,12776.0,Lifejackets
247,2021-01-26,16276.0,Lifejackets
248,2021-01-27,16276.0,Lifejackets
249,2021-01-28,16276.0,Lifejackets
250,2021-01-29,16548.0,Lifejackets
251,2021-01-30,16548.0,Lifejackets
252,2021-01-31,16548.0,Lifejackets
253,2021-02-01,16909.0,Lifejackets
254,2021-02-02,14559.0,Lifejackets
255,2021-02-03,14644.0,Lifejackets
256,2021-02-04,16116.0,Lifejackets
257,2021-02-05,19433.0,Lifejackets
258,2021-02-06,19433.0,Lifejackets
259,2021-02-07,20646.0,Lifejackets
260,2021-02-08,27403.0,Lifejackets
261,2021-02-09,27403.0,Lifejackets
262,2021-02-10,21943.0,Lifejackets
263,2021-02-11,21943.0,Lifejackets
264,2021-02-12,26461.0,Lifejackets
265,2021-02-13,26461.0,Lifejackets
266,2021-02-14,21175.0,Lifejackets
267,2021-02-15,21175.0,Lifejackets
268,2021-02-16,15688.0,Lifejackets
269,2021-02-17,15688.0,Lifejackets
270,2021-02-18,15688.0,Lifejackets
271,2021-02-19,16219.0,Lifejackets
272,2021-02-20,16217.0,Lifejackets
273,2021-02-21,16217.0,Lifejackets
274,2021-02-22,16217.0,Lifejackets
275,2021-02-23,13521.0,Lifejackets
276,2021-02-24,12803.0,Lifejackets
277,2021-02-25,19321.0,Lifejackets
278,2021-02-26,11795.0,Lifejackets
279,2021-02-27,11795.0,Lifejackets
280,2021-02-28,11795.0,Lifejackets
281,2021-03-01,5659.0,Lifejackets
282,2021-03-02,7090.0,Lifejackets
283,2021-03-03,7210.0,Lifejackets
284,2021-03-04,9091.0,Lifejackets
285,2021-03-05,8519.0,Lifejackets
286,2021-03-06,10933.0,Lifejackets
287,2021-03-07,10933.0,Lifejackets
288,2021-03-08,5811.0,Lifejackets
289,2021-03-09,9230.0,Lifejackets
290,2021-03-10,12921.0,Lifejackets
