,date,value,name_B07PNK7K9B
0,2020-05-28,10945.0,Incandescent Bulbs
1,2020-05-29,10945.0,Incandescent Bulbs
2,2020-05-30,10945.0,Incandescent Bulbs
3,2020-05-31,10945.0,Incandescent Bulbs
4,2020-06-01,10945.0,Incandescent Bulbs
5,2020-06-02,11794.0,Incandescent Bulbs
6,2020-06-03,9190.0,Incandescent Bulbs
7,2020-06-04,9190.0,Incandescent Bulbs
8,2020-06-05,9190.0,Incandescent Bulbs
9,2020-06-06,9190.0,Incandescent Bulbs
10,2020-06-07,9190.0,Incandescent Bulbs
11,2020-06-08,9855.0,Incandescent Bulbs
12,2020-06-09,8853.0,Incandescent Bulbs
13,2020-06-10,8853.0,Incandescent Bulbs
14,2020-06-11,8853.0,Incandescent Bulbs
15,2020-06-12,8853.0,Incandescent Bulbs
16,2020-06-13,8853.0,Incandescent Bulbs
17,2020-06-14,8853.0,Incandescent Bulbs
18,2020-06-15,9466.0,Incandescent Bulbs
19,2020-06-16,9998.0,Incandescent Bulbs
20,2020-06-17,9998.0,Incandescent Bulbs
21,2020-06-18,10930.0,Incandescent Bulbs
22,2020-06-19,10155.0,Incandescent Bulbs
23,2020-06-20,10155.0,Incandescent Bulbs
24,2020-06-21,10155.0,Incandescent Bulbs
25,2020-06-22,10155.0,Incandescent Bulbs
26,2020-06-23,11727.0,Incandescent Bulbs
27,2020-06-24,11727.0,Incandescent Bulbs
28,2020-06-25,14839.0,Incandescent Bulbs
29,2020-06-26,14839.0,Incandescent Bulbs
30,2020-06-27,14839.0,Incandescent Bulbs
31,2020-06-28,12534.0,Incandescent Bulbs
32,2020-06-29,12534.0,Incandescent Bulbs
33,2020-06-30,14404.0,Incandescent Bulbs
34,2020-07-01,14404.0,Incandescent Bulbs
35,2020-07-02,14404.0,Incandescent Bulbs
36,2020-07-03,14404.0,Incandescent Bulbs
37,2020-07-04,14404.0,Incandescent Bulbs
38,2020-07-05,14404.0,Incandescent Bulbs
39,2020-07-06,15278.0,Incandescent Bulbs
40,2020-07-07,15278.0,Incandescent Bulbs
41,2020-07-08,15278.0,Incandescent Bulbs
42,2020-07-09,15278.0,Incandescent Bulbs
43,2020-07-10,11916.0,Incandescent Bulbs
44,2020-07-11,12019.0,Incandescent Bulbs
45,2020-07-12,12019.0,Incandescent Bulbs
46,2020-07-13,10099.0,Incandescent Bulbs
