,date,value,name_B07Q13NMJP
0,2019-03-29,11956.0,Cups
1,2019-03-30,15329.0,Cups
2,2019-03-31,15329.0,Cups
3,2019-04-01,12970.0,Cups
4,2019-04-02,12970.0,Cups
5,2019-04-03,28843.0,Cups
6,2019-04-04,28843.0,Cups
7,2019-04-05,28843.0,Cups
8,2019-04-06,13579.0,Cups
9,2019-04-07,18051.0,Cups
10,2019-04-08,12220.0,Cups
11,2019-04-09,12220.0,Cups
12,2019-04-10,9870.0,Cups
13,2019-04-11,9697.0,Cups
14,2019-04-12,9697.0,Cups
15,2019-04-13,12263.0,Cups
16,2019-04-14,12726.0,Cups
17,2019-04-15,12726.0,Cups
18,2019-04-16,12726.0,Cups
19,2019-04-17,11652.0,Cups
20,2019-04-18,11652.0,Cups
21,2019-04-19,7546.0,Cups
22,2019-04-20,6586.0,Cups
23,2019-04-21,8984.0,Cups
24,2019-04-22,12032.0,Cups
25,2019-04-23,8616.0,Cups
26,2019-04-24,11172.0,Cups
27,2019-04-25,4994.0,Cups
28,2019-04-26,4994.0,Cups
29,2019-04-27,4994.0,Cups
30,2019-04-28,4994.0,Cups
31,2019-04-29,6260.0,Cups
32,2019-04-30,6260.0,Cups
33,2019-05-01,4839.0,Cups
34,2019-05-02,4839.0,Cups
35,2019-05-03,4037.0,Cups
36,2019-05-04,4037.0,Cups
37,2019-05-05,5202.0,Cups
38,2019-05-06,5202.0,Cups
39,2019-05-07,6527.0,Cups
40,2019-05-08,6413.0,Cups
41,2019-05-09,5106.0,Cups
42,2019-05-10,7009.0,Cups
43,2019-05-11,7729.0,Cups
44,2019-05-12,6662.0,Cups
45,2019-05-13,6023.0,Cups
46,2019-05-14,6684.0,Cups
47,2019-05-15,6684.0,Cups
48,2019-05-16,7611.0,Cups
49,2019-05-17,5587.0,Cups
50,2019-05-18,6184.0,Cups
51,2019-05-19,5597.0,Cups
52,2019-05-20,4522.0,Cups
53,2019-05-21,5839.0,Cups
54,2019-05-22,4917.0,Cups
55,2019-05-23,5692.0,Cups
56,2019-05-24,5721.0,Cups
57,2019-05-25,5721.0,Cups
58,2019-05-26,4157.0,Cups
59,2019-05-27,5477.0,Cups
60,2019-05-28,4551.0,Cups
61,2019-05-29,4309.0,Cups
62,2019-05-30,5550.0,Cups
63,2019-05-31,3996.0,Cups
64,2019-06-01,4309.0,Cups
65,2019-06-02,4309.0,Cups
66,2019-06-03,4703.0,Cups
67,2019-06-04,4703.0,Cups
68,2019-06-05,4001.0,Cups
69,2019-06-06,3568.0,Cups
70,2019-06-07,4436.0,Cups
71,2019-06-08,4461.0,Cups
72,2019-06-09,4461.0,Cups
73,2019-06-10,6026.0,Cups
74,2019-06-11,5977.0,Cups
75,2019-06-12,5582.0,Cups
76,2019-06-13,5557.0,Cups
77,2019-06-14,8713.0,Cups
78,2019-06-15,5249.0,Cups
79,2019-06-16,7716.0,Cups
80,2019-06-17,4907.0,Cups
81,2019-06-18,4484.0,Cups
82,2019-06-19,3966.0,Cups
83,2019-06-20,3966.0,Cups
84,2019-06-21,4931.0,Cups
85,2019-06-22,5834.0,Cups
86,2019-06-23,5834.0,Cups
87,2019-06-24,5435.0,Cups
88,2019-06-25,4922.0,Cups
89,2019-06-26,4922.0,Cups
90,2019-06-27,5882.0,Cups
91,2019-06-28,5406.0,Cups
92,2019-06-29,6328.0,Cups
93,2019-06-30,5433.0,Cups
94,2019-07-01,5433.0,Cups
95,2019-07-02,8439.0,Cups
96,2019-07-03,5421.0,Cups
97,2019-07-04,7972.0,Cups
98,2019-07-05,7785.0,Cups
99,2019-07-06,9859.0,Cups
100,2019-07-07,9859.0,Cups
101,2019-07-08,9859.0,Cups
102,2019-07-09,5943.0,Cups
103,2019-07-10,4709.0,Cups
104,2019-07-11,4709.0,Cups
105,2019-07-12,5610.0,Cups
106,2019-07-13,5347.0,Cups
107,2019-07-14,5328.0,Cups
108,2019-07-15,5328.0,Cups
109,2019-07-16,6222.0,Cups
110,2019-07-17,7588.0,Cups
111,2019-07-18,6615.0,Cups
112,2019-07-19,5790.0,Cups
113,2019-07-20,6112.0,Cups
114,2019-07-21,7030.0,Cups
115,2019-07-22,6899.0,Cups
116,2019-07-23,6899.0,Cups
117,2019-07-24,4662.0,Cups
118,2019-07-25,6033.0,Cups
119,2019-07-26,5151.0,Cups
120,2019-07-27,6071.0,Cups
121,2019-07-28,6750.0,Cups
122,2019-07-29,4007.0,Cups
123,2019-07-30,4007.0,Cups
124,2019-07-31,4007.0,Cups
125,2019-08-01,6093.0,Cups
126,2019-08-02,6093.0,Cups
127,2019-08-03,6102.0,Cups
128,2019-08-04,6102.0,Cups
129,2019-08-05,6102.0,Cups
130,2019-08-06,5238.0,Cups
131,2019-08-07,5238.0,Cups
132,2019-08-08,6082.0,Cups
133,2019-08-09,5770.0,Cups
134,2019-08-10,6515.0,Cups
135,2019-08-11,6515.0,Cups
136,2019-08-12,6515.0,Cups
137,2019-08-13,6388.0,Cups
138,2019-08-14,4712.0,Cups
139,2019-08-15,5297.0,Cups
140,2019-08-16,7413.0,Cups
141,2019-08-17,5736.0,Cups
142,2019-08-18,5736.0,Cups
143,2019-08-19,6323.0,Cups
144,2019-08-20,6323.0,Cups
145,2019-08-21,6323.0,Cups
146,2019-08-22,7973.0,Cups
147,2019-08-23,8449.0,Cups
148,2019-08-24,10333.0,Cups
149,2019-08-25,10333.0,Cups
150,2019-08-26,10333.0,Cups
151,2019-08-27,6972.0,Cups
152,2019-08-28,10034.0,Cups
153,2019-08-29,9089.0,Cups
154,2019-08-30,9089.0,Cups
155,2019-08-31,6606.0,Cups
156,2019-09-01,6606.0,Cups
157,2019-09-02,7414.0,Cups
158,2019-09-03,7414.0,Cups
159,2019-09-04,7647.0,Cups
160,2019-09-05,7181.0,Cups
161,2019-09-06,6398.0,Cups
162,2019-09-07,6568.0,Cups
163,2019-09-08,7472.0,Cups
164,2019-09-09,7472.0,Cups
165,2019-09-10,7472.0,Cups
166,2019-09-11,6407.0,Cups
167,2019-09-12,6593.0,Cups
168,2019-09-13,7353.0,Cups
169,2019-09-14,7952.0,Cups
170,2019-09-15,5989.0,Cups
171,2019-09-16,6606.0,Cups
172,2019-09-17,7392.0,Cups
173,2019-09-18,8357.0,Cups
174,2019-09-19,6921.0,Cups
175,2019-09-20,8771.0,Cups
176,2019-09-21,8771.0,Cups
177,2019-09-22,9477.0,Cups
178,2019-09-23,8188.0,Cups
179,2019-09-24,8016.0,Cups
180,2019-09-25,7439.0,Cups
181,2019-09-26,7847.0,Cups
182,2019-09-27,7627.0,Cups
183,2019-09-28,8720.0,Cups
184,2019-09-29,8125.0,Cups
185,2019-09-30,6388.0,Cups
186,2019-10-01,6686.0,Cups
187,2019-10-02,8698.0,Cups
188,2019-10-03,11296.0,Cups
189,2019-10-04,7750.0,Cups
190,2019-10-05,7263.0,Cups
191,2019-10-06,7263.0,Cups
192,2019-10-07,7263.0,Cups
193,2019-10-08,5478.0,Cups
194,2019-10-09,6635.0,Cups
195,2019-10-10,6635.0,Cups
196,2019-10-11,6635.0,Cups
197,2019-10-12,8540.0,Cups
198,2019-10-13,7444.0,Cups
199,2019-10-14,7444.0,Cups
200,2019-10-15,7444.0,Cups
201,2019-10-16,9621.0,Cups
202,2019-10-17,5205.0,Cups
203,2019-10-18,7841.0,Cups
204,2019-10-19,6516.0,Cups
205,2019-10-20,8659.0,Cups
206,2019-10-21,8659.0,Cups
207,2019-10-22,8674.0,Cups
208,2019-10-23,7831.0,Cups
209,2019-10-24,9590.0,Cups
210,2019-10-25,10400.0,Cups
211,2019-10-26,11037.0,Cups
212,2019-10-27,13569.0,Cups
