,date,value,name_B07Q22NX3L
0,2019-04-19,54076.0,Area Rugs
1,2019-04-20,54076.0,Area Rugs
2,2019-04-21,54076.0,Area Rugs
3,2019-04-22,54076.0,Area Rugs
4,2019-04-23,123375.0,Area Rugs
5,2019-04-24,123375.0,Area Rugs
6,2019-04-25,123375.0,Area Rugs
7,2019-04-26,123375.0,Area Rugs
8,2019-04-27,58611.0,Area Rugs
9,2019-04-28,58611.0,Area Rugs
10,2019-04-29,58611.0,Area Rugs
11,2019-04-30,28478.0,Area Rugs
12,2019-05-01,28478.0,Area Rugs
13,2019-05-02,28478.0,Area Rugs
14,2019-05-03,28478.0,Area Rugs
15,2019-05-04,69095.0,Area Rugs
16,2019-05-05,69095.0,Area Rugs
17,2019-05-06,69095.0,Area Rugs
18,2019-05-07,74626.0,Area Rugs
19,2019-05-08,74626.0,Area Rugs
20,2019-05-09,50324.0,Area Rugs
21,2019-05-10,31564.0,Area Rugs
22,2019-05-11,31564.0,Area Rugs
23,2019-05-12,31564.0,Area Rugs
24,2019-05-13,33916.0,Area Rugs
25,2019-05-14,50995.0,Area Rugs
26,2019-05-15,50995.0,Area Rugs
27,2019-05-16,47539.0,Area Rugs
28,2019-05-17,54775.0,Area Rugs
29,2019-05-18,54981.0,Area Rugs
30,2019-05-19,54981.0,Area Rugs
31,2019-05-20,57377.0,Area Rugs
32,2019-05-21,29871.0,Area Rugs
33,2019-05-22,29871.0,Area Rugs
34,2019-05-23,32231.0,Area Rugs
35,2019-05-24,38495.0,Area Rugs
36,2019-05-25,25103.0,Area Rugs
37,2019-05-26,42906.0,Area Rugs
38,2019-05-27,41908.0,Area Rugs
39,2019-05-28,39678.0,Area Rugs
40,2019-05-29,32816.0,Area Rugs
41,2019-05-30,32691.0,Area Rugs
42,2019-05-31,42323.0,Area Rugs
43,2019-06-01,40907.0,Area Rugs
44,2019-06-02,30889.0,Area Rugs
45,2019-06-03,36729.0,Area Rugs
46,2019-06-04,27145.0,Area Rugs
47,2019-06-05,38649.0,Area Rugs
48,2019-06-06,38238.0,Area Rugs
49,2019-06-07,63770.0,Area Rugs
