,date,value,name_B07Q358Y39
0,2019-05-31,134061.0,Table Skirts
1,2019-06-01,102041.0,Table Skirts
2,2019-06-02,55244.0,Table Skirts
3,2019-06-03,35540.0,Table Skirts
4,2019-06-04,39017.0,Table Skirts
5,2019-06-05,26843.0,Table Skirts
6,2019-06-06,29340.0,Table Skirts
7,2019-06-07,29340.0,Table Skirts
8,2019-06-08,29340.0,Table Skirts
9,2019-06-09,30824.0,Table Skirts
10,2019-06-10,46011.0,Table Skirts
11,2019-06-11,23031.0,Table Skirts
12,2019-06-12,28338.0,Table Skirts
13,2019-06-13,33623.0,Table Skirts
14,2019-06-14,20097.0,Table Skirts
15,2019-06-15,23089.0,Table Skirts
16,2019-06-16,23089.0,Table Skirts
17,2019-06-17,23089.0,Table Skirts
18,2019-06-18,50626.0,Table Skirts
19,2019-06-19,44089.0,Table Skirts
20,2019-06-20,35155.0,Table Skirts
21,2019-06-21,42127.0,Table Skirts
22,2019-06-22,57004.0,Table Skirts
23,2019-06-23,57004.0,Table Skirts
24,2019-06-24,96300.0,Table Skirts
25,2019-06-25,99439.0,Table Skirts
26,2019-06-26,99439.0,Table Skirts
27,2019-06-27,133846.0,Table Skirts
28,2019-06-28,143474.0,Table Skirts
29,2019-06-29,90419.0,Table Skirts
30,2019-06-30,95309.0,Table Skirts
31,2019-07-01,77086.0,Table Skirts
32,2019-07-02,44197.0,Table Skirts
33,2019-07-03,28746.0,Table Skirts
34,2019-07-04,51703.0,Table Skirts
35,2019-07-05,52241.0,Table Skirts
36,2019-07-06,80197.0,Table Skirts
37,2019-07-07,80197.0,Table Skirts
38,2019-07-08,20866.0,Table Skirts
39,2019-07-09,20866.0,Table Skirts
40,2019-07-10,20866.0,Table Skirts
41,2019-07-11,27477.0,Table Skirts
42,2019-07-12,32276.0,Table Skirts
43,2019-07-13,13842.0,Table Skirts
44,2019-07-14,13842.0,Table Skirts
45,2019-07-15,19838.0,Table Skirts
46,2019-07-16,23970.0,Table Skirts
47,2019-07-17,33999.0,Table Skirts
48,2019-07-18,29427.0,Table Skirts
49,2019-07-19,29427.0,Table Skirts
50,2019-07-20,18170.0,Table Skirts
51,2019-07-21,18170.0,Table Skirts
52,2019-07-22,26657.0,Table Skirts
53,2019-07-23,16718.0,Table Skirts
54,2019-07-24,16718.0,Table Skirts
55,2019-07-25,17376.0,Table Skirts
56,2019-07-26,31069.0,Table Skirts
57,2019-07-27,39380.0,Table Skirts
58,2019-07-28,35752.0,Table Skirts
59,2019-07-29,16022.0,Table Skirts
60,2019-07-30,25071.0,Table Skirts
61,2019-07-31,22658.0,Table Skirts
62,2019-08-01,13842.0,Table Skirts
63,2019-08-02,38889.0,Table Skirts
64,2019-08-03,24175.0,Table Skirts
65,2019-08-04,20993.0,Table Skirts
66,2019-08-05,23653.0,Table Skirts
67,2019-08-06,33382.0,Table Skirts
68,2019-08-07,12477.0,Table Skirts
69,2019-08-08,22393.0,Table Skirts
70,2019-08-09,17640.0,Table Skirts
71,2019-08-10,18813.0,Table Skirts
72,2019-08-11,31060.0,Table Skirts
73,2019-08-12,33632.0,Table Skirts
74,2019-08-13,33632.0,Table Skirts
75,2019-08-14,15223.0,Table Skirts
76,2019-08-15,15223.0,Table Skirts
77,2019-08-16,15223.0,Table Skirts
78,2019-08-17,16839.0,Table Skirts
79,2019-08-18,16839.0,Table Skirts
80,2019-08-19,28119.0,Table Skirts
81,2019-08-20,31758.0,Table Skirts
82,2019-08-21,18590.0,Table Skirts
83,2019-08-22,20678.0,Table Skirts
84,2019-08-23,34976.0,Table Skirts
85,2019-08-24,18004.0,Table Skirts
86,2019-08-25,32906.0,Table Skirts
87,2019-08-26,32906.0,Table Skirts
88,2019-08-27,26090.0,Table Skirts
89,2019-08-28,34179.0,Table Skirts
90,2019-08-29,20959.0,Table Skirts
91,2019-08-30,34886.0,Table Skirts
92,2019-08-31,19337.0,Table Skirts
93,2019-09-01,19337.0,Table Skirts
94,2019-09-02,19337.0,Table Skirts
95,2019-09-03,32669.0,Table Skirts
96,2019-09-04,27173.0,Table Skirts
97,2019-09-05,22047.0,Table Skirts
98,2019-09-06,21627.0,Table Skirts
99,2019-09-07,26986.0,Table Skirts
100,2019-09-08,20766.0,Table Skirts
101,2019-09-09,25378.0,Table Skirts
102,2019-09-10,31081.0,Table Skirts
103,2019-09-11,35417.0,Table Skirts
104,2019-09-12,23964.0,Table Skirts
105,2019-09-13,28292.0,Table Skirts
106,2019-09-14,30448.0,Table Skirts
107,2019-09-15,21856.0,Table Skirts
108,2019-09-16,14581.0,Table Skirts
109,2019-09-17,14378.0,Table Skirts
110,2019-09-18,17980.0,Table Skirts
111,2019-09-19,20042.0,Table Skirts
112,2019-09-20,16333.0,Table Skirts
113,2019-09-21,23520.0,Table Skirts
114,2019-09-22,14898.0,Table Skirts
115,2019-09-23,21001.0,Table Skirts
116,2019-09-24,16277.0,Table Skirts
117,2019-09-25,22492.0,Table Skirts
118,2019-09-26,23944.0,Table Skirts
119,2019-09-27,16204.0,Table Skirts
120,2019-09-28,21027.0,Table Skirts
121,2019-09-29,20655.0,Table Skirts
122,2019-09-30,18462.0,Table Skirts
123,2019-10-01,18462.0,Table Skirts
124,2019-10-02,9921.0,Table Skirts
125,2019-10-03,13198.0,Table Skirts
126,2019-10-04,13198.0,Table Skirts
127,2019-10-05,13198.0,Table Skirts
128,2019-10-06,16197.0,Table Skirts
129,2019-10-07,23113.0,Table Skirts
130,2019-10-08,20706.0,Table Skirts
131,2019-10-09,21919.0,Table Skirts
132,2019-10-10,10964.0,Table Skirts
133,2019-10-11,16086.0,Table Skirts
134,2019-10-12,11773.0,Table Skirts
135,2019-10-13,18715.0,Table Skirts
136,2019-10-14,18715.0,Table Skirts
137,2019-10-15,15838.0,Table Skirts
138,2019-10-16,11199.0,Table Skirts
139,2019-10-17,20296.0,Table Skirts
140,2019-10-18,14113.0,Table Skirts
141,2019-10-19,20117.0,Table Skirts
142,2019-10-20,20117.0,Table Skirts
143,2019-10-21,23512.0,Table Skirts
144,2019-10-22,15516.0,Table Skirts
145,2019-10-23,12966.0,Table Skirts
146,2019-10-24,15015.0,Table Skirts
147,2019-10-25,16365.0,Table Skirts
148,2019-10-26,26608.0,Table Skirts
149,2019-10-27,30839.0,Table Skirts
150,2019-10-28,30839.0,Table Skirts
151,2019-10-29,16276.0,Table Skirts
152,2019-10-30,13426.0,Table Skirts
153,2019-10-31,16105.0,Table Skirts
154,2019-11-01,10874.0,Table Skirts
155,2019-11-02,9846.0,Table Skirts
156,2019-11-03,14349.0,Table Skirts
157,2019-11-04,18244.0,Table Skirts
158,2019-11-05,12575.0,Table Skirts
159,2019-11-06,9879.0,Table Skirts
160,2019-11-07,11466.0,Table Skirts
161,2019-11-08,12699.0,Table Skirts
162,2019-11-09,12088.0,Table Skirts
163,2019-11-10,12088.0,Table Skirts
164,2019-11-11,12088.0,Table Skirts
165,2019-11-12,13107.0,Table Skirts
166,2019-11-13,13693.0,Table Skirts
167,2019-11-14,17048.0,Table Skirts
168,2019-11-15,14909.0,Table Skirts
169,2019-11-16,10155.0,Table Skirts
170,2019-11-17,10155.0,Table Skirts
171,2019-11-18,10155.0,Table Skirts
172,2019-11-19,13167.0,Table Skirts
173,2019-11-20,14516.0,Table Skirts
174,2019-11-21,13094.0,Table Skirts
175,2019-11-22,14752.0,Table Skirts
176,2019-11-23,19500.0,Table Skirts
177,2019-11-24,19500.0,Table Skirts
178,2019-11-25,24536.0,Table Skirts
179,2019-11-26,17589.0,Table Skirts
180,2019-11-27,16321.0,Table Skirts
181,2019-11-28,14852.0,Table Skirts
182,2019-11-29,14852.0,Table Skirts
183,2019-11-30,34149.0,Table Skirts
184,2019-12-01,34149.0,Table Skirts
185,2019-12-02,34149.0,Table Skirts
186,2019-12-03,39651.0,Table Skirts
187,2019-12-04,39651.0,Table Skirts
188,2019-12-05,28811.0,Table Skirts
189,2019-12-06,28811.0,Table Skirts
190,2019-12-07,28946.0,Table Skirts
191,2019-12-08,28946.0,Table Skirts
192,2019-12-09,34391.0,Table Skirts
193,2019-12-10,40122.0,Table Skirts
194,2019-12-11,40122.0,Table Skirts
195,2019-12-12,33508.0,Table Skirts
196,2019-12-13,38673.0,Table Skirts
197,2019-12-14,38673.0,Table Skirts
198,2019-12-15,38673.0,Table Skirts
199,2019-12-16,38673.0,Table Skirts
200,2019-12-17,36464.0,Table Skirts
201,2019-12-18,40247.0,Table Skirts
202,2019-12-19,40247.0,Table Skirts
203,2019-12-20,54577.0,Table Skirts
