,date,value,name_B07QCLHXWG
0,2021-04-21,11449,Automatic Feeders
1,2021-04-22,8550,Automatic Feeders
2,2021-04-23,6965,Automatic Feeders
3,2021-04-24,6185,Automatic Feeders
4,2021-04-25,6470,Automatic Feeders
5,2021-04-26,5603,Automatic Feeders
6,2021-04-27,4355,Automatic Feeders
7,2021-04-28,4124,Automatic Feeders
8,2021-04-29,4257,Automatic Feeders
9,2021-04-30,4962,Automatic Feeders
10,2021-05-01,4577,Automatic Feeders
11,2021-05-02,4784,Automatic Feeders
12,2021-05-03,4876,Automatic Feeders
13,2021-05-04,4553,Automatic Feeders
14,2021-05-05,4557,Automatic Feeders
15,2021-05-06,4694,Automatic Feeders
16,2021-05-07,4716,Automatic Feeders
17,2021-05-08,4716,Automatic Feeders
18,2021-05-09,4352,Automatic Feeders
19,2021-05-10,4084,Automatic Feeders
20,2021-05-11,4646,Automatic Feeders
21,2021-05-12,4425,Automatic Feeders
22,2021-05-13,4240,Automatic Feeders
23,2021-05-14,4349,Automatic Feeders
24,2021-05-15,5018,Automatic Feeders
25,2021-05-16,3920,Automatic Feeders
26,2021-05-17,2649,Automatic Feeders
27,2021-05-18,2246,Automatic Feeders
28,2021-05-19,2514,Automatic Feeders
29,2021-05-20,2383,Automatic Feeders
30,2021-05-21,2810,Automatic Feeders
31,2021-05-22,2796,Automatic Feeders
32,2021-05-23,5050,Automatic Feeders
33,2021-05-24,7476,Automatic Feeders
34,2021-05-25,10858,Automatic Feeders
35,2021-05-26,15546,Automatic Feeders
36,2021-05-27,17189,Automatic Feeders
37,2021-05-28,19893,Automatic Feeders
38,2021-05-29,22032,Automatic Feeders
39,2021-05-30,23888,Automatic Feeders
40,2021-05-31,25847,Automatic Feeders
41,2021-06-01,28945,Automatic Feeders
42,2021-06-02,29957,Automatic Feeders
43,2021-06-03,31404,Automatic Feeders
44,2021-06-04,32501,Automatic Feeders
45,2021-06-05,32924,Automatic Feeders
46,2021-06-06,34178,Automatic Feeders
47,2021-06-07,36533,Automatic Feeders
48,2021-06-08,37607,Automatic Feeders
49,2021-06-09,7334,Automatic Feeders
50,2021-06-10,5862,Automatic Feeders
51,2021-06-11,4764,Automatic Feeders
52,2021-06-12,5193,Automatic Feeders
53,2021-06-13,6047,Automatic Feeders
54,2021-06-14,6222,Automatic Feeders
55,2021-06-15,5620,Automatic Feeders
56,2021-06-16,6430,Automatic Feeders
57,2021-06-17,5708,Automatic Feeders
58,2021-06-18,5797,Automatic Feeders
59,2021-06-19,7046,Automatic Feeders
60,2021-06-20,6315,Automatic Feeders
61,2021-06-21,6603,Automatic Feeders
62,2021-06-22,6591,Automatic Feeders
63,2021-06-23,7931,Automatic Feeders
64,2021-06-24,8195,Automatic Feeders
65,2021-06-25,6739,Automatic Feeders
66,2021-06-26,5448,Automatic Feeders
67,2021-06-27,5671,Automatic Feeders
68,2021-06-28,4800,Automatic Feeders
69,2021-06-29,5062,Automatic Feeders
70,2021-06-30,4479,Automatic Feeders
71,2021-07-01,5823,Automatic Feeders
72,2021-07-02,5630,Automatic Feeders
73,2021-07-03,5356,Automatic Feeders
74,2021-07-04,5409,Automatic Feeders
75,2021-07-05,4330,Automatic Feeders
76,2021-07-06,4330,Automatic Feeders
77,2021-07-07,3761,Automatic Feeders
78,2021-07-08,3782,Automatic Feeders
79,2021-07-09,3461,Automatic Feeders
80,2021-07-10,3861,Automatic Feeders
81,2021-07-11,3942,Automatic Feeders
