,date,value,name_B07QPC1Y6Q
0,2020-05-25,26789.0,Pea
1,2020-05-26,29511.0,Pea
2,2020-05-27,29511.0,Pea
3,2020-05-28,29511.0,Pea
4,2020-05-29,29511.0,Pea
5,2020-05-30,27261.0,Pea
6,2020-05-31,27261.0,Pea
7,2020-06-01,27261.0,Pea
8,2020-06-02,22164.0,Pea
9,2020-06-03,22164.0,Pea
10,2020-06-04,21851.0,Pea
11,2020-06-05,21851.0,Pea
12,2020-06-06,21851.0,Pea
13,2020-06-07,22044.0,Pea
14,2020-06-08,21149.0,Pea
15,2020-06-09,18687.0,Pea
16,2020-06-10,23396.0,Pea
17,2020-06-11,23396.0,Pea
18,2020-06-12,20427.0,Pea
19,2020-06-13,17289.0,Pea
20,2020-06-14,17289.0,Pea
21,2020-06-15,17289.0,Pea
22,2020-06-16,17289.0,Pea
23,2020-06-17,24446.0,Pea
24,2020-06-18,27570.0,Pea
25,2020-06-19,27570.0,Pea
26,2020-06-20,27570.0,Pea
27,2020-06-21,27570.0,Pea
28,2020-06-22,29418.0,Pea
29,2020-06-23,29418.0,Pea
30,2020-06-24,29418.0,Pea
31,2020-06-25,25232.0,Pea
32,2020-06-26,25232.0,Pea
33,2020-06-27,25232.0,Pea
34,2020-06-28,24874.0,Pea
35,2020-06-29,24874.0,Pea
36,2020-06-30,25289.0,Pea
37,2020-07-01,25289.0,Pea
38,2020-07-02,25289.0,Pea
39,2020-07-03,18119.0,Pea
40,2020-07-04,18119.0,Pea
41,2020-07-05,18119.0,Pea
42,2020-07-06,20112.0,Pea
43,2020-07-07,20112.0,Pea
44,2020-07-08,14522.0,Pea
45,2020-07-09,14522.0,Pea
46,2020-07-10,14522.0,Pea
47,2020-07-11,15945.0,Pea
48,2020-07-12,17625.0,Pea
49,2020-07-13,17625.0,Pea
50,2020-07-14,17625.0,Pea
51,2020-07-15,19947.0,Pea
52,2020-07-16,19947.0,Pea
53,2020-07-17,19947.0,Pea
54,2020-07-18,14716.0,Pea
55,2020-07-19,14716.0,Pea
56,2020-07-20,15108.0,Pea
57,2020-07-21,17009.0,Pea
58,2020-07-22,17009.0,Pea
59,2020-07-23,16157.0,Pea
60,2020-07-24,16157.0,Pea
61,2020-07-25,14827.0,Pea
62,2020-07-26,21236.0,Pea
63,2020-07-27,20735.0,Pea
64,2020-07-28,15591.0,Pea
65,2020-07-29,15591.0,Pea
66,2020-07-30,15591.0,Pea
67,2020-07-31,15591.0,Pea
68,2020-08-01,15591.0,Pea
69,2020-08-02,15591.0,Pea
70,2020-08-03,19629.0,Pea
71,2020-08-04,19629.0,Pea
72,2020-08-05,19629.0,Pea
73,2020-08-06,17571.0,Pea
74,2020-08-07,19628.0,Pea
75,2020-08-08,19628.0,Pea
76,2020-08-09,19628.0,Pea
77,2020-08-10,20124.0,Pea
78,2020-08-11,20124.0,Pea
79,2020-08-12,22857.0,Pea
80,2020-08-13,20192.0,Pea
81,2020-08-14,22758.0,Pea
82,2020-08-15,21226.0,Pea
83,2020-08-16,19749.0,Pea
84,2020-08-17,19749.0,Pea
85,2020-08-18,19749.0,Pea
86,2020-08-19,24932.0,Pea
87,2020-08-20,24932.0,Pea
88,2020-08-21,24932.0,Pea
89,2020-08-22,18267.0,Pea
90,2020-08-23,18267.0,Pea
91,2020-08-24,18267.0,Pea
92,2020-08-25,15783.0,Pea
93,2020-08-26,15783.0,Pea
94,2020-08-27,15821.0,Pea
95,2020-08-28,15270.0,Pea
96,2020-08-29,15270.0,Pea
97,2020-08-30,15270.0,Pea
98,2020-08-31,12526.0,Pea
99,2020-09-01,16190.0,Pea
100,2020-09-02,16190.0,Pea
101,2020-09-03,15694.0,Pea
102,2020-09-04,15694.0,Pea
103,2020-09-05,15694.0,Pea
104,2020-09-06,19048.0,Pea
105,2020-09-07,19048.0,Pea
106,2020-09-08,19048.0,Pea
107,2020-09-09,16661.0,Pea
108,2020-09-10,16661.0,Pea
109,2020-09-11,16661.0,Pea
110,2020-09-12,15687.0,Pea
111,2020-09-13,15687.0,Pea
112,2020-09-14,15687.0,Pea
113,2020-09-15,14813.0,Pea
114,2020-09-16,16808.0,Pea
115,2020-09-17,16808.0,Pea
116,2020-09-18,16808.0,Pea
117,2020-09-19,16145.0,Pea
118,2020-09-20,16145.0,Pea
119,2020-09-21,16145.0,Pea
120,2020-09-22,19959.0,Pea
121,2020-09-23,19959.0,Pea
122,2020-09-24,18721.0,Pea
123,2020-09-25,17320.0,Pea
124,2020-09-26,17320.0,Pea
125,2020-09-27,20730.0,Pea
126,2020-09-28,20730.0,Pea
127,2020-09-29,20730.0,Pea
128,2020-09-30,15429.0,Pea
129,2020-10-01,15429.0,Pea
130,2020-10-02,15429.0,Pea
131,2020-10-03,15429.0,Pea
132,2020-10-04,25339.0,Pea
133,2020-10-05,25339.0,Pea
134,2020-10-06,17069.0,Pea
135,2020-10-07,15729.0,Pea
136,2020-10-08,15729.0,Pea
137,2020-10-09,13314.0,Pea
138,2020-10-10,13553.0,Pea
139,2020-10-11,13553.0,Pea
140,2020-10-12,13553.0,Pea
141,2020-10-13,15869.0,Pea
142,2020-10-14,15869.0,Pea
143,2020-10-15,15869.0,Pea
144,2020-10-16,15970.0,Pea
145,2020-10-17,16308.0,Pea
146,2020-10-18,17081.0,Pea
147,2020-10-19,17081.0,Pea
148,2020-10-20,17081.0,Pea
149,2020-10-21,19093.0,Pea
150,2020-10-22,19093.0,Pea
151,2020-10-23,19093.0,Pea
152,2020-10-24,17682.0,Pea
153,2020-10-25,17682.0,Pea
154,2020-10-26,17682.0,Pea
155,2020-10-27,16005.0,Pea
156,2020-10-28,15786.0,Pea
157,2020-10-29,15786.0,Pea
158,2020-10-30,15786.0,Pea
159,2020-10-31,22282.0,Pea
160,2020-11-01,22282.0,Pea
161,2020-11-02,22282.0,Pea
162,2020-11-03,18458.0,Pea
163,2020-11-04,18458.0,Pea
164,2020-11-05,18458.0,Pea
165,2020-11-06,18458.0,Pea
166,2020-11-07,22868.0,Pea
167,2020-11-08,16110.0,Pea
168,2020-11-09,16110.0,Pea
169,2020-11-10,17377.0,Pea
170,2020-11-11,17546.0,Pea
171,2020-11-12,17546.0,Pea
172,2020-11-13,17546.0,Pea
173,2020-11-14,21923.0,Pea
174,2020-11-15,19007.0,Pea
175,2020-11-16,19007.0,Pea
176,2020-11-17,19007.0,Pea
177,2020-11-18,20663.0,Pea
178,2020-11-19,17730.0,Pea
179,2020-11-20,17730.0,Pea
180,2020-11-21,17730.0,Pea
181,2020-11-22,18176.0,Pea
182,2020-11-23,22301.0,Pea
183,2020-11-24,22301.0,Pea
184,2020-11-25,21723.0,Pea
185,2020-11-26,21723.0,Pea
186,2020-11-27,32729.0,Pea
187,2020-11-28,30291.0,Pea
188,2020-11-29,30291.0,Pea
189,2020-11-30,29703.0,Pea
190,2020-12-01,31872.0,Pea
191,2020-12-02,31872.0,Pea
192,2020-12-03,31872.0,Pea
193,2020-12-04,20265.0,Pea
194,2020-12-05,20265.0,Pea
195,2020-12-06,20265.0,Pea
196,2020-12-07,20265.0,Pea
197,2020-12-08,17924.0,Pea
198,2020-12-09,23550.0,Pea
199,2020-12-10,23550.0,Pea
200,2020-12-11,22115.0,Pea
201,2020-12-12,24869.0,Pea
202,2020-12-13,24869.0,Pea
203,2020-12-14,24869.0,Pea
204,2020-12-15,24869.0,Pea
205,2020-12-16,26752.0,Pea
206,2020-12-17,26752.0,Pea
207,2020-12-18,23931.0,Pea
208,2020-12-19,23931.0,Pea
209,2020-12-20,25162.0,Pea
210,2020-12-21,21727.0,Pea
211,2020-12-22,24763.0,Pea
212,2020-12-23,24763.0,Pea
213,2020-12-24,24763.0,Pea
214,2020-12-25,24763.0,Pea
215,2020-12-26,20210.0,Pea
216,2020-12-27,20210.0,Pea
217,2020-12-28,20210.0,Pea
218,2020-12-29,22615.0,Pea
219,2020-12-30,22615.0,Pea
220,2020-12-31,22615.0,Pea
221,2021-01-01,17165.0,Pea
222,2021-01-02,17165.0,Pea
223,2021-01-03,17165.0,Pea
224,2021-01-04,17165.0,Pea
225,2021-01-05,16156.0,Pea
226,2021-01-06,16156.0,Pea
227,2021-01-07,18057.0,Pea
228,2021-01-08,18057.0,Pea
229,2021-01-09,16797.0,Pea
230,2021-01-10,14052.0,Pea
231,2021-01-11,14052.0,Pea
232,2021-01-12,14494.0,Pea
233,2021-01-13,14494.0,Pea
234,2021-01-14,17728.0,Pea
235,2021-01-15,13830.0,Pea
236,2021-01-16,13976.0,Pea
237,2021-01-17,13976.0,Pea
238,2021-01-18,13976.0,Pea
239,2021-01-19,16446.0,Pea
240,2021-01-20,15628.0,Pea
241,2021-01-21,15628.0,Pea
242,2021-01-22,12237.0,Pea
243,2021-01-23,12237.0,Pea
244,2021-01-24,12237.0,Pea
245,2021-01-25,14365.0,Pea
246,2021-01-26,14365.0,Pea
247,2021-01-27,14365.0,Pea
248,2021-01-28,16116.0,Pea
249,2021-01-29,16116.0,Pea
250,2021-01-30,14680.0,Pea
251,2021-01-31,13926.0,Pea
252,2021-02-01,13926.0,Pea
253,2021-02-02,16202.0,Pea
254,2021-02-03,16202.0,Pea
255,2021-02-04,12163.0,Pea
256,2021-02-05,12163.0,Pea
257,2021-02-06,15094.0,Pea
258,2021-02-07,18210.0,Pea
259,2021-02-08,18210.0,Pea
260,2021-02-09,18210.0,Pea
261,2021-02-10,18210.0,Pea
262,2021-02-11,20690.0,Pea
263,2021-02-12,13923.0,Pea
264,2021-02-13,13923.0,Pea
265,2021-02-14,15646.0,Pea
266,2021-02-15,15646.0,Pea
267,2021-02-16,13536.0,Pea
268,2021-02-17,13536.0,Pea
269,2021-02-18,13536.0,Pea
270,2021-02-19,13337.0,Pea
271,2021-02-20,13734.0,Pea
272,2021-02-21,13734.0,Pea
273,2021-02-22,13734.0,Pea
274,2021-02-23,16253.0,Pea
275,2021-02-24,16253.0,Pea
276,2021-02-25,16253.0,Pea
277,2021-02-26,11684.0,Pea
278,2021-02-27,11684.0,Pea
279,2021-02-28,11684.0,Pea
280,2021-03-01,11926.0,Pea
281,2021-03-02,11926.0,Pea
282,2021-03-03,12853.0,Pea
283,2021-03-04,12853.0,Pea
284,2021-03-05,12853.0,Pea
285,2021-03-06,12853.0,Pea
286,2021-03-07,12853.0,Pea
287,2021-03-08,26870.0,Pea
288,2021-03-09,29053.0,Pea
289,2021-03-10,29053.0,Pea
290,2021-03-11,36298.0,Pea
291,2021-03-12,36298.0,Pea
292,2021-03-13,36298.0,Pea
293,2021-03-14,44855.0,Pea
294,2021-03-15,44855.0,Pea
295,2021-03-16,20679.0,Pea
296,2021-03-17,20679.0,Pea
297,2021-03-18,23918.0,Pea
298,2021-03-19,23918.0,Pea
299,2021-03-20,18201.0,Pea
300,2021-03-21,15687.0,Pea
301,2021-03-22,15687.0,Pea
302,2021-03-23,15948.0,Pea
303,2021-03-24,15948.0,Pea
304,2021-03-25,15948.0,Pea
305,2021-03-26,15948.0,Pea
306,2021-03-27,14131.0,Pea
307,2021-03-28,14131.0,Pea
308,2021-03-29,14131.0,Pea
309,2021-03-30,16160.0,Pea
310,2021-03-31,14046.0,Pea
311,2021-04-01,14046.0,Pea
312,2021-04-02,14046.0,Pea
313,2021-04-03,11444.0,Pea
314,2021-04-04,11444.0,Pea
315,2021-04-05,14996.0,Pea
316,2021-04-06,12997.0,Pea
317,2021-04-07,14750.0,Pea
318,2021-04-08,14750.0,Pea
319,2021-04-09,14296.0,Pea
320,2021-04-10,14296.0,Pea
321,2021-04-11,14296.0,Pea
322,2021-04-12,23627.0,Pea
323,2021-04-13,22698.0,Pea
324,2021-04-14,22698.0,Pea
325,2021-04-15,43756.0,Pea
326,2021-04-16,43756.0,Pea
327,2021-04-17,49846.0,Pea
328,2021-04-18,49846.0,Pea
329,2021-04-19,45475.0,Pea
330,2021-04-20,45475.0,Pea
331,2021-04-21,55765.0,Pea
332,2021-04-22,95713.0,Pea
333,2021-04-23,104991.0,Pea
334,2021-04-24,104991.0,Pea
335,2021-04-25,74624.0,Pea
336,2021-04-26,74624.0,Pea
337,2021-04-27,71587.0,Pea
338,2021-04-28,71587.0,Pea
339,2021-04-29,71587.0,Pea
340,2021-04-30,71587.0,Pea
341,2021-05-01,71587.0,Pea
342,2021-05-02,42552.0,Pea
343,2021-05-03,42552.0,Pea
344,2021-05-04,42552.0,Pea
345,2021-05-05,30602.0,Pea
346,2021-05-06,30602.0,Pea
347,2021-05-07,83191.0,Pea
348,2021-05-08,83191.0,Pea
349,2021-05-09,83191.0,Pea
350,2021-05-10,114270.0,Pea
351,2021-05-11,117922.0,Pea
352,2021-05-12,117922.0,Pea
353,2021-05-13,117922.0,Pea
354,2021-05-14,27588.0,Pea
355,2021-05-15,27588.0,Pea
356,2021-05-16,26419.0,Pea
357,2021-05-17,28192.0,Pea
358,2021-05-18,28192.0,Pea
359,2021-05-19,32741.0,Pea
360,2021-05-20,34940.0,Pea
361,2021-05-21,27299.0,Pea
362,2021-05-22,27299.0,Pea
363,2021-05-23,31017.0,Pea
364,2021-05-24,31017.0,Pea
365,2021-05-25,25492.0,Pea
366,2021-05-26,30238.0,Pea
367,2021-05-27,30238.0,Pea
368,2021-05-28,30238.0,Pea
369,2021-05-29,31063.0,Pea
370,2021-05-30,31063.0,Pea
371,2021-05-31,31028.0,Pea
372,2021-06-01,31028.0,Pea
373,2021-06-02,31028.0,Pea
374,2021-06-03,29903.0,Pea
375,2021-06-04,20239.0,Pea
376,2021-06-05,20239.0,Pea
377,2021-06-06,20239.0,Pea
378,2021-06-07,20432.0,Pea
379,2021-06-08,21864.0,Pea
380,2021-06-09,21864.0,Pea
381,2021-06-10,34035.0,Pea
382,2021-06-11,36530.0,Pea
383,2021-06-12,36138.0,Pea
384,2021-06-13,36138.0,Pea
385,2021-06-14,36138.0,Pea
386,2021-06-15,29350.0,Pea
387,2021-06-16,29350.0,Pea
388,2021-06-17,17154.0,Pea
389,2021-06-18,17152.0,Pea
390,2021-06-19,17152.0,Pea
391,2021-06-20,17152.0,Pea
392,2021-06-21,18605.0,Pea
393,2021-06-22,13509.0,Pea
394,2021-06-23,13509.0,Pea
395,2021-06-24,13509.0,Pea
396,2021-06-25,15206.0,Pea
397,2021-06-26,15206.0,Pea
398,2021-06-27,15206.0,Pea
399,2021-06-28,20431.0,Pea
400,2021-06-29,20431.0,Pea
401,2021-06-30,16389.0,Pea
402,2021-07-01,16389.0,Pea
403,2021-07-02,16389.0,Pea
404,2021-07-03,17224.0,Pea
405,2021-07-04,17540.0,Pea
406,2021-07-05,16770.0,Pea
407,2021-07-06,16770.0,Pea
408,2021-07-07,14481.0,Pea
409,2021-07-08,14481.0,Pea
410,2021-07-09,14481.0,Pea
411,2021-07-10,15868.0,Pea
