,date,value,name_B07QRP1GYB
0,2019-06-05,535017.0,Comforter Sets
1,2019-06-06,648536.0,Comforter Sets
2,2019-06-07,698990.0,Comforter Sets
3,2019-06-08,532210.0,Comforter Sets
4,2019-06-09,302914.0,Comforter Sets
5,2019-06-10,373915.0,Comforter Sets
6,2019-06-11,444463.0,Comforter Sets
7,2019-06-12,222460.0,Comforter Sets
8,2019-06-13,255141.0,Comforter Sets
9,2019-06-14,372118.0,Comforter Sets
10,2019-06-15,319819.0,Comforter Sets
11,2019-06-16,291383.0,Comforter Sets
12,2019-06-17,359652.0,Comforter Sets
13,2019-06-18,274924.0,Comforter Sets
14,2019-06-19,423464.0,Comforter Sets
15,2019-06-20,456868.0,Comforter Sets
16,2019-06-21,414849.0,Comforter Sets
17,2019-06-22,370058.0,Comforter Sets
18,2019-06-23,432123.0,Comforter Sets
19,2019-06-24,324598.0,Comforter Sets
20,2019-06-25,453097.0,Comforter Sets
21,2019-06-26,316238.0,Comforter Sets
22,2019-06-27,464823.0,Comforter Sets
23,2019-06-28,542831.0,Comforter Sets
24,2019-06-29,375854.0,Comforter Sets
25,2019-06-30,395940.0,Comforter Sets
26,2019-07-01,448061.0,Comforter Sets
27,2019-07-02,116859.0,Comforter Sets
28,2019-07-03,116859.0,Comforter Sets
29,2019-07-04,116859.0,Comforter Sets
30,2019-07-05,116859.0,Comforter Sets
31,2019-07-06,364669.0,Comforter Sets
32,2019-07-07,364669.0,Comforter Sets
33,2019-07-08,364669.0,Comforter Sets
34,2019-07-09,364669.0,Comforter Sets
35,2019-07-10,364669.0,Comforter Sets
36,2019-07-11,173230.0,Comforter Sets
37,2019-07-12,173230.0,Comforter Sets
38,2019-07-13,173230.0,Comforter Sets
39,2019-07-14,173230.0,Comforter Sets
40,2019-07-15,583914.0,Comforter Sets
41,2019-07-16,583914.0,Comforter Sets
42,2019-07-17,583914.0,Comforter Sets
43,2019-07-18,583914.0,Comforter Sets
44,2019-07-19,583914.0,Comforter Sets
45,2019-07-20,391522.0,Comforter Sets
46,2019-07-21,391522.0,Comforter Sets
47,2019-07-22,391522.0,Comforter Sets
48,2019-07-23,391522.0,Comforter Sets
49,2019-07-24,192113.0,Comforter Sets
50,2019-07-25,192113.0,Comforter Sets
51,2019-07-26,192113.0,Comforter Sets
52,2019-07-27,192113.0,Comforter Sets
53,2019-07-28,192113.0,Comforter Sets
54,2019-07-29,167532.0,Comforter Sets
55,2019-07-30,167532.0,Comforter Sets
56,2019-07-31,167532.0,Comforter Sets
57,2019-08-01,167532.0,Comforter Sets
58,2019-08-02,106410.0,Comforter Sets
59,2019-08-03,106410.0,Comforter Sets
60,2019-08-04,106410.0,Comforter Sets
61,2019-08-05,82971.0,Comforter Sets
62,2019-08-06,82971.0,Comforter Sets
63,2019-08-07,82971.0,Comforter Sets
64,2019-08-08,82971.0,Comforter Sets
65,2019-08-09,82971.0,Comforter Sets
66,2019-08-10,65899.0,Comforter Sets
67,2019-08-11,65899.0,Comforter Sets
68,2019-08-12,65899.0,Comforter Sets
69,2019-08-13,75683.0,Comforter Sets
70,2019-08-14,75683.0,Comforter Sets
71,2019-08-15,75683.0,Comforter Sets
72,2019-08-16,81311.0,Comforter Sets
73,2019-08-17,81311.0,Comforter Sets
74,2019-08-18,81311.0,Comforter Sets
75,2019-08-19,81311.0,Comforter Sets
76,2019-08-20,81311.0,Comforter Sets
77,2019-08-21,69790.0,Comforter Sets
78,2019-08-22,69790.0,Comforter Sets
79,2019-08-23,69790.0,Comforter Sets
80,2019-08-24,69790.0,Comforter Sets
81,2019-08-25,82720.0,Comforter Sets
82,2019-08-26,82720.0,Comforter Sets
83,2019-08-27,82720.0,Comforter Sets
84,2019-08-28,82720.0,Comforter Sets
85,2019-08-29,82720.0,Comforter Sets
86,2019-08-30,82720.0,Comforter Sets
87,2019-08-31,47420.0,Comforter Sets
88,2019-09-01,51343.0,Comforter Sets
89,2019-09-02,51343.0,Comforter Sets
90,2019-09-03,51343.0,Comforter Sets
91,2019-09-04,54048.0,Comforter Sets
92,2019-09-05,54048.0,Comforter Sets
