,date,value,name_B07R1VJWPM
0,2019-06-21,393413.0,Floating Shelves
1,2019-06-22,243752.0,Floating Shelves
2,2019-06-23,94247.0,Floating Shelves
3,2019-06-24,62585.0,Floating Shelves
4,2019-06-25,37614.0,Floating Shelves
5,2019-06-26,26752.0,Floating Shelves
6,2019-06-27,24683.0,Floating Shelves
7,2019-06-28,20409.0,Floating Shelves
8,2019-06-29,20849.0,Floating Shelves
9,2019-06-30,22924.0,Floating Shelves
10,2019-07-01,20559.0,Floating Shelves
11,2019-07-02,16248.0,Floating Shelves
12,2019-07-03,16034.0,Floating Shelves
13,2019-07-04,16094.0,Floating Shelves
14,2019-07-05,18726.0,Floating Shelves
15,2019-07-06,14355.0,Floating Shelves
16,2019-07-07,12963.0,Floating Shelves
17,2019-07-08,11685.0,Floating Shelves
18,2019-07-09,13063.0,Floating Shelves
19,2019-07-10,16281.0,Floating Shelves
20,2019-07-11,21244.0,Floating Shelves
21,2019-07-12,22510.0,Floating Shelves
22,2019-07-13,17684.0,Floating Shelves
23,2019-07-14,16638.0,Floating Shelves
24,2019-07-15,26451.0,Floating Shelves
25,2019-07-16,24276.0,Floating Shelves
26,2019-07-17,27934.0,Floating Shelves
27,2019-07-18,36770.0,Floating Shelves
28,2019-07-19,36770.0,Floating Shelves
29,2019-07-20,80060.0,Floating Shelves
30,2019-07-21,80060.0,Floating Shelves
31,2019-07-22,147096.0,Floating Shelves
32,2019-07-23,173603.0,Floating Shelves
33,2019-07-24,185444.0,Floating Shelves
34,2019-07-25,185444.0,Floating Shelves
35,2019-07-26,40711.0,Floating Shelves
36,2019-07-27,22249.0,Floating Shelves
37,2019-07-28,22249.0,Floating Shelves
38,2019-07-29,22249.0,Floating Shelves
39,2019-07-30,19207.0,Floating Shelves
40,2019-07-31,18026.0,Floating Shelves
41,2019-08-01,18026.0,Floating Shelves
42,2019-08-02,17882.0,Floating Shelves
43,2019-08-03,14383.0,Floating Shelves
44,2019-08-04,13044.0,Floating Shelves
45,2019-08-05,9541.0,Floating Shelves
46,2019-08-06,11454.0,Floating Shelves
47,2019-08-07,14354.0,Floating Shelves
48,2019-08-08,14354.0,Floating Shelves
49,2019-08-09,14120.0,Floating Shelves
50,2019-08-10,13595.0,Floating Shelves
51,2019-08-11,11022.0,Floating Shelves
52,2019-08-12,9260.0,Floating Shelves
53,2019-08-13,11609.0,Floating Shelves
54,2019-08-14,10974.0,Floating Shelves
55,2019-08-15,10517.0,Floating Shelves
56,2019-08-16,9358.0,Floating Shelves
57,2019-08-17,9358.0,Floating Shelves
58,2019-08-18,12318.0,Floating Shelves
59,2019-08-19,12318.0,Floating Shelves
60,2019-08-20,16943.0,Floating Shelves
61,2019-08-21,19086.0,Floating Shelves
62,2019-08-22,19086.0,Floating Shelves
63,2019-08-23,19086.0,Floating Shelves
64,2019-08-24,23042.0,Floating Shelves
65,2019-08-25,22020.0,Floating Shelves
66,2019-08-26,22020.0,Floating Shelves
67,2019-08-27,22020.0,Floating Shelves
68,2019-08-28,46956.0,Floating Shelves
69,2019-08-29,51900.0,Floating Shelves
70,2019-08-30,71052.0,Floating Shelves
71,2019-08-31,71052.0,Floating Shelves
72,2019-09-01,71052.0,Floating Shelves
73,2019-09-02,71052.0,Floating Shelves
74,2019-09-03,94852.0,Floating Shelves
75,2019-09-04,135444.0,Floating Shelves
76,2019-09-05,135444.0,Floating Shelves
77,2019-09-06,119818.0,Floating Shelves
78,2019-09-07,198550.0,Floating Shelves
79,2019-09-08,198550.0,Floating Shelves
80,2019-09-09,198550.0,Floating Shelves
81,2019-09-10,198550.0,Floating Shelves
82,2019-09-11,257604.0,Floating Shelves
83,2019-09-12,257604.0,Floating Shelves
84,2019-09-13,257604.0,Floating Shelves
85,2019-09-14,257604.0,Floating Shelves
86,2019-09-15,257604.0,Floating Shelves
87,2019-09-16,16732.0,Floating Shelves
88,2019-09-17,14550.0,Floating Shelves
89,2019-09-18,13284.0,Floating Shelves
90,2019-09-19,15623.0,Floating Shelves
91,2019-09-20,11887.0,Floating Shelves
92,2019-09-21,10444.0,Floating Shelves
93,2019-09-22,9732.0,Floating Shelves
94,2019-09-23,9304.0,Floating Shelves
95,2019-09-24,7095.0,Floating Shelves
96,2019-09-25,11173.0,Floating Shelves
97,2019-09-26,11879.0,Floating Shelves
98,2019-09-27,11879.0,Floating Shelves
99,2019-09-28,11389.0,Floating Shelves
100,2019-09-29,8837.0,Floating Shelves
101,2019-09-30,8643.0,Floating Shelves
102,2019-10-01,10443.0,Floating Shelves
103,2019-10-02,11395.0,Floating Shelves
104,2019-10-03,13569.0,Floating Shelves
105,2019-10-04,10889.0,Floating Shelves
106,2019-10-05,10889.0,Floating Shelves
107,2019-10-06,10889.0,Floating Shelves
108,2019-10-07,7758.0,Floating Shelves
109,2019-10-08,11289.0,Floating Shelves
110,2019-10-09,12051.0,Floating Shelves
111,2019-10-10,12051.0,Floating Shelves
112,2019-10-11,12051.0,Floating Shelves
113,2019-10-12,16915.0,Floating Shelves
114,2019-10-13,22264.0,Floating Shelves
115,2019-10-14,22264.0,Floating Shelves
116,2019-10-15,30764.0,Floating Shelves
117,2019-10-16,31060.0,Floating Shelves
118,2019-10-17,33535.0,Floating Shelves
119,2019-10-18,29032.0,Floating Shelves
120,2019-10-19,29032.0,Floating Shelves
121,2019-10-20,16704.0,Floating Shelves
122,2019-10-21,13373.0,Floating Shelves
123,2019-10-22,13373.0,Floating Shelves
124,2019-10-23,13373.0,Floating Shelves
125,2019-10-24,12177.0,Floating Shelves
126,2019-10-25,13330.0,Floating Shelves
127,2019-10-26,12061.0,Floating Shelves
128,2019-10-27,14973.0,Floating Shelves
129,2019-10-28,10465.0,Floating Shelves
130,2019-10-29,12476.0,Floating Shelves
131,2019-10-30,11618.0,Floating Shelves
132,2019-10-31,13156.0,Floating Shelves
133,2019-11-01,11930.0,Floating Shelves
134,2019-11-02,12580.0,Floating Shelves
135,2019-11-03,12580.0,Floating Shelves
136,2019-11-04,11172.0,Floating Shelves
137,2019-11-05,12318.0,Floating Shelves
138,2019-11-06,13577.0,Floating Shelves
139,2019-11-07,11579.0,Floating Shelves
140,2019-11-08,11579.0,Floating Shelves
141,2019-11-09,12254.0,Floating Shelves
142,2019-11-10,12254.0,Floating Shelves
143,2019-11-11,8060.0,Floating Shelves
144,2019-11-12,8060.0,Floating Shelves
145,2019-11-13,9589.0,Floating Shelves
146,2019-11-14,10945.0,Floating Shelves
147,2019-11-15,10945.0,Floating Shelves
148,2019-11-16,10945.0,Floating Shelves
149,2019-11-17,10945.0,Floating Shelves
150,2019-11-18,10945.0,Floating Shelves
151,2019-11-19,9117.0,Floating Shelves
152,2019-11-20,11972.0,Floating Shelves
153,2019-11-21,13159.0,Floating Shelves
154,2019-11-22,10659.0,Floating Shelves
155,2019-11-23,10659.0,Floating Shelves
156,2019-11-24,10659.0,Floating Shelves
157,2019-11-25,11244.0,Floating Shelves
158,2019-11-26,11184.0,Floating Shelves
159,2019-11-27,10949.0,Floating Shelves
160,2019-11-28,10949.0,Floating Shelves
161,2019-11-29,13026.0,Floating Shelves
162,2019-11-30,13192.0,Floating Shelves
163,2019-12-01,13192.0,Floating Shelves
164,2019-12-02,11455.0,Floating Shelves
165,2019-12-03,12970.0,Floating Shelves
166,2019-12-04,14355.0,Floating Shelves
167,2019-12-05,15146.0,Floating Shelves
168,2019-12-06,15146.0,Floating Shelves
169,2019-12-07,15146.0,Floating Shelves
170,2019-12-08,17788.0,Floating Shelves
171,2019-12-09,17788.0,Floating Shelves
172,2019-12-10,14144.0,Floating Shelves
173,2019-12-11,14144.0,Floating Shelves
174,2019-12-12,12770.0,Floating Shelves
175,2019-12-13,12770.0,Floating Shelves
176,2019-12-14,12770.0,Floating Shelves
177,2019-12-15,15274.0,Floating Shelves
178,2019-12-16,14873.0,Floating Shelves
179,2019-12-17,14873.0,Floating Shelves
