,date,value,name_B07R2DZQV8
0,2019-07-13,1838486.0,Travel Pillows
1,2019-07-14,1838486.0,Travel Pillows
2,2019-07-15,1841314.0,Travel Pillows
3,2019-07-16,1848203.0,Travel Pillows
4,2019-07-17,1852270.0,Travel Pillows
5,2019-07-18,1852270.0,Travel Pillows
6,2019-07-19,215686.0,Travel Pillows
7,2019-07-20,215686.0,Travel Pillows
8,2019-07-21,54245.0,Travel Pillows
9,2019-07-22,122983.0,Travel Pillows
10,2019-07-23,122983.0,Travel Pillows
11,2019-07-24,122983.0,Travel Pillows
12,2019-07-25,146881.0,Travel Pillows
13,2019-07-26,82148.0,Travel Pillows
14,2019-07-27,82148.0,Travel Pillows
15,2019-07-28,82148.0,Travel Pillows
16,2019-07-29,46324.0,Travel Pillows
17,2019-07-30,-1.0,Travel Pillows
18,2019-07-31,-1.0,Travel Pillows
19,2019-08-01,-1.0,Travel Pillows
20,2019-08-02,-1.0,Travel Pillows
21,2019-08-03,-1.0,Travel Pillows
22,2019-08-04,-1.0,Travel Pillows
23,2019-08-05,-1.0,Travel Pillows
24,2019-08-06,-1.0,Travel Pillows
25,2019-08-07,-1.0,Travel Pillows
26,2019-08-08,-1.0,Travel Pillows
27,2019-08-09,-1.0,Travel Pillows
28,2019-08-10,-1.0,Travel Pillows
29,2019-08-11,-1.0,Travel Pillows
30,2019-08-12,-1.0,Travel Pillows
31,2019-08-13,-1.0,Travel Pillows
32,2019-08-14,-1.0,Travel Pillows
33,2019-08-15,-1.0,Travel Pillows
34,2019-08-16,-1.0,Travel Pillows
35,2019-08-17,-1.0,Travel Pillows
36,2019-08-18,-1.0,Travel Pillows
37,2019-08-19,-1.0,Travel Pillows
38,2019-08-20,-1.0,Travel Pillows
39,2019-08-21,-1.0,Travel Pillows
40,2019-08-22,-1.0,Travel Pillows
41,2019-08-23,-1.0,Travel Pillows
42,2019-08-24,-1.0,Travel Pillows
43,2019-08-25,-1.0,Travel Pillows
44,2019-08-26,-1.0,Travel Pillows
45,2019-08-27,-1.0,Travel Pillows
46,2019-08-28,-1.0,Travel Pillows
47,2019-08-29,-1.0,Travel Pillows
48,2019-08-30,-1.0,Travel Pillows
49,2019-08-31,-1.0,Travel Pillows
50,2019-09-01,-1.0,Travel Pillows
51,2019-09-02,-1.0,Travel Pillows
52,2019-09-03,-1.0,Travel Pillows
53,2019-09-04,-1.0,Travel Pillows
54,2019-09-05,-1.0,Travel Pillows
55,2019-09-06,-1.0,Travel Pillows
56,2019-09-07,-1.0,Travel Pillows
57,2019-09-08,-1.0,Travel Pillows
58,2019-09-09,-1.0,Travel Pillows
59,2019-09-10,-1.0,Travel Pillows
60,2019-09-11,-1.0,Travel Pillows
61,2019-09-12,-1.0,Travel Pillows
62,2019-09-13,-1.0,Travel Pillows
63,2019-09-14,-1.0,Travel Pillows
64,2019-09-15,-1.0,Travel Pillows
65,2019-09-16,-1.0,Travel Pillows
66,2019-09-17,-1.0,Travel Pillows
67,2019-09-18,-1.0,Travel Pillows
68,2019-09-19,-1.0,Travel Pillows
69,2019-09-20,-1.0,Travel Pillows
70,2019-09-21,-1.0,Travel Pillows
71,2019-09-22,-1.0,Travel Pillows
72,2019-09-23,-1.0,Travel Pillows
73,2019-09-24,-1.0,Travel Pillows
74,2019-09-25,-1.0,Travel Pillows
75,2019-09-26,-1.0,Travel Pillows
76,2019-09-27,-1.0,Travel Pillows
77,2019-09-28,-1.0,Travel Pillows
78,2019-09-29,-1.0,Travel Pillows
79,2019-09-30,-1.0,Travel Pillows
80,2019-10-01,-1.0,Travel Pillows
81,2019-10-02,-1.0,Travel Pillows
82,2019-10-03,-1.0,Travel Pillows
83,2019-10-04,-1.0,Travel Pillows
84,2019-10-05,-1.0,Travel Pillows
85,2019-10-06,-1.0,Travel Pillows
86,2019-10-07,-1.0,Travel Pillows
87,2019-10-08,-1.0,Travel Pillows
88,2019-10-09,-1.0,Travel Pillows
89,2019-10-10,-1.0,Travel Pillows
90,2019-10-11,-1.0,Travel Pillows
91,2019-10-12,-1.0,Travel Pillows
92,2019-10-13,-1.0,Travel Pillows
93,2019-10-14,-1.0,Travel Pillows
94,2019-10-15,-1.0,Travel Pillows
95,2019-10-16,-1.0,Travel Pillows
96,2019-10-17,-1.0,Travel Pillows
97,2019-10-18,-1.0,Travel Pillows
98,2019-10-19,-1.0,Travel Pillows
99,2019-10-20,-1.0,Travel Pillows
100,2019-10-21,-1.0,Travel Pillows
101,2019-10-22,-1.0,Travel Pillows
102,2019-10-23,-1.0,Travel Pillows
103,2019-10-24,-1.0,Travel Pillows
104,2019-10-25,-1.0,Travel Pillows
105,2019-10-26,-1.0,Travel Pillows
106,2019-10-27,-1.0,Travel Pillows
107,2019-10-28,-1.0,Travel Pillows
108,2019-10-29,-1.0,Travel Pillows
109,2019-10-30,-1.0,Travel Pillows
110,2019-10-31,-1.0,Travel Pillows
111,2019-11-01,-1.0,Travel Pillows
112,2019-11-02,-1.0,Travel Pillows
113,2019-11-03,-1.0,Travel Pillows
114,2019-11-04,-1.0,Travel Pillows
