,date,value,name_B07R6NYY6L
0,2020-05-25,1519.0,Fish Oil Supplements
1,2020-05-26,1519.0,Fish Oil Supplements
2,2020-05-27,1519.0,Fish Oil Supplements
3,2020-05-28,1655.0,Fish Oil Supplements
4,2020-05-29,1544.0,Fish Oil Supplements
5,2020-05-30,1544.0,Fish Oil Supplements
6,2020-05-31,1544.0,Fish Oil Supplements
7,2020-06-01,1544.0,Fish Oil Supplements
8,2020-06-02,1354.0,Fish Oil Supplements
9,2020-06-03,1354.0,Fish Oil Supplements
10,2020-06-04,1423.0,Fish Oil Supplements
11,2020-06-05,1423.0,Fish Oil Supplements
12,2020-06-06,1423.0,Fish Oil Supplements
13,2020-06-07,1458.0,Fish Oil Supplements
14,2020-06-08,1458.0,Fish Oil Supplements
15,2020-06-09,1458.0,Fish Oil Supplements
16,2020-06-10,1525.0,Fish Oil Supplements
17,2020-06-11,1650.0,Fish Oil Supplements
18,2020-06-12,1650.0,Fish Oil Supplements
19,2020-06-13,1471.0,Fish Oil Supplements
20,2020-06-14,1471.0,Fish Oil Supplements
21,2020-06-15,1527.0,Fish Oil Supplements
22,2020-06-16,1527.0,Fish Oil Supplements
23,2020-06-17,1527.0,Fish Oil Supplements
24,2020-06-18,1429.0,Fish Oil Supplements
25,2020-06-19,1429.0,Fish Oil Supplements
26,2020-06-20,1429.0,Fish Oil Supplements
27,2020-06-21,1414.0,Fish Oil Supplements
28,2020-06-22,1414.0,Fish Oil Supplements
29,2020-06-23,1414.0,Fish Oil Supplements
30,2020-06-24,1707.0,Fish Oil Supplements
31,2020-06-25,1707.0,Fish Oil Supplements
32,2020-06-26,1707.0,Fish Oil Supplements
33,2020-06-27,1707.0,Fish Oil Supplements
34,2020-06-28,1707.0,Fish Oil Supplements
35,2020-06-29,1618.0,Fish Oil Supplements
36,2020-06-30,1618.0,Fish Oil Supplements
37,2020-07-01,1618.0,Fish Oil Supplements
38,2020-07-02,1653.0,Fish Oil Supplements
39,2020-07-03,1625.0,Fish Oil Supplements
40,2020-07-04,1625.0,Fish Oil Supplements
41,2020-07-05,1625.0,Fish Oil Supplements
42,2020-07-06,2176.0,Fish Oil Supplements
43,2020-07-07,2176.0,Fish Oil Supplements
44,2020-07-08,2176.0,Fish Oil Supplements
45,2020-07-09,1706.0,Fish Oil Supplements
46,2020-07-10,1706.0,Fish Oil Supplements
47,2020-07-11,1706.0,Fish Oil Supplements
48,2020-07-12,1964.0,Fish Oil Supplements
49,2020-07-13,1964.0,Fish Oil Supplements
50,2020-07-14,1495.0,Fish Oil Supplements
51,2020-07-15,1495.0,Fish Oil Supplements
52,2020-07-16,1434.0,Fish Oil Supplements
53,2020-07-17,1434.0,Fish Oil Supplements
54,2020-07-18,1414.0,Fish Oil Supplements
55,2020-07-19,1414.0,Fish Oil Supplements
56,2020-07-20,1414.0,Fish Oil Supplements
57,2020-07-21,1312.0,Fish Oil Supplements
58,2020-07-22,1312.0,Fish Oil Supplements
59,2020-07-23,1312.0,Fish Oil Supplements
60,2020-07-24,1580.0,Fish Oil Supplements
61,2020-07-25,1580.0,Fish Oil Supplements
62,2020-07-26,1366.0,Fish Oil Supplements
63,2020-07-27,1366.0,Fish Oil Supplements
64,2020-07-28,1366.0,Fish Oil Supplements
65,2020-07-29,1517.0,Fish Oil Supplements
66,2020-07-30,1517.0,Fish Oil Supplements
67,2020-07-31,1517.0,Fish Oil Supplements
68,2020-08-01,1517.0,Fish Oil Supplements
69,2020-08-02,1265.0,Fish Oil Supplements
70,2020-08-03,1265.0,Fish Oil Supplements
71,2020-08-04,1265.0,Fish Oil Supplements
72,2020-08-05,1652.0,Fish Oil Supplements
73,2020-08-06,1652.0,Fish Oil Supplements
74,2020-08-07,1652.0,Fish Oil Supplements
75,2020-08-08,1454.0,Fish Oil Supplements
76,2020-08-09,1454.0,Fish Oil Supplements
77,2020-08-10,1454.0,Fish Oil Supplements
78,2020-08-11,1669.0,Fish Oil Supplements
79,2020-08-12,1669.0,Fish Oil Supplements
80,2020-08-13,1669.0,Fish Oil Supplements
81,2020-08-14,1397.0,Fish Oil Supplements
82,2020-08-15,1397.0,Fish Oil Supplements
83,2020-08-16,1463.0,Fish Oil Supplements
84,2020-08-17,1463.0,Fish Oil Supplements
85,2020-08-18,1463.0,Fish Oil Supplements
86,2020-08-19,1463.0,Fish Oil Supplements
87,2020-08-20,1332.0,Fish Oil Supplements
88,2020-08-21,1332.0,Fish Oil Supplements
89,2020-08-22,1624.0,Fish Oil Supplements
90,2020-08-23,1624.0,Fish Oil Supplements
91,2020-08-24,1624.0,Fish Oil Supplements
92,2020-08-25,1624.0,Fish Oil Supplements
93,2020-08-26,1434.0,Fish Oil Supplements
94,2020-08-27,1434.0,Fish Oil Supplements
95,2020-08-28,1434.0,Fish Oil Supplements
96,2020-08-29,1434.0,Fish Oil Supplements
97,2020-08-30,1426.0,Fish Oil Supplements
98,2020-08-31,1426.0,Fish Oil Supplements
99,2020-09-01,1426.0,Fish Oil Supplements
100,2020-09-02,1348.0,Fish Oil Supplements
101,2020-09-03,1348.0,Fish Oil Supplements
102,2020-09-04,1348.0,Fish Oil Supplements
103,2020-09-05,1348.0,Fish Oil Supplements
104,2020-09-06,1518.0,Fish Oil Supplements
105,2020-09-07,1518.0,Fish Oil Supplements
106,2020-09-08,1518.0,Fish Oil Supplements
107,2020-09-09,1447.0,Fish Oil Supplements
108,2020-09-10,1447.0,Fish Oil Supplements
109,2020-09-11,1447.0,Fish Oil Supplements
110,2020-09-12,1447.0,Fish Oil Supplements
111,2020-09-13,1587.0,Fish Oil Supplements
112,2020-09-14,1765.0,Fish Oil Supplements
113,2020-09-15,1765.0,Fish Oil Supplements
114,2020-09-16,1321.0,Fish Oil Supplements
115,2020-09-17,1321.0,Fish Oil Supplements
116,2020-09-18,1321.0,Fish Oil Supplements
117,2020-09-19,1468.0,Fish Oil Supplements
118,2020-09-20,1468.0,Fish Oil Supplements
119,2020-09-21,1468.0,Fish Oil Supplements
120,2020-09-22,1521.0,Fish Oil Supplements
121,2020-09-23,1521.0,Fish Oil Supplements
122,2020-09-24,1579.0,Fish Oil Supplements
123,2020-09-25,1547.0,Fish Oil Supplements
124,2020-09-26,1547.0,Fish Oil Supplements
125,2020-09-27,1547.0,Fish Oil Supplements
126,2020-09-28,1836.0,Fish Oil Supplements
127,2020-09-29,1836.0,Fish Oil Supplements
128,2020-09-30,1836.0,Fish Oil Supplements
129,2020-10-01,1561.0,Fish Oil Supplements
130,2020-10-02,1561.0,Fish Oil Supplements
131,2020-10-03,1561.0,Fish Oil Supplements
132,2020-10-04,1495.0,Fish Oil Supplements
133,2020-10-05,1495.0,Fish Oil Supplements
134,2020-10-06,1495.0,Fish Oil Supplements
135,2020-10-07,1676.0,Fish Oil Supplements
136,2020-10-08,1676.0,Fish Oil Supplements
137,2020-10-09,1676.0,Fish Oil Supplements
138,2020-10-10,1549.0,Fish Oil Supplements
139,2020-10-11,1549.0,Fish Oil Supplements
140,2020-10-12,1549.0,Fish Oil Supplements
141,2020-10-13,1802.0,Fish Oil Supplements
142,2020-10-14,1798.0,Fish Oil Supplements
143,2020-10-15,1951.0,Fish Oil Supplements
