,date,value,name_B07RCMYQ2Z
0,2020-05-26,4771.0,Jerky
1,2020-05-27,4771.0,Jerky
2,2020-05-28,3265.0,Jerky
3,2020-05-29,3265.0,Jerky
4,2020-05-30,3183.0,Jerky
5,2020-05-31,3183.0,Jerky
6,2020-06-01,3090.0,Jerky
7,2020-06-02,3756.0,Jerky
8,2020-06-03,3756.0,Jerky
9,2020-06-04,3442.0,Jerky
10,2020-06-05,2505.0,Jerky
11,2020-06-06,3426.0,Jerky
12,2020-06-07,3426.0,Jerky
13,2020-06-08,3532.0,Jerky
14,2020-06-09,2704.0,Jerky
15,2020-06-10,2704.0,Jerky
16,2020-06-11,2704.0,Jerky
17,2020-06-12,2734.0,Jerky
18,2020-06-13,2814.0,Jerky
19,2020-06-14,3408.0,Jerky
20,2020-06-15,2572.0,Jerky
21,2020-06-16,3008.0,Jerky
22,2020-06-17,3008.0,Jerky
23,2020-06-18,2939.0,Jerky
24,2020-06-19,2939.0,Jerky
25,2020-06-20,2365.0,Jerky
26,2020-06-21,3099.0,Jerky
27,2020-06-22,3099.0,Jerky
28,2020-06-23,2308.0,Jerky
29,2020-06-24,2658.0,Jerky
30,2020-06-25,2456.0,Jerky
31,2020-06-26,2631.0,Jerky
32,2020-06-27,2631.0,Jerky
33,2020-06-28,2631.0,Jerky
34,2020-06-29,2364.0,Jerky
35,2020-06-30,2209.0,Jerky
36,2020-07-01,2102.0,Jerky
37,2020-07-02,2156.0,Jerky
38,2020-07-03,2171.0,Jerky
39,2020-07-04,2213.0,Jerky
40,2020-07-05,2342.0,Jerky
41,2020-07-06,2342.0,Jerky
42,2020-07-07,2534.0,Jerky
43,2020-07-08,2321.0,Jerky
44,2020-07-09,2598.0,Jerky
45,2020-07-10,3656.0,Jerky
46,2020-07-11,3177.0,Jerky
47,2020-07-12,2864.0,Jerky
48,2020-07-13,2228.0,Jerky
49,2020-07-14,2392.0,Jerky
50,2020-07-15,2312.0,Jerky
51,2020-07-16,2180.0,Jerky
52,2020-07-17,2180.0,Jerky
53,2020-07-18,1790.0,Jerky
54,2020-07-19,1604.0,Jerky
55,2020-07-20,1604.0,Jerky
56,2020-07-21,1994.0,Jerky
57,2020-07-22,1725.0,Jerky
58,2020-07-23,1561.0,Jerky
59,2020-07-24,1609.0,Jerky
60,2020-07-25,1378.0,Jerky
61,2020-07-26,1378.0,Jerky
62,2020-07-27,2688.0,Jerky
63,2020-07-28,1865.0,Jerky
64,2020-07-29,1508.0,Jerky
65,2020-07-30,1665.0,Jerky
66,2020-07-31,1925.0,Jerky
67,2020-08-01,1925.0,Jerky
68,2020-08-02,1925.0,Jerky
69,2020-08-03,1848.0,Jerky
70,2020-08-04,1848.0,Jerky
71,2020-08-05,1848.0,Jerky
72,2020-08-06,2128.0,Jerky
73,2020-08-07,2316.0,Jerky
74,2020-08-08,2298.0,Jerky
75,2020-08-09,2711.0,Jerky
76,2020-08-10,2390.0,Jerky
77,2020-08-11,2390.0,Jerky
78,2020-08-12,2390.0,Jerky
79,2020-08-13,1699.0,Jerky
80,2020-08-14,1765.0,Jerky
81,2020-08-15,1868.0,Jerky
82,2020-08-16,1788.0,Jerky
83,2020-08-17,2000.0,Jerky
84,2020-08-18,1884.0,Jerky
85,2020-08-19,2162.0,Jerky
86,2020-08-20,1760.0,Jerky
87,2020-08-21,1760.0,Jerky
88,2020-08-22,1338.0,Jerky
89,2020-08-23,1735.0,Jerky
90,2020-08-24,1722.0,Jerky
91,2020-08-25,2040.0,Jerky
92,2020-08-26,1786.0,Jerky
93,2020-08-27,1336.0,Jerky
94,2020-08-28,1369.0,Jerky
95,2020-08-29,1179.0,Jerky
96,2020-08-30,1179.0,Jerky
97,2020-08-31,1145.0,Jerky
98,2020-09-01,1145.0,Jerky
99,2020-09-02,1236.0,Jerky
100,2020-09-03,1236.0,Jerky
101,2020-09-04,1236.0,Jerky
102,2020-09-05,1131.0,Jerky
103,2020-09-06,1131.0,Jerky
104,2020-09-07,1131.0,Jerky
105,2020-09-08,1050.0,Jerky
106,2020-09-09,993.0,Jerky
107,2020-09-10,1691.0,Jerky
108,2020-09-11,1691.0,Jerky
109,2020-09-12,1359.0,Jerky
110,2020-09-13,1350.0,Jerky
111,2020-09-14,1350.0,Jerky
112,2020-09-15,1524.0,Jerky
113,2020-09-16,1310.0,Jerky
114,2020-09-17,1308.0,Jerky
115,2020-09-18,1308.0,Jerky
116,2020-09-19,1308.0,Jerky
117,2020-09-20,1181.0,Jerky
118,2020-09-21,1418.0,Jerky
119,2020-09-22,1313.0,Jerky
120,2020-09-23,985.0,Jerky
121,2020-09-24,1234.0,Jerky
122,2020-09-25,1234.0,Jerky
123,2020-09-26,1176.0,Jerky
124,2020-09-27,1167.0,Jerky
125,2020-09-28,1167.0,Jerky
126,2020-09-29,1262.0,Jerky
127,2020-09-30,1262.0,Jerky
128,2020-10-01,1572.0,Jerky
129,2020-10-02,1572.0,Jerky
130,2020-10-03,1572.0,Jerky
131,2020-10-04,1181.0,Jerky
132,2020-10-05,1181.0,Jerky
133,2020-10-06,1537.0,Jerky
134,2020-10-07,1429.0,Jerky
135,2020-10-08,1426.0,Jerky
136,2020-10-09,1336.0,Jerky
137,2020-10-10,1336.0,Jerky
138,2020-10-11,1336.0,Jerky
139,2020-10-12,1753.0,Jerky
140,2020-10-13,1695.0,Jerky
141,2020-10-14,718.0,Jerky
142,2020-10-15,1168.0,Jerky
143,2020-10-16,1168.0,Jerky
144,2020-10-17,1212.0,Jerky
145,2020-10-18,1212.0,Jerky
146,2020-10-19,1302.0,Jerky
147,2020-10-20,1396.0,Jerky
148,2020-10-21,1379.0,Jerky
149,2020-10-22,1681.0,Jerky
150,2020-10-23,1747.0,Jerky
151,2020-10-24,1666.0,Jerky
152,2020-10-25,1881.0,Jerky
153,2020-10-26,1574.0,Jerky
154,2020-10-27,1574.0,Jerky
155,2020-10-28,1574.0,Jerky
156,2020-10-29,1488.0,Jerky
157,2020-10-30,1488.0,Jerky
158,2020-10-31,1264.0,Jerky
159,2020-11-01,1220.0,Jerky
160,2020-11-02,1220.0,Jerky
161,2020-11-03,1433.0,Jerky
162,2020-11-04,1433.0,Jerky
163,2020-11-05,1382.0,Jerky
164,2020-11-06,1382.0,Jerky
165,2020-11-07,1382.0,Jerky
166,2020-11-08,1350.0,Jerky
167,2020-11-09,1350.0,Jerky
168,2020-11-10,1665.0,Jerky
169,2020-11-11,1595.0,Jerky
170,2020-11-12,1627.0,Jerky
171,2020-11-13,1774.0,Jerky
172,2020-11-14,1861.0,Jerky
173,2020-11-15,2033.0,Jerky
174,2020-11-16,1756.0,Jerky
175,2020-11-17,1570.0,Jerky
176,2020-11-18,1517.0,Jerky
177,2020-11-19,1517.0,Jerky
178,2020-11-20,1697.0,Jerky
179,2020-11-21,1420.0,Jerky
180,2020-11-22,1287.0,Jerky
181,2020-11-23,1139.0,Jerky
182,2020-11-24,1563.0,Jerky
183,2020-11-25,1625.0,Jerky
