,date,value,name_B07RJW4J1G
0,2020-05-23,7580.0,Address Labels
1,2020-05-24,7580.0,Address Labels
2,2020-05-25,7580.0,Address Labels
3,2020-05-26,7580.0,Address Labels
4,2020-05-27,3750.0,Address Labels
5,2020-05-28,3750.0,Address Labels
6,2020-05-29,3750.0,Address Labels
7,2020-05-30,4463.0,Address Labels
8,2020-05-31,4463.0,Address Labels
9,2020-06-01,7410.0,Address Labels
10,2020-06-02,7410.0,Address Labels
11,2020-06-03,7410.0,Address Labels
12,2020-06-04,7410.0,Address Labels
13,2020-06-05,7410.0,Address Labels
14,2020-06-06,4059.0,Address Labels
15,2020-06-07,4059.0,Address Labels
16,2020-06-08,7216.0,Address Labels
17,2020-06-09,7216.0,Address Labels
18,2020-06-10,7216.0,Address Labels
19,2020-06-11,3773.0,Address Labels
20,2020-06-12,3773.0,Address Labels
21,2020-06-13,6009.0,Address Labels
22,2020-06-14,5766.0,Address Labels
23,2020-06-15,5766.0,Address Labels
24,2020-06-16,5430.0,Address Labels
25,2020-06-17,5430.0,Address Labels
26,2020-06-18,3932.0,Address Labels
27,2020-06-19,5276.0,Address Labels
28,2020-06-20,5276.0,Address Labels
29,2020-06-21,5748.0,Address Labels
30,2020-06-22,5748.0,Address Labels
31,2020-06-23,5748.0,Address Labels
32,2020-06-24,4723.0,Address Labels
33,2020-06-25,4723.0,Address Labels
34,2020-06-26,4723.0,Address Labels
35,2020-06-27,8024.0,Address Labels
36,2020-06-28,9599.0,Address Labels
37,2020-06-29,14118.0,Address Labels
38,2020-06-30,12006.0,Address Labels
39,2020-07-01,12006.0,Address Labels
40,2020-07-02,5672.0,Address Labels
41,2020-07-03,5771.0,Address Labels
42,2020-07-04,5771.0,Address Labels
43,2020-07-05,5771.0,Address Labels
44,2020-07-06,9237.0,Address Labels
45,2020-07-07,9237.0,Address Labels
46,2020-07-08,4834.0,Address Labels
47,2020-07-09,4834.0,Address Labels
48,2020-07-10,4834.0,Address Labels
49,2020-07-11,5737.0,Address Labels
50,2020-07-12,6787.0,Address Labels
51,2020-07-13,6787.0,Address Labels
52,2020-07-14,5688.0,Address Labels
53,2020-07-15,5688.0,Address Labels
54,2020-07-16,5688.0,Address Labels
55,2020-07-17,5688.0,Address Labels
56,2020-07-18,5688.0,Address Labels
57,2020-07-19,5688.0,Address Labels
58,2020-07-20,9659.0,Address Labels
59,2020-07-21,8201.0,Address Labels
60,2020-07-22,5458.0,Address Labels
61,2020-07-23,5458.0,Address Labels
62,2020-07-24,5458.0,Address Labels
63,2020-07-25,5881.0,Address Labels
64,2020-07-26,5881.0,Address Labels
65,2020-07-27,7687.0,Address Labels
66,2020-07-28,7687.0,Address Labels
67,2020-07-29,7687.0,Address Labels
68,2020-07-30,4506.0,Address Labels
69,2020-07-31,4506.0,Address Labels
70,2020-08-01,4771.0,Address Labels
71,2020-08-02,4771.0,Address Labels
72,2020-08-03,8413.0,Address Labels
73,2020-08-04,6982.0,Address Labels
74,2020-08-05,5686.0,Address Labels
75,2020-08-06,5686.0,Address Labels
76,2020-08-07,4644.0,Address Labels
77,2020-08-08,4397.0,Address Labels
78,2020-08-09,4397.0,Address Labels
79,2020-08-10,7765.0,Address Labels
80,2020-08-11,6456.0,Address Labels
81,2020-08-12,6456.0,Address Labels
82,2020-08-13,6456.0,Address Labels
83,2020-08-14,6456.0,Address Labels
84,2020-08-15,6456.0,Address Labels
85,2020-08-16,8175.0,Address Labels
86,2020-08-17,9253.0,Address Labels
87,2020-08-18,5052.0,Address Labels
88,2020-08-19,6686.0,Address Labels
89,2020-08-20,6686.0,Address Labels
90,2020-08-21,6686.0,Address Labels
91,2020-08-22,5839.0,Address Labels
92,2020-08-23,5839.0,Address Labels
93,2020-08-24,9511.0,Address Labels
94,2020-08-25,9511.0,Address Labels
95,2020-08-26,9511.0,Address Labels
96,2020-08-27,6691.0,Address Labels
97,2020-08-28,6691.0,Address Labels
98,2020-08-29,5517.0,Address Labels
99,2020-08-30,5517.0,Address Labels
100,2020-08-31,5517.0,Address Labels
101,2020-09-01,5517.0,Address Labels
102,2020-09-02,5339.0,Address Labels
103,2020-09-03,5339.0,Address Labels
104,2020-09-04,4554.0,Address Labels
105,2020-09-05,4554.0,Address Labels
