,date,value,name_B07RXP21WM
0,2019-06-01,79067.0,Banners
1,2019-06-02,76776.0,Banners
2,2019-06-03,76776.0,Banners
3,2019-06-04,50353.0,Banners
4,2019-06-05,76854.0,Banners
5,2019-06-06,104435.0,Banners
6,2019-06-07,133839.0,Banners
7,2019-06-08,133839.0,Banners
8,2019-06-09,64978.0,Banners
9,2019-06-10,64978.0,Banners
10,2019-06-11,64978.0,Banners
11,2019-06-12,111373.0,Banners
12,2019-06-13,164936.0,Banners
13,2019-06-14,164936.0,Banners
14,2019-06-15,217102.0,Banners
15,2019-06-16,217102.0,Banners
16,2019-06-17,173448.0,Banners
17,2019-06-18,117262.0,Banners
18,2019-06-19,52213.0,Banners
19,2019-06-20,52213.0,Banners
20,2019-06-21,67893.0,Banners
21,2019-06-22,91526.0,Banners
22,2019-06-23,68080.0,Banners
23,2019-06-24,38799.0,Banners
24,2019-06-25,37777.0,Banners
25,2019-06-26,37777.0,Banners
26,2019-06-27,68764.0,Banners
27,2019-06-28,68764.0,Banners
28,2019-06-29,33622.0,Banners
29,2019-06-30,34750.0,Banners
30,2019-07-01,28427.0,Banners
31,2019-07-02,26495.0,Banners
32,2019-07-03,30104.0,Banners
33,2019-07-04,29670.0,Banners
34,2019-07-05,37658.0,Banners
35,2019-07-06,19695.0,Banners
36,2019-07-07,18095.0,Banners
37,2019-07-08,18095.0,Banners
38,2019-07-09,18955.0,Banners
39,2019-07-10,26597.0,Banners
40,2019-07-11,26597.0,Banners
41,2019-07-12,41959.0,Banners
42,2019-07-13,35054.0,Banners
43,2019-07-14,42975.0,Banners
44,2019-07-15,37495.0,Banners
45,2019-07-16,37495.0,Banners
46,2019-07-17,20929.0,Banners
47,2019-07-18,26123.0,Banners
48,2019-07-19,31335.0,Banners
49,2019-07-20,24132.0,Banners
50,2019-07-21,27991.0,Banners
51,2019-07-22,28339.0,Banners
52,2019-07-23,28339.0,Banners
53,2019-07-24,41207.0,Banners
54,2019-07-25,33031.0,Banners
55,2019-07-26,33593.0,Banners
56,2019-07-27,27890.0,Banners
57,2019-07-28,33706.0,Banners
58,2019-07-29,27921.0,Banners
59,2019-07-30,17732.0,Banners
60,2019-07-31,23638.0,Banners
61,2019-08-01,24985.0,Banners
62,2019-08-02,38670.0,Banners
63,2019-08-03,34031.0,Banners
64,2019-08-04,26314.0,Banners
65,2019-08-05,42987.0,Banners
66,2019-08-06,42987.0,Banners
67,2019-08-07,28224.0,Banners
68,2019-08-08,28224.0,Banners
69,2019-08-09,21490.0,Banners
70,2019-08-10,21300.0,Banners
71,2019-08-11,26896.0,Banners
72,2019-08-12,37535.0,Banners
73,2019-08-13,44933.0,Banners
74,2019-08-14,57724.0,Banners
75,2019-08-15,64466.0,Banners
76,2019-08-16,64770.0,Banners
77,2019-08-17,33738.0,Banners
78,2019-08-18,29093.0,Banners
79,2019-08-19,22608.0,Banners
80,2019-08-20,22608.0,Banners
81,2019-08-21,18693.0,Banners
82,2019-08-22,25139.0,Banners
83,2019-08-23,23567.0,Banners
84,2019-08-24,31782.0,Banners
85,2019-08-25,25081.0,Banners
86,2019-08-26,14174.0,Banners
87,2019-08-27,14461.0,Banners
88,2019-08-28,15461.0,Banners
89,2019-08-29,17081.0,Banners
90,2019-08-30,22718.0,Banners
91,2019-08-31,20859.0,Banners
92,2019-09-01,20859.0,Banners
93,2019-09-02,29910.0,Banners
94,2019-09-03,19879.0,Banners
95,2019-09-04,19323.0,Banners
96,2019-09-05,22736.0,Banners
97,2019-09-06,21609.0,Banners
98,2019-09-07,18867.0,Banners
99,2019-09-08,23179.0,Banners
100,2019-09-09,14900.0,Banners
101,2019-09-10,19909.0,Banners
102,2019-09-11,15293.0,Banners
103,2019-09-12,17678.0,Banners
104,2019-09-13,16217.0,Banners
105,2019-09-14,15814.0,Banners
106,2019-09-15,17997.0,Banners
107,2019-09-16,20982.0,Banners
108,2019-09-17,20982.0,Banners
109,2019-09-18,51093.0,Banners
110,2019-09-19,69104.0,Banners
111,2019-09-20,65588.0,Banners
112,2019-09-21,65588.0,Banners
113,2019-09-22,89326.0,Banners
114,2019-09-23,89326.0,Banners
115,2019-09-24,104345.0,Banners
116,2019-09-25,77465.0,Banners
117,2019-09-26,77465.0,Banners
118,2019-09-27,133677.0,Banners
119,2019-09-28,113358.0,Banners
120,2019-09-29,68150.0,Banners
121,2019-09-30,22222.0,Banners
122,2019-10-01,21046.0,Banners
123,2019-10-02,18520.0,Banners
124,2019-10-03,23189.0,Banners
125,2019-10-04,21414.0,Banners
126,2019-10-05,22518.0,Banners
127,2019-10-06,20431.0,Banners
128,2019-10-07,17404.0,Banners
129,2019-10-08,12055.0,Banners
130,2019-10-09,12028.0,Banners
131,2019-10-10,15216.0,Banners
132,2019-10-11,13212.0,Banners
133,2019-10-12,13858.0,Banners
134,2019-10-13,20317.0,Banners
135,2019-10-14,12430.0,Banners
136,2019-10-15,13702.0,Banners
137,2019-10-16,11775.0,Banners
138,2019-10-17,11775.0,Banners
139,2019-10-18,13298.0,Banners
140,2019-10-19,15019.0,Banners
141,2019-10-20,15019.0,Banners
142,2019-10-21,15389.0,Banners
143,2019-10-22,12332.0,Banners
144,2019-10-23,14637.0,Banners
145,2019-10-24,14637.0,Banners
146,2019-10-25,14011.0,Banners
147,2019-10-26,13628.0,Banners
148,2019-10-27,18341.0,Banners
149,2019-10-28,14926.0,Banners
150,2019-10-29,12075.0,Banners
151,2019-10-30,10623.0,Banners
152,2019-10-31,11681.0,Banners
153,2019-11-01,11681.0,Banners
154,2019-11-02,14450.0,Banners
155,2019-11-03,15443.0,Banners
156,2019-11-04,16790.0,Banners
157,2019-11-05,13454.0,Banners
158,2019-11-06,11998.0,Banners
159,2019-11-07,13236.0,Banners
160,2019-11-08,15524.0,Banners
161,2019-11-09,13845.0,Banners
162,2019-11-10,13700.0,Banners
163,2019-11-11,19543.0,Banners
164,2019-11-12,12204.0,Banners
165,2019-11-13,10450.0,Banners
166,2019-11-14,11995.0,Banners
167,2019-11-15,12614.0,Banners
168,2019-11-16,15107.0,Banners
169,2019-11-17,19647.0,Banners
170,2019-11-18,14026.0,Banners
171,2019-11-19,13446.0,Banners
172,2019-11-20,11435.0,Banners
173,2019-11-21,9484.0,Banners
174,2019-11-22,11618.0,Banners
175,2019-11-23,17055.0,Banners
176,2019-11-24,18969.0,Banners
177,2019-11-25,22086.0,Banners
178,2019-11-26,26342.0,Banners
179,2019-11-27,23133.0,Banners
180,2019-11-28,17855.0,Banners
181,2019-11-29,24805.0,Banners
182,2019-11-30,20349.0,Banners
183,2019-12-01,16876.0,Banners
184,2019-12-02,15204.0,Banners
185,2019-12-03,18471.0,Banners
186,2019-12-04,21341.0,Banners
187,2019-12-05,20335.0,Banners
188,2019-12-06,24951.0,Banners
189,2019-12-07,18150.0,Banners
190,2019-12-08,21704.0,Banners
191,2019-12-09,25667.0,Banners
192,2019-12-10,22398.0,Banners
193,2019-12-11,18516.0,Banners
194,2019-12-12,17850.0,Banners
195,2019-12-13,21450.0,Banners
196,2019-12-14,20582.0,Banners
197,2019-12-15,24817.0,Banners
198,2019-12-16,23225.0,Banners
199,2019-12-17,23204.0,Banners
200,2019-12-18,24681.0,Banners
201,2019-12-19,24591.0,Banners
202,2019-12-20,28521.0,Banners
203,2019-12-21,44089.0,Banners
204,2019-12-22,51468.0,Banners
205,2019-12-23,59813.0,Banners
206,2019-12-24,58651.0,Banners
207,2019-12-25,63532.0,Banners
208,2019-12-26,73034.0,Banners
209,2019-12-27,73034.0,Banners
210,2019-12-28,45668.0,Banners
211,2019-12-29,50192.0,Banners
212,2019-12-30,46114.0,Banners
213,2019-12-31,42188.0,Banners
214,2020-01-01,27543.0,Banners
215,2020-01-02,27543.0,Banners
216,2020-01-03,29255.0,Banners
217,2020-01-04,28289.0,Banners
218,2020-01-05,34562.0,Banners
