,date,value,name_B07S3GJTZ7
0,2019-07-30,52813.0,Chair Pads
1,2019-07-31,49498.0,Chair Pads
2,2019-08-01,53718.0,Chair Pads
3,2019-08-02,46441.0,Chair Pads
4,2019-08-03,43532.0,Chair Pads
5,2019-08-04,50682.0,Chair Pads
6,2019-08-05,41773.0,Chair Pads
7,2019-08-06,44164.0,Chair Pads
8,2019-08-07,57828.0,Chair Pads
9,2019-08-08,49310.0,Chair Pads
10,2019-08-09,50578.0,Chair Pads
11,2019-08-10,42995.0,Chair Pads
12,2019-08-11,54754.0,Chair Pads
13,2019-08-12,57994.0,Chair Pads
14,2019-08-13,54416.0,Chair Pads
15,2019-08-14,82605.0,Chair Pads
16,2019-08-15,153686.0,Chair Pads
17,2019-08-16,170338.0,Chair Pads
18,2019-08-17,129092.0,Chair Pads
19,2019-08-18,165869.0,Chair Pads
20,2019-08-19,245196.0,Chair Pads
21,2019-08-20,150051.0,Chair Pads
22,2019-08-21,117489.0,Chair Pads
23,2019-08-22,42319.0,Chair Pads
24,2019-08-23,52912.0,Chair Pads
25,2019-08-24,78971.0,Chair Pads
26,2019-08-25,74191.0,Chair Pads
27,2019-08-26,106311.0,Chair Pads
28,2019-08-27,59155.0,Chair Pads
29,2019-08-28,75555.0,Chair Pads
30,2019-08-29,58828.0,Chair Pads
31,2019-08-30,46586.0,Chair Pads
32,2019-08-31,35092.0,Chair Pads
33,2019-09-01,30514.0,Chair Pads
34,2019-09-02,30475.0,Chair Pads
35,2019-09-03,40209.0,Chair Pads
36,2019-09-04,29112.0,Chair Pads
37,2019-09-05,44450.0,Chair Pads
38,2019-09-06,41234.0,Chair Pads
39,2019-09-07,46593.0,Chair Pads
40,2019-09-08,40046.0,Chair Pads
41,2019-09-09,40046.0,Chair Pads
42,2019-09-10,40046.0,Chair Pads
43,2019-09-11,40078.0,Chair Pads
44,2019-09-12,32887.0,Chair Pads
45,2019-09-13,39178.0,Chair Pads
46,2019-09-14,41167.0,Chair Pads
47,2019-09-15,21545.0,Chair Pads
48,2019-09-16,27898.0,Chair Pads
49,2019-09-17,27296.0,Chair Pads
50,2019-09-18,22787.0,Chair Pads
51,2019-09-19,24902.0,Chair Pads
52,2019-09-20,33585.0,Chair Pads
53,2019-09-21,32747.0,Chair Pads
54,2019-09-22,29355.0,Chair Pads
55,2019-09-23,19293.0,Chair Pads
56,2019-09-24,19921.0,Chair Pads
57,2019-09-25,23455.0,Chair Pads
58,2019-09-26,25086.0,Chair Pads
59,2019-09-27,27405.0,Chair Pads
60,2019-09-28,30803.0,Chair Pads
61,2019-09-29,18411.0,Chair Pads
62,2019-09-30,26345.0,Chair Pads
63,2019-10-01,35986.0,Chair Pads
64,2019-10-02,34573.0,Chair Pads
65,2019-10-03,44553.0,Chair Pads
66,2019-10-04,50827.0,Chair Pads
67,2019-10-05,40262.0,Chair Pads
68,2019-10-06,33150.0,Chair Pads
69,2019-10-07,55618.0,Chair Pads
70,2019-10-08,63359.0,Chair Pads
71,2019-10-09,60846.0,Chair Pads
