,date,value,name_B07S7R5V72
0,2020-05-26,258553.0,Trace Minerals
1,2020-05-27,258553.0,Trace Minerals
2,2020-05-28,258553.0,Trace Minerals
3,2020-05-29,258553.0,Trace Minerals
4,2020-05-30,172888.0,Trace Minerals
5,2020-05-31,172888.0,Trace Minerals
6,2020-06-01,172888.0,Trace Minerals
7,2020-06-02,123714.0,Trace Minerals
8,2020-06-03,123714.0,Trace Minerals
9,2020-06-04,123714.0,Trace Minerals
10,2020-06-05,123714.0,Trace Minerals
11,2020-06-06,131470.0,Trace Minerals
12,2020-06-07,131470.0,Trace Minerals
13,2020-06-08,131470.0,Trace Minerals
14,2020-06-09,245346.0,Trace Minerals
15,2020-06-10,245346.0,Trace Minerals
16,2020-06-11,245346.0,Trace Minerals
17,2020-06-12,204885.0,Trace Minerals
18,2020-06-13,204885.0,Trace Minerals
19,2020-06-14,204885.0,Trace Minerals
20,2020-06-15,272661.0,Trace Minerals
21,2020-06-16,272661.0,Trace Minerals
22,2020-06-17,272661.0,Trace Minerals
23,2020-06-18,195199.0,Trace Minerals
24,2020-06-19,213827.0,Trace Minerals
25,2020-06-20,213827.0,Trace Minerals
26,2020-06-21,213827.0,Trace Minerals
27,2020-06-22,242880.0,Trace Minerals
28,2020-06-23,242880.0,Trace Minerals
29,2020-06-24,242880.0,Trace Minerals
30,2020-06-25,148075.0,Trace Minerals
31,2020-06-26,148075.0,Trace Minerals
32,2020-06-27,148075.0,Trace Minerals
33,2020-06-28,148075.0,Trace Minerals
34,2020-06-29,183803.0,Trace Minerals
35,2020-06-30,236876.0,Trace Minerals
36,2020-07-01,236876.0,Trace Minerals
37,2020-07-02,236876.0,Trace Minerals
38,2020-07-03,227053.0,Trace Minerals
39,2020-07-04,227053.0,Trace Minerals
40,2020-07-05,227053.0,Trace Minerals
41,2020-07-06,164928.0,Trace Minerals
42,2020-07-07,164928.0,Trace Minerals
43,2020-07-08,164928.0,Trace Minerals
44,2020-07-09,270517.0,Trace Minerals
45,2020-07-10,270517.0,Trace Minerals
46,2020-07-11,270517.0,Trace Minerals
47,2020-07-12,213758.0,Trace Minerals
48,2020-07-13,213758.0,Trace Minerals
49,2020-07-14,213758.0,Trace Minerals
50,2020-07-15,155412.0,Trace Minerals
51,2020-07-16,155412.0,Trace Minerals
52,2020-07-17,155412.0,Trace Minerals
53,2020-07-18,245725.0,Trace Minerals
54,2020-07-19,253024.0,Trace Minerals
55,2020-07-20,131705.0,Trace Minerals
56,2020-07-21,106193.0,Trace Minerals
57,2020-07-22,106193.0,Trace Minerals
58,2020-07-23,106193.0,Trace Minerals
59,2020-07-24,216040.0,Trace Minerals
60,2020-07-25,216040.0,Trace Minerals
61,2020-07-26,216040.0,Trace Minerals
62,2020-07-27,183664.0,Trace Minerals
63,2020-07-28,183664.0,Trace Minerals
64,2020-07-29,214994.0,Trace Minerals
65,2020-07-30,214994.0,Trace Minerals
66,2020-07-31,214994.0,Trace Minerals
67,2020-08-01,214994.0,Trace Minerals
68,2020-08-02,214994.0,Trace Minerals
69,2020-08-03,214994.0,Trace Minerals
70,2020-08-04,170391.0,Trace Minerals
71,2020-08-05,170391.0,Trace Minerals
72,2020-08-06,170391.0,Trace Minerals
73,2020-08-07,206434.0,Trace Minerals
74,2020-08-08,232616.0,Trace Minerals
75,2020-08-09,232616.0,Trace Minerals
76,2020-08-10,232616.0,Trace Minerals
77,2020-08-11,122433.0,Trace Minerals
78,2020-08-12,122433.0,Trace Minerals
79,2020-08-13,122433.0,Trace Minerals
80,2020-08-14,122433.0,Trace Minerals
81,2020-08-15,190648.0,Trace Minerals
82,2020-08-16,190648.0,Trace Minerals
