,date,value,name_B07SBJ2HFY
0,2020-06-23,4456.0,Self-Stick Notes
1,2020-06-24,3132.0,Self-Stick Notes
2,2020-06-25,3132.0,Self-Stick Notes
3,2020-06-26,3132.0,Self-Stick Notes
4,2020-06-27,1782.0,Self-Stick Notes
5,2020-06-28,3166.0,Self-Stick Notes
6,2020-06-29,3250.0,Self-Stick Notes
7,2020-06-30,2296.0,Self-Stick Notes
8,2020-07-01,1649.0,Self-Stick Notes
9,2020-07-02,1413.0,Self-Stick Notes
10,2020-07-03,1291.0,Self-Stick Notes
11,2020-07-04,2139.0,Self-Stick Notes
12,2020-07-05,2326.0,Self-Stick Notes
13,2020-07-06,2628.0,Self-Stick Notes
14,2020-07-07,1765.0,Self-Stick Notes
15,2020-07-08,1765.0,Self-Stick Notes
16,2020-07-09,1238.0,Self-Stick Notes
17,2020-07-10,1161.0,Self-Stick Notes
18,2020-07-11,1161.0,Self-Stick Notes
19,2020-07-12,1161.0,Self-Stick Notes
20,2020-07-13,2467.0,Self-Stick Notes
21,2020-07-14,2467.0,Self-Stick Notes
22,2020-07-15,2467.0,Self-Stick Notes
23,2020-07-16,1082.0,Self-Stick Notes
24,2020-07-17,1082.0,Self-Stick Notes
25,2020-07-18,1082.0,Self-Stick Notes
26,2020-07-19,1853.0,Self-Stick Notes
27,2020-07-20,1853.0,Self-Stick Notes
28,2020-07-21,1602.0,Self-Stick Notes
29,2020-07-22,1201.0,Self-Stick Notes
30,2020-07-23,859.0,Self-Stick Notes
31,2020-07-24,859.0,Self-Stick Notes
32,2020-07-25,1225.0,Self-Stick Notes
33,2020-07-26,1225.0,Self-Stick Notes
34,2020-07-27,1225.0,Self-Stick Notes
35,2020-07-28,2138.0,Self-Stick Notes
36,2020-07-29,2138.0,Self-Stick Notes
37,2020-07-30,2138.0,Self-Stick Notes
38,2020-07-31,1120.0,Self-Stick Notes
39,2020-08-01,1120.0,Self-Stick Notes
40,2020-08-02,1120.0,Self-Stick Notes
41,2020-08-03,1120.0,Self-Stick Notes
42,2020-08-04,989.0,Self-Stick Notes
43,2020-08-05,989.0,Self-Stick Notes
44,2020-08-06,630.0,Self-Stick Notes
45,2020-08-07,565.0,Self-Stick Notes
46,2020-08-08,708.0,Self-Stick Notes
47,2020-08-09,708.0,Self-Stick Notes
48,2020-08-10,1085.0,Self-Stick Notes
49,2020-08-11,1085.0,Self-Stick Notes
50,2020-08-12,763.0,Self-Stick Notes
51,2020-08-13,585.0,Self-Stick Notes
52,2020-08-14,569.0,Self-Stick Notes
53,2020-08-15,642.0,Self-Stick Notes
54,2020-08-16,642.0,Self-Stick Notes
55,2020-08-17,642.0,Self-Stick Notes
56,2020-08-18,872.0,Self-Stick Notes
57,2020-08-19,872.0,Self-Stick Notes
58,2020-08-20,689.0,Self-Stick Notes
59,2020-08-21,943.0,Self-Stick Notes
60,2020-08-22,1488.0,Self-Stick Notes
61,2020-08-23,1488.0,Self-Stick Notes
62,2020-08-24,1930.0,Self-Stick Notes
63,2020-08-25,1930.0,Self-Stick Notes
64,2020-08-26,1930.0,Self-Stick Notes
65,2020-08-27,1021.0,Self-Stick Notes
66,2020-08-28,927.0,Self-Stick Notes
67,2020-08-29,927.0,Self-Stick Notes
68,2020-08-30,927.0,Self-Stick Notes
69,2020-08-31,1292.0,Self-Stick Notes
70,2020-09-01,1292.0,Self-Stick Notes
71,2020-09-02,635.0,Self-Stick Notes
72,2020-09-03,635.0,Self-Stick Notes
73,2020-09-04,507.0,Self-Stick Notes
74,2020-09-05,722.0,Self-Stick Notes
75,2020-09-06,722.0,Self-Stick Notes
76,2020-09-07,722.0,Self-Stick Notes
77,2020-09-08,788.0,Self-Stick Notes
78,2020-09-09,256.0,Self-Stick Notes
79,2020-09-10,256.0,Self-Stick Notes
80,2020-09-11,221.0,Self-Stick Notes
81,2020-09-12,221.0,Self-Stick Notes
82,2020-09-13,221.0,Self-Stick Notes
83,2020-09-14,405.0,Self-Stick Notes
84,2020-09-15,405.0,Self-Stick Notes
85,2020-09-16,891.0,Self-Stick Notes
86,2020-09-17,891.0,Self-Stick Notes
87,2020-09-18,891.0,Self-Stick Notes
88,2020-09-19,1227.0,Self-Stick Notes
89,2020-09-20,1227.0,Self-Stick Notes
90,2020-09-21,2620.0,Self-Stick Notes
91,2020-09-22,1221.0,Self-Stick Notes
92,2020-09-23,1072.0,Self-Stick Notes
93,2020-09-24,1079.0,Self-Stick Notes
