,date,value,name_B07T3F3GYR
0,2019-06-17,4663.0,Plates
1,2019-06-18,4512.0,Plates
2,2019-06-19,3648.0,Plates
3,2019-06-20,4181.0,Plates
4,2019-06-21,2667.0,Plates
5,2019-06-22,3586.0,Plates
6,2019-06-23,4271.0,Plates
7,2019-06-24,5968.0,Plates
8,2019-06-25,3977.0,Plates
9,2019-06-26,4257.0,Plates
10,2019-06-27,4410.0,Plates
11,2019-06-28,3982.0,Plates
12,2019-06-29,4431.0,Plates
13,2019-06-30,4957.0,Plates
14,2019-07-01,6116.0,Plates
15,2019-07-02,5856.0,Plates
16,2019-07-03,4406.0,Plates
17,2019-07-04,5449.0,Plates
18,2019-07-05,5558.0,Plates
19,2019-07-06,5698.0,Plates
20,2019-07-07,4941.0,Plates
21,2019-07-08,4751.0,Plates
22,2019-07-09,4607.0,Plates
23,2019-07-10,4843.0,Plates
24,2019-07-11,5474.0,Plates
25,2019-07-12,5119.0,Plates
26,2019-07-13,5859.0,Plates
27,2019-07-14,4306.0,Plates
28,2019-07-15,5440.0,Plates
29,2019-07-16,4461.0,Plates
30,2019-07-17,3735.0,Plates
31,2019-07-18,3735.0,Plates
32,2019-07-19,3998.0,Plates
33,2019-07-20,3998.0,Plates
34,2019-07-21,3111.0,Plates
35,2019-07-22,3111.0,Plates
36,2019-07-23,3111.0,Plates
37,2019-07-24,4310.0,Plates
38,2019-07-25,4076.0,Plates
39,2019-07-26,4076.0,Plates
40,2019-07-27,3561.0,Plates
41,2019-07-28,4213.0,Plates
42,2019-07-29,4213.0,Plates
43,2019-07-30,4213.0,Plates
44,2019-07-31,3832.0,Plates
45,2019-08-01,3832.0,Plates
46,2019-08-02,3166.0,Plates
47,2019-08-03,3166.0,Plates
48,2019-08-04,3756.0,Plates
49,2019-08-05,4399.0,Plates
50,2019-08-06,2763.0,Plates
51,2019-08-07,3263.0,Plates
52,2019-08-08,3263.0,Plates
53,2019-08-09,3263.0,Plates
54,2019-08-10,2972.0,Plates
55,2019-08-11,2972.0,Plates
56,2019-08-12,3372.0,Plates
57,2019-08-13,5102.0,Plates
58,2019-08-14,5102.0,Plates
59,2019-08-15,5102.0,Plates
60,2019-08-16,2887.0,Plates
61,2019-08-17,2938.0,Plates
62,2019-08-18,2938.0,Plates
63,2019-08-19,3773.0,Plates
64,2019-08-20,2863.0,Plates
65,2019-08-21,3360.0,Plates
66,2019-08-22,3360.0,Plates
67,2019-08-23,4059.0,Plates
68,2019-08-24,4738.0,Plates
69,2019-08-25,4010.0,Plates
70,2019-08-26,3999.0,Plates
71,2019-08-27,3555.0,Plates
72,2019-08-28,3636.0,Plates
73,2019-08-29,3305.0,Plates
74,2019-08-30,3100.0,Plates
75,2019-08-31,3100.0,Plates
76,2019-09-01,3948.0,Plates
77,2019-09-02,3948.0,Plates
78,2019-09-03,3948.0,Plates
79,2019-09-04,3488.0,Plates
80,2019-09-05,3038.0,Plates
81,2019-09-06,3579.0,Plates
82,2019-09-07,3554.0,Plates
83,2019-09-08,3175.0,Plates
84,2019-09-09,3000.0,Plates
85,2019-09-10,2554.0,Plates
86,2019-09-11,2963.0,Plates
87,2019-09-12,3138.0,Plates
88,2019-09-13,2190.0,Plates
89,2019-09-14,2352.0,Plates
90,2019-09-15,2846.0,Plates
91,2019-09-16,3663.0,Plates
92,2019-09-17,3704.0,Plates
93,2019-09-18,2666.0,Plates
94,2019-09-19,2868.0,Plates
95,2019-09-20,2252.0,Plates
96,2019-09-21,2727.0,Plates
97,2019-09-22,3072.0,Plates
98,2019-09-23,3045.0,Plates
99,2019-09-24,3019.0,Plates
100,2019-09-25,3085.0,Plates
101,2019-09-26,2099.0,Plates
102,2019-09-27,2496.0,Plates
103,2019-09-28,3946.0,Plates
104,2019-09-29,3946.0,Plates
105,2019-09-30,3459.0,Plates
106,2019-10-01,3459.0,Plates
107,2019-10-02,2160.0,Plates
108,2019-10-03,2691.0,Plates
109,2019-10-04,2991.0,Plates
110,2019-10-05,2991.0,Plates
111,2019-10-06,2991.0,Plates
112,2019-10-07,2342.0,Plates
113,2019-10-08,2344.0,Plates
114,2019-10-09,2344.0,Plates
115,2019-10-10,2640.0,Plates
116,2019-10-11,2640.0,Plates
117,2019-10-12,2640.0,Plates
118,2019-10-13,3037.0,Plates
119,2019-10-14,3037.0,Plates
120,2019-10-15,2802.0,Plates
121,2019-10-16,2802.0,Plates
122,2019-10-17,2541.0,Plates
123,2019-10-18,3180.0,Plates
124,2019-10-19,3775.0,Plates
125,2019-10-20,3787.0,Plates
126,2019-10-21,3787.0,Plates
127,2019-10-22,3787.0,Plates
128,2019-10-23,3070.0,Plates
129,2019-10-24,2865.0,Plates
130,2019-10-25,2865.0,Plates
131,2019-10-26,2865.0,Plates
132,2019-10-27,4122.0,Plates
133,2019-10-28,4647.0,Plates
134,2019-10-29,4647.0,Plates
135,2019-10-30,3153.0,Plates
136,2019-10-31,3419.0,Plates
137,2019-11-01,2532.0,Plates
138,2019-11-02,2532.0,Plates
139,2019-11-03,4787.0,Plates
140,2019-11-04,3683.0,Plates
141,2019-11-05,2969.0,Plates
142,2019-11-06,2969.0,Plates
143,2019-11-07,2370.0,Plates
144,2019-11-08,2370.0,Plates
145,2019-11-09,2536.0,Plates
146,2019-11-10,2536.0,Plates
147,2019-11-11,2536.0,Plates
148,2019-11-12,2579.0,Plates
149,2019-11-13,2579.0,Plates
150,2019-11-14,2579.0,Plates
151,2019-11-15,2058.0,Plates
152,2019-11-16,2058.0,Plates
153,2019-11-17,2058.0,Plates
154,2019-11-18,2593.0,Plates
155,2019-11-19,2593.0,Plates
156,2019-11-20,2593.0,Plates
157,2019-11-21,1756.0,Plates
158,2019-11-22,1756.0,Plates
159,2019-11-23,1894.0,Plates
160,2019-11-24,1894.0,Plates
161,2019-11-25,1900.0,Plates
162,2019-11-26,1757.0,Plates
163,2019-11-27,1757.0,Plates
164,2019-11-28,3042.0,Plates
165,2019-11-29,6788.0,Plates
166,2019-11-30,8125.0,Plates
167,2019-12-01,8125.0,Plates
168,2019-12-02,8125.0,Plates
169,2019-12-03,11027.0,Plates
170,2019-12-04,11027.0,Plates
171,2019-12-05,11027.0,Plates
172,2019-12-06,6632.0,Plates
173,2019-12-07,6632.0,Plates
174,2019-12-08,6837.0,Plates
175,2019-12-09,6837.0,Plates
176,2019-12-10,6837.0,Plates
177,2019-12-11,5400.0,Plates
178,2019-12-12,5400.0,Plates
179,2019-12-13,5400.0,Plates
180,2019-12-14,5580.0,Plates
181,2019-12-15,5580.0,Plates
182,2019-12-16,5580.0,Plates
183,2019-12-17,7421.0,Plates
184,2019-12-18,6629.0,Plates
185,2019-12-19,6629.0,Plates
186,2019-12-20,6464.0,Plates
187,2019-12-21,6464.0,Plates
188,2019-12-22,6073.0,Plates
189,2019-12-23,6073.0,Plates
190,2019-12-24,5843.0,Plates
191,2019-12-25,5843.0,Plates
192,2019-12-26,5843.0,Plates
193,2019-12-27,5843.0,Plates
194,2019-12-28,5843.0,Plates
195,2019-12-29,6206.0,Plates
196,2019-12-30,6206.0,Plates
197,2019-12-31,6206.0,Plates
198,2020-01-01,11620.0,Plates
199,2020-01-02,12473.0,Plates
200,2020-01-03,10399.0,Plates
201,2020-01-04,10399.0,Plates
202,2020-01-05,10399.0,Plates
203,2020-01-06,9777.0,Plates
204,2020-01-07,9777.0,Plates
205,2020-01-08,9777.0,Plates
206,2020-01-09,6041.0,Plates
207,2020-01-10,6041.0,Plates
208,2020-01-11,6041.0,Plates
209,2020-01-12,8169.0,Plates
210,2020-01-13,8169.0,Plates
211,2020-01-14,9513.0,Plates
212,2020-01-15,9513.0,Plates
213,2020-01-16,9513.0,Plates
214,2020-01-17,9513.0,Plates
215,2020-01-18,9513.0,Plates
216,2020-01-19,9513.0,Plates
217,2020-01-20,9533.0,Plates
218,2020-01-21,9533.0,Plates
219,2020-01-22,9533.0,Plates
220,2020-01-23,9533.0,Plates
221,2020-01-24,9533.0,Plates
222,2020-01-25,6875.0,Plates
223,2020-01-26,6875.0,Plates
224,2020-01-27,6875.0,Plates
225,2020-01-28,6875.0,Plates
226,2020-01-29,6875.0,Plates
227,2020-01-30,6875.0,Plates
228,2020-01-31,6387.0,Plates
229,2020-02-01,6500.0,Plates
230,2020-02-02,6500.0,Plates
231,2020-02-03,6500.0,Plates
232,2020-02-04,6500.0,Plates
233,2020-02-05,6143.0,Plates
234,2020-02-06,6143.0,Plates
235,2020-02-07,6774.0,Plates
236,2020-02-08,6804.0,Plates
237,2020-02-09,6804.0,Plates
238,2020-02-10,6804.0,Plates
239,2020-02-11,9363.0,Plates
240,2020-02-12,9363.0,Plates
241,2020-02-13,9363.0,Plates
242,2020-02-14,9329.0,Plates
243,2020-02-15,9249.0,Plates
244,2020-02-16,9249.0,Plates
245,2020-02-17,9249.0,Plates
246,2020-02-18,6453.0,Plates
247,2020-02-19,6413.0,Plates
248,2020-02-20,6413.0,Plates
249,2020-02-21,6413.0,Plates
250,2020-02-22,6413.0,Plates
251,2020-02-23,6413.0,Plates
252,2020-02-24,-1.0,Plates
253,2020-02-25,-1.0,Plates
254,2020-02-26,-1.0,Plates
255,2020-02-27,4435.0,Plates
256,2020-02-28,4435.0,Plates
257,2020-02-29,4435.0,Plates
258,2020-03-01,8055.0,Plates
259,2020-03-02,8055.0,Plates
260,2020-03-03,8055.0,Plates
261,2020-03-04,4989.0,Plates
262,2020-03-05,4989.0,Plates
263,2020-03-06,4636.0,Plates
264,2020-03-07,5858.0,Plates
265,2020-03-08,5858.0,Plates
266,2020-03-09,5858.0,Plates
267,2020-03-10,-1.0,Plates
