,date,value,name_B07TK1S6C7
0,2020-06-19,290.0,Fertilizers & Plant Food
1,2020-06-20,329.0,Fertilizers & Plant Food
2,2020-06-21,379.0,Fertilizers & Plant Food
3,2020-06-22,397.0,Fertilizers & Plant Food
4,2020-06-23,383.0,Fertilizers & Plant Food
5,2020-06-24,391.0,Fertilizers & Plant Food
6,2020-06-25,427.0,Fertilizers & Plant Food
7,2020-06-26,299.0,Fertilizers & Plant Food
8,2020-06-27,323.0,Fertilizers & Plant Food
9,2020-06-28,332.0,Fertilizers & Plant Food
10,2020-06-29,428.0,Fertilizers & Plant Food
11,2020-06-30,371.0,Fertilizers & Plant Food
12,2020-07-01,389.0,Fertilizers & Plant Food
13,2020-07-02,372.0,Fertilizers & Plant Food
14,2020-07-03,337.0,Fertilizers & Plant Food
15,2020-07-04,361.0,Fertilizers & Plant Food
16,2020-07-05,338.0,Fertilizers & Plant Food
17,2020-07-06,261.0,Fertilizers & Plant Food
18,2020-07-07,291.0,Fertilizers & Plant Food
19,2020-07-08,286.0,Fertilizers & Plant Food
20,2020-07-09,265.0,Fertilizers & Plant Food
21,2020-07-10,226.0,Fertilizers & Plant Food
22,2020-07-11,275.0,Fertilizers & Plant Food
23,2020-07-12,293.0,Fertilizers & Plant Food
24,2020-07-13,303.0,Fertilizers & Plant Food
25,2020-07-14,301.0,Fertilizers & Plant Food
26,2020-07-15,296.0,Fertilizers & Plant Food
27,2020-07-16,249.0,Fertilizers & Plant Food
28,2020-07-17,279.0,Fertilizers & Plant Food
29,2020-07-18,279.0,Fertilizers & Plant Food
30,2020-07-19,342.0,Fertilizers & Plant Food
31,2020-07-20,489.0,Fertilizers & Plant Food
32,2020-07-21,552.0,Fertilizers & Plant Food
33,2020-07-22,552.0,Fertilizers & Plant Food
34,2020-07-23,938.0,Fertilizers & Plant Food
35,2020-07-24,958.0,Fertilizers & Plant Food
36,2020-07-25,958.0,Fertilizers & Plant Food
37,2020-07-26,958.0,Fertilizers & Plant Food
38,2020-07-27,1112.0,Fertilizers & Plant Food
39,2020-07-28,1112.0,Fertilizers & Plant Food
40,2020-07-29,562.0,Fertilizers & Plant Food
41,2020-07-30,562.0,Fertilizers & Plant Food
42,2020-07-31,562.0,Fertilizers & Plant Food
43,2020-08-01,444.0,Fertilizers & Plant Food
44,2020-08-02,444.0,Fertilizers & Plant Food
45,2020-08-03,508.0,Fertilizers & Plant Food
46,2020-08-04,508.0,Fertilizers & Plant Food
47,2020-08-05,508.0,Fertilizers & Plant Food
48,2020-08-06,411.0,Fertilizers & Plant Food
49,2020-08-07,411.0,Fertilizers & Plant Food
50,2020-08-08,411.0,Fertilizers & Plant Food
51,2020-08-09,400.0,Fertilizers & Plant Food
52,2020-08-10,388.0,Fertilizers & Plant Food
53,2020-08-11,388.0,Fertilizers & Plant Food
54,2020-08-12,388.0,Fertilizers & Plant Food
55,2020-08-13,373.0,Fertilizers & Plant Food
56,2020-08-14,373.0,Fertilizers & Plant Food
57,2020-08-15,414.0,Fertilizers & Plant Food
58,2020-08-16,414.0,Fertilizers & Plant Food
59,2020-08-17,414.0,Fertilizers & Plant Food
60,2020-08-18,485.0,Fertilizers & Plant Food
61,2020-08-19,485.0,Fertilizers & Plant Food
62,2020-08-20,485.0,Fertilizers & Plant Food
63,2020-08-21,369.0,Fertilizers & Plant Food
64,2020-08-22,369.0,Fertilizers & Plant Food
65,2020-08-23,369.0,Fertilizers & Plant Food
66,2020-08-24,517.0,Fertilizers & Plant Food
67,2020-08-25,517.0,Fertilizers & Plant Food
