,date,value,name_B07TQJWY9G
0,2019-07-14,353824.0,Vanity Trays
1,2019-07-15,379671.0,Vanity Trays
2,2019-07-16,201317.0,Vanity Trays
3,2019-07-17,255778.0,Vanity Trays
4,2019-07-18,210821.0,Vanity Trays
5,2019-07-19,255758.0,Vanity Trays
6,2019-07-20,135290.0,Vanity Trays
7,2019-07-21,145921.0,Vanity Trays
8,2019-07-22,150961.0,Vanity Trays
9,2019-07-23,137523.0,Vanity Trays
10,2019-07-24,226047.0,Vanity Trays
11,2019-07-25,263240.0,Vanity Trays
12,2019-07-26,342115.0,Vanity Trays
13,2019-07-27,354986.0,Vanity Trays
14,2019-07-28,309607.0,Vanity Trays
15,2019-07-29,433979.0,Vanity Trays
16,2019-07-30,464726.0,Vanity Trays
17,2019-07-31,457443.0,Vanity Trays
18,2019-08-01,465337.0,Vanity Trays
19,2019-08-02,473080.0,Vanity Trays
20,2019-08-03,514164.0,Vanity Trays
21,2019-08-04,447191.0,Vanity Trays
22,2019-08-05,276197.0,Vanity Trays
23,2019-08-06,410819.0,Vanity Trays
24,2019-08-07,279826.0,Vanity Trays
25,2019-08-08,347060.0,Vanity Trays
26,2019-08-09,255822.0,Vanity Trays
27,2019-08-10,299371.0,Vanity Trays
28,2019-08-11,383439.0,Vanity Trays
29,2019-08-12,396118.0,Vanity Trays
30,2019-08-13,396118.0,Vanity Trays
31,2019-08-14,393623.0,Vanity Trays
32,2019-08-15,197688.0,Vanity Trays
33,2019-08-16,197688.0,Vanity Trays
34,2019-08-17,410847.0,Vanity Trays
35,2019-08-18,410847.0,Vanity Trays
36,2019-08-19,374079.0,Vanity Trays
37,2019-08-20,374079.0,Vanity Trays
38,2019-08-21,278110.0,Vanity Trays
39,2019-08-22,278110.0,Vanity Trays
40,2019-08-23,278110.0,Vanity Trays
41,2019-08-24,278110.0,Vanity Trays
42,2019-08-25,278110.0,Vanity Trays
43,2019-08-26,278110.0,Vanity Trays
44,2019-08-27,278110.0,Vanity Trays
45,2019-08-28,278110.0,Vanity Trays
46,2019-08-29,278110.0,Vanity Trays
47,2019-08-30,779520.0,Vanity Trays
48,2019-08-31,779520.0,Vanity Trays
49,2019-09-01,779520.0,Vanity Trays
50,2019-09-02,779520.0,Vanity Trays
51,2019-09-03,779520.0,Vanity Trays
52,2019-09-04,779520.0,Vanity Trays
53,2019-09-05,779520.0,Vanity Trays
54,2019-09-06,718541.0,Vanity Trays
55,2019-09-07,718541.0,Vanity Trays
56,2019-09-08,840634.0,Vanity Trays
57,2019-09-09,915215.0,Vanity Trays
58,2019-09-10,954275.0,Vanity Trays
59,2019-09-11,220257.0,Vanity Trays
60,2019-09-12,243169.0,Vanity Trays
61,2019-09-13,296343.0,Vanity Trays
62,2019-09-14,354342.0,Vanity Trays
63,2019-09-15,254905.0,Vanity Trays
64,2019-09-16,394917.0,Vanity Trays
65,2019-09-17,182204.0,Vanity Trays
66,2019-09-18,204127.0,Vanity Trays
67,2019-09-19,264031.0,Vanity Trays
68,2019-09-20,316009.0,Vanity Trays
69,2019-09-21,281931.0,Vanity Trays
70,2019-09-22,273453.0,Vanity Trays
71,2019-09-23,224096.0,Vanity Trays
72,2019-09-24,157197.0,Vanity Trays
73,2019-09-25,239115.0,Vanity Trays
74,2019-09-26,175938.0,Vanity Trays
75,2019-09-27,188248.0,Vanity Trays
76,2019-09-28,116084.0,Vanity Trays
77,2019-09-29,225803.0,Vanity Trays
78,2019-09-30,225803.0,Vanity Trays
79,2019-10-01,218479.0,Vanity Trays
80,2019-10-02,218479.0,Vanity Trays
81,2019-10-03,245102.0,Vanity Trays
82,2019-10-04,118331.0,Vanity Trays
83,2019-10-05,118331.0,Vanity Trays
84,2019-10-06,80772.0,Vanity Trays
85,2019-10-07,80772.0,Vanity Trays
86,2019-10-08,264646.0,Vanity Trays
87,2019-10-09,270022.0,Vanity Trays
88,2019-10-10,270022.0,Vanity Trays
89,2019-10-11,270022.0,Vanity Trays
90,2019-10-12,97515.0,Vanity Trays
91,2019-10-13,97515.0,Vanity Trays
92,2019-10-14,167373.0,Vanity Trays
93,2019-10-15,101821.0,Vanity Trays
94,2019-10-16,96158.0,Vanity Trays
95,2019-10-17,134568.0,Vanity Trays
96,2019-10-18,134568.0,Vanity Trays
97,2019-10-19,77716.0,Vanity Trays
98,2019-10-20,92471.0,Vanity Trays
99,2019-10-21,51921.0,Vanity Trays
100,2019-10-22,66401.0,Vanity Trays
101,2019-10-23,51815.0,Vanity Trays
102,2019-10-24,63135.0,Vanity Trays
103,2019-10-25,82204.0,Vanity Trays
104,2019-10-26,53900.0,Vanity Trays
105,2019-10-27,53900.0,Vanity Trays
106,2019-10-28,98206.0,Vanity Trays
107,2019-10-29,86971.0,Vanity Trays
108,2019-10-30,74245.0,Vanity Trays
109,2019-10-31,44729.0,Vanity Trays
110,2019-11-01,63664.0,Vanity Trays
111,2019-11-02,65463.0,Vanity Trays
112,2019-11-03,65463.0,Vanity Trays
113,2019-11-04,64325.0,Vanity Trays
114,2019-11-05,72416.0,Vanity Trays
115,2019-11-06,121045.0,Vanity Trays
116,2019-11-07,121045.0,Vanity Trays
117,2019-11-08,121045.0,Vanity Trays
118,2019-11-09,121045.0,Vanity Trays
119,2019-11-10,152096.0,Vanity Trays
120,2019-11-11,152096.0,Vanity Trays
121,2019-11-12,152096.0,Vanity Trays
122,2019-11-13,152096.0,Vanity Trays
123,2019-11-14,152096.0,Vanity Trays
124,2019-11-15,160176.0,Vanity Trays
125,2019-11-16,160176.0,Vanity Trays
126,2019-11-17,160176.0,Vanity Trays
127,2019-11-18,160176.0,Vanity Trays
128,2019-11-19,140889.0,Vanity Trays
129,2019-11-20,140889.0,Vanity Trays
130,2019-11-21,140889.0,Vanity Trays
131,2019-11-22,140889.0,Vanity Trays
132,2019-11-23,140889.0,Vanity Trays
133,2019-11-24,140889.0,Vanity Trays
134,2019-11-25,140889.0,Vanity Trays
135,2019-11-26,140889.0,Vanity Trays
136,2019-11-27,140889.0,Vanity Trays
137,2019-11-28,140889.0,Vanity Trays
138,2019-11-29,140889.0,Vanity Trays
139,2019-11-30,140889.0,Vanity Trays
140,2019-12-01,51990.0,Vanity Trays
141,2019-12-02,51872.0,Vanity Trays
142,2019-12-03,51872.0,Vanity Trays
143,2019-12-04,51872.0,Vanity Trays
144,2019-12-05,51872.0,Vanity Trays
145,2019-12-06,51872.0,Vanity Trays
146,2019-12-07,51872.0,Vanity Trays
147,2019-12-08,51872.0,Vanity Trays
148,2019-12-09,51872.0,Vanity Trays
149,2019-12-10,51872.0,Vanity Trays
150,2019-12-11,51872.0,Vanity Trays
151,2019-12-12,51872.0,Vanity Trays
152,2019-12-13,51872.0,Vanity Trays
153,2019-12-14,51872.0,Vanity Trays
154,2019-12-15,170129.0,Vanity Trays
155,2019-12-16,170129.0,Vanity Trays
156,2019-12-17,170129.0,Vanity Trays
157,2019-12-18,170129.0,Vanity Trays
158,2019-12-19,170129.0,Vanity Trays
159,2019-12-20,170129.0,Vanity Trays
160,2019-12-21,170129.0,Vanity Trays
161,2019-12-22,170129.0,Vanity Trays
162,2019-12-23,170129.0,Vanity Trays
163,2019-12-24,170129.0,Vanity Trays
164,2019-12-25,170129.0,Vanity Trays
165,2019-12-26,170129.0,Vanity Trays
166,2019-12-27,170129.0,Vanity Trays
167,2019-12-28,55522.0,Vanity Trays
168,2019-12-29,55522.0,Vanity Trays
169,2019-12-30,55522.0,Vanity Trays
170,2019-12-31,55522.0,Vanity Trays
171,2020-01-01,55522.0,Vanity Trays
172,2020-01-02,55522.0,Vanity Trays
173,2020-01-03,55522.0,Vanity Trays
174,2020-01-04,55522.0,Vanity Trays
175,2020-01-05,44239.0,Vanity Trays
176,2020-01-06,44239.0,Vanity Trays
177,2020-01-07,44239.0,Vanity Trays
178,2020-01-08,44239.0,Vanity Trays
179,2020-01-09,44239.0,Vanity Trays
180,2020-01-10,44239.0,Vanity Trays
181,2020-01-11,44239.0,Vanity Trays
182,2020-01-12,44239.0,Vanity Trays
183,2020-01-13,44239.0,Vanity Trays
184,2020-01-14,215266.0,Vanity Trays
185,2020-01-15,215266.0,Vanity Trays
186,2020-01-16,215266.0,Vanity Trays
187,2020-01-17,144488.0,Vanity Trays
188,2020-01-18,144488.0,Vanity Trays
189,2020-01-19,144488.0,Vanity Trays
190,2020-01-20,144488.0,Vanity Trays
191,2020-01-21,144488.0,Vanity Trays
192,2020-01-22,144488.0,Vanity Trays
193,2020-01-23,81543.0,Vanity Trays
194,2020-01-24,81543.0,Vanity Trays
195,2020-01-25,81543.0,Vanity Trays
196,2020-01-26,69368.0,Vanity Trays
197,2020-01-27,69368.0,Vanity Trays
198,2020-01-28,69368.0,Vanity Trays
199,2020-01-29,69368.0,Vanity Trays
200,2020-01-30,77251.0,Vanity Trays
201,2020-01-31,77251.0,Vanity Trays
202,2020-02-01,77251.0,Vanity Trays
203,2020-02-02,77251.0,Vanity Trays
204,2020-02-03,77251.0,Vanity Trays
205,2020-02-04,77251.0,Vanity Trays
206,2020-02-05,77251.0,Vanity Trays
207,2020-02-06,77251.0,Vanity Trays
208,2020-02-07,70029.0,Vanity Trays
209,2020-02-08,70029.0,Vanity Trays
210,2020-02-09,70029.0,Vanity Trays
211,2020-02-10,42139.0,Vanity Trays
212,2020-02-11,42139.0,Vanity Trays
213,2020-02-12,42139.0,Vanity Trays
214,2020-02-13,42139.0,Vanity Trays
215,2020-02-14,42139.0,Vanity Trays
216,2020-02-15,42139.0,Vanity Trays
217,2020-02-16,42139.0,Vanity Trays
218,2020-02-17,42139.0,Vanity Trays
219,2020-02-18,42139.0,Vanity Trays
220,2020-02-19,42139.0,Vanity Trays
221,2020-02-20,42139.0,Vanity Trays
222,2020-02-21,42139.0,Vanity Trays
223,2020-02-22,95044.0,Vanity Trays
224,2020-02-23,95044.0,Vanity Trays
225,2020-02-24,95044.0,Vanity Trays
226,2020-02-25,95044.0,Vanity Trays
227,2020-02-26,95044.0,Vanity Trays
228,2020-02-27,95044.0,Vanity Trays
229,2020-02-28,95044.0,Vanity Trays
230,2020-02-29,95044.0,Vanity Trays
231,2020-03-01,95044.0,Vanity Trays
232,2020-03-02,95044.0,Vanity Trays
233,2020-03-03,95044.0,Vanity Trays
234,2020-03-04,95044.0,Vanity Trays
