,date,value,name_B07TXBZW33
0,2020-06-02,5942.0,Filters
1,2020-06-03,5942.0,Filters
2,2020-06-04,5942.0,Filters
3,2020-06-05,5895.0,Filters
4,2020-06-06,6378.0,Filters
5,2020-06-07,6378.0,Filters
6,2020-06-08,6378.0,Filters
7,2020-06-09,4763.0,Filters
8,2020-06-10,4763.0,Filters
9,2020-06-11,4763.0,Filters
10,2020-06-12,7843.0,Filters
11,2020-06-13,7843.0,Filters
12,2020-06-14,7843.0,Filters
13,2020-06-15,7843.0,Filters
14,2020-06-16,7843.0,Filters
15,2020-06-17,7843.0,Filters
16,2020-06-18,17817.0,Filters
17,2020-06-19,17817.0,Filters
18,2020-06-20,21084.0,Filters
19,2020-06-21,21084.0,Filters
20,2020-06-22,21084.0,Filters
21,2020-06-23,18133.0,Filters
22,2020-06-24,18133.0,Filters
23,2020-06-25,8789.0,Filters
24,2020-06-26,8789.0,Filters
25,2020-06-27,8789.0,Filters
26,2020-06-28,8789.0,Filters
27,2020-06-29,10187.0,Filters
28,2020-06-30,8174.0,Filters
29,2020-07-01,8174.0,Filters
30,2020-07-02,8174.0,Filters
31,2020-07-03,8174.0,Filters
32,2020-07-04,8174.0,Filters
33,2020-07-05,7392.0,Filters
34,2020-07-06,7392.0,Filters
35,2020-07-07,7392.0,Filters
36,2020-07-08,7392.0,Filters
37,2020-07-09,7392.0,Filters
38,2020-07-10,7392.0,Filters
39,2020-07-11,7392.0,Filters
40,2020-07-12,6339.0,Filters
41,2020-07-13,6339.0,Filters
42,2020-07-14,6339.0,Filters
43,2020-07-15,6339.0,Filters
44,2020-07-16,6339.0,Filters
45,2020-07-17,6339.0,Filters
46,2020-07-18,6339.0,Filters
47,2020-07-19,6339.0,Filters
48,2020-07-20,7484.0,Filters
49,2020-07-21,8892.0,Filters
50,2020-07-22,6407.0,Filters
51,2020-07-23,6407.0,Filters
52,2020-07-24,6407.0,Filters
53,2020-07-25,6407.0,Filters
54,2020-07-26,5039.0,Filters
55,2020-07-27,5039.0,Filters
56,2020-07-28,4712.0,Filters
57,2020-07-29,4712.0,Filters
58,2020-07-30,5202.0,Filters
59,2020-07-31,5202.0,Filters
60,2020-08-01,5202.0,Filters
61,2020-08-02,4046.0,Filters
62,2020-08-03,4046.0,Filters
63,2020-08-04,4046.0,Filters
64,2020-08-05,6393.0,Filters
65,2020-08-06,6393.0,Filters
66,2020-08-07,6393.0,Filters
67,2020-08-08,6393.0,Filters
68,2020-08-09,6393.0,Filters
69,2020-08-10,8819.0,Filters
70,2020-08-11,8434.0,Filters
71,2020-08-12,8434.0,Filters
72,2020-08-13,8961.0,Filters
73,2020-08-14,8961.0,Filters
74,2020-08-15,8961.0,Filters
75,2020-08-16,9574.0,Filters
76,2020-08-17,9574.0,Filters
77,2020-08-18,9574.0,Filters
78,2020-08-19,9574.0,Filters
79,2020-08-20,9574.0,Filters
80,2020-08-21,8899.0,Filters
81,2020-08-22,8899.0,Filters
82,2020-08-23,8899.0,Filters
83,2020-08-24,8899.0,Filters
84,2020-08-25,8899.0,Filters
85,2020-08-26,10274.0,Filters
86,2020-08-27,10274.0,Filters
87,2020-08-28,10274.0,Filters
