,date,value,name_B07TZGY46K
0,2020-05-26,6219.0,LED Bulbs
1,2020-05-27,6120.0,LED Bulbs
2,2020-05-28,6120.0,LED Bulbs
3,2020-05-29,7096.0,LED Bulbs
4,2020-05-30,7096.0,LED Bulbs
5,2020-05-31,7096.0,LED Bulbs
6,2020-06-01,6182.0,LED Bulbs
7,2020-06-02,6182.0,LED Bulbs
8,2020-06-03,6182.0,LED Bulbs
9,2020-06-04,6182.0,LED Bulbs
10,2020-06-05,9592.0,LED Bulbs
11,2020-06-06,9592.0,LED Bulbs
12,2020-06-07,8151.0,LED Bulbs
13,2020-06-08,6624.0,LED Bulbs
14,2020-06-09,6624.0,LED Bulbs
15,2020-06-10,6624.0,LED Bulbs
16,2020-06-11,10561.0,LED Bulbs
17,2020-06-12,9452.0,LED Bulbs
18,2020-06-13,9452.0,LED Bulbs
19,2020-06-14,9452.0,LED Bulbs
20,2020-06-15,8686.0,LED Bulbs
21,2020-06-16,8449.0,LED Bulbs
22,2020-06-17,8449.0,LED Bulbs
23,2020-06-18,8964.0,LED Bulbs
24,2020-06-19,8758.0,LED Bulbs
25,2020-06-20,8758.0,LED Bulbs
26,2020-06-21,8758.0,LED Bulbs
27,2020-06-22,8888.0,LED Bulbs
28,2020-06-23,8844.0,LED Bulbs
29,2020-06-24,8844.0,LED Bulbs
30,2020-06-25,8844.0,LED Bulbs
31,2020-06-26,9375.0,LED Bulbs
32,2020-06-27,9375.0,LED Bulbs
33,2020-06-28,9375.0,LED Bulbs
34,2020-06-29,6678.0,LED Bulbs
35,2020-06-30,6678.0,LED Bulbs
36,2020-07-01,6678.0,LED Bulbs
37,2020-07-02,7726.0,LED Bulbs
38,2020-07-03,7726.0,LED Bulbs
39,2020-07-04,7726.0,LED Bulbs
40,2020-07-05,7726.0,LED Bulbs
41,2020-07-06,7726.0,LED Bulbs
42,2020-07-07,7726.0,LED Bulbs
43,2020-07-08,8913.0,LED Bulbs
44,2020-07-09,7714.0,LED Bulbs
45,2020-07-10,7714.0,LED Bulbs
46,2020-07-11,7634.0,LED Bulbs
47,2020-07-12,7634.0,LED Bulbs
48,2020-07-13,7634.0,LED Bulbs
49,2020-07-14,6909.0,LED Bulbs
50,2020-07-15,6909.0,LED Bulbs
51,2020-07-16,7604.0,LED Bulbs
52,2020-07-17,7318.0,LED Bulbs
53,2020-07-18,8252.0,LED Bulbs
54,2020-07-19,8252.0,LED Bulbs
55,2020-07-20,8252.0,LED Bulbs
56,2020-07-21,8252.0,LED Bulbs
57,2020-07-22,6878.0,LED Bulbs
58,2020-07-23,6878.0,LED Bulbs
59,2020-07-24,6878.0,LED Bulbs
60,2020-07-25,6878.0,LED Bulbs
61,2020-07-26,6878.0,LED Bulbs
62,2020-07-27,6342.0,LED Bulbs
63,2020-07-28,6342.0,LED Bulbs
64,2020-07-29,7172.0,LED Bulbs
65,2020-07-30,7172.0,LED Bulbs
66,2020-07-31,8127.0,LED Bulbs
67,2020-08-01,8127.0,LED Bulbs
68,2020-08-02,8127.0,LED Bulbs
69,2020-08-03,8127.0,LED Bulbs
70,2020-08-04,8127.0,LED Bulbs
71,2020-08-05,7807.0,LED Bulbs
72,2020-08-06,7807.0,LED Bulbs
73,2020-08-07,7533.0,LED Bulbs
74,2020-08-08,6928.0,LED Bulbs
75,2020-08-09,6928.0,LED Bulbs
76,2020-08-10,6928.0,LED Bulbs
77,2020-08-11,6928.0,LED Bulbs
78,2020-08-12,6957.0,LED Bulbs
79,2020-08-13,6641.0,LED Bulbs
80,2020-08-14,5863.0,LED Bulbs
81,2020-08-15,5863.0,LED Bulbs
82,2020-08-16,5863.0,LED Bulbs
83,2020-08-17,4511.0,LED Bulbs
84,2020-08-18,4511.0,LED Bulbs
85,2020-08-19,5097.0,LED Bulbs
86,2020-08-20,5097.0,LED Bulbs
87,2020-08-21,5097.0,LED Bulbs
88,2020-08-22,5969.0,LED Bulbs
89,2020-08-23,5726.0,LED Bulbs
90,2020-08-24,4363.0,LED Bulbs
91,2020-08-25,5405.0,LED Bulbs
92,2020-08-26,5405.0,LED Bulbs
93,2020-08-27,5405.0,LED Bulbs
94,2020-08-28,5405.0,LED Bulbs
95,2020-08-29,7356.0,LED Bulbs
96,2020-08-30,5559.0,LED Bulbs
97,2020-08-31,6272.0,LED Bulbs
98,2020-09-01,6206.0,LED Bulbs
99,2020-09-02,4779.0,LED Bulbs
100,2020-09-03,4779.0,LED Bulbs
101,2020-09-04,7019.0,LED Bulbs
102,2020-09-05,7019.0,LED Bulbs
103,2020-09-06,5660.0,LED Bulbs
104,2020-09-07,6234.0,LED Bulbs
105,2020-09-08,6234.0,LED Bulbs
106,2020-09-09,6234.0,LED Bulbs
107,2020-09-10,5322.0,LED Bulbs
108,2020-09-11,5322.0,LED Bulbs
109,2020-09-12,5322.0,LED Bulbs
110,2020-09-13,5322.0,LED Bulbs
111,2020-09-14,5322.0,LED Bulbs
112,2020-09-15,5322.0,LED Bulbs
113,2020-09-16,6437.0,LED Bulbs
