,date,value,name_B07V4SYWWP
0,2020-05-27,4865.0,Prebiotics
1,2020-05-28,4865.0,Prebiotics
2,2020-05-29,4865.0,Prebiotics
3,2020-05-30,3214.0,Prebiotics
4,2020-05-31,4967.0,Prebiotics
5,2020-06-01,4967.0,Prebiotics
6,2020-06-02,4499.0,Prebiotics
7,2020-06-03,4499.0,Prebiotics
8,2020-06-04,4499.0,Prebiotics
9,2020-06-05,4778.0,Prebiotics
10,2020-06-06,4778.0,Prebiotics
11,2020-06-07,4778.0,Prebiotics
12,2020-06-08,5304.0,Prebiotics
13,2020-06-09,5304.0,Prebiotics
14,2020-06-10,4691.0,Prebiotics
15,2020-06-11,4691.0,Prebiotics
16,2020-06-12,5839.0,Prebiotics
17,2020-06-13,5839.0,Prebiotics
18,2020-06-14,5527.0,Prebiotics
19,2020-06-15,5527.0,Prebiotics
20,2020-06-16,5453.0,Prebiotics
21,2020-06-17,5223.0,Prebiotics
22,2020-06-18,5248.0,Prebiotics
23,2020-06-19,5248.0,Prebiotics
24,2020-06-20,5248.0,Prebiotics
25,2020-06-21,5545.0,Prebiotics
26,2020-06-22,5351.0,Prebiotics
27,2020-06-23,5351.0,Prebiotics
28,2020-06-24,5351.0,Prebiotics
29,2020-06-25,5351.0,Prebiotics
30,2020-06-26,5458.0,Prebiotics
31,2020-06-27,5458.0,Prebiotics
32,2020-06-28,5300.0,Prebiotics
33,2020-06-29,4027.0,Prebiotics
34,2020-06-30,4886.0,Prebiotics
35,2020-07-01,5696.0,Prebiotics
36,2020-07-02,5480.0,Prebiotics
37,2020-07-03,5480.0,Prebiotics
38,2020-07-04,5413.0,Prebiotics
39,2020-07-05,5413.0,Prebiotics
40,2020-07-06,5413.0,Prebiotics
41,2020-07-07,4722.0,Prebiotics
42,2020-07-08,4257.0,Prebiotics
43,2020-07-09,4257.0,Prebiotics
44,2020-07-10,4883.0,Prebiotics
45,2020-07-11,4883.0,Prebiotics
46,2020-07-12,4883.0,Prebiotics
47,2020-07-13,4822.0,Prebiotics
48,2020-07-14,4822.0,Prebiotics
49,2020-07-15,4822.0,Prebiotics
50,2020-07-16,4796.0,Prebiotics
51,2020-07-17,4796.0,Prebiotics
52,2020-07-18,2954.0,Prebiotics
53,2020-07-19,2954.0,Prebiotics
54,2020-07-20,2954.0,Prebiotics
55,2020-07-21,2589.0,Prebiotics
56,2020-07-22,2589.0,Prebiotics
57,2020-07-23,2589.0,Prebiotics
58,2020-07-24,2992.0,Prebiotics
59,2020-07-25,2992.0,Prebiotics
60,2020-07-26,2992.0,Prebiotics
61,2020-07-27,2734.0,Prebiotics
62,2020-07-28,3037.0,Prebiotics
63,2020-07-29,3037.0,Prebiotics
64,2020-07-30,3037.0,Prebiotics
65,2020-07-31,3037.0,Prebiotics
66,2020-08-01,9066.0,Prebiotics
67,2020-08-02,9066.0,Prebiotics
68,2020-08-03,9066.0,Prebiotics
69,2020-08-04,9066.0,Prebiotics
70,2020-08-05,8175.0,Prebiotics
71,2020-08-06,8175.0,Prebiotics
72,2020-08-07,15925.0,Prebiotics
73,2020-08-08,15925.0,Prebiotics
74,2020-08-09,15925.0,Prebiotics
75,2020-08-10,6644.0,Prebiotics
76,2020-08-11,6644.0,Prebiotics
77,2020-08-12,14076.0,Prebiotics
78,2020-08-13,14076.0,Prebiotics
79,2020-08-14,14076.0,Prebiotics
80,2020-08-15,24981.0,Prebiotics
81,2020-08-16,17089.0,Prebiotics
82,2020-08-17,17089.0,Prebiotics
83,2020-08-18,12413.0,Prebiotics
84,2020-08-19,12413.0,Prebiotics
85,2020-08-20,9822.0,Prebiotics
86,2020-08-21,9822.0,Prebiotics
87,2020-08-22,9822.0,Prebiotics
88,2020-08-23,11674.0,Prebiotics
89,2020-08-24,11674.0,Prebiotics
90,2020-08-25,11674.0,Prebiotics
91,2020-08-26,11674.0,Prebiotics
92,2020-08-27,17194.0,Prebiotics
93,2020-08-28,16122.0,Prebiotics
94,2020-08-29,16122.0,Prebiotics
95,2020-08-30,16122.0,Prebiotics
96,2020-08-31,16444.0,Prebiotics
97,2020-09-01,16444.0,Prebiotics
98,2020-09-02,16444.0,Prebiotics
99,2020-09-03,16444.0,Prebiotics
100,2020-09-04,15156.0,Prebiotics
101,2020-09-05,15156.0,Prebiotics
102,2020-09-06,9456.0,Prebiotics
103,2020-09-07,9456.0,Prebiotics
104,2020-09-08,10357.0,Prebiotics
105,2020-09-09,10357.0,Prebiotics
106,2020-09-10,11668.0,Prebiotics
107,2020-09-11,11668.0,Prebiotics
108,2020-09-12,11668.0,Prebiotics
109,2020-09-13,7788.0,Prebiotics
110,2020-09-14,7788.0,Prebiotics
111,2020-09-15,7788.0,Prebiotics
112,2020-09-16,5978.0,Prebiotics
113,2020-09-17,5978.0,Prebiotics
114,2020-09-18,6096.0,Prebiotics
115,2020-09-19,6096.0,Prebiotics
116,2020-09-20,6096.0,Prebiotics
117,2020-09-21,9520.0,Prebiotics
118,2020-09-22,9520.0,Prebiotics
119,2020-09-23,9520.0,Prebiotics
120,2020-09-24,12274.0,Prebiotics
121,2020-09-25,13272.0,Prebiotics
122,2020-09-26,13272.0,Prebiotics
123,2020-09-27,6845.0,Prebiotics
124,2020-09-28,6386.0,Prebiotics
125,2020-09-29,6386.0,Prebiotics
126,2020-09-30,6386.0,Prebiotics
127,2020-10-01,6439.0,Prebiotics
128,2020-10-02,6439.0,Prebiotics
129,2020-10-03,6439.0,Prebiotics
130,2020-10-04,5051.0,Prebiotics
131,2020-10-05,5051.0,Prebiotics
132,2020-10-06,5612.0,Prebiotics
133,2020-10-07,6321.0,Prebiotics
134,2020-10-08,6321.0,Prebiotics
135,2020-10-09,6321.0,Prebiotics
136,2020-10-10,5465.0,Prebiotics
137,2020-10-11,5465.0,Prebiotics
138,2020-10-12,5379.0,Prebiotics
139,2020-10-13,5379.0,Prebiotics
140,2020-10-14,5379.0,Prebiotics
141,2020-10-15,5379.0,Prebiotics
142,2020-10-16,5789.0,Prebiotics
143,2020-10-17,5789.0,Prebiotics
144,2020-10-18,5516.0,Prebiotics
145,2020-10-19,5516.0,Prebiotics
146,2020-10-20,5611.0,Prebiotics
147,2020-10-21,5611.0,Prebiotics
148,2020-10-22,5611.0,Prebiotics
149,2020-10-23,5433.0,Prebiotics
150,2020-10-24,5433.0,Prebiotics
151,2020-10-25,5433.0,Prebiotics
152,2020-10-26,5433.0,Prebiotics
153,2020-10-27,5385.0,Prebiotics
154,2020-10-28,5178.0,Prebiotics
155,2020-10-29,5178.0,Prebiotics
156,2020-10-30,5178.0,Prebiotics
157,2020-10-31,5570.0,Prebiotics
158,2020-11-01,5570.0,Prebiotics
159,2020-11-02,5570.0,Prebiotics
160,2020-11-03,5570.0,Prebiotics
