,date,value,name_B07V5Q22X8
0,2020-06-02,12943.0,Toy Vehicles
1,2020-06-03,12943.0,Toy Vehicles
2,2020-06-04,10293.0,Toy Vehicles
3,2020-06-05,10293.0,Toy Vehicles
4,2020-06-06,10293.0,Toy Vehicles
5,2020-06-07,12185.0,Toy Vehicles
6,2020-06-08,12185.0,Toy Vehicles
7,2020-06-09,12185.0,Toy Vehicles
8,2020-06-10,12185.0,Toy Vehicles
9,2020-06-11,12185.0,Toy Vehicles
10,2020-06-12,12185.0,Toy Vehicles
11,2020-06-13,8270.0,Toy Vehicles
12,2020-06-14,8270.0,Toy Vehicles
13,2020-06-15,12338.0,Toy Vehicles
14,2020-06-16,9639.0,Toy Vehicles
15,2020-06-17,9639.0,Toy Vehicles
16,2020-06-18,9639.0,Toy Vehicles
17,2020-06-19,13403.0,Toy Vehicles
18,2020-06-20,12408.0,Toy Vehicles
19,2020-06-21,12408.0,Toy Vehicles
20,2020-06-22,12408.0,Toy Vehicles
21,2020-06-23,7042.0,Toy Vehicles
22,2020-06-24,7042.0,Toy Vehicles
23,2020-06-25,5194.0,Toy Vehicles
24,2020-06-26,5194.0,Toy Vehicles
25,2020-06-27,5194.0,Toy Vehicles
26,2020-06-28,6039.0,Toy Vehicles
27,2020-06-29,6039.0,Toy Vehicles
28,2020-06-30,6039.0,Toy Vehicles
29,2020-07-01,6823.0,Toy Vehicles
30,2020-07-02,9686.0,Toy Vehicles
31,2020-07-03,7015.0,Toy Vehicles
32,2020-07-04,7015.0,Toy Vehicles
33,2020-07-05,10232.0,Toy Vehicles
34,2020-07-06,10232.0,Toy Vehicles
35,2020-07-07,10232.0,Toy Vehicles
36,2020-07-08,7293.0,Toy Vehicles
37,2020-07-09,7293.0,Toy Vehicles
38,2020-07-10,6299.0,Toy Vehicles
39,2020-07-11,6299.0,Toy Vehicles
40,2020-07-12,6299.0,Toy Vehicles
41,2020-07-13,6299.0,Toy Vehicles
42,2020-07-14,19591.0,Toy Vehicles
43,2020-07-15,19591.0,Toy Vehicles
44,2020-07-16,19591.0,Toy Vehicles
45,2020-07-17,19591.0,Toy Vehicles
46,2020-07-18,53819.0,Toy Vehicles
47,2020-07-19,53819.0,Toy Vehicles
48,2020-07-20,53819.0,Toy Vehicles
49,2020-07-21,72823.0,Toy Vehicles
50,2020-07-22,72823.0,Toy Vehicles
51,2020-07-23,72823.0,Toy Vehicles
52,2020-07-24,72823.0,Toy Vehicles
53,2020-07-25,9063.0,Toy Vehicles
54,2020-07-26,9063.0,Toy Vehicles
55,2020-07-27,8212.0,Toy Vehicles
56,2020-07-28,8212.0,Toy Vehicles
57,2020-07-29,8212.0,Toy Vehicles
58,2020-07-30,8212.0,Toy Vehicles
59,2020-07-31,9853.0,Toy Vehicles
60,2020-08-01,9853.0,Toy Vehicles
61,2020-08-02,6406.0,Toy Vehicles
62,2020-08-03,6406.0,Toy Vehicles
63,2020-08-04,6406.0,Toy Vehicles
64,2020-08-05,6406.0,Toy Vehicles
65,2020-08-06,6406.0,Toy Vehicles
66,2020-08-07,29280.0,Toy Vehicles
67,2020-08-08,29280.0,Toy Vehicles
68,2020-08-09,29280.0,Toy Vehicles
69,2020-08-10,29280.0,Toy Vehicles
70,2020-08-11,11835.0,Toy Vehicles
71,2020-08-12,11835.0,Toy Vehicles
72,2020-08-13,11835.0,Toy Vehicles
73,2020-08-14,11835.0,Toy Vehicles
74,2020-08-15,11835.0,Toy Vehicles
75,2020-08-16,6809.0,Toy Vehicles
76,2020-08-17,6809.0,Toy Vehicles
77,2020-08-18,6809.0,Toy Vehicles
78,2020-08-19,8084.0,Toy Vehicles
79,2020-08-20,8084.0,Toy Vehicles
80,2020-08-21,8084.0,Toy Vehicles
81,2020-08-22,8084.0,Toy Vehicles
82,2020-08-23,7343.0,Toy Vehicles
83,2020-08-24,7343.0,Toy Vehicles
84,2020-08-25,7343.0,Toy Vehicles
85,2020-08-26,6132.0,Toy Vehicles
86,2020-08-27,6132.0,Toy Vehicles
87,2020-08-28,6132.0,Toy Vehicles
88,2020-08-29,6132.0,Toy Vehicles
89,2020-08-30,7328.0,Toy Vehicles
90,2020-08-31,7328.0,Toy Vehicles
91,2020-09-01,5259.0,Toy Vehicles
92,2020-09-02,5259.0,Toy Vehicles
93,2020-09-03,5259.0,Toy Vehicles
94,2020-09-04,5259.0,Toy Vehicles
95,2020-09-05,5259.0,Toy Vehicles
96,2020-09-06,6870.0,Toy Vehicles
