,date,value,name_B07V72BDF8
0,2019-07-13,8346.0,Cake Stands
1,2019-07-14,10661.0,Cake Stands
2,2019-07-15,11327.0,Cake Stands
3,2019-07-16,10450.0,Cake Stands
4,2019-07-17,9819.0,Cake Stands
5,2019-07-18,8143.0,Cake Stands
6,2019-07-19,8077.0,Cake Stands
7,2019-07-20,8957.0,Cake Stands
8,2019-07-21,7127.0,Cake Stands
9,2019-07-22,7768.0,Cake Stands
10,2019-07-23,6748.0,Cake Stands
11,2019-07-24,5247.0,Cake Stands
12,2019-07-25,5250.0,Cake Stands
13,2019-07-26,6389.0,Cake Stands
14,2019-07-27,5935.0,Cake Stands
15,2019-07-28,7364.0,Cake Stands
16,2019-07-29,6472.0,Cake Stands
17,2019-07-30,6456.0,Cake Stands
18,2019-07-31,5448.0,Cake Stands
19,2019-08-01,6341.0,Cake Stands
20,2019-08-02,5832.0,Cake Stands
21,2019-08-03,8207.0,Cake Stands
22,2019-08-04,7363.0,Cake Stands
23,2019-08-05,6591.0,Cake Stands
24,2019-08-06,6239.0,Cake Stands
25,2019-08-07,7239.0,Cake Stands
26,2019-08-08,5217.0,Cake Stands
27,2019-08-09,5295.0,Cake Stands
28,2019-08-10,7236.0,Cake Stands
29,2019-08-11,8240.0,Cake Stands
30,2019-08-12,5864.0,Cake Stands
31,2019-08-13,5692.0,Cake Stands
32,2019-08-14,6057.0,Cake Stands
33,2019-08-15,6057.0,Cake Stands
34,2019-08-16,6631.0,Cake Stands
35,2019-08-17,5205.0,Cake Stands
36,2019-08-18,5205.0,Cake Stands
37,2019-08-19,6662.0,Cake Stands
38,2019-08-20,9408.0,Cake Stands
39,2019-08-21,7045.0,Cake Stands
40,2019-08-22,7045.0,Cake Stands
41,2019-08-23,8462.0,Cake Stands
42,2019-08-24,7244.0,Cake Stands
43,2019-08-25,8446.0,Cake Stands
44,2019-08-26,10448.0,Cake Stands
45,2019-08-27,10448.0,Cake Stands
46,2019-08-28,6986.0,Cake Stands
47,2019-08-29,5781.0,Cake Stands
48,2019-08-30,7513.0,Cake Stands
49,2019-08-31,7513.0,Cake Stands
50,2019-09-01,7182.0,Cake Stands
51,2019-09-02,7182.0,Cake Stands
52,2019-09-03,7177.0,Cake Stands
53,2019-09-04,9027.0,Cake Stands
54,2019-09-05,9601.0,Cake Stands
55,2019-09-06,6905.0,Cake Stands
56,2019-09-07,6232.0,Cake Stands
57,2019-09-08,6452.0,Cake Stands
58,2019-09-09,6452.0,Cake Stands
59,2019-09-10,6452.0,Cake Stands
60,2019-09-11,9476.0,Cake Stands
61,2019-09-12,7881.0,Cake Stands
62,2019-09-13,7182.0,Cake Stands
63,2019-09-14,10376.0,Cake Stands
64,2019-09-15,7792.0,Cake Stands
65,2019-09-16,10171.0,Cake Stands
66,2019-09-17,6780.0,Cake Stands
67,2019-09-18,7011.0,Cake Stands
68,2019-09-19,7227.0,Cake Stands
69,2019-09-20,5104.0,Cake Stands
70,2019-09-21,5104.0,Cake Stands
71,2019-09-22,5493.0,Cake Stands
72,2019-09-23,8135.0,Cake Stands
73,2019-09-24,8508.0,Cake Stands
74,2019-09-25,6917.0,Cake Stands
75,2019-09-26,6693.0,Cake Stands
76,2019-09-27,7194.0,Cake Stands
77,2019-09-28,6541.0,Cake Stands
78,2019-09-29,7886.0,Cake Stands
79,2019-09-30,7886.0,Cake Stands
80,2019-10-01,7886.0,Cake Stands
81,2019-10-02,6199.0,Cake Stands
82,2019-10-03,6457.0,Cake Stands
83,2019-10-04,6521.0,Cake Stands
84,2019-10-05,6521.0,Cake Stands
85,2019-10-06,6521.0,Cake Stands
86,2019-10-07,8825.0,Cake Stands
87,2019-10-08,7659.0,Cake Stands
88,2019-10-09,7659.0,Cake Stands
89,2019-10-10,10259.0,Cake Stands
90,2019-10-11,7129.0,Cake Stands
91,2019-10-12,7129.0,Cake Stands
92,2019-10-13,7129.0,Cake Stands
93,2019-10-14,8165.0,Cake Stands
94,2019-10-15,7146.0,Cake Stands
95,2019-10-16,9397.0,Cake Stands
96,2019-10-17,7523.0,Cake Stands
97,2019-10-18,6332.0,Cake Stands
98,2019-10-19,7075.0,Cake Stands
99,2019-10-20,9116.0,Cake Stands
100,2019-10-21,9911.0,Cake Stands
101,2019-10-22,9911.0,Cake Stands
102,2019-10-23,6991.0,Cake Stands
103,2019-10-24,8192.0,Cake Stands
104,2019-10-25,5862.0,Cake Stands
105,2019-10-26,5862.0,Cake Stands
106,2019-10-27,7320.0,Cake Stands
107,2019-10-28,8495.0,Cake Stands
108,2019-10-29,8495.0,Cake Stands
109,2019-10-30,10031.0,Cake Stands
110,2019-10-31,8611.0,Cake Stands
111,2019-11-01,9324.0,Cake Stands
112,2019-11-02,9324.0,Cake Stands
113,2019-11-03,13393.0,Cake Stands
114,2019-11-04,13393.0,Cake Stands
115,2019-11-05,7709.0,Cake Stands
116,2019-11-06,7271.0,Cake Stands
117,2019-11-07,7526.0,Cake Stands
118,2019-11-08,4860.0,Cake Stands
119,2019-11-09,4860.0,Cake Stands
120,2019-11-10,6358.0,Cake Stands
121,2019-11-11,6358.0,Cake Stands
122,2019-11-12,5400.0,Cake Stands
123,2019-11-13,7360.0,Cake Stands
124,2019-11-14,5394.0,Cake Stands
125,2019-11-15,7322.0,Cake Stands
126,2019-11-16,7322.0,Cake Stands
127,2019-11-17,10740.0,Cake Stands
128,2019-11-18,10740.0,Cake Stands
129,2019-11-19,10584.0,Cake Stands
130,2019-11-20,11508.0,Cake Stands
131,2019-11-21,11508.0,Cake Stands
132,2019-11-22,10054.0,Cake Stands
133,2019-11-23,7955.0,Cake Stands
134,2019-11-24,7955.0,Cake Stands
135,2019-11-25,6784.0,Cake Stands
136,2019-11-26,7549.0,Cake Stands
137,2019-11-27,7549.0,Cake Stands
138,2019-11-28,7549.0,Cake Stands
139,2019-11-29,10596.0,Cake Stands
140,2019-11-30,10596.0,Cake Stands
141,2019-12-01,10596.0,Cake Stands
142,2019-12-02,11386.0,Cake Stands
143,2019-12-03,11386.0,Cake Stands
144,2019-12-04,11386.0,Cake Stands
145,2019-12-05,11867.0,Cake Stands
146,2019-12-06,11867.0,Cake Stands
147,2019-12-07,11867.0,Cake Stands
148,2019-12-08,10078.0,Cake Stands
149,2019-12-09,10078.0,Cake Stands
150,2019-12-10,10078.0,Cake Stands
151,2019-12-11,9465.0,Cake Stands
152,2019-12-12,9465.0,Cake Stands
153,2019-12-13,9465.0,Cake Stands
154,2019-12-14,7190.0,Cake Stands
155,2019-12-15,7190.0,Cake Stands
156,2019-12-16,7190.0,Cake Stands
157,2019-12-17,8679.0,Cake Stands
158,2019-12-18,8864.0,Cake Stands
159,2019-12-19,8864.0,Cake Stands
160,2019-12-20,10886.0,Cake Stands
161,2019-12-21,10309.0,Cake Stands
162,2019-12-22,10309.0,Cake Stands
163,2019-12-23,10241.0,Cake Stands
164,2019-12-24,10395.0,Cake Stands
165,2019-12-25,10395.0,Cake Stands
166,2019-12-26,10395.0,Cake Stands
167,2019-12-27,13850.0,Cake Stands
168,2019-12-28,14620.0,Cake Stands
169,2019-12-29,14620.0,Cake Stands
170,2019-12-30,15360.0,Cake Stands
171,2019-12-31,15360.0,Cake Stands
172,2020-01-01,13460.0,Cake Stands
173,2020-01-02,13460.0,Cake Stands
174,2020-01-03,13460.0,Cake Stands
175,2020-01-04,17308.0,Cake Stands
176,2020-01-05,17308.0,Cake Stands
177,2020-01-06,17308.0,Cake Stands
178,2020-01-07,19674.0,Cake Stands
179,2020-01-08,16002.0,Cake Stands
180,2020-01-09,12270.0,Cake Stands
181,2020-01-10,12270.0,Cake Stands
182,2020-01-11,12270.0,Cake Stands
183,2020-01-12,14031.0,Cake Stands
184,2020-01-13,14031.0,Cake Stands
185,2020-01-14,13420.0,Cake Stands
186,2020-01-15,13420.0,Cake Stands
187,2020-01-16,13420.0,Cake Stands
188,2020-01-17,14692.0,Cake Stands
189,2020-01-18,15301.0,Cake Stands
190,2020-01-19,15301.0,Cake Stands
191,2020-01-20,15212.0,Cake Stands
192,2020-01-21,15212.0,Cake Stands
193,2020-01-22,15507.0,Cake Stands
194,2020-01-23,15507.0,Cake Stands
195,2020-01-24,15507.0,Cake Stands
196,2020-01-25,15507.0,Cake Stands
197,2020-01-26,16982.0,Cake Stands
198,2020-01-27,16676.0,Cake Stands
199,2020-01-28,16676.0,Cake Stands
200,2020-01-29,19254.0,Cake Stands
201,2020-01-30,19254.0,Cake Stands
202,2020-01-31,15279.0,Cake Stands
203,2020-02-01,15279.0,Cake Stands
204,2020-02-02,15279.0,Cake Stands
205,2020-02-03,15934.0,Cake Stands
206,2020-02-04,17531.0,Cake Stands
207,2020-02-05,15409.0,Cake Stands
208,2020-02-06,14241.0,Cake Stands
209,2020-02-07,12759.0,Cake Stands
210,2020-02-08,14177.0,Cake Stands
211,2020-02-09,14177.0,Cake Stands
212,2020-02-10,14177.0,Cake Stands
213,2020-02-11,14177.0,Cake Stands
214,2020-02-12,16949.0,Cake Stands
215,2020-02-13,14607.0,Cake Stands
216,2020-02-14,14607.0,Cake Stands
217,2020-02-15,14607.0,Cake Stands
218,2020-02-16,14607.0,Cake Stands
219,2020-02-17,14607.0,Cake Stands
220,2020-02-18,13410.0,Cake Stands
221,2020-02-19,10462.0,Cake Stands
222,2020-02-20,10462.0,Cake Stands
223,2020-02-21,10462.0,Cake Stands
224,2020-02-22,14140.0,Cake Stands
225,2020-02-23,14140.0,Cake Stands
226,2020-02-24,14140.0,Cake Stands
227,2020-02-25,12775.0,Cake Stands
228,2020-02-26,12254.0,Cake Stands
229,2020-02-27,12254.0,Cake Stands
230,2020-02-28,13493.0,Cake Stands
231,2020-02-29,16603.0,Cake Stands
232,2020-03-01,16603.0,Cake Stands
233,2020-03-02,13438.0,Cake Stands
234,2020-03-03,13438.0,Cake Stands
235,2020-03-04,12704.0,Cake Stands
236,2020-03-05,12036.0,Cake Stands
237,2020-03-06,12036.0,Cake Stands
238,2020-03-07,12036.0,Cake Stands
239,2020-03-08,-1.0,Cake Stands
