,date,value,name_B07V8GCPDC
0,2020-05-25,1218.0,Baby Floats
1,2020-05-26,1218.0,Baby Floats
2,2020-05-27,1434.0,Baby Floats
3,2020-05-28,1434.0,Baby Floats
4,2020-05-29,1434.0,Baby Floats
5,2020-05-30,3671.0,Baby Floats
6,2020-05-31,3671.0,Baby Floats
7,2020-06-01,3671.0,Baby Floats
8,2020-06-02,3671.0,Baby Floats
9,2020-06-03,3671.0,Baby Floats
10,2020-06-04,3671.0,Baby Floats
11,2020-06-05,19082.0,Baby Floats
12,2020-06-06,7467.0,Baby Floats
13,2020-06-07,5517.0,Baby Floats
14,2020-06-08,5517.0,Baby Floats
15,2020-06-09,8162.0,Baby Floats
16,2020-06-10,8162.0,Baby Floats
17,2020-06-11,8162.0,Baby Floats
18,2020-06-12,8162.0,Baby Floats
19,2020-06-13,8162.0,Baby Floats
20,2020-06-14,40527.0,Baby Floats
21,2020-06-15,40527.0,Baby Floats
22,2020-06-16,40527.0,Baby Floats
23,2020-06-17,8943.0,Baby Floats
24,2020-06-18,5345.0,Baby Floats
25,2020-06-19,5345.0,Baby Floats
26,2020-06-20,5345.0,Baby Floats
27,2020-06-21,2219.0,Baby Floats
28,2020-06-22,1630.0,Baby Floats
29,2020-06-23,1630.0,Baby Floats
30,2020-06-24,1858.0,Baby Floats
31,2020-06-25,1858.0,Baby Floats
32,2020-06-26,2609.0,Baby Floats
33,2020-06-27,2748.0,Baby Floats
34,2020-06-28,2748.0,Baby Floats
35,2020-06-29,3238.0,Baby Floats
36,2020-06-30,6459.0,Baby Floats
37,2020-07-01,6459.0,Baby Floats
38,2020-07-02,6864.0,Baby Floats
39,2020-07-03,6864.0,Baby Floats
40,2020-07-04,5744.0,Baby Floats
41,2020-07-05,5744.0,Baby Floats
42,2020-07-06,5174.0,Baby Floats
43,2020-07-07,5174.0,Baby Floats
44,2020-07-08,7086.0,Baby Floats
45,2020-07-09,7086.0,Baby Floats
46,2020-07-10,7086.0,Baby Floats
47,2020-07-11,7086.0,Baby Floats
48,2020-07-12,7086.0,Baby Floats
49,2020-07-13,4293.0,Baby Floats
50,2020-07-14,4293.0,Baby Floats
51,2020-07-15,4293.0,Baby Floats
52,2020-07-16,4293.0,Baby Floats
53,2020-07-17,3004.0,Baby Floats
54,2020-07-18,3004.0,Baby Floats
55,2020-07-19,3004.0,Baby Floats
56,2020-07-20,1905.0,Baby Floats
57,2020-07-21,1905.0,Baby Floats
58,2020-07-22,2706.0,Baby Floats
59,2020-07-23,2706.0,Baby Floats
60,2020-07-24,2706.0,Baby Floats
61,2020-07-25,3036.0,Baby Floats
62,2020-07-26,3036.0,Baby Floats
63,2020-07-27,1622.0,Baby Floats
64,2020-07-28,1622.0,Baby Floats
65,2020-07-29,1622.0,Baby Floats
66,2020-07-30,1622.0,Baby Floats
67,2020-07-31,1930.0,Baby Floats
68,2020-08-01,1930.0,Baby Floats
69,2020-08-02,1930.0,Baby Floats
70,2020-08-03,2024.0,Baby Floats
71,2020-08-04,2024.0,Baby Floats
72,2020-08-05,2834.0,Baby Floats
73,2020-08-06,2834.0,Baby Floats
74,2020-08-07,2834.0,Baby Floats
75,2020-08-08,3766.0,Baby Floats
76,2020-08-09,3766.0,Baby Floats
77,2020-08-10,3766.0,Baby Floats
78,2020-08-11,2115.0,Baby Floats
79,2020-08-12,2115.0,Baby Floats
80,2020-08-13,2115.0,Baby Floats
81,2020-08-14,5504.0,Baby Floats
82,2020-08-15,6292.0,Baby Floats
83,2020-08-16,6292.0,Baby Floats
84,2020-08-17,4077.0,Baby Floats
85,2020-08-18,4077.0,Baby Floats
86,2020-08-19,4077.0,Baby Floats
87,2020-08-20,4077.0,Baby Floats
88,2020-08-21,6756.0,Baby Floats
89,2020-08-22,6756.0,Baby Floats
90,2020-08-23,6756.0,Baby Floats
91,2020-08-24,5035.0,Baby Floats
92,2020-08-25,5035.0,Baby Floats
93,2020-08-26,5035.0,Baby Floats
94,2020-08-27,7195.0,Baby Floats
95,2020-08-28,7195.0,Baby Floats
96,2020-08-29,7195.0,Baby Floats
97,2020-08-30,7195.0,Baby Floats
98,2020-08-31,8723.0,Baby Floats
99,2020-09-01,8723.0,Baby Floats
100,2020-09-02,8723.0,Baby Floats
101,2020-09-03,8723.0,Baby Floats
102,2020-09-04,8723.0,Baby Floats
103,2020-09-05,8723.0,Baby Floats
104,2020-09-06,10958.0,Baby Floats
105,2020-09-07,10958.0,Baby Floats
106,2020-09-08,10958.0,Baby Floats
107,2020-09-09,10727.0,Baby Floats
108,2020-09-10,10727.0,Baby Floats
