,date,value,name_B07VGHZ46V
0,2020-06-19,93966.0,Badge Holders
1,2020-06-20,93966.0,Badge Holders
2,2020-06-21,93966.0,Badge Holders
3,2020-06-22,93966.0,Badge Holders
4,2020-06-23,93966.0,Badge Holders
5,2020-06-24,93966.0,Badge Holders
6,2020-06-25,93966.0,Badge Holders
7,2020-06-26,93966.0,Badge Holders
8,2020-06-27,93966.0,Badge Holders
9,2020-06-28,93966.0,Badge Holders
10,2020-06-29,92247.0,Badge Holders
11,2020-06-30,92247.0,Badge Holders
12,2020-07-01,92247.0,Badge Holders
13,2020-07-02,92247.0,Badge Holders
14,2020-07-03,92247.0,Badge Holders
15,2020-07-04,92247.0,Badge Holders
16,2020-07-05,92247.0,Badge Holders
17,2020-07-06,92247.0,Badge Holders
18,2020-07-07,92247.0,Badge Holders
19,2020-07-08,92247.0,Badge Holders
20,2020-07-09,158052.0,Badge Holders
21,2020-07-10,158052.0,Badge Holders
22,2020-07-11,158052.0,Badge Holders
23,2020-07-12,158052.0,Badge Holders
24,2020-07-13,158052.0,Badge Holders
25,2020-07-14,71355.0,Badge Holders
26,2020-07-15,71355.0,Badge Holders
27,2020-07-16,71355.0,Badge Holders
28,2020-07-17,71355.0,Badge Holders
29,2020-07-18,71355.0,Badge Holders
30,2020-07-19,71355.0,Badge Holders
31,2020-07-20,71355.0,Badge Holders
32,2020-07-21,58697.0,Badge Holders
33,2020-07-22,58697.0,Badge Holders
34,2020-07-23,58697.0,Badge Holders
35,2020-07-24,58697.0,Badge Holders
36,2020-07-25,58697.0,Badge Holders
37,2020-07-26,58697.0,Badge Holders
38,2020-07-27,58697.0,Badge Holders
39,2020-07-28,58697.0,Badge Holders
40,2020-07-29,58697.0,Badge Holders
41,2020-07-30,98244.0,Badge Holders
42,2020-07-31,98244.0,Badge Holders
43,2020-08-01,98244.0,Badge Holders
44,2020-08-02,98244.0,Badge Holders
45,2020-08-03,96832.0,Badge Holders
46,2020-08-04,96832.0,Badge Holders
47,2020-08-05,96832.0,Badge Holders
48,2020-08-06,96832.0,Badge Holders
49,2020-08-07,96832.0,Badge Holders
50,2020-08-08,96832.0,Badge Holders
51,2020-08-09,96832.0,Badge Holders
52,2020-08-10,96832.0,Badge Holders
53,2020-08-11,96832.0,Badge Holders
54,2020-08-12,96832.0,Badge Holders
55,2020-08-13,96832.0,Badge Holders
56,2020-08-14,96832.0,Badge Holders
57,2020-08-15,96832.0,Badge Holders
58,2020-08-16,96832.0,Badge Holders
59,2020-08-17,96832.0,Badge Holders
60,2020-08-18,96832.0,Badge Holders
61,2020-08-19,43654.0,Badge Holders
62,2020-08-20,43654.0,Badge Holders
63,2020-08-21,43654.0,Badge Holders
64,2020-08-22,43654.0,Badge Holders
65,2020-08-23,43654.0,Badge Holders
66,2020-08-24,43654.0,Badge Holders
67,2020-08-25,36554.0,Badge Holders
68,2020-08-26,36554.0,Badge Holders
69,2020-08-27,36554.0,Badge Holders
70,2020-08-28,36554.0,Badge Holders
71,2020-08-29,36554.0,Badge Holders
72,2020-08-30,36554.0,Badge Holders
73,2020-08-31,36554.0,Badge Holders
74,2020-09-01,36554.0,Badge Holders
75,2020-09-02,27388.0,Badge Holders
76,2020-09-03,27388.0,Badge Holders
77,2020-09-04,27388.0,Badge Holders
78,2020-09-05,41365.0,Badge Holders
79,2020-09-06,41365.0,Badge Holders
80,2020-09-07,41365.0,Badge Holders
81,2020-09-08,41365.0,Badge Holders
82,2020-09-09,23715.0,Badge Holders
83,2020-09-10,27797.0,Badge Holders
84,2020-09-11,27797.0,Badge Holders
85,2020-09-12,27797.0,Badge Holders
86,2020-09-13,37664.0,Badge Holders
87,2020-09-14,37664.0,Badge Holders
88,2020-09-15,37664.0,Badge Holders
89,2020-09-16,37664.0,Badge Holders
90,2020-09-17,37664.0,Badge Holders
91,2020-09-18,34307.0,Badge Holders
92,2020-09-19,34307.0,Badge Holders
93,2020-09-20,34307.0,Badge Holders
94,2020-09-21,34307.0,Badge Holders
95,2020-09-22,34307.0,Badge Holders
96,2020-09-23,34307.0,Badge Holders
97,2020-09-24,34307.0,Badge Holders
98,2020-09-25,47931.0,Badge Holders
99,2020-09-26,47931.0,Badge Holders
100,2020-09-27,47931.0,Badge Holders
101,2020-09-28,47931.0,Badge Holders
102,2020-09-29,47931.0,Badge Holders
103,2020-09-30,47931.0,Badge Holders
104,2020-10-01,47931.0,Badge Holders
105,2020-10-02,47931.0,Badge Holders
106,2020-10-03,47931.0,Badge Holders
107,2020-10-04,47931.0,Badge Holders
108,2020-10-05,82610.0,Badge Holders
109,2020-10-06,82610.0,Badge Holders
110,2020-10-07,82610.0,Badge Holders
111,2020-10-08,82610.0,Badge Holders
112,2020-10-09,82610.0,Badge Holders
113,2020-10-10,82610.0,Badge Holders
114,2020-10-11,82610.0,Badge Holders
115,2020-10-12,89934.0,Badge Holders
116,2020-10-13,89934.0,Badge Holders
117,2020-10-14,89934.0,Badge Holders
118,2020-10-15,89934.0,Badge Holders
119,2020-10-16,89934.0,Badge Holders
120,2020-10-17,89934.0,Badge Holders
121,2020-10-18,89934.0,Badge Holders
122,2020-10-19,89934.0,Badge Holders
123,2020-10-20,89934.0,Badge Holders
124,2020-10-21,89934.0,Badge Holders
125,2020-10-22,97745.0,Badge Holders
126,2020-10-23,97745.0,Badge Holders
127,2020-10-24,97745.0,Badge Holders
128,2020-10-25,97745.0,Badge Holders
129,2020-10-26,97745.0,Badge Holders
130,2020-10-27,97745.0,Badge Holders
131,2020-10-28,76329.0,Badge Holders
132,2020-10-29,76329.0,Badge Holders
133,2020-10-30,76329.0,Badge Holders
134,2020-10-31,76329.0,Badge Holders
135,2020-11-01,65124.0,Badge Holders
136,2020-11-02,65124.0,Badge Holders
137,2020-11-03,65124.0,Badge Holders
138,2020-11-04,65124.0,Badge Holders
139,2020-11-05,65124.0,Badge Holders
140,2020-11-06,65124.0,Badge Holders
141,2020-11-07,65124.0,Badge Holders
142,2020-11-08,65124.0,Badge Holders
143,2020-11-09,65124.0,Badge Holders
144,2020-11-10,65124.0,Badge Holders
145,2020-11-11,65124.0,Badge Holders
146,2020-11-12,58043.0,Badge Holders
147,2020-11-13,58043.0,Badge Holders
148,2020-11-14,58043.0,Badge Holders
149,2020-11-15,58043.0,Badge Holders
150,2020-11-16,58043.0,Badge Holders
151,2020-11-17,58043.0,Badge Holders
152,2020-11-18,58043.0,Badge Holders
153,2020-11-19,58043.0,Badge Holders
154,2020-11-20,58043.0,Badge Holders
155,2020-11-21,58043.0,Badge Holders
156,2020-11-22,58043.0,Badge Holders
157,2020-11-23,54912.0,Badge Holders
158,2020-11-24,54912.0,Badge Holders
159,2020-11-25,54912.0,Badge Holders
160,2020-11-26,57637.0,Badge Holders
161,2020-11-27,57637.0,Badge Holders
162,2020-11-28,57637.0,Badge Holders
163,2020-11-29,36215.0,Badge Holders
164,2020-11-30,36215.0,Badge Holders
165,2020-12-01,36215.0,Badge Holders
166,2020-12-02,36215.0,Badge Holders
167,2020-12-03,56788.0,Badge Holders
168,2020-12-04,56788.0,Badge Holders
169,2020-12-05,56788.0,Badge Holders
170,2020-12-06,56788.0,Badge Holders
171,2020-12-07,56788.0,Badge Holders
172,2020-12-08,56788.0,Badge Holders
173,2020-12-09,56788.0,Badge Holders
174,2020-12-10,47242.0,Badge Holders
175,2020-12-11,47242.0,Badge Holders
176,2020-12-12,47242.0,Badge Holders
177,2020-12-13,47242.0,Badge Holders
178,2020-12-14,47242.0,Badge Holders
179,2020-12-15,47242.0,Badge Holders
180,2020-12-16,71239.0,Badge Holders
181,2020-12-17,71239.0,Badge Holders
182,2020-12-18,71239.0,Badge Holders
