,date,value,name_B07VHDZW4L
0,2020-05-24,4172.0,Fabric
1,2020-05-25,4172.0,Fabric
2,2020-05-26,4172.0,Fabric
3,2020-05-27,4172.0,Fabric
4,2020-05-28,2224.0,Fabric
5,2020-05-29,1938.0,Fabric
6,2020-05-30,1938.0,Fabric
7,2020-05-31,1938.0,Fabric
8,2020-06-01,1938.0,Fabric
9,2020-06-02,1725.0,Fabric
10,2020-06-03,1725.0,Fabric
11,2020-06-04,1725.0,Fabric
12,2020-06-05,1595.0,Fabric
13,2020-06-06,1595.0,Fabric
14,2020-06-07,1595.0,Fabric
15,2020-06-08,1399.0,Fabric
16,2020-06-09,989.0,Fabric
17,2020-06-10,1106.0,Fabric
18,2020-06-11,1106.0,Fabric
19,2020-06-12,1079.0,Fabric
20,2020-06-13,921.0,Fabric
21,2020-06-14,921.0,Fabric
22,2020-06-15,921.0,Fabric
23,2020-06-16,1275.0,Fabric
24,2020-06-17,1231.0,Fabric
25,2020-06-18,1003.0,Fabric
26,2020-06-19,1094.0,Fabric
27,2020-06-20,1094.0,Fabric
28,2020-06-21,1068.0,Fabric
29,2020-06-22,1068.0,Fabric
30,2020-06-23,1045.0,Fabric
31,2020-06-24,1070.0,Fabric
32,2020-06-25,1101.0,Fabric
33,2020-06-26,1129.0,Fabric
34,2020-06-27,1129.0,Fabric
35,2020-06-28,979.0,Fabric
36,2020-06-29,978.0,Fabric
37,2020-06-30,978.0,Fabric
38,2020-07-01,978.0,Fabric
39,2020-07-02,892.0,Fabric
40,2020-07-03,892.0,Fabric
41,2020-07-04,1353.0,Fabric
42,2020-07-05,1353.0,Fabric
43,2020-07-06,1353.0,Fabric
44,2020-07-07,1249.0,Fabric
45,2020-07-08,1249.0,Fabric
46,2020-07-09,1235.0,Fabric
47,2020-07-10,1124.0,Fabric
48,2020-07-11,1124.0,Fabric
49,2020-07-12,1304.0,Fabric
50,2020-07-13,1285.0,Fabric
51,2020-07-14,1821.0,Fabric
52,2020-07-15,1821.0,Fabric
53,2020-07-16,1821.0,Fabric
54,2020-07-17,1821.0,Fabric
55,2020-07-18,1231.0,Fabric
56,2020-07-19,1231.0,Fabric
57,2020-07-20,1084.0,Fabric
58,2020-07-21,1084.0,Fabric
59,2020-07-22,1084.0,Fabric
60,2020-07-23,1191.0,Fabric
61,2020-07-24,875.0,Fabric
62,2020-07-25,875.0,Fabric
63,2020-07-26,1282.0,Fabric
64,2020-07-27,1282.0,Fabric
65,2020-07-28,1147.0,Fabric
66,2020-07-29,1147.0,Fabric
67,2020-07-30,1147.0,Fabric
68,2020-07-31,1109.0,Fabric
69,2020-08-01,973.0,Fabric
70,2020-08-02,973.0,Fabric
71,2020-08-03,973.0,Fabric
72,2020-08-04,1372.0,Fabric
73,2020-08-05,1871.0,Fabric
74,2020-08-06,1871.0,Fabric
75,2020-08-07,1512.0,Fabric
76,2020-08-08,1512.0,Fabric
77,2020-08-09,1512.0,Fabric
78,2020-08-10,1589.0,Fabric
79,2020-08-11,1556.0,Fabric
80,2020-08-12,1581.0,Fabric
81,2020-08-13,1760.0,Fabric
82,2020-08-14,1882.0,Fabric
83,2020-08-15,1882.0,Fabric
84,2020-08-16,1882.0,Fabric
85,2020-08-17,1551.0,Fabric
86,2020-08-18,1551.0,Fabric
87,2020-08-19,1551.0,Fabric
88,2020-08-20,1551.0,Fabric
89,2020-08-21,1419.0,Fabric
90,2020-08-22,1419.0,Fabric
91,2020-08-23,1419.0,Fabric
92,2020-08-24,1239.0,Fabric
93,2020-08-25,1313.0,Fabric
94,2020-08-26,1459.0,Fabric
95,2020-08-27,1412.0,Fabric
96,2020-08-28,1198.0,Fabric
97,2020-08-29,1445.0,Fabric
98,2020-08-30,1261.0,Fabric
99,2020-08-31,910.0,Fabric
100,2020-09-01,1397.0,Fabric
101,2020-09-02,1397.0,Fabric
102,2020-09-03,1397.0,Fabric
103,2020-09-04,1397.0,Fabric
104,2020-09-05,871.0,Fabric
105,2020-09-06,756.0,Fabric
106,2020-09-07,861.0,Fabric
107,2020-09-08,691.0,Fabric
108,2020-09-09,980.0,Fabric
109,2020-09-10,892.0,Fabric
110,2020-09-11,1035.0,Fabric
111,2020-09-12,1035.0,Fabric
112,2020-09-13,1035.0,Fabric
113,2020-09-14,849.0,Fabric
114,2020-09-15,786.0,Fabric
115,2020-09-16,1208.0,Fabric
116,2020-09-17,1208.0,Fabric
117,2020-09-18,1208.0,Fabric
118,2020-09-19,844.0,Fabric
119,2020-09-20,844.0,Fabric
120,2020-09-21,883.0,Fabric
121,2020-09-22,896.0,Fabric
122,2020-09-23,551.0,Fabric
123,2020-09-24,551.0,Fabric
124,2020-09-25,650.0,Fabric
125,2020-09-26,586.0,Fabric
126,2020-09-27,586.0,Fabric
127,2020-09-28,278.0,Fabric
128,2020-09-29,278.0,Fabric
129,2020-09-30,429.0,Fabric
130,2020-10-01,429.0,Fabric
131,2020-10-02,429.0,Fabric
132,2020-10-03,429.0,Fabric
133,2020-10-04,369.0,Fabric
134,2020-10-05,324.0,Fabric
135,2020-10-06,324.0,Fabric
136,2020-10-07,347.0,Fabric
137,2020-10-08,304.0,Fabric
138,2020-10-09,304.0,Fabric
139,2020-10-10,325.0,Fabric
140,2020-10-11,284.0,Fabric
141,2020-10-12,263.0,Fabric
142,2020-10-13,216.0,Fabric
143,2020-10-14,509.0,Fabric
144,2020-10-15,509.0,Fabric
145,2020-10-16,691.0,Fabric
146,2020-10-17,691.0,Fabric
147,2020-10-18,238.0,Fabric
148,2020-10-19,238.0,Fabric
149,2020-10-20,238.0,Fabric
150,2020-10-21,248.0,Fabric
151,2020-10-22,190.0,Fabric
152,2020-10-23,190.0,Fabric
153,2020-10-24,236.0,Fabric
154,2020-10-25,146.0,Fabric
155,2020-10-26,146.0,Fabric
156,2020-10-27,181.0,Fabric
