,date,value,name_B07VLBMZLC
0,2019-07-30,183644.0,Water Treatment
1,2019-07-31,207065.0,Water Treatment
2,2019-08-01,229446.0,Water Treatment
3,2019-08-02,255251.0,Water Treatment
4,2019-08-03,271263.0,Water Treatment
5,2019-08-04,285552.0,Water Treatment
6,2019-08-05,297887.0,Water Treatment
7,2019-08-06,309662.0,Water Treatment
8,2019-08-07,317632.0,Water Treatment
9,2019-08-08,326083.0,Water Treatment
10,2019-08-09,334729.0,Water Treatment
11,2019-08-10,339492.0,Water Treatment
12,2019-08-11,347543.0,Water Treatment
13,2019-08-12,356175.0,Water Treatment
14,2019-08-13,360612.0,Water Treatment
15,2019-08-14,367917.0,Water Treatment
16,2019-08-15,374392.0,Water Treatment
17,2019-08-16,380629.0,Water Treatment
18,2019-08-17,388191.0,Water Treatment
19,2019-08-18,393496.0,Water Treatment
20,2019-08-19,399784.0,Water Treatment
21,2019-08-20,401629.0,Water Treatment
22,2019-08-21,401629.0,Water Treatment
23,2019-08-22,401629.0,Water Treatment
24,2019-08-23,401629.0,Water Treatment
25,2019-08-24,401629.0,Water Treatment
26,2019-08-25,401629.0,Water Treatment
27,2019-08-26,401629.0,Water Treatment
28,2019-08-27,401629.0,Water Treatment
29,2019-08-28,401629.0,Water Treatment
30,2019-08-29,401629.0,Water Treatment
31,2019-08-30,401629.0,Water Treatment
32,2019-08-31,401629.0,Water Treatment
33,2019-09-01,401629.0,Water Treatment
34,2019-09-02,401629.0,Water Treatment
35,2019-09-03,401629.0,Water Treatment
36,2019-09-04,401629.0,Water Treatment
37,2019-09-05,401629.0,Water Treatment
38,2019-09-06,401629.0,Water Treatment
39,2019-09-07,401629.0,Water Treatment
40,2019-09-08,401629.0,Water Treatment
41,2019-09-09,401629.0,Water Treatment
42,2019-09-10,401629.0,Water Treatment
43,2019-09-11,401629.0,Water Treatment
44,2019-09-12,401629.0,Water Treatment
45,2019-09-13,401629.0,Water Treatment
46,2019-09-14,401629.0,Water Treatment
47,2019-09-15,401629.0,Water Treatment
48,2019-09-16,401629.0,Water Treatment
49,2019-09-17,401629.0,Water Treatment
50,2019-09-18,401629.0,Water Treatment
51,2019-09-19,401629.0,Water Treatment
52,2019-09-20,401629.0,Water Treatment
53,2019-09-21,401629.0,Water Treatment
54,2019-09-22,401629.0,Water Treatment
55,2019-09-23,401629.0,Water Treatment
56,2019-09-24,401629.0,Water Treatment
57,2019-09-25,401629.0,Water Treatment
58,2019-09-26,401629.0,Water Treatment
59,2019-09-27,401629.0,Water Treatment
60,2019-09-28,401629.0,Water Treatment
61,2019-09-29,401629.0,Water Treatment
62,2019-09-30,401629.0,Water Treatment
63,2019-10-01,401629.0,Water Treatment
64,2019-10-02,401629.0,Water Treatment
65,2019-10-03,401629.0,Water Treatment
66,2019-10-04,401629.0,Water Treatment
67,2019-10-05,401629.0,Water Treatment
68,2019-10-06,401629.0,Water Treatment
69,2019-10-07,401629.0,Water Treatment
70,2019-10-08,401629.0,Water Treatment
71,2019-10-09,401629.0,Water Treatment
72,2019-10-10,401629.0,Water Treatment
73,2019-10-11,401629.0,Water Treatment
74,2019-10-12,401629.0,Water Treatment
75,2019-10-13,401629.0,Water Treatment
76,2019-10-14,401629.0,Water Treatment
77,2019-10-15,401629.0,Water Treatment
78,2019-10-16,401629.0,Water Treatment
79,2019-10-17,401629.0,Water Treatment
80,2019-10-18,401629.0,Water Treatment
81,2019-10-19,401629.0,Water Treatment
82,2019-10-20,401629.0,Water Treatment
