,date,value,name_B07WJLG2HV
0,2019-08-16,51036.0,Rug Pads
1,2019-08-17,53552.0,Rug Pads
2,2019-08-18,45959.0,Rug Pads
3,2019-08-19,37261.0,Rug Pads
4,2019-08-20,37102.0,Rug Pads
5,2019-08-21,22547.0,Rug Pads
6,2019-08-22,34921.0,Rug Pads
7,2019-08-23,33444.0,Rug Pads
8,2019-08-24,30111.0,Rug Pads
9,2019-08-25,37564.0,Rug Pads
10,2019-08-26,28988.0,Rug Pads
11,2019-08-27,21185.0,Rug Pads
12,2019-08-28,22271.0,Rug Pads
13,2019-08-29,17426.0,Rug Pads
14,2019-08-30,16465.0,Rug Pads
15,2019-08-31,14734.0,Rug Pads
16,2019-09-01,15443.0,Rug Pads
17,2019-09-02,11556.0,Rug Pads
18,2019-09-03,11943.0,Rug Pads
19,2019-09-04,10550.0,Rug Pads
20,2019-09-05,11012.0,Rug Pads
21,2019-09-06,11593.0,Rug Pads
22,2019-09-07,11157.0,Rug Pads
23,2019-09-08,10282.0,Rug Pads
24,2019-09-09,10215.0,Rug Pads
25,2019-09-10,10251.0,Rug Pads
26,2019-09-11,13489.0,Rug Pads
27,2019-09-12,9989.0,Rug Pads
28,2019-09-13,12431.0,Rug Pads
29,2019-09-14,9319.0,Rug Pads
30,2019-09-15,8723.0,Rug Pads
31,2019-09-16,10683.0,Rug Pads
32,2019-09-17,10800.0,Rug Pads
33,2019-09-18,13203.0,Rug Pads
34,2019-09-19,11561.0,Rug Pads
35,2019-09-20,13802.0,Rug Pads
36,2019-09-21,11693.0,Rug Pads
37,2019-09-22,10182.0,Rug Pads
38,2019-09-23,11113.0,Rug Pads
39,2019-09-24,15190.0,Rug Pads
40,2019-09-25,12583.0,Rug Pads
41,2019-09-26,17819.0,Rug Pads
42,2019-09-27,25131.0,Rug Pads
43,2019-09-28,31101.0,Rug Pads
44,2019-09-29,33631.0,Rug Pads
45,2019-09-30,33631.0,Rug Pads
46,2019-10-01,32747.0,Rug Pads
47,2019-10-02,26043.0,Rug Pads
48,2019-10-03,20980.0,Rug Pads
49,2019-10-04,18361.0,Rug Pads
50,2019-10-05,18361.0,Rug Pads
51,2019-10-06,18361.0,Rug Pads
52,2019-10-07,16250.0,Rug Pads
53,2019-10-08,16250.0,Rug Pads
54,2019-10-09,16250.0,Rug Pads
55,2019-10-10,21518.0,Rug Pads
56,2019-10-11,17225.0,Rug Pads
57,2019-10-12,17225.0,Rug Pads
58,2019-10-13,17225.0,Rug Pads
59,2019-10-14,21713.0,Rug Pads
60,2019-10-15,21713.0,Rug Pads
61,2019-10-16,24264.0,Rug Pads
62,2019-10-17,20802.0,Rug Pads
63,2019-10-18,14091.0,Rug Pads
64,2019-10-19,12420.0,Rug Pads
65,2019-10-20,14387.0,Rug Pads
66,2019-10-21,10679.0,Rug Pads
67,2019-10-22,13410.0,Rug Pads
68,2019-10-23,10544.0,Rug Pads
69,2019-10-24,11564.0,Rug Pads
70,2019-10-25,10187.0,Rug Pads
71,2019-10-26,10187.0,Rug Pads
72,2019-10-27,7528.0,Rug Pads
73,2019-10-28,9144.0,Rug Pads
74,2019-10-29,6534.0,Rug Pads
75,2019-10-30,7093.0,Rug Pads
76,2019-10-31,8516.0,Rug Pads
77,2019-11-01,5170.0,Rug Pads
78,2019-11-02,5170.0,Rug Pads
79,2019-11-03,6382.0,Rug Pads
80,2019-11-04,6382.0,Rug Pads
81,2019-11-05,8145.0,Rug Pads
82,2019-11-06,6346.0,Rug Pads
83,2019-11-07,7279.0,Rug Pads
84,2019-11-08,7279.0,Rug Pads
85,2019-11-09,7279.0,Rug Pads
86,2019-11-10,7279.0,Rug Pads
87,2019-11-11,7279.0,Rug Pads
88,2019-11-12,9832.0,Rug Pads
89,2019-11-13,9832.0,Rug Pads
90,2019-11-14,9118.0,Rug Pads
91,2019-11-15,7640.0,Rug Pads
92,2019-11-16,7640.0,Rug Pads
93,2019-11-17,7640.0,Rug Pads
94,2019-11-18,7640.0,Rug Pads
95,2019-11-19,8914.0,Rug Pads
96,2019-11-20,8914.0,Rug Pads
97,2019-11-21,8494.0,Rug Pads
98,2019-11-22,8740.0,Rug Pads
99,2019-11-23,8740.0,Rug Pads
100,2019-11-24,8740.0,Rug Pads
101,2019-11-25,9810.0,Rug Pads
102,2019-11-26,6538.0,Rug Pads
103,2019-11-27,6538.0,Rug Pads
104,2019-11-28,6538.0,Rug Pads
105,2019-11-29,6538.0,Rug Pads
106,2019-11-30,6538.0,Rug Pads
107,2019-12-01,2478.0,Rug Pads
108,2019-12-02,2478.0,Rug Pads
109,2019-12-03,2478.0,Rug Pads
110,2019-12-04,4888.0,Rug Pads
111,2019-12-05,4888.0,Rug Pads
112,2019-12-06,4888.0,Rug Pads
113,2019-12-07,8266.0,Rug Pads
114,2019-12-08,8266.0,Rug Pads
115,2019-12-09,10164.0,Rug Pads
116,2019-12-10,10164.0,Rug Pads
117,2019-12-11,11337.0,Rug Pads
118,2019-12-12,11337.0,Rug Pads
119,2019-12-13,11337.0,Rug Pads
120,2019-12-14,11337.0,Rug Pads
121,2019-12-15,15060.0,Rug Pads
122,2019-12-16,15060.0,Rug Pads
123,2019-12-17,15060.0,Rug Pads
124,2019-12-18,15060.0,Rug Pads
125,2019-12-19,12296.0,Rug Pads
126,2019-12-20,12296.0,Rug Pads
127,2019-12-21,14150.0,Rug Pads
128,2019-12-22,12961.0,Rug Pads
129,2019-12-23,12961.0,Rug Pads
130,2019-12-24,12961.0,Rug Pads
131,2019-12-25,13249.0,Rug Pads
132,2019-12-26,10552.0,Rug Pads
133,2019-12-27,10552.0,Rug Pads
134,2019-12-28,10552.0,Rug Pads
135,2019-12-29,10552.0,Rug Pads
136,2019-12-30,8367.0,Rug Pads
137,2019-12-31,8367.0,Rug Pads
138,2020-01-01,6274.0,Rug Pads
139,2020-01-02,6321.0,Rug Pads
140,2020-01-03,5283.0,Rug Pads
141,2020-01-04,5283.0,Rug Pads
142,2020-01-05,5283.0,Rug Pads
143,2020-01-06,5283.0,Rug Pads
144,2020-01-07,5283.0,Rug Pads
145,2020-01-08,5362.0,Rug Pads
146,2020-01-09,5362.0,Rug Pads
147,2020-01-10,5362.0,Rug Pads
148,2020-01-11,5640.0,Rug Pads
149,2020-01-12,5628.0,Rug Pads
150,2020-01-13,5628.0,Rug Pads
151,2020-01-14,4932.0,Rug Pads
152,2020-01-15,5848.0,Rug Pads
153,2020-01-16,5848.0,Rug Pads
154,2020-01-17,5878.0,Rug Pads
155,2020-01-18,5878.0,Rug Pads
156,2020-01-19,5878.0,Rug Pads
157,2020-01-20,3869.0,Rug Pads
158,2020-01-21,3869.0,Rug Pads
159,2020-01-22,3869.0,Rug Pads
160,2020-01-23,3869.0,Rug Pads
161,2020-01-24,3869.0,Rug Pads
162,2020-01-25,5648.0,Rug Pads
163,2020-01-26,5648.0,Rug Pads
164,2020-01-27,5648.0,Rug Pads
165,2020-01-28,6509.0,Rug Pads
166,2020-01-29,6509.0,Rug Pads
167,2020-01-30,6509.0,Rug Pads
168,2020-01-31,4889.0,Rug Pads
169,2020-02-01,4889.0,Rug Pads
170,2020-02-02,4889.0,Rug Pads
171,2020-02-03,5277.0,Rug Pads
172,2020-02-04,5277.0,Rug Pads
173,2020-02-05,7487.0,Rug Pads
