,date,value,name_B07WSMD3CC
0,2019-08-21,16205.0,Balance Bikes
1,2019-08-22,11873.0,Balance Bikes
2,2019-08-23,11804.0,Balance Bikes
3,2019-08-24,12788.0,Balance Bikes
4,2019-08-25,15865.0,Balance Bikes
5,2019-08-26,15119.0,Balance Bikes
6,2019-08-27,13653.0,Balance Bikes
7,2019-08-28,15169.0,Balance Bikes
8,2019-08-29,12178.0,Balance Bikes
9,2019-08-30,16887.0,Balance Bikes
10,2019-08-31,11144.0,Balance Bikes
11,2019-09-01,13057.0,Balance Bikes
12,2019-09-02,14821.0,Balance Bikes
13,2019-09-03,17423.0,Balance Bikes
14,2019-09-04,22230.0,Balance Bikes
15,2019-09-05,17677.0,Balance Bikes
16,2019-09-06,16826.0,Balance Bikes
17,2019-09-07,25798.0,Balance Bikes
18,2019-09-08,52536.0,Balance Bikes
19,2019-09-09,67626.0,Balance Bikes
20,2019-09-10,67626.0,Balance Bikes
21,2019-09-11,101948.0,Balance Bikes
22,2019-09-12,101948.0,Balance Bikes
23,2019-09-13,47229.0,Balance Bikes
24,2019-09-14,36569.0,Balance Bikes
25,2019-09-15,41236.0,Balance Bikes
26,2019-09-16,24434.0,Balance Bikes
27,2019-09-17,21313.0,Balance Bikes
28,2019-09-18,21574.0,Balance Bikes
29,2019-09-19,22131.0,Balance Bikes
30,2019-09-20,14786.0,Balance Bikes
31,2019-09-21,16765.0,Balance Bikes
32,2019-09-22,16765.0,Balance Bikes
33,2019-09-23,16765.0,Balance Bikes
34,2019-09-24,10311.0,Balance Bikes
35,2019-09-25,7577.0,Balance Bikes
36,2019-09-26,10339.0,Balance Bikes
37,2019-09-27,10168.0,Balance Bikes
38,2019-09-28,14097.0,Balance Bikes
39,2019-09-29,13771.0,Balance Bikes
40,2019-09-30,13771.0,Balance Bikes
41,2019-10-01,7205.0,Balance Bikes
42,2019-10-02,10438.0,Balance Bikes
43,2019-10-03,8348.0,Balance Bikes
44,2019-10-04,8348.0,Balance Bikes
45,2019-10-05,10267.0,Balance Bikes
46,2019-10-06,10267.0,Balance Bikes
47,2019-10-07,10267.0,Balance Bikes
48,2019-10-08,14857.0,Balance Bikes
49,2019-10-09,10182.0,Balance Bikes
50,2019-10-10,9937.0,Balance Bikes
51,2019-10-11,15267.0,Balance Bikes
52,2019-10-12,15267.0,Balance Bikes
53,2019-10-13,13595.0,Balance Bikes
54,2019-10-14,13595.0,Balance Bikes
55,2019-10-15,9828.0,Balance Bikes
56,2019-10-16,9828.0,Balance Bikes
57,2019-10-17,19368.0,Balance Bikes
58,2019-10-18,11022.0,Balance Bikes
59,2019-10-19,11022.0,Balance Bikes
60,2019-10-20,15409.0,Balance Bikes
61,2019-10-21,15409.0,Balance Bikes
62,2019-10-22,15409.0,Balance Bikes
63,2019-10-23,11018.0,Balance Bikes
64,2019-10-24,10101.0,Balance Bikes
65,2019-10-25,12329.0,Balance Bikes
66,2019-10-26,8019.0,Balance Bikes
67,2019-10-27,8019.0,Balance Bikes
68,2019-10-28,8019.0,Balance Bikes
69,2019-10-29,17238.0,Balance Bikes
70,2019-10-30,18057.0,Balance Bikes
71,2019-10-31,10874.0,Balance Bikes
72,2019-11-01,10874.0,Balance Bikes
73,2019-11-02,10874.0,Balance Bikes
74,2019-11-03,12109.0,Balance Bikes
75,2019-11-04,17073.0,Balance Bikes
76,2019-11-05,13575.0,Balance Bikes
77,2019-11-06,13575.0,Balance Bikes
78,2019-11-07,16736.0,Balance Bikes
79,2019-11-08,3900.0,Balance Bikes
