,date,value,name_B07WZQ75Y8
0,2020-05-30,7327.0,Canvas Boards & Panels
1,2020-05-31,7327.0,Canvas Boards & Panels
2,2020-06-01,7327.0,Canvas Boards & Panels
3,2020-06-02,7327.0,Canvas Boards & Panels
4,2020-06-03,6615.0,Canvas Boards & Panels
5,2020-06-04,7796.0,Canvas Boards & Panels
6,2020-06-05,7796.0,Canvas Boards & Panels
7,2020-06-06,7796.0,Canvas Boards & Panels
8,2020-06-07,7796.0,Canvas Boards & Panels
9,2020-06-08,7796.0,Canvas Boards & Panels
10,2020-06-09,7796.0,Canvas Boards & Panels
11,2020-06-10,4297.0,Canvas Boards & Panels
12,2020-06-11,4297.0,Canvas Boards & Panels
13,2020-06-12,4297.0,Canvas Boards & Panels
14,2020-06-13,4297.0,Canvas Boards & Panels
15,2020-06-14,4297.0,Canvas Boards & Panels
16,2020-06-15,2987.0,Canvas Boards & Panels
17,2020-06-16,2987.0,Canvas Boards & Panels
18,2020-06-17,2987.0,Canvas Boards & Panels
19,2020-06-18,2706.0,Canvas Boards & Panels
20,2020-06-19,3200.0,Canvas Boards & Panels
21,2020-06-20,3200.0,Canvas Boards & Panels
22,2020-06-21,3200.0,Canvas Boards & Panels
23,2020-06-22,17290.0,Canvas Boards & Panels
24,2020-06-23,17290.0,Canvas Boards & Panels
25,2020-06-24,17290.0,Canvas Boards & Panels
26,2020-06-25,17290.0,Canvas Boards & Panels
27,2020-06-26,17290.0,Canvas Boards & Panels
28,2020-06-27,17290.0,Canvas Boards & Panels
29,2020-06-28,17290.0,Canvas Boards & Panels
30,2020-06-29,44268.0,Canvas Boards & Panels
31,2020-06-30,44268.0,Canvas Boards & Panels
32,2020-07-01,44268.0,Canvas Boards & Panels
33,2020-07-02,55047.0,Canvas Boards & Panels
34,2020-07-03,55047.0,Canvas Boards & Panels
35,2020-07-04,57868.0,Canvas Boards & Panels
36,2020-07-05,57868.0,Canvas Boards & Panels
37,2020-07-06,57868.0,Canvas Boards & Panels
38,2020-07-07,57868.0,Canvas Boards & Panels
39,2020-07-08,57868.0,Canvas Boards & Panels
40,2020-07-09,57868.0,Canvas Boards & Panels
41,2020-07-10,5048.0,Canvas Boards & Panels
42,2020-07-11,5048.0,Canvas Boards & Panels
43,2020-07-12,4443.0,Canvas Boards & Panels
44,2020-07-13,4443.0,Canvas Boards & Panels
45,2020-07-14,4443.0,Canvas Boards & Panels
46,2020-07-15,1677.0,Canvas Boards & Panels
47,2020-07-16,1677.0,Canvas Boards & Panels
48,2020-07-17,1677.0,Canvas Boards & Panels
49,2020-07-18,1677.0,Canvas Boards & Panels
50,2020-07-19,1677.0,Canvas Boards & Panels
51,2020-07-20,1677.0,Canvas Boards & Panels
52,2020-07-21,1677.0,Canvas Boards & Panels
53,2020-07-22,8657.0,Canvas Boards & Panels
54,2020-07-23,8657.0,Canvas Boards & Panels
55,2020-07-24,8657.0,Canvas Boards & Panels
