,date,value,name_B07X3YC2PV
0,2020-05-28,4902.0,Dry Erase & Wet Erase Markers
1,2020-05-29,4902.0,Dry Erase & Wet Erase Markers
2,2020-05-30,4902.0,Dry Erase & Wet Erase Markers
3,2020-05-31,4902.0,Dry Erase & Wet Erase Markers
4,2020-06-01,4902.0,Dry Erase & Wet Erase Markers
5,2020-06-02,7900.0,Dry Erase & Wet Erase Markers
6,2020-06-03,7900.0,Dry Erase & Wet Erase Markers
7,2020-06-04,7900.0,Dry Erase & Wet Erase Markers
8,2020-06-05,7900.0,Dry Erase & Wet Erase Markers
9,2020-06-06,7900.0,Dry Erase & Wet Erase Markers
10,2020-06-07,7900.0,Dry Erase & Wet Erase Markers
11,2020-06-08,9594.0,Dry Erase & Wet Erase Markers
12,2020-06-09,6123.0,Dry Erase & Wet Erase Markers
13,2020-06-10,6123.0,Dry Erase & Wet Erase Markers
14,2020-06-11,6123.0,Dry Erase & Wet Erase Markers
15,2020-06-12,6123.0,Dry Erase & Wet Erase Markers
16,2020-06-13,6123.0,Dry Erase & Wet Erase Markers
17,2020-06-14,7848.0,Dry Erase & Wet Erase Markers
18,2020-06-15,7848.0,Dry Erase & Wet Erase Markers
19,2020-06-16,7848.0,Dry Erase & Wet Erase Markers
20,2020-06-17,5310.0,Dry Erase & Wet Erase Markers
21,2020-06-18,4301.0,Dry Erase & Wet Erase Markers
22,2020-06-19,5181.0,Dry Erase & Wet Erase Markers
23,2020-06-20,5181.0,Dry Erase & Wet Erase Markers
24,2020-06-21,5181.0,Dry Erase & Wet Erase Markers
25,2020-06-22,4220.0,Dry Erase & Wet Erase Markers
26,2020-06-23,4220.0,Dry Erase & Wet Erase Markers
27,2020-06-24,4220.0,Dry Erase & Wet Erase Markers
28,2020-06-25,4220.0,Dry Erase & Wet Erase Markers
29,2020-06-26,4220.0,Dry Erase & Wet Erase Markers
30,2020-06-27,4220.0,Dry Erase & Wet Erase Markers
31,2020-06-28,4482.0,Dry Erase & Wet Erase Markers
32,2020-06-29,5121.0,Dry Erase & Wet Erase Markers
33,2020-06-30,5121.0,Dry Erase & Wet Erase Markers
34,2020-07-01,5127.0,Dry Erase & Wet Erase Markers
35,2020-07-02,6399.0,Dry Erase & Wet Erase Markers
36,2020-07-03,7252.0,Dry Erase & Wet Erase Markers
37,2020-07-04,7252.0,Dry Erase & Wet Erase Markers
38,2020-07-05,7252.0,Dry Erase & Wet Erase Markers
39,2020-07-06,7252.0,Dry Erase & Wet Erase Markers
40,2020-07-07,7252.0,Dry Erase & Wet Erase Markers
41,2020-07-08,7504.0,Dry Erase & Wet Erase Markers
42,2020-07-09,6593.0,Dry Erase & Wet Erase Markers
43,2020-07-10,6593.0,Dry Erase & Wet Erase Markers
44,2020-07-11,6593.0,Dry Erase & Wet Erase Markers
45,2020-07-12,6593.0,Dry Erase & Wet Erase Markers
46,2020-07-13,6593.0,Dry Erase & Wet Erase Markers
47,2020-07-14,7014.0,Dry Erase & Wet Erase Markers
48,2020-07-15,7014.0,Dry Erase & Wet Erase Markers
49,2020-07-16,5538.0,Dry Erase & Wet Erase Markers
50,2020-07-17,5538.0,Dry Erase & Wet Erase Markers
51,2020-07-18,5538.0,Dry Erase & Wet Erase Markers
52,2020-07-19,5538.0,Dry Erase & Wet Erase Markers
53,2020-07-20,5103.0,Dry Erase & Wet Erase Markers
54,2020-07-21,5103.0,Dry Erase & Wet Erase Markers
55,2020-07-22,4483.0,Dry Erase & Wet Erase Markers
56,2020-07-23,3741.0,Dry Erase & Wet Erase Markers
57,2020-07-24,3741.0,Dry Erase & Wet Erase Markers
58,2020-07-25,3741.0,Dry Erase & Wet Erase Markers
59,2020-07-26,3712.0,Dry Erase & Wet Erase Markers
60,2020-07-27,3712.0,Dry Erase & Wet Erase Markers
61,2020-07-28,3712.0,Dry Erase & Wet Erase Markers
62,2020-07-29,3466.0,Dry Erase & Wet Erase Markers
63,2020-07-30,3466.0,Dry Erase & Wet Erase Markers
64,2020-07-31,3466.0,Dry Erase & Wet Erase Markers
65,2020-08-01,3466.0,Dry Erase & Wet Erase Markers
66,2020-08-02,3387.0,Dry Erase & Wet Erase Markers
67,2020-08-03,3387.0,Dry Erase & Wet Erase Markers
68,2020-08-04,3387.0,Dry Erase & Wet Erase Markers
69,2020-08-05,3119.0,Dry Erase & Wet Erase Markers
70,2020-08-06,2883.0,Dry Erase & Wet Erase Markers
71,2020-08-07,2883.0,Dry Erase & Wet Erase Markers
72,2020-08-08,2883.0,Dry Erase & Wet Erase Markers
73,2020-08-09,2883.0,Dry Erase & Wet Erase Markers
74,2020-08-10,2484.0,Dry Erase & Wet Erase Markers
75,2020-08-11,2484.0,Dry Erase & Wet Erase Markers
76,2020-08-12,2484.0,Dry Erase & Wet Erase Markers
77,2020-08-13,1858.0,Dry Erase & Wet Erase Markers
78,2020-08-14,1858.0,Dry Erase & Wet Erase Markers
79,2020-08-15,1858.0,Dry Erase & Wet Erase Markers
80,2020-08-16,2156.0,Dry Erase & Wet Erase Markers
81,2020-08-17,2156.0,Dry Erase & Wet Erase Markers
82,2020-08-18,2078.0,Dry Erase & Wet Erase Markers
83,2020-08-19,2078.0,Dry Erase & Wet Erase Markers
84,2020-08-20,2078.0,Dry Erase & Wet Erase Markers
85,2020-08-21,2078.0,Dry Erase & Wet Erase Markers
86,2020-08-22,2078.0,Dry Erase & Wet Erase Markers
87,2020-08-23,2388.0,Dry Erase & Wet Erase Markers
88,2020-08-24,2388.0,Dry Erase & Wet Erase Markers
89,2020-08-25,2388.0,Dry Erase & Wet Erase Markers
90,2020-08-26,3158.0,Dry Erase & Wet Erase Markers
91,2020-08-27,2841.0,Dry Erase & Wet Erase Markers
92,2020-08-28,2841.0,Dry Erase & Wet Erase Markers
93,2020-08-29,2841.0,Dry Erase & Wet Erase Markers
94,2020-08-30,2827.0,Dry Erase & Wet Erase Markers
95,2020-08-31,2827.0,Dry Erase & Wet Erase Markers
96,2020-09-01,2827.0,Dry Erase & Wet Erase Markers
97,2020-09-02,3443.0,Dry Erase & Wet Erase Markers
98,2020-09-03,3443.0,Dry Erase & Wet Erase Markers
99,2020-09-04,3443.0,Dry Erase & Wet Erase Markers
100,2020-09-05,3443.0,Dry Erase & Wet Erase Markers
101,2020-09-06,3977.0,Dry Erase & Wet Erase Markers
102,2020-09-07,3977.0,Dry Erase & Wet Erase Markers
103,2020-09-08,4022.0,Dry Erase & Wet Erase Markers
104,2020-09-09,4022.0,Dry Erase & Wet Erase Markers
105,2020-09-10,4022.0,Dry Erase & Wet Erase Markers
106,2020-09-11,3824.0,Dry Erase & Wet Erase Markers
107,2020-09-12,3824.0,Dry Erase & Wet Erase Markers
108,2020-09-13,3824.0,Dry Erase & Wet Erase Markers
109,2020-09-14,4431.0,Dry Erase & Wet Erase Markers
110,2020-09-15,4431.0,Dry Erase & Wet Erase Markers
111,2020-09-16,2933.0,Dry Erase & Wet Erase Markers
112,2020-09-17,2933.0,Dry Erase & Wet Erase Markers
113,2020-09-18,2933.0,Dry Erase & Wet Erase Markers
114,2020-09-19,3389.0,Dry Erase & Wet Erase Markers
115,2020-09-20,3389.0,Dry Erase & Wet Erase Markers
116,2020-09-21,3389.0,Dry Erase & Wet Erase Markers
117,2020-09-22,4118.0,Dry Erase & Wet Erase Markers
118,2020-09-23,4118.0,Dry Erase & Wet Erase Markers
119,2020-09-24,4118.0,Dry Erase & Wet Erase Markers
120,2020-09-25,5030.0,Dry Erase & Wet Erase Markers
121,2020-09-26,5030.0,Dry Erase & Wet Erase Markers
122,2020-09-27,4393.0,Dry Erase & Wet Erase Markers
123,2020-09-28,4480.0,Dry Erase & Wet Erase Markers
124,2020-09-29,4480.0,Dry Erase & Wet Erase Markers
125,2020-09-30,4793.0,Dry Erase & Wet Erase Markers
126,2020-10-01,4793.0,Dry Erase & Wet Erase Markers
127,2020-10-02,4793.0,Dry Erase & Wet Erase Markers
