,date,value,name_B07XC9MMTH
0,2020-05-28,10511.0,Dry
1,2020-05-29,21540.0,Dry
2,2020-05-30,21540.0,Dry
3,2020-05-31,21540.0,Dry
4,2020-06-01,21540.0,Dry
5,2020-06-02,21540.0,Dry
6,2020-06-03,10168.0,Dry
7,2020-06-04,10168.0,Dry
8,2020-06-05,8872.0,Dry
9,2020-06-06,8872.0,Dry
10,2020-06-07,8872.0,Dry
11,2020-06-08,8387.0,Dry
12,2020-06-09,7814.0,Dry
13,2020-06-10,6429.0,Dry
14,2020-06-11,6429.0,Dry
15,2020-06-12,8922.0,Dry
16,2020-06-13,8922.0,Dry
17,2020-06-14,7091.0,Dry
18,2020-06-15,6692.0,Dry
19,2020-06-16,7064.0,Dry
20,2020-06-17,7064.0,Dry
21,2020-06-18,7320.0,Dry
22,2020-06-19,7320.0,Dry
23,2020-06-20,7320.0,Dry
24,2020-06-21,8088.0,Dry
25,2020-06-22,8088.0,Dry
26,2020-06-23,9555.0,Dry
27,2020-06-24,8110.0,Dry
28,2020-06-25,8110.0,Dry
29,2020-06-26,8110.0,Dry
30,2020-06-27,6793.0,Dry
31,2020-06-28,6793.0,Dry
32,2020-06-29,6281.0,Dry
33,2020-06-30,6880.0,Dry
34,2020-07-01,5972.0,Dry
35,2020-07-02,6084.0,Dry
36,2020-07-03,6084.0,Dry
37,2020-07-04,6084.0,Dry
38,2020-07-05,6084.0,Dry
39,2020-07-06,7575.0,Dry
40,2020-07-07,7575.0,Dry
41,2020-07-08,7575.0,Dry
42,2020-07-09,7111.0,Dry
43,2020-07-10,7111.0,Dry
44,2020-07-11,7076.0,Dry
45,2020-07-12,6270.0,Dry
46,2020-07-13,6270.0,Dry
47,2020-07-14,7890.0,Dry
48,2020-07-15,7890.0,Dry
49,2020-07-16,6452.0,Dry
50,2020-07-17,6452.0,Dry
51,2020-07-18,6452.0,Dry
52,2020-07-19,6364.0,Dry
53,2020-07-20,6364.0,Dry
54,2020-07-21,6237.0,Dry
55,2020-07-22,5516.0,Dry
56,2020-07-23,5516.0,Dry
57,2020-07-24,5516.0,Dry
58,2020-07-25,5158.0,Dry
59,2020-07-26,5158.0,Dry
60,2020-07-27,6215.0,Dry
61,2020-07-28,5975.0,Dry
62,2020-07-29,5975.0,Dry
63,2020-07-30,6093.0,Dry
64,2020-07-31,6093.0,Dry
65,2020-08-01,6656.0,Dry
66,2020-08-02,6273.0,Dry
67,2020-08-03,6273.0,Dry
68,2020-08-04,6007.0,Dry
69,2020-08-05,6007.0,Dry
70,2020-08-06,6007.0,Dry
71,2020-08-07,6402.0,Dry
72,2020-08-08,4261.0,Dry
73,2020-08-09,5168.0,Dry
74,2020-08-10,4897.0,Dry
75,2020-08-11,4457.0,Dry
76,2020-08-12,4457.0,Dry
77,2020-08-13,5362.0,Dry
78,2020-08-14,5362.0,Dry
79,2020-08-15,5362.0,Dry
80,2020-08-16,4270.0,Dry
81,2020-08-17,4270.0,Dry
82,2020-08-18,5269.0,Dry
83,2020-08-19,5269.0,Dry
84,2020-08-20,5371.0,Dry
85,2020-08-21,5371.0,Dry
86,2020-08-22,5371.0,Dry
87,2020-08-23,5522.0,Dry
88,2020-08-24,4845.0,Dry
89,2020-08-25,4845.0,Dry
90,2020-08-26,5857.0,Dry
91,2020-08-27,5116.0,Dry
92,2020-08-28,5116.0,Dry
93,2020-08-29,4958.0,Dry
94,2020-08-30,4958.0,Dry
95,2020-08-31,4826.0,Dry
96,2020-09-01,4826.0,Dry
97,2020-09-02,4826.0,Dry
98,2020-09-03,5419.0,Dry
99,2020-09-04,5419.0,Dry
100,2020-09-05,5523.0,Dry
101,2020-09-06,5523.0,Dry
102,2020-09-07,6747.0,Dry
103,2020-09-08,6747.0,Dry
104,2020-09-09,4975.0,Dry
105,2020-09-10,4160.0,Dry
106,2020-09-11,5377.0,Dry
107,2020-09-12,5377.0,Dry
108,2020-09-13,6437.0,Dry
109,2020-09-14,5101.0,Dry
110,2020-09-15,5053.0,Dry
111,2020-09-16,4686.0,Dry
112,2020-09-17,3936.0,Dry
113,2020-09-18,3936.0,Dry
114,2020-09-19,3936.0,Dry
115,2020-09-20,3922.0,Dry
116,2020-09-21,4434.0,Dry
117,2020-09-22,3599.0,Dry
118,2020-09-23,4184.0,Dry
119,2020-09-24,4659.0,Dry
120,2020-09-25,4915.0,Dry
121,2020-09-26,4915.0,Dry
122,2020-09-27,5059.0,Dry
123,2020-09-28,5059.0,Dry
124,2020-09-29,5059.0,Dry
125,2020-09-30,5055.0,Dry
126,2020-10-01,4480.0,Dry
127,2020-10-02,4480.0,Dry
128,2020-10-03,4480.0,Dry
129,2020-10-04,4256.0,Dry
130,2020-10-05,4597.0,Dry
131,2020-10-06,3605.0,Dry
132,2020-10-07,3827.0,Dry
133,2020-10-08,3545.0,Dry
134,2020-10-09,3545.0,Dry
135,2020-10-10,3545.0,Dry
136,2020-10-11,4326.0,Dry
137,2020-10-12,4326.0,Dry
138,2020-10-13,3983.0,Dry
139,2020-10-14,4263.0,Dry
140,2020-10-15,4482.0,Dry
141,2020-10-16,4024.0,Dry
142,2020-10-17,4024.0,Dry
143,2020-10-18,4024.0,Dry
144,2020-10-19,4628.0,Dry
145,2020-10-20,4102.0,Dry
146,2020-10-21,3915.0,Dry
147,2020-10-22,4074.0,Dry
148,2020-10-23,4898.0,Dry
149,2020-10-24,4898.0,Dry
150,2020-10-25,4898.0,Dry
151,2020-10-26,4856.0,Dry
152,2020-10-27,4498.0,Dry
153,2020-10-28,4498.0,Dry
154,2020-10-29,4426.0,Dry
155,2020-10-30,3908.0,Dry
156,2020-10-31,3908.0,Dry
157,2020-11-01,3908.0,Dry
158,2020-11-02,3972.0,Dry
159,2020-11-03,3972.0,Dry
160,2020-11-04,3213.0,Dry
161,2020-11-05,3428.0,Dry
162,2020-11-06,3841.0,Dry
163,2020-11-07,3841.0,Dry
164,2020-11-08,3841.0,Dry
165,2020-11-09,4147.0,Dry
166,2020-11-10,3616.0,Dry
167,2020-11-11,4259.0,Dry
168,2020-11-12,4259.0,Dry
169,2020-11-13,3624.0,Dry
170,2020-11-14,3624.0,Dry
171,2020-11-15,3624.0,Dry
172,2020-11-16,3485.0,Dry
173,2020-11-17,3485.0,Dry
174,2020-11-18,3485.0,Dry
175,2020-11-19,3361.0,Dry
176,2020-11-20,3361.0,Dry
177,2020-11-21,3361.0,Dry
178,2020-11-22,3401.0,Dry
179,2020-11-23,3401.0,Dry
180,2020-11-24,3540.0,Dry
181,2020-11-25,3540.0,Dry
182,2020-11-26,3074.0,Dry
183,2020-11-27,3778.0,Dry
184,2020-11-28,3486.0,Dry
185,2020-11-29,3486.0,Dry
186,2020-11-30,3486.0,Dry
187,2020-12-01,3486.0,Dry
188,2020-12-02,3247.0,Dry
189,2020-12-03,3247.0,Dry
190,2020-12-04,3247.0,Dry
191,2020-12-05,3247.0,Dry
192,2020-12-06,4310.0,Dry
193,2020-12-07,4402.0,Dry
194,2020-12-08,4402.0,Dry
195,2020-12-09,3968.0,Dry
196,2020-12-10,3841.0,Dry
197,2020-12-11,4061.0,Dry
198,2020-12-12,3474.0,Dry
199,2020-12-13,3474.0,Dry
200,2020-12-14,3474.0,Dry
201,2020-12-15,3689.0,Dry
