,date,value,name_B07YB6HSB7
0,2019-09-26,24779.0,Wall & Tabletop Frames
1,2019-09-27,31176.0,Wall & Tabletop Frames
2,2019-09-28,26761.0,Wall & Tabletop Frames
3,2019-09-29,25547.0,Wall & Tabletop Frames
4,2019-09-30,23754.0,Wall & Tabletop Frames
5,2019-10-01,31490.0,Wall & Tabletop Frames
6,2019-10-02,34708.0,Wall & Tabletop Frames
7,2019-10-03,35128.0,Wall & Tabletop Frames
8,2019-10-04,40024.0,Wall & Tabletop Frames
9,2019-10-05,48051.0,Wall & Tabletop Frames
10,2019-10-06,58174.0,Wall & Tabletop Frames
11,2019-10-07,29968.0,Wall & Tabletop Frames
12,2019-10-08,27870.0,Wall & Tabletop Frames
13,2019-10-09,26812.0,Wall & Tabletop Frames
14,2019-10-10,31536.0,Wall & Tabletop Frames
15,2019-10-11,23003.0,Wall & Tabletop Frames
16,2019-10-12,32630.0,Wall & Tabletop Frames
17,2019-10-13,31785.0,Wall & Tabletop Frames
18,2019-10-14,22938.0,Wall & Tabletop Frames
19,2019-10-15,33562.0,Wall & Tabletop Frames
20,2019-10-16,38280.0,Wall & Tabletop Frames
21,2019-10-17,33923.0,Wall & Tabletop Frames
22,2019-10-18,44090.0,Wall & Tabletop Frames
23,2019-10-19,38370.0,Wall & Tabletop Frames
24,2019-10-20,24231.0,Wall & Tabletop Frames
25,2019-10-21,32834.0,Wall & Tabletop Frames
26,2019-10-22,46710.0,Wall & Tabletop Frames
27,2019-10-23,43468.0,Wall & Tabletop Frames
28,2019-10-24,40084.0,Wall & Tabletop Frames
29,2019-10-25,50947.0,Wall & Tabletop Frames
30,2019-10-26,50947.0,Wall & Tabletop Frames
31,2019-10-27,50947.0,Wall & Tabletop Frames
32,2019-10-28,56429.0,Wall & Tabletop Frames
33,2019-10-29,67449.0,Wall & Tabletop Frames
34,2019-10-30,67449.0,Wall & Tabletop Frames
35,2019-10-31,67449.0,Wall & Tabletop Frames
36,2019-11-01,38604.0,Wall & Tabletop Frames
37,2019-11-02,42338.0,Wall & Tabletop Frames
38,2019-11-03,46008.0,Wall & Tabletop Frames
39,2019-11-04,46008.0,Wall & Tabletop Frames
40,2019-11-05,41107.0,Wall & Tabletop Frames
41,2019-11-06,53729.0,Wall & Tabletop Frames
42,2019-11-07,53729.0,Wall & Tabletop Frames
43,2019-11-08,53729.0,Wall & Tabletop Frames
44,2019-11-09,53729.0,Wall & Tabletop Frames
45,2019-11-10,53729.0,Wall & Tabletop Frames
46,2019-11-11,53729.0,Wall & Tabletop Frames
47,2019-11-12,37698.0,Wall & Tabletop Frames
48,2019-11-13,37698.0,Wall & Tabletop Frames
49,2019-11-14,37698.0,Wall & Tabletop Frames
50,2019-11-15,37698.0,Wall & Tabletop Frames
51,2019-11-16,37698.0,Wall & Tabletop Frames
52,2019-11-17,37698.0,Wall & Tabletop Frames
53,2019-11-18,37698.0,Wall & Tabletop Frames
54,2019-11-19,37698.0,Wall & Tabletop Frames
55,2019-11-20,85697.0,Wall & Tabletop Frames
56,2019-11-21,96898.0,Wall & Tabletop Frames
57,2019-11-22,96898.0,Wall & Tabletop Frames
58,2019-11-23,96898.0,Wall & Tabletop Frames
59,2019-11-24,96898.0,Wall & Tabletop Frames
60,2019-11-25,96898.0,Wall & Tabletop Frames
61,2019-11-26,96898.0,Wall & Tabletop Frames
62,2019-11-27,62871.0,Wall & Tabletop Frames
63,2019-11-28,62871.0,Wall & Tabletop Frames
64,2019-11-29,60760.0,Wall & Tabletop Frames
65,2019-11-30,60760.0,Wall & Tabletop Frames
66,2019-12-01,60760.0,Wall & Tabletop Frames
67,2019-12-02,60760.0,Wall & Tabletop Frames
68,2019-12-03,60760.0,Wall & Tabletop Frames
69,2019-12-04,25003.0,Wall & Tabletop Frames
70,2019-12-05,25003.0,Wall & Tabletop Frames
71,2019-12-06,25003.0,Wall & Tabletop Frames
72,2019-12-07,25003.0,Wall & Tabletop Frames
73,2019-12-08,25003.0,Wall & Tabletop Frames
74,2019-12-09,15215.0,Wall & Tabletop Frames
75,2019-12-10,15215.0,Wall & Tabletop Frames
76,2019-12-11,15215.0,Wall & Tabletop Frames
77,2019-12-12,15215.0,Wall & Tabletop Frames
78,2019-12-13,15215.0,Wall & Tabletop Frames
79,2019-12-14,15215.0,Wall & Tabletop Frames
80,2019-12-15,15522.0,Wall & Tabletop Frames
81,2019-12-16,10309.0,Wall & Tabletop Frames
82,2019-12-17,9987.0,Wall & Tabletop Frames
83,2019-12-18,11148.0,Wall & Tabletop Frames
84,2019-12-19,11148.0,Wall & Tabletop Frames
85,2019-12-20,11148.0,Wall & Tabletop Frames
86,2019-12-21,11148.0,Wall & Tabletop Frames
87,2019-12-22,11148.0,Wall & Tabletop Frames
88,2019-12-23,12998.0,Wall & Tabletop Frames
89,2019-12-24,12998.0,Wall & Tabletop Frames
90,2019-12-25,12998.0,Wall & Tabletop Frames
91,2019-12-26,12998.0,Wall & Tabletop Frames
92,2019-12-27,13612.0,Wall & Tabletop Frames
93,2019-12-28,13612.0,Wall & Tabletop Frames
94,2019-12-29,13612.0,Wall & Tabletop Frames
95,2019-12-30,11773.0,Wall & Tabletop Frames
96,2019-12-31,11773.0,Wall & Tabletop Frames
97,2020-01-01,11773.0,Wall & Tabletop Frames
98,2020-01-02,11773.0,Wall & Tabletop Frames
99,2020-01-03,11773.0,Wall & Tabletop Frames
100,2020-01-04,11773.0,Wall & Tabletop Frames
101,2020-01-05,11773.0,Wall & Tabletop Frames
