,date,value,name_B07YQ8Z6KR
0,2019-10-06,18041.0,Spice Racks
1,2019-10-07,28123.0,Spice Racks
2,2019-10-08,41985.0,Spice Racks
3,2019-10-09,23528.0,Spice Racks
4,2019-10-10,28098.0,Spice Racks
5,2019-10-11,30495.0,Spice Racks
6,2019-10-12,46203.0,Spice Racks
7,2019-10-13,30834.0,Spice Racks
8,2019-10-14,22319.0,Spice Racks
9,2019-10-15,20591.0,Spice Racks
10,2019-10-16,36218.0,Spice Racks
11,2019-10-17,30362.0,Spice Racks
12,2019-10-18,36472.0,Spice Racks
13,2019-10-19,25202.0,Spice Racks
14,2019-10-20,19980.0,Spice Racks
15,2019-10-21,22692.0,Spice Racks
16,2019-10-22,27717.0,Spice Racks
17,2019-10-23,22586.0,Spice Racks
18,2019-10-24,20899.0,Spice Racks
19,2019-10-25,21912.0,Spice Racks
20,2019-10-26,23953.0,Spice Racks
21,2019-10-27,18874.0,Spice Racks
22,2019-10-28,22150.0,Spice Racks
23,2019-10-29,20855.0,Spice Racks
24,2019-10-30,15533.0,Spice Racks
25,2019-10-31,26499.0,Spice Racks
26,2019-11-01,35078.0,Spice Racks
27,2019-11-02,32181.0,Spice Racks
28,2019-11-03,25480.0,Spice Racks
29,2019-11-04,26321.0,Spice Racks
30,2019-11-05,23168.0,Spice Racks
31,2019-11-06,22652.0,Spice Racks
32,2019-11-07,22652.0,Spice Racks
33,2019-11-08,22652.0,Spice Racks
34,2019-11-09,22652.0,Spice Racks
35,2019-11-10,22652.0,Spice Racks
36,2019-11-11,20674.0,Spice Racks
37,2019-11-12,20674.0,Spice Racks
38,2019-11-13,20674.0,Spice Racks
39,2019-11-14,20674.0,Spice Racks
40,2019-11-15,22142.0,Spice Racks
41,2019-11-16,22142.0,Spice Racks
42,2019-11-17,22142.0,Spice Racks
43,2019-11-18,21919.0,Spice Racks
44,2019-11-19,21919.0,Spice Racks
45,2019-11-20,13559.0,Spice Racks
46,2019-11-21,14752.0,Spice Racks
47,2019-11-22,14752.0,Spice Racks
48,2019-11-23,14752.0,Spice Racks
49,2019-11-24,14752.0,Spice Racks
50,2019-11-25,23283.0,Spice Racks
51,2019-11-26,22609.0,Spice Racks
52,2019-11-27,22609.0,Spice Racks
53,2019-11-28,22609.0,Spice Racks
54,2019-11-29,20943.0,Spice Racks
55,2019-11-30,20943.0,Spice Racks
56,2019-12-01,20943.0,Spice Racks
57,2019-12-02,13359.0,Spice Racks
58,2019-12-03,13359.0,Spice Racks
59,2019-12-04,13359.0,Spice Racks
60,2019-12-05,19366.0,Spice Racks
61,2019-12-06,19366.0,Spice Racks
62,2019-12-07,19366.0,Spice Racks
63,2019-12-08,16489.0,Spice Racks
64,2019-12-09,15067.0,Spice Racks
65,2019-12-10,15067.0,Spice Racks
66,2019-12-11,21259.0,Spice Racks
67,2019-12-12,21259.0,Spice Racks
68,2019-12-13,21259.0,Spice Racks
69,2019-12-14,21259.0,Spice Racks
70,2019-12-15,21259.0,Spice Racks
71,2019-12-16,30668.0,Spice Racks
72,2019-12-17,30668.0,Spice Racks
73,2019-12-18,25569.0,Spice Racks
74,2019-12-19,25569.0,Spice Racks
75,2019-12-20,25569.0,Spice Racks
76,2019-12-21,25569.0,Spice Racks
77,2019-12-22,25569.0,Spice Racks
78,2019-12-23,24529.0,Spice Racks
79,2019-12-24,24529.0,Spice Racks
80,2019-12-25,13870.0,Spice Racks
81,2019-12-26,13870.0,Spice Racks
82,2019-12-27,13870.0,Spice Racks
83,2019-12-28,13870.0,Spice Racks
84,2019-12-29,13870.0,Spice Racks
85,2019-12-30,13870.0,Spice Racks
86,2019-12-31,9592.0,Spice Racks
87,2020-01-01,9592.0,Spice Racks
88,2020-01-02,9592.0,Spice Racks
89,2020-01-03,9592.0,Spice Racks
90,2020-01-04,15704.0,Spice Racks
91,2020-01-05,18668.0,Spice Racks
92,2020-01-06,18668.0,Spice Racks
93,2020-01-07,15976.0,Spice Racks
94,2020-01-08,19366.0,Spice Racks
95,2020-01-09,12602.0,Spice Racks
96,2020-01-10,12602.0,Spice Racks
97,2020-01-11,12602.0,Spice Racks
98,2020-01-12,12602.0,Spice Racks
99,2020-01-13,12602.0,Spice Racks
100,2020-01-14,15893.0,Spice Racks
101,2020-01-15,12024.0,Spice Racks
102,2020-01-16,12024.0,Spice Racks
103,2020-01-17,12024.0,Spice Racks
104,2020-01-18,8763.0,Spice Racks
105,2020-01-19,8763.0,Spice Racks
106,2020-01-20,11808.0,Spice Racks
107,2020-01-21,11808.0,Spice Racks
108,2020-01-22,11808.0,Spice Racks
109,2020-01-23,12614.0,Spice Racks
110,2020-01-24,12614.0,Spice Racks
111,2020-01-25,12614.0,Spice Racks
112,2020-01-26,13124.0,Spice Racks
113,2020-01-27,13124.0,Spice Racks
114,2020-01-28,16401.0,Spice Racks
115,2020-01-29,16401.0,Spice Racks
116,2020-01-30,16401.0,Spice Racks
117,2020-01-31,16401.0,Spice Racks
118,2020-02-01,16401.0,Spice Racks
119,2020-02-02,12331.0,Spice Racks
120,2020-02-03,12331.0,Spice Racks
121,2020-02-04,15622.0,Spice Racks
122,2020-02-05,15622.0,Spice Racks
123,2020-02-06,15622.0,Spice Racks
124,2020-02-07,10272.0,Spice Racks
125,2020-02-08,10272.0,Spice Racks
126,2020-02-09,10272.0,Spice Racks
127,2020-02-10,10272.0,Spice Racks
128,2020-02-11,10272.0,Spice Racks
129,2020-02-12,10272.0,Spice Racks
130,2020-02-13,10272.0,Spice Racks
131,2020-02-14,28217.0,Spice Racks
132,2020-02-15,28217.0,Spice Racks
133,2020-02-16,28217.0,Spice Racks
134,2020-02-17,10470.0,Spice Racks
135,2020-02-18,10470.0,Spice Racks
136,2020-02-19,10470.0,Spice Racks
137,2020-02-20,20689.0,Spice Racks
138,2020-02-21,20689.0,Spice Racks
139,2020-02-22,20689.0,Spice Racks
140,2020-02-23,13593.0,Spice Racks
141,2020-02-24,13593.0,Spice Racks
142,2020-02-25,13593.0,Spice Racks
143,2020-02-26,13593.0,Spice Racks
144,2020-02-27,11703.0,Spice Racks
145,2020-02-28,11703.0,Spice Racks
146,2020-02-29,17649.0,Spice Racks
147,2020-03-01,17649.0,Spice Racks
148,2020-03-02,12306.0,Spice Racks
149,2020-03-03,12306.0,Spice Racks
150,2020-03-04,28200.0,Spice Racks
151,2020-03-05,28200.0,Spice Racks
152,2020-03-06,28200.0,Spice Racks
153,2020-03-07,28200.0,Spice Racks
154,2020-03-08,28200.0,Spice Racks
155,2020-03-09,28200.0,Spice Racks
156,2020-03-10,-1.0,Spice Racks
