,date,value,name_B07YSCCC9R
0,2019-10-08,20134.0,Food Jars & Canisters
1,2019-10-09,23196.0,Food Jars & Canisters
2,2019-10-10,24066.0,Food Jars & Canisters
3,2019-10-11,23306.0,Food Jars & Canisters
4,2019-10-12,34606.0,Food Jars & Canisters
5,2019-10-13,30924.0,Food Jars & Canisters
6,2019-10-14,24195.0,Food Jars & Canisters
7,2019-10-15,25387.0,Food Jars & Canisters
8,2019-10-16,30792.0,Food Jars & Canisters
9,2019-10-17,20117.0,Food Jars & Canisters
10,2019-10-18,21593.0,Food Jars & Canisters
11,2019-10-19,20056.0,Food Jars & Canisters
12,2019-10-20,19735.0,Food Jars & Canisters
13,2019-10-21,18344.0,Food Jars & Canisters
14,2019-10-22,21911.0,Food Jars & Canisters
15,2019-10-23,23661.0,Food Jars & Canisters
16,2019-10-24,19826.0,Food Jars & Canisters
17,2019-10-25,13067.0,Food Jars & Canisters
18,2019-10-26,22627.0,Food Jars & Canisters
19,2019-10-27,22800.0,Food Jars & Canisters
20,2019-10-28,24803.0,Food Jars & Canisters
21,2019-10-29,23323.0,Food Jars & Canisters
22,2019-10-30,22964.0,Food Jars & Canisters
23,2019-10-31,18235.0,Food Jars & Canisters
24,2019-11-01,21249.0,Food Jars & Canisters
25,2019-11-02,21883.0,Food Jars & Canisters
26,2019-11-03,18097.0,Food Jars & Canisters
27,2019-11-04,18366.0,Food Jars & Canisters
28,2019-11-05,22466.0,Food Jars & Canisters
29,2019-11-06,21744.0,Food Jars & Canisters
30,2019-11-07,17552.0,Food Jars & Canisters
31,2019-11-08,17552.0,Food Jars & Canisters
32,2019-11-09,17552.0,Food Jars & Canisters
33,2019-11-10,17552.0,Food Jars & Canisters
34,2019-11-11,17552.0,Food Jars & Canisters
35,2019-11-12,17552.0,Food Jars & Canisters
36,2019-11-13,14626.0,Food Jars & Canisters
37,2019-11-14,14626.0,Food Jars & Canisters
38,2019-11-15,17918.0,Food Jars & Canisters
39,2019-11-16,13946.0,Food Jars & Canisters
40,2019-11-17,13946.0,Food Jars & Canisters
41,2019-11-18,13946.0,Food Jars & Canisters
42,2019-11-19,11483.0,Food Jars & Canisters
43,2019-11-20,11483.0,Food Jars & Canisters
44,2019-11-21,15094.0,Food Jars & Canisters
45,2019-11-22,15094.0,Food Jars & Canisters
46,2019-11-23,15094.0,Food Jars & Canisters
47,2019-11-24,15094.0,Food Jars & Canisters
48,2019-11-25,11122.0,Food Jars & Canisters
49,2019-11-26,13497.0,Food Jars & Canisters
50,2019-11-27,19550.0,Food Jars & Canisters
51,2019-11-28,12498.0,Food Jars & Canisters
52,2019-11-29,12498.0,Food Jars & Canisters
53,2019-11-30,12498.0,Food Jars & Canisters
54,2019-12-01,8628.0,Food Jars & Canisters
55,2019-12-02,8628.0,Food Jars & Canisters
56,2019-12-03,9941.0,Food Jars & Canisters
57,2019-12-04,9941.0,Food Jars & Canisters
58,2019-12-05,9941.0,Food Jars & Canisters
59,2019-12-06,18189.0,Food Jars & Canisters
60,2019-12-07,20498.0,Food Jars & Canisters
61,2019-12-08,20498.0,Food Jars & Canisters
62,2019-12-09,10724.0,Food Jars & Canisters
63,2019-12-10,10724.0,Food Jars & Canisters
64,2019-12-11,10724.0,Food Jars & Canisters
65,2019-12-12,10724.0,Food Jars & Canisters
66,2019-12-13,13348.0,Food Jars & Canisters
67,2019-12-14,13348.0,Food Jars & Canisters
68,2019-12-15,13348.0,Food Jars & Canisters
69,2019-12-16,13888.0,Food Jars & Canisters
70,2019-12-17,13888.0,Food Jars & Canisters
71,2019-12-18,12067.0,Food Jars & Canisters
72,2019-12-19,12067.0,Food Jars & Canisters
73,2019-12-20,11453.0,Food Jars & Canisters
74,2019-12-21,11098.0,Food Jars & Canisters
75,2019-12-22,11098.0,Food Jars & Canisters
76,2019-12-23,11729.0,Food Jars & Canisters
77,2019-12-24,11729.0,Food Jars & Canisters
78,2019-12-25,11729.0,Food Jars & Canisters
79,2019-12-26,8854.0,Food Jars & Canisters
80,2019-12-27,8854.0,Food Jars & Canisters
81,2019-12-28,8854.0,Food Jars & Canisters
82,2019-12-29,8854.0,Food Jars & Canisters
83,2019-12-30,7369.0,Food Jars & Canisters
84,2019-12-31,7369.0,Food Jars & Canisters
85,2020-01-01,7369.0,Food Jars & Canisters
86,2020-01-02,6291.0,Food Jars & Canisters
87,2020-01-03,6291.0,Food Jars & Canisters
88,2020-01-04,4522.0,Food Jars & Canisters
89,2020-01-05,4522.0,Food Jars & Canisters
90,2020-01-06,3875.0,Food Jars & Canisters
91,2020-01-07,3875.0,Food Jars & Canisters
92,2020-01-08,5122.0,Food Jars & Canisters
93,2020-01-09,6569.0,Food Jars & Canisters
94,2020-01-10,6569.0,Food Jars & Canisters
95,2020-01-11,6569.0,Food Jars & Canisters
96,2020-01-12,6569.0,Food Jars & Canisters
97,2020-01-13,8095.0,Food Jars & Canisters
98,2020-01-14,8295.0,Food Jars & Canisters
99,2020-01-15,8295.0,Food Jars & Canisters
100,2020-01-16,5857.0,Food Jars & Canisters
101,2020-01-17,5857.0,Food Jars & Canisters
102,2020-01-18,5857.0,Food Jars & Canisters
103,2020-01-19,5857.0,Food Jars & Canisters
104,2020-01-20,4756.0,Food Jars & Canisters
105,2020-01-21,4756.0,Food Jars & Canisters
106,2020-01-22,4756.0,Food Jars & Canisters
107,2020-01-23,5728.0,Food Jars & Canisters
108,2020-01-24,5728.0,Food Jars & Canisters
109,2020-01-25,5728.0,Food Jars & Canisters
110,2020-01-26,5728.0,Food Jars & Canisters
111,2020-01-27,4504.0,Food Jars & Canisters
112,2020-01-28,4504.0,Food Jars & Canisters
113,2020-01-29,4504.0,Food Jars & Canisters
114,2020-01-30,4231.0,Food Jars & Canisters
115,2020-01-31,3894.0,Food Jars & Canisters
116,2020-02-01,3894.0,Food Jars & Canisters
