,date,value,name_B07YV8KSBT
0,2019-12-23,1263.0,Pillowcases
1,2019-12-24,1231.0,Pillowcases
2,2019-12-25,872.0,Pillowcases
3,2019-12-26,818.0,Pillowcases
4,2019-12-27,606.0,Pillowcases
5,2019-12-28,509.0,Pillowcases
6,2019-12-29,439.0,Pillowcases
7,2019-12-30,420.0,Pillowcases
8,2019-12-31,420.0,Pillowcases
9,2020-01-01,319.0,Pillowcases
10,2020-01-02,376.0,Pillowcases
11,2020-01-03,341.0,Pillowcases
12,2020-01-04,364.0,Pillowcases
13,2020-01-05,309.0,Pillowcases
14,2020-01-06,339.0,Pillowcases
15,2020-01-07,380.0,Pillowcases
16,2020-01-08,507.0,Pillowcases
17,2020-01-09,493.0,Pillowcases
18,2020-01-10,539.0,Pillowcases
19,2020-01-11,637.0,Pillowcases
20,2020-01-12,583.0,Pillowcases
21,2020-01-13,436.0,Pillowcases
22,2020-01-14,477.0,Pillowcases
23,2020-01-15,445.0,Pillowcases
24,2020-01-16,493.0,Pillowcases
25,2020-01-17,492.0,Pillowcases
26,2020-01-18,480.0,Pillowcases
27,2020-01-19,472.0,Pillowcases
28,2020-01-20,409.0,Pillowcases
29,2020-01-21,409.0,Pillowcases
30,2020-01-22,406.0,Pillowcases
31,2020-01-23,474.0,Pillowcases
32,2020-01-24,510.0,Pillowcases
33,2020-01-25,454.0,Pillowcases
34,2020-01-26,430.0,Pillowcases
35,2020-01-27,457.0,Pillowcases
36,2020-01-28,459.0,Pillowcases
37,2020-01-29,531.0,Pillowcases
38,2020-01-30,504.0,Pillowcases
39,2020-01-31,563.0,Pillowcases
40,2020-02-01,565.0,Pillowcases
41,2020-02-02,524.0,Pillowcases
42,2020-02-03,439.0,Pillowcases
43,2020-02-04,451.0,Pillowcases
44,2020-02-05,491.0,Pillowcases
45,2020-02-06,491.0,Pillowcases
46,2020-02-07,587.0,Pillowcases
47,2020-02-08,587.0,Pillowcases
48,2020-02-09,587.0,Pillowcases
49,2020-02-10,548.0,Pillowcases
50,2020-02-11,548.0,Pillowcases
51,2020-02-12,530.0,Pillowcases
52,2020-02-13,530.0,Pillowcases
53,2020-02-14,525.0,Pillowcases
54,2020-02-15,525.0,Pillowcases
55,2020-02-16,401.0,Pillowcases
56,2020-02-17,401.0,Pillowcases
57,2020-02-18,208.0,Pillowcases
58,2020-02-19,208.0,Pillowcases
59,2020-02-20,363.0,Pillowcases
60,2020-02-21,458.0,Pillowcases
61,2020-02-22,572.0,Pillowcases
62,2020-02-23,627.0,Pillowcases
63,2020-02-24,458.0,Pillowcases
64,2020-02-25,480.0,Pillowcases
65,2020-02-26,411.0,Pillowcases
66,2020-02-27,411.0,Pillowcases
67,2020-02-28,439.0,Pillowcases
68,2020-02-29,460.0,Pillowcases
69,2020-03-01,446.0,Pillowcases
70,2020-03-02,396.0,Pillowcases
71,2020-03-03,387.0,Pillowcases
72,2020-03-04,406.0,Pillowcases
73,2020-03-05,425.0,Pillowcases
74,2020-03-06,428.0,Pillowcases
75,2020-03-07,399.0,Pillowcases
76,2020-03-08,399.0,Pillowcases
77,2020-03-09,399.0,Pillowcases
78,2020-03-10,361.0,Pillowcases
79,2020-03-11,332.0,Pillowcases
80,2020-03-12,332.0,Pillowcases
81,2020-03-13,332.0,Pillowcases
82,2020-03-14,455.0,Pillowcases
83,2020-03-15,396.0,Pillowcases
84,2020-03-16,396.0,Pillowcases
85,2020-03-17,396.0,Pillowcases
86,2020-03-18,653.0,Pillowcases
87,2020-03-19,653.0,Pillowcases
88,2020-03-20,653.0,Pillowcases
89,2020-03-21,1396.0,Pillowcases
90,2020-03-22,1396.0,Pillowcases
91,2020-03-23,1396.0,Pillowcases
92,2020-03-24,1396.0,Pillowcases
93,2020-03-25,1396.0,Pillowcases
94,2020-03-26,1396.0,Pillowcases
95,2020-03-27,1533.0,Pillowcases
96,2020-03-28,1533.0,Pillowcases
97,2020-03-29,1533.0,Pillowcases
98,2020-03-30,1533.0,Pillowcases
99,2020-03-31,1533.0,Pillowcases
100,2020-04-01,1586.0,Pillowcases
101,2020-04-02,1586.0,Pillowcases
102,2020-04-03,1586.0,Pillowcases
103,2020-04-04,1827.0,Pillowcases
104,2020-04-05,1827.0,Pillowcases
105,2020-04-06,1827.0,Pillowcases
106,2020-04-07,1827.0,Pillowcases
107,2020-04-08,1827.0,Pillowcases
108,2020-04-09,1827.0,Pillowcases
109,2020-04-10,1827.0,Pillowcases
110,2020-04-11,1827.0,Pillowcases
111,2020-04-12,1827.0,Pillowcases
112,2020-04-13,1827.0,Pillowcases
113,2020-04-14,1827.0,Pillowcases
114,2020-04-15,1827.0,Pillowcases
115,2020-04-16,1827.0,Pillowcases
116,2020-04-17,1827.0,Pillowcases
117,2020-04-18,1827.0,Pillowcases
118,2020-04-19,1827.0,Pillowcases
119,2020-04-20,1827.0,Pillowcases
120,2020-04-21,1827.0,Pillowcases
121,2020-04-22,1827.0,Pillowcases
122,2020-04-23,1827.0,Pillowcases
123,2020-04-24,1827.0,Pillowcases
124,2020-04-25,1827.0,Pillowcases
125,2020-04-26,1827.0,Pillowcases
126,2020-04-27,1827.0,Pillowcases
127,2020-04-28,550.0,Pillowcases
128,2020-04-29,550.0,Pillowcases
129,2020-04-30,550.0,Pillowcases
130,2020-05-01,550.0,Pillowcases
131,2020-05-02,550.0,Pillowcases
132,2020-05-03,787.0,Pillowcases
133,2020-05-04,787.0,Pillowcases
134,2020-05-05,787.0,Pillowcases
135,2020-05-06,787.0,Pillowcases
136,2020-05-07,787.0,Pillowcases
137,2020-05-08,785.0,Pillowcases
138,2020-05-09,785.0,Pillowcases
139,2020-05-10,635.0,Pillowcases
140,2020-05-11,635.0,Pillowcases
141,2020-05-12,635.0,Pillowcases
142,2020-05-13,631.0,Pillowcases
143,2020-05-14,556.0,Pillowcases
144,2020-05-15,564.0,Pillowcases
145,2020-05-16,564.0,Pillowcases
146,2020-05-17,564.0,Pillowcases
147,2020-05-18,564.0,Pillowcases
148,2020-05-19,564.0,Pillowcases
149,2020-05-20,564.0,Pillowcases
150,2020-05-21,551.0,Pillowcases
151,2020-05-22,551.0,Pillowcases
152,2020-05-23,551.0,Pillowcases
153,2020-05-24,551.0,Pillowcases
154,2020-05-25,682.0,Pillowcases
155,2020-05-26,682.0,Pillowcases
156,2020-05-27,699.0,Pillowcases
157,2020-05-28,699.0,Pillowcases
158,2020-05-29,668.0,Pillowcases
159,2020-05-30,668.0,Pillowcases
160,2020-05-31,668.0,Pillowcases
161,2020-06-01,668.0,Pillowcases
162,2020-06-02,668.0,Pillowcases
163,2020-06-03,726.0,Pillowcases
164,2020-06-04,651.0,Pillowcases
165,2020-06-05,651.0,Pillowcases
166,2020-06-06,651.0,Pillowcases
167,2020-06-07,651.0,Pillowcases
168,2020-06-08,651.0,Pillowcases
169,2020-06-09,651.0,Pillowcases
170,2020-06-10,598.0,Pillowcases
171,2020-06-11,598.0,Pillowcases
172,2020-06-12,598.0,Pillowcases
173,2020-06-13,598.0,Pillowcases
174,2020-06-14,598.0,Pillowcases
175,2020-06-15,598.0,Pillowcases
176,2020-06-16,531.0,Pillowcases
177,2020-06-17,531.0,Pillowcases
178,2020-06-18,528.0,Pillowcases
179,2020-06-19,528.0,Pillowcases
180,2020-06-20,528.0,Pillowcases
181,2020-06-21,507.0,Pillowcases
182,2020-06-22,533.0,Pillowcases
183,2020-06-23,533.0,Pillowcases
184,2020-06-24,495.0,Pillowcases
185,2020-06-25,495.0,Pillowcases
186,2020-06-26,495.0,Pillowcases
187,2020-06-27,495.0,Pillowcases
188,2020-06-28,495.0,Pillowcases
189,2020-06-29,384.0,Pillowcases
190,2020-06-30,384.0,Pillowcases
191,2020-07-01,384.0,Pillowcases
192,2020-07-02,384.0,Pillowcases
193,2020-07-03,384.0,Pillowcases
194,2020-07-04,384.0,Pillowcases
195,2020-07-05,384.0,Pillowcases
196,2020-07-06,1081.0,Pillowcases
197,2020-07-07,1081.0,Pillowcases
198,2020-07-08,1081.0,Pillowcases
199,2020-07-09,1081.0,Pillowcases
200,2020-07-10,1081.0,Pillowcases
201,2020-07-11,1081.0,Pillowcases
202,2020-07-12,824.0,Pillowcases
203,2020-07-13,824.0,Pillowcases
204,2020-07-14,824.0,Pillowcases
205,2020-07-15,1928.0,Pillowcases
206,2020-07-16,1928.0,Pillowcases
207,2020-07-17,1928.0,Pillowcases
208,2020-07-18,1928.0,Pillowcases
209,2020-07-19,1928.0,Pillowcases
210,2020-07-20,1928.0,Pillowcases
211,2020-07-21,1746.0,Pillowcases
212,2020-07-22,1746.0,Pillowcases
213,2020-07-23,1746.0,Pillowcases
214,2020-07-24,1213.0,Pillowcases
215,2020-07-25,1213.0,Pillowcases
216,2020-07-26,1213.0,Pillowcases
217,2020-07-27,963.0,Pillowcases
218,2020-07-28,963.0,Pillowcases
219,2020-07-29,1019.0,Pillowcases
220,2020-07-30,1019.0,Pillowcases
221,2020-07-31,1019.0,Pillowcases
222,2020-08-01,1214.0,Pillowcases
223,2020-08-02,924.0,Pillowcases
224,2020-08-03,924.0,Pillowcases
225,2020-08-04,1008.0,Pillowcases
226,2020-08-05,1027.0,Pillowcases
227,2020-08-06,1027.0,Pillowcases
228,2020-08-07,1126.0,Pillowcases
229,2020-08-08,1079.0,Pillowcases
230,2020-08-09,1134.0,Pillowcases
231,2020-08-10,1079.0,Pillowcases
232,2020-08-11,1079.0,Pillowcases
233,2020-08-12,1055.0,Pillowcases
234,2020-08-13,1150.0,Pillowcases
235,2020-08-14,1223.0,Pillowcases
236,2020-08-15,1217.0,Pillowcases
237,2020-08-16,1217.0,Pillowcases
238,2020-08-17,1644.0,Pillowcases
239,2020-08-18,1955.0,Pillowcases
240,2020-08-19,1955.0,Pillowcases
241,2020-08-20,2948.0,Pillowcases
242,2020-08-21,3995.0,Pillowcases
243,2020-08-22,4781.0,Pillowcases
244,2020-08-23,4631.0,Pillowcases
245,2020-08-24,4631.0,Pillowcases
246,2020-08-25,5961.0,Pillowcases
247,2020-08-26,5637.0,Pillowcases
248,2020-08-27,4795.0,Pillowcases
249,2020-08-28,4803.0,Pillowcases
250,2020-08-29,4643.0,Pillowcases
251,2020-08-30,3529.0,Pillowcases
252,2020-08-31,2633.0,Pillowcases
253,2020-09-01,1901.0,Pillowcases
254,2020-09-02,1810.0,Pillowcases
255,2020-09-03,1926.0,Pillowcases
256,2020-09-04,1926.0,Pillowcases
257,2020-09-05,2394.0,Pillowcases
258,2020-09-06,2045.0,Pillowcases
259,2020-09-07,2058.0,Pillowcases
260,2020-09-08,1421.0,Pillowcases
261,2020-09-09,1421.0,Pillowcases
262,2020-09-10,1198.0,Pillowcases
263,2020-09-11,1235.0,Pillowcases
264,2020-09-12,1145.0,Pillowcases
265,2020-09-13,1093.0,Pillowcases
266,2020-09-14,1024.0,Pillowcases
267,2020-09-15,1049.0,Pillowcases
268,2020-09-16,1018.0,Pillowcases
269,2020-09-17,1096.0,Pillowcases
270,2020-09-18,1265.0,Pillowcases
271,2020-09-19,1078.0,Pillowcases
272,2020-09-20,1072.0,Pillowcases
273,2020-09-21,1072.0,Pillowcases
274,2020-09-22,1215.0,Pillowcases
275,2020-09-23,1337.0,Pillowcases
276,2020-09-24,1633.0,Pillowcases
277,2020-09-25,513034.0,Pillowcases
278,2020-09-26,559188.0,Pillowcases
279,2020-09-27,592908.0,Pillowcases
280,2020-09-28,641656.0,Pillowcases
281,2020-09-29,671565.0,Pillowcases
282,2020-09-30,679432.0,Pillowcases
283,2020-10-01,682894.0,Pillowcases
284,2020-10-02,729087.0,Pillowcases
285,2020-10-03,724010.0,Pillowcases
286,2020-10-04,751221.0,Pillowcases
287,2020-10-05,845.0,Pillowcases
288,2020-10-06,869.0,Pillowcases
289,2020-10-07,872.0,Pillowcases
290,2020-10-08,872.0,Pillowcases
