,date,value,name_B07YYWQNDW
0,2019-10-24,247932.0,Sheet & Pillowcase Sets
1,2019-10-25,334460.0,Sheet & Pillowcase Sets
2,2019-10-26,177728.0,Sheet & Pillowcase Sets
3,2019-10-27,167349.0,Sheet & Pillowcase Sets
4,2019-10-28,140684.0,Sheet & Pillowcase Sets
5,2019-10-29,168825.0,Sheet & Pillowcase Sets
6,2019-10-30,125786.0,Sheet & Pillowcase Sets
7,2019-10-31,151342.0,Sheet & Pillowcase Sets
8,2019-11-01,50555.0,Sheet & Pillowcase Sets
9,2019-11-02,45246.0,Sheet & Pillowcase Sets
10,2019-11-03,72064.0,Sheet & Pillowcase Sets
11,2019-11-04,91281.0,Sheet & Pillowcase Sets
12,2019-11-05,62244.0,Sheet & Pillowcase Sets
13,2019-11-06,47331.0,Sheet & Pillowcase Sets
14,2019-11-07,40554.0,Sheet & Pillowcase Sets
15,2019-11-08,40554.0,Sheet & Pillowcase Sets
16,2019-11-09,26470.0,Sheet & Pillowcase Sets
17,2019-11-10,42369.0,Sheet & Pillowcase Sets
18,2019-11-11,51302.0,Sheet & Pillowcase Sets
19,2019-11-12,80423.0,Sheet & Pillowcase Sets
20,2019-11-13,80423.0,Sheet & Pillowcase Sets
21,2019-11-14,80423.0,Sheet & Pillowcase Sets
22,2019-11-15,100250.0,Sheet & Pillowcase Sets
23,2019-11-16,100250.0,Sheet & Pillowcase Sets
24,2019-11-17,117270.0,Sheet & Pillowcase Sets
25,2019-11-18,117270.0,Sheet & Pillowcase Sets
26,2019-11-19,117270.0,Sheet & Pillowcase Sets
27,2019-11-20,117270.0,Sheet & Pillowcase Sets
28,2019-11-21,117270.0,Sheet & Pillowcase Sets
29,2019-11-22,117270.0,Sheet & Pillowcase Sets
30,2019-11-23,27859.0,Sheet & Pillowcase Sets
31,2019-11-24,27859.0,Sheet & Pillowcase Sets
32,2019-11-25,32649.0,Sheet & Pillowcase Sets
33,2019-11-26,32649.0,Sheet & Pillowcase Sets
34,2019-11-27,32649.0,Sheet & Pillowcase Sets
35,2019-11-28,32649.0,Sheet & Pillowcase Sets
36,2019-11-29,32649.0,Sheet & Pillowcase Sets
37,2019-11-30,21993.0,Sheet & Pillowcase Sets
38,2019-12-01,28326.0,Sheet & Pillowcase Sets
39,2019-12-02,28326.0,Sheet & Pillowcase Sets
40,2019-12-03,51171.0,Sheet & Pillowcase Sets
41,2019-12-04,51171.0,Sheet & Pillowcase Sets
42,2019-12-05,51171.0,Sheet & Pillowcase Sets
43,2019-12-06,51171.0,Sheet & Pillowcase Sets
44,2019-12-07,51171.0,Sheet & Pillowcase Sets
45,2019-12-08,51171.0,Sheet & Pillowcase Sets
46,2019-12-09,274302.0,Sheet & Pillowcase Sets
47,2019-12-10,274302.0,Sheet & Pillowcase Sets
48,2019-12-11,274302.0,Sheet & Pillowcase Sets
49,2019-12-12,274302.0,Sheet & Pillowcase Sets
50,2019-12-13,274302.0,Sheet & Pillowcase Sets
51,2019-12-14,132249.0,Sheet & Pillowcase Sets
52,2019-12-15,132249.0,Sheet & Pillowcase Sets
53,2019-12-16,132249.0,Sheet & Pillowcase Sets
54,2019-12-17,51459.0,Sheet & Pillowcase Sets
55,2019-12-18,51459.0,Sheet & Pillowcase Sets
56,2019-12-19,51459.0,Sheet & Pillowcase Sets
57,2019-12-20,51459.0,Sheet & Pillowcase Sets
58,2019-12-21,51459.0,Sheet & Pillowcase Sets
59,2019-12-22,32580.0,Sheet & Pillowcase Sets
60,2019-12-23,31401.0,Sheet & Pillowcase Sets
61,2019-12-24,31401.0,Sheet & Pillowcase Sets
