,date,value,name_B07YZ5HGYC
0,2019-10-21,155764.0,Container Sets
1,2019-10-22,100052.0,Container Sets
2,2019-10-23,17237.0,Container Sets
3,2019-10-24,10768.0,Container Sets
4,2019-10-25,9574.0,Container Sets
5,2019-10-26,10140.0,Container Sets
6,2019-10-27,13912.0,Container Sets
7,2019-10-28,12741.0,Container Sets
8,2019-10-29,11829.0,Container Sets
9,2019-10-30,9862.0,Container Sets
10,2019-10-31,9413.0,Container Sets
11,2019-11-01,6088.0,Container Sets
12,2019-11-02,7790.0,Container Sets
13,2019-11-03,13012.0,Container Sets
14,2019-11-04,12312.0,Container Sets
15,2019-11-05,9016.0,Container Sets
16,2019-11-06,10846.0,Container Sets
17,2019-11-07,7647.0,Container Sets
18,2019-11-08,6070.0,Container Sets
19,2019-11-09,7317.0,Container Sets
20,2019-11-10,7452.0,Container Sets
21,2019-11-11,6565.0,Container Sets
22,2019-11-12,5597.0,Container Sets
23,2019-11-13,7040.0,Container Sets
24,2019-11-14,6812.0,Container Sets
25,2019-11-15,6206.0,Container Sets
26,2019-11-16,6154.0,Container Sets
27,2019-11-17,6154.0,Container Sets
28,2019-11-18,7572.0,Container Sets
29,2019-11-19,7572.0,Container Sets
30,2019-11-20,5619.0,Container Sets
31,2019-11-21,5516.0,Container Sets
32,2019-11-22,5516.0,Container Sets
33,2019-11-23,5516.0,Container Sets
34,2019-11-24,5516.0,Container Sets
35,2019-11-25,14735.0,Container Sets
36,2019-11-26,14735.0,Container Sets
37,2019-11-27,14735.0,Container Sets
38,2019-11-28,8896.0,Container Sets
39,2019-11-29,8896.0,Container Sets
40,2019-11-30,19706.0,Container Sets
41,2019-12-01,15432.0,Container Sets
42,2019-12-02,12576.0,Container Sets
43,2019-12-03,12576.0,Container Sets
44,2019-12-04,12576.0,Container Sets
45,2019-12-05,12576.0,Container Sets
46,2019-12-06,14753.0,Container Sets
47,2019-12-07,14753.0,Container Sets
48,2019-12-08,14873.0,Container Sets
49,2019-12-09,24236.0,Container Sets
50,2019-12-10,24236.0,Container Sets
51,2019-12-11,20865.0,Container Sets
52,2019-12-12,20865.0,Container Sets
53,2019-12-13,20865.0,Container Sets
54,2019-12-14,20865.0,Container Sets
55,2019-12-15,20865.0,Container Sets
56,2019-12-16,24190.0,Container Sets
57,2019-12-17,24190.0,Container Sets
58,2019-12-18,24190.0,Container Sets
59,2019-12-19,18936.0,Container Sets
60,2019-12-20,18936.0,Container Sets
61,2019-12-21,18936.0,Container Sets
62,2019-12-22,18936.0,Container Sets
63,2019-12-23,16279.0,Container Sets
64,2019-12-24,17039.0,Container Sets
65,2019-12-25,14611.0,Container Sets
66,2019-12-26,14611.0,Container Sets
67,2019-12-27,14611.0,Container Sets
68,2019-12-28,14611.0,Container Sets
69,2019-12-29,12218.0,Container Sets
70,2019-12-30,12218.0,Container Sets
71,2019-12-31,12218.0,Container Sets
72,2020-01-01,10756.0,Container Sets
73,2020-01-02,10756.0,Container Sets
74,2020-01-03,10756.0,Container Sets
75,2020-01-04,10756.0,Container Sets
76,2020-01-05,10756.0,Container Sets
77,2020-01-06,11963.0,Container Sets
78,2020-01-07,10915.0,Container Sets
79,2020-01-08,10352.0,Container Sets
80,2020-01-09,10352.0,Container Sets
81,2020-01-10,10352.0,Container Sets
82,2020-01-11,10352.0,Container Sets
83,2020-01-12,8652.0,Container Sets
84,2020-01-13,14541.0,Container Sets
85,2020-01-14,14541.0,Container Sets
86,2020-01-15,7219.0,Container Sets
87,2020-01-16,8417.0,Container Sets
88,2020-01-17,8417.0,Container Sets
89,2020-01-18,8417.0,Container Sets
90,2020-01-19,8417.0,Container Sets
91,2020-01-20,6723.0,Container Sets
92,2020-01-21,10357.0,Container Sets
93,2020-01-22,10357.0,Container Sets
94,2020-01-23,10357.0,Container Sets
95,2020-01-24,7587.0,Container Sets
96,2020-01-25,7587.0,Container Sets
97,2020-01-26,13116.0,Container Sets
98,2020-01-27,13116.0,Container Sets
99,2020-01-28,13116.0,Container Sets
100,2020-01-29,13116.0,Container Sets
101,2020-01-30,13116.0,Container Sets
102,2020-01-31,6967.0,Container Sets
103,2020-02-01,6967.0,Container Sets
104,2020-02-02,6967.0,Container Sets
105,2020-02-03,12573.0,Container Sets
106,2020-02-04,12573.0,Container Sets
107,2020-02-05,7000.0,Container Sets
108,2020-02-06,7000.0,Container Sets
109,2020-02-07,7000.0,Container Sets
110,2020-02-08,7000.0,Container Sets
111,2020-02-09,11379.0,Container Sets
112,2020-02-10,11122.0,Container Sets
113,2020-02-11,11122.0,Container Sets
114,2020-02-12,9832.0,Container Sets
115,2020-02-13,9832.0,Container Sets
116,2020-02-14,7840.0,Container Sets
117,2020-02-15,7840.0,Container Sets
118,2020-02-16,7840.0,Container Sets
119,2020-02-17,7840.0,Container Sets
120,2020-02-18,7840.0,Container Sets
121,2020-02-19,8155.0,Container Sets
122,2020-02-20,8155.0,Container Sets
123,2020-02-21,8154.0,Container Sets
124,2020-02-22,7437.0,Container Sets
125,2020-02-23,10569.0,Container Sets
126,2020-02-24,10569.0,Container Sets
127,2020-02-25,9778.0,Container Sets
128,2020-02-26,5262.0,Container Sets
129,2020-02-27,5262.0,Container Sets
130,2020-02-28,5262.0,Container Sets
131,2020-02-29,5262.0,Container Sets
132,2020-03-01,6384.0,Container Sets
133,2020-03-02,6384.0,Container Sets
134,2020-03-03,6384.0,Container Sets
135,2020-03-04,5236.0,Container Sets
136,2020-03-05,5236.0,Container Sets
137,2020-03-06,5590.0,Container Sets
138,2020-03-07,5480.0,Container Sets
139,2020-03-08,5480.0,Container Sets
140,2020-03-09,5480.0,Container Sets
141,2020-03-10,-1.0,Container Sets
142,2020-03-11,-1.0,Container Sets
143,2020-03-12,-1.0,Container Sets
144,2020-03-13,-1.0,Container Sets
145,2020-03-14,-1.0,Container Sets
146,2020-03-15,-1.0,Container Sets
147,2020-03-16,-1.0,Container Sets
148,2020-03-17,-1.0,Container Sets
149,2020-03-18,-1.0,Container Sets
150,2020-03-19,-1.0,Container Sets
151,2020-03-20,-1.0,Container Sets
152,2020-03-21,-1.0,Container Sets
153,2020-03-22,-1.0,Container Sets
154,2020-03-23,-1.0,Container Sets
155,2020-03-24,-1.0,Container Sets
156,2020-03-25,-1.0,Container Sets
157,2020-03-26,-1.0,Container Sets
158,2020-03-27,-1.0,Container Sets
159,2020-03-28,-1.0,Container Sets
160,2020-03-29,-1.0,Container Sets
161,2020-03-30,-1.0,Container Sets
162,2020-03-31,-1.0,Container Sets
163,2020-04-01,-1.0,Container Sets
164,2020-04-02,-1.0,Container Sets
165,2020-04-03,-1.0,Container Sets
166,2020-04-04,-1.0,Container Sets
167,2020-04-05,-1.0,Container Sets
168,2020-04-06,-1.0,Container Sets
169,2020-04-07,-1.0,Container Sets
170,2020-04-08,-1.0,Container Sets
171,2020-04-09,-1.0,Container Sets
172,2020-04-10,-1.0,Container Sets
173,2020-04-11,-1.0,Container Sets
174,2020-04-12,-1.0,Container Sets
175,2020-04-13,-1.0,Container Sets
176,2020-04-14,-1.0,Container Sets
177,2020-04-15,-1.0,Container Sets
178,2020-04-16,-1.0,Container Sets
179,2020-04-17,-1.0,Container Sets
180,2020-04-18,-1.0,Container Sets
181,2020-04-19,-1.0,Container Sets
182,2020-04-20,-1.0,Container Sets
183,2020-04-21,-1.0,Container Sets
184,2020-04-22,-1.0,Container Sets
185,2020-04-23,-1.0,Container Sets
186,2020-04-24,-1.0,Container Sets
187,2020-04-25,-1.0,Container Sets
188,2020-04-26,-1.0,Container Sets
189,2020-04-27,-1.0,Container Sets
190,2020-04-28,-1.0,Container Sets
191,2020-04-29,-1.0,Container Sets
192,2020-04-30,-1.0,Container Sets
193,2020-05-01,-1.0,Container Sets
194,2020-05-02,-1.0,Container Sets
195,2020-05-03,-1.0,Container Sets
196,2020-05-04,-1.0,Container Sets
197,2020-05-05,-1.0,Container Sets
198,2020-05-06,-1.0,Container Sets
199,2020-05-07,-1.0,Container Sets
200,2020-05-08,-1.0,Container Sets
201,2020-05-09,-1.0,Container Sets
202,2020-05-10,-1.0,Container Sets
203,2020-05-11,-1.0,Container Sets
204,2020-05-12,-1.0,Container Sets
205,2020-05-13,-1.0,Container Sets
206,2020-05-14,-1.0,Container Sets
207,2020-05-15,-1.0,Container Sets
208,2020-05-16,-1.0,Container Sets
209,2020-05-17,-1.0,Container Sets
210,2020-05-18,-1.0,Container Sets
211,2020-05-19,-1.0,Container Sets
212,2020-05-20,-1.0,Container Sets
213,2020-05-21,-1.0,Container Sets
214,2020-05-22,-1.0,Container Sets
215,2020-05-23,-1.0,Container Sets
216,2020-05-24,-1.0,Container Sets
217,2020-05-25,-1.0,Container Sets
218,2020-05-26,-1.0,Container Sets
219,2020-05-27,-1.0,Container Sets
220,2020-05-28,-1.0,Container Sets
221,2020-05-29,-1.0,Container Sets
222,2020-05-30,-1.0,Container Sets
223,2020-05-31,-1.0,Container Sets
224,2020-06-01,-1.0,Container Sets
225,2020-06-02,-1.0,Container Sets
226,2020-06-03,-1.0,Container Sets
227,2020-06-04,-1.0,Container Sets
228,2020-06-05,-1.0,Container Sets
229,2020-06-06,-1.0,Container Sets
230,2020-06-07,-1.0,Container Sets
231,2020-06-08,-1.0,Container Sets
232,2020-06-09,-1.0,Container Sets
233,2020-06-10,-1.0,Container Sets
234,2020-06-11,-1.0,Container Sets
235,2020-06-12,-1.0,Container Sets
236,2020-06-13,-1.0,Container Sets
237,2020-06-14,-1.0,Container Sets
238,2020-06-15,-1.0,Container Sets
239,2020-06-16,-1.0,Container Sets
240,2020-06-17,-1.0,Container Sets
241,2020-06-18,-1.0,Container Sets
242,2020-06-19,-1.0,Container Sets
243,2020-06-20,-1.0,Container Sets
244,2020-06-21,-1.0,Container Sets
245,2020-06-22,-1.0,Container Sets
246,2020-06-23,-1.0,Container Sets
247,2020-06-24,-1.0,Container Sets
248,2020-06-25,-1.0,Container Sets
249,2020-06-26,-1.0,Container Sets
250,2020-06-27,-1.0,Container Sets
251,2020-06-28,-1.0,Container Sets
252,2020-06-29,-1.0,Container Sets
253,2020-06-30,-1.0,Container Sets
254,2020-07-01,-1.0,Container Sets
255,2020-07-02,-1.0,Container Sets
256,2020-07-03,-1.0,Container Sets
257,2020-07-04,-1.0,Container Sets
258,2020-07-05,-1.0,Container Sets
259,2020-07-06,-1.0,Container Sets
260,2020-07-07,-1.0,Container Sets
261,2020-07-08,-1.0,Container Sets
262,2020-07-09,-1.0,Container Sets
263,2020-07-10,-1.0,Container Sets
264,2020-07-11,-1.0,Container Sets
265,2020-07-12,-1.0,Container Sets
266,2020-07-13,-1.0,Container Sets
267,2020-07-14,-1.0,Container Sets
268,2020-07-15,-1.0,Container Sets
269,2020-07-16,-1.0,Container Sets
270,2020-07-17,-1.0,Container Sets
271,2020-07-18,-1.0,Container Sets
272,2020-07-19,-1.0,Container Sets
273,2020-07-20,-1.0,Container Sets
274,2020-07-21,-1.0,Container Sets
275,2020-07-22,-1.0,Container Sets
276,2020-07-23,-1.0,Container Sets
277,2020-07-24,-1.0,Container Sets
278,2020-07-25,-1.0,Container Sets
279,2020-07-26,-1.0,Container Sets
280,2020-07-27,-1.0,Container Sets
281,2020-07-28,-1.0,Container Sets
282,2020-07-29,-1.0,Container Sets
283,2020-07-30,-1.0,Container Sets
284,2020-07-31,-1.0,Container Sets
285,2020-08-01,-1.0,Container Sets
286,2020-08-02,-1.0,Container Sets
287,2020-08-03,-1.0,Container Sets
288,2020-08-04,-1.0,Container Sets
289,2020-08-05,-1.0,Container Sets
290,2020-08-06,-1.0,Container Sets
291,2020-08-07,-1.0,Container Sets
292,2020-08-08,-1.0,Container Sets
293,2020-08-09,-1.0,Container Sets
294,2020-08-10,-1.0,Container Sets
295,2020-08-11,-1.0,Container Sets
296,2020-08-12,-1.0,Container Sets
297,2020-08-13,-1.0,Container Sets
298,2020-08-14,-1.0,Container Sets
299,2020-08-15,-1.0,Container Sets
300,2020-08-16,-1.0,Container Sets
301,2020-08-17,-1.0,Container Sets
302,2020-08-18,-1.0,Container Sets
303,2020-08-19,-1.0,Container Sets
304,2020-08-20,-1.0,Container Sets
305,2020-08-21,-1.0,Container Sets
306,2020-08-22,-1.0,Container Sets
307,2020-08-23,-1.0,Container Sets
308,2020-08-24,-1.0,Container Sets
309,2020-08-25,-1.0,Container Sets
310,2020-08-26,-1.0,Container Sets
311,2020-08-27,-1.0,Container Sets
312,2020-08-28,-1.0,Container Sets
313,2020-08-29,-1.0,Container Sets
314,2020-08-30,-1.0,Container Sets
315,2020-08-31,-1.0,Container Sets
316,2020-09-01,-1.0,Container Sets
317,2020-09-02,-1.0,Container Sets
318,2020-09-03,-1.0,Container Sets
319,2020-09-04,-1.0,Container Sets
320,2020-09-05,-1.0,Container Sets
321,2020-09-06,-1.0,Container Sets
322,2020-09-07,-1.0,Container Sets
323,2020-09-08,-1.0,Container Sets
324,2020-09-09,-1.0,Container Sets
325,2020-09-10,-1.0,Container Sets
326,2020-09-11,-1.0,Container Sets
327,2020-09-12,-1.0,Container Sets
328,2020-09-13,-1.0,Container Sets
329,2020-09-14,-1.0,Container Sets
330,2020-09-15,-1.0,Container Sets
331,2020-09-16,-1.0,Container Sets
332,2020-09-17,-1.0,Container Sets
333,2020-09-18,-1.0,Container Sets
334,2020-09-19,-1.0,Container Sets
335,2020-09-20,-1.0,Container Sets
336,2020-09-21,-1.0,Container Sets
337,2020-09-22,-1.0,Container Sets
338,2020-09-23,-1.0,Container Sets
339,2020-09-24,-1.0,Container Sets
340,2020-09-25,-1.0,Container Sets
341,2020-09-26,-1.0,Container Sets
342,2020-09-27,-1.0,Container Sets
343,2020-09-28,-1.0,Container Sets
344,2020-09-29,-1.0,Container Sets
345,2020-09-30,-1.0,Container Sets
346,2020-10-01,-1.0,Container Sets
347,2020-10-02,-1.0,Container Sets
348,2020-10-03,-1.0,Container Sets
349,2020-10-04,-1.0,Container Sets
350,2020-10-05,-1.0,Container Sets
351,2020-10-06,-1.0,Container Sets
352,2020-10-07,-1.0,Container Sets
353,2020-10-08,-1.0,Container Sets
354,2020-10-09,-1.0,Container Sets
355,2020-10-10,-1.0,Container Sets
356,2020-10-11,-1.0,Container Sets
357,2020-10-12,-1.0,Container Sets
358,2020-10-13,-1.0,Container Sets
359,2020-10-14,-1.0,Container Sets
360,2020-10-15,-1.0,Container Sets
361,2020-10-16,-1.0,Container Sets
362,2020-10-17,-1.0,Container Sets
363,2020-10-18,-1.0,Container Sets
364,2020-10-19,-1.0,Container Sets
365,2020-10-20,-1.0,Container Sets
366,2020-10-21,-1.0,Container Sets
367,2020-10-22,-1.0,Container Sets
368,2020-10-23,-1.0,Container Sets
369,2020-10-24,-1.0,Container Sets
370,2020-10-25,-1.0,Container Sets
371,2020-10-26,-1.0,Container Sets
372,2020-10-27,-1.0,Container Sets
373,2020-10-28,-1.0,Container Sets
374,2020-10-29,-1.0,Container Sets
375,2020-10-30,-1.0,Container Sets
376,2020-10-31,-1.0,Container Sets
377,2020-11-01,-1.0,Container Sets
378,2020-11-02,-1.0,Container Sets
379,2020-11-03,-1.0,Container Sets
380,2020-11-04,-1.0,Container Sets
381,2020-11-05,-1.0,Container Sets
382,2020-11-06,-1.0,Container Sets
383,2020-11-07,-1.0,Container Sets
384,2020-11-08,-1.0,Container Sets
385,2020-11-09,-1.0,Container Sets
386,2020-11-10,-1.0,Container Sets
387,2020-11-11,-1.0,Container Sets
388,2020-11-12,-1.0,Container Sets
389,2020-11-13,-1.0,Container Sets
390,2020-11-14,-1.0,Container Sets
391,2020-11-15,-1.0,Container Sets
392,2020-11-16,-1.0,Container Sets
393,2020-11-17,-1.0,Container Sets
394,2020-11-18,-1.0,Container Sets
395,2020-11-19,-1.0,Container Sets
396,2020-11-20,-1.0,Container Sets
397,2020-11-21,-1.0,Container Sets
398,2020-11-22,-1.0,Container Sets
399,2020-11-23,-1.0,Container Sets
400,2020-11-24,-1.0,Container Sets
401,2020-11-25,-1.0,Container Sets
402,2020-11-26,-1.0,Container Sets
403,2020-11-27,-1.0,Container Sets
404,2020-11-28,-1.0,Container Sets
405,2020-11-29,-1.0,Container Sets
