,date,value,name_B07ZN47WHF
0,2019-11-02,340357.0,Duvet Covers & Sets
1,2019-11-03,289654.0,Duvet Covers & Sets
2,2019-11-04,432143.0,Duvet Covers & Sets
3,2019-11-05,149740.0,Duvet Covers & Sets
4,2019-11-06,157907.0,Duvet Covers & Sets
5,2019-11-07,101221.0,Duvet Covers & Sets
6,2019-11-08,101221.0,Duvet Covers & Sets
7,2019-11-09,106840.0,Duvet Covers & Sets
8,2019-11-10,106840.0,Duvet Covers & Sets
9,2019-11-11,106840.0,Duvet Covers & Sets
10,2019-11-12,232346.0,Duvet Covers & Sets
11,2019-11-13,232346.0,Duvet Covers & Sets
12,2019-11-14,221881.0,Duvet Covers & Sets
13,2019-11-15,340703.0,Duvet Covers & Sets
14,2019-11-16,218716.0,Duvet Covers & Sets
15,2019-11-17,218716.0,Duvet Covers & Sets
16,2019-11-18,218716.0,Duvet Covers & Sets
17,2019-11-19,80098.0,Duvet Covers & Sets
18,2019-11-20,80098.0,Duvet Covers & Sets
19,2019-11-21,80098.0,Duvet Covers & Sets
20,2019-11-22,111096.0,Duvet Covers & Sets
21,2019-11-23,111096.0,Duvet Covers & Sets
22,2019-11-24,111096.0,Duvet Covers & Sets
23,2019-11-25,111096.0,Duvet Covers & Sets
24,2019-11-26,152961.0,Duvet Covers & Sets
25,2019-11-27,152961.0,Duvet Covers & Sets
26,2019-11-28,152961.0,Duvet Covers & Sets
27,2019-11-29,152961.0,Duvet Covers & Sets
28,2019-11-30,152961.0,Duvet Covers & Sets
29,2019-12-01,152961.0,Duvet Covers & Sets
30,2019-12-02,152961.0,Duvet Covers & Sets
31,2019-12-03,138945.0,Duvet Covers & Sets
32,2019-12-04,138945.0,Duvet Covers & Sets
33,2019-12-05,138945.0,Duvet Covers & Sets
34,2019-12-06,138945.0,Duvet Covers & Sets
35,2019-12-07,138945.0,Duvet Covers & Sets
36,2019-12-08,138945.0,Duvet Covers & Sets
37,2019-12-09,109155.0,Duvet Covers & Sets
38,2019-12-10,109155.0,Duvet Covers & Sets
39,2019-12-11,152152.0,Duvet Covers & Sets
40,2019-12-12,152152.0,Duvet Covers & Sets
41,2019-12-13,96680.0,Duvet Covers & Sets
42,2019-12-14,96680.0,Duvet Covers & Sets
43,2019-12-15,65103.0,Duvet Covers & Sets
44,2019-12-16,64279.0,Duvet Covers & Sets
45,2019-12-17,77415.0,Duvet Covers & Sets
46,2019-12-18,63933.0,Duvet Covers & Sets
47,2019-12-19,65810.0,Duvet Covers & Sets
48,2019-12-20,103335.0,Duvet Covers & Sets
49,2019-12-21,65377.0,Duvet Covers & Sets
50,2019-12-22,65377.0,Duvet Covers & Sets
51,2019-12-23,61567.0,Duvet Covers & Sets
52,2019-12-24,61567.0,Duvet Covers & Sets
53,2019-12-25,47929.0,Duvet Covers & Sets
54,2019-12-26,47929.0,Duvet Covers & Sets
55,2019-12-27,32758.0,Duvet Covers & Sets
56,2019-12-28,28321.0,Duvet Covers & Sets
57,2019-12-29,28321.0,Duvet Covers & Sets
58,2019-12-30,34808.0,Duvet Covers & Sets
59,2019-12-31,31413.0,Duvet Covers & Sets
60,2020-01-01,31413.0,Duvet Covers & Sets
61,2020-01-02,34948.0,Duvet Covers & Sets
62,2020-01-03,39380.0,Duvet Covers & Sets
63,2020-01-04,38094.0,Duvet Covers & Sets
64,2020-01-05,38094.0,Duvet Covers & Sets
65,2020-01-06,39101.0,Duvet Covers & Sets
66,2020-01-07,59222.0,Duvet Covers & Sets
67,2020-01-08,46473.0,Duvet Covers & Sets
68,2020-01-09,69678.0,Duvet Covers & Sets
69,2020-01-10,69678.0,Duvet Covers & Sets
70,2020-01-11,66181.0,Duvet Covers & Sets
71,2020-01-12,62053.0,Duvet Covers & Sets
72,2020-01-13,62053.0,Duvet Covers & Sets
73,2020-01-14,63111.0,Duvet Covers & Sets
74,2020-01-15,57770.0,Duvet Covers & Sets
75,2020-01-16,57770.0,Duvet Covers & Sets
76,2020-01-17,35538.0,Duvet Covers & Sets
77,2020-01-18,35538.0,Duvet Covers & Sets
78,2020-01-19,35538.0,Duvet Covers & Sets
79,2020-01-20,27662.0,Duvet Covers & Sets
80,2020-01-21,27662.0,Duvet Covers & Sets
81,2020-01-22,40013.0,Duvet Covers & Sets
82,2020-01-23,29214.0,Duvet Covers & Sets
83,2020-01-24,29214.0,Duvet Covers & Sets
84,2020-01-25,29214.0,Duvet Covers & Sets
85,2020-01-26,29214.0,Duvet Covers & Sets
86,2020-01-27,29214.0,Duvet Covers & Sets
87,2020-01-28,29214.0,Duvet Covers & Sets
88,2020-01-29,29214.0,Duvet Covers & Sets
89,2020-01-30,33314.0,Duvet Covers & Sets
90,2020-01-31,33314.0,Duvet Covers & Sets
91,2020-02-01,27459.0,Duvet Covers & Sets
92,2020-02-02,23581.0,Duvet Covers & Sets
93,2020-02-03,26677.0,Duvet Covers & Sets
