,date,value,name_B08175W1C8
0,2019-12-01,2656115.0,Shower Curtain Sets
1,2019-12-02,2656115.0,Shower Curtain Sets
2,2019-12-03,2724650.0,Shower Curtain Sets
3,2019-12-04,2724650.0,Shower Curtain Sets
4,2019-12-05,2750075.0,Shower Curtain Sets
5,2019-12-06,2776843.0,Shower Curtain Sets
6,2019-12-07,2790431.0,Shower Curtain Sets
7,2019-12-08,2790431.0,Shower Curtain Sets
8,2019-12-09,390261.0,Shower Curtain Sets
9,2019-12-10,390261.0,Shower Curtain Sets
10,2019-12-11,771041.0,Shower Curtain Sets
11,2019-12-12,771041.0,Shower Curtain Sets
12,2019-12-13,1264412.0,Shower Curtain Sets
13,2019-12-14,1264412.0,Shower Curtain Sets
14,2019-12-15,1264412.0,Shower Curtain Sets
15,2019-12-16,1264412.0,Shower Curtain Sets
16,2019-12-17,1264412.0,Shower Curtain Sets
17,2019-12-18,1264412.0,Shower Curtain Sets
18,2019-12-19,1264412.0,Shower Curtain Sets
19,2019-12-20,1264412.0,Shower Curtain Sets
20,2019-12-21,1264412.0,Shower Curtain Sets
21,2019-12-22,1264412.0,Shower Curtain Sets
22,2019-12-23,1264412.0,Shower Curtain Sets
23,2019-12-24,1264412.0,Shower Curtain Sets
24,2019-12-25,1627271.0,Shower Curtain Sets
25,2019-12-26,1627271.0,Shower Curtain Sets
26,2019-12-27,1627271.0,Shower Curtain Sets
27,2019-12-28,1627271.0,Shower Curtain Sets
28,2019-12-29,1627271.0,Shower Curtain Sets
29,2019-12-30,1627271.0,Shower Curtain Sets
30,2019-12-31,1627271.0,Shower Curtain Sets
31,2020-01-01,1627271.0,Shower Curtain Sets
32,2020-01-02,1627271.0,Shower Curtain Sets
33,2020-01-03,1627271.0,Shower Curtain Sets
34,2020-01-04,1627271.0,Shower Curtain Sets
35,2020-01-05,1627271.0,Shower Curtain Sets
36,2020-01-06,1627271.0,Shower Curtain Sets
37,2020-01-07,674450.0,Shower Curtain Sets
38,2020-01-08,674450.0,Shower Curtain Sets
39,2020-01-09,674450.0,Shower Curtain Sets
40,2020-01-10,674450.0,Shower Curtain Sets
41,2020-01-11,674450.0,Shower Curtain Sets
42,2020-01-12,674450.0,Shower Curtain Sets
43,2020-01-13,674450.0,Shower Curtain Sets
44,2020-01-14,674450.0,Shower Curtain Sets
45,2020-01-15,674450.0,Shower Curtain Sets
46,2020-01-16,674450.0,Shower Curtain Sets
47,2020-01-17,674450.0,Shower Curtain Sets
48,2020-01-18,674450.0,Shower Curtain Sets
49,2020-01-19,674450.0,Shower Curtain Sets
50,2020-01-20,674450.0,Shower Curtain Sets
51,2020-01-21,674450.0,Shower Curtain Sets
52,2020-01-22,1238668.0,Shower Curtain Sets
53,2020-01-23,1238668.0,Shower Curtain Sets
54,2020-01-24,1238668.0,Shower Curtain Sets
55,2020-01-25,1238668.0,Shower Curtain Sets
56,2020-01-26,1238668.0,Shower Curtain Sets
57,2020-01-27,1238668.0,Shower Curtain Sets
58,2020-01-28,1238668.0,Shower Curtain Sets
59,2020-01-29,1238668.0,Shower Curtain Sets
60,2020-01-30,1238668.0,Shower Curtain Sets
61,2020-01-31,1238668.0,Shower Curtain Sets
62,2020-02-01,1238668.0,Shower Curtain Sets
