,date,value,name_B081J4T82K
0,2019-11-18,6963.0,Container Sets
1,2019-11-19,12779.0,Container Sets
2,2019-11-20,12779.0,Container Sets
3,2019-11-21,12779.0,Container Sets
4,2019-11-22,13235.0,Container Sets
5,2019-11-23,13235.0,Container Sets
6,2019-11-24,13235.0,Container Sets
7,2019-11-25,13142.0,Container Sets
8,2019-11-26,13142.0,Container Sets
9,2019-11-27,13247.0,Container Sets
10,2019-11-28,10826.0,Container Sets
11,2019-11-29,14356.0,Container Sets
12,2019-11-30,7468.0,Container Sets
13,2019-12-01,6016.0,Container Sets
14,2019-12-02,7873.0,Container Sets
15,2019-12-03,11874.0,Container Sets
16,2019-12-04,12151.0,Container Sets
17,2019-12-05,14841.0,Container Sets
18,2019-12-06,16814.0,Container Sets
19,2019-12-07,18666.0,Container Sets
20,2019-12-08,17582.0,Container Sets
21,2019-12-09,17774.0,Container Sets
22,2019-12-10,17659.0,Container Sets
23,2019-12-11,17633.0,Container Sets
24,2019-12-12,12643.0,Container Sets
25,2019-12-13,14088.0,Container Sets
26,2019-12-14,14088.0,Container Sets
27,2019-12-15,14088.0,Container Sets
28,2019-12-16,14088.0,Container Sets
29,2019-12-17,14088.0,Container Sets
30,2019-12-18,17308.0,Container Sets
31,2019-12-19,17308.0,Container Sets
32,2019-12-20,17308.0,Container Sets
33,2019-12-21,17308.0,Container Sets
34,2019-12-22,17308.0,Container Sets
35,2019-12-23,15846.0,Container Sets
36,2019-12-24,15846.0,Container Sets
37,2019-12-25,15846.0,Container Sets
38,2019-12-26,15846.0,Container Sets
39,2019-12-27,15846.0,Container Sets
40,2019-12-28,15846.0,Container Sets
41,2019-12-29,11341.0,Container Sets
42,2019-12-30,11341.0,Container Sets
43,2019-12-31,11341.0,Container Sets
44,2020-01-01,11341.0,Container Sets
45,2020-01-02,11341.0,Container Sets
46,2020-01-03,9865.0,Container Sets
47,2020-01-04,9865.0,Container Sets
48,2020-01-05,9865.0,Container Sets
49,2020-01-06,6091.0,Container Sets
50,2020-01-07,6091.0,Container Sets
51,2020-01-08,6091.0,Container Sets
52,2020-01-09,6181.0,Container Sets
53,2020-01-10,6181.0,Container Sets
54,2020-01-11,6181.0,Container Sets
55,2020-01-12,4408.0,Container Sets
56,2020-01-13,4408.0,Container Sets
57,2020-01-14,4408.0,Container Sets
58,2020-01-15,4938.0,Container Sets
59,2020-01-16,4938.0,Container Sets
60,2020-01-17,4938.0,Container Sets
61,2020-01-18,6543.0,Container Sets
62,2020-01-19,6543.0,Container Sets
63,2020-01-20,6881.0,Container Sets
64,2020-01-21,6430.0,Container Sets
65,2020-01-22,6430.0,Container Sets
66,2020-01-23,5190.0,Container Sets
67,2020-01-24,5190.0,Container Sets
68,2020-01-25,5190.0,Container Sets
69,2020-01-26,5190.0,Container Sets
70,2020-01-27,5190.0,Container Sets
71,2020-01-28,3587.0,Container Sets
72,2020-01-29,3587.0,Container Sets
73,2020-01-30,3587.0,Container Sets
74,2020-01-31,5415.0,Container Sets
75,2020-02-01,5415.0,Container Sets
76,2020-02-02,5415.0,Container Sets
77,2020-02-03,5415.0,Container Sets
78,2020-02-04,5507.0,Container Sets
79,2020-02-05,5507.0,Container Sets
80,2020-02-06,5507.0,Container Sets
81,2020-02-07,5507.0,Container Sets
82,2020-02-08,4719.0,Container Sets
83,2020-02-09,4719.0,Container Sets
84,2020-02-10,4446.0,Container Sets
85,2020-02-11,4446.0,Container Sets
86,2020-02-12,4446.0,Container Sets
87,2020-02-13,4446.0,Container Sets
88,2020-02-14,4446.0,Container Sets
89,2020-02-15,7872.0,Container Sets
90,2020-02-16,7872.0,Container Sets
91,2020-02-17,7872.0,Container Sets
92,2020-02-18,5494.0,Container Sets
93,2020-02-19,5494.0,Container Sets
94,2020-02-20,5494.0,Container Sets
95,2020-02-21,8097.0,Container Sets
96,2020-02-22,7818.0,Container Sets
97,2020-02-23,7818.0,Container Sets
98,2020-02-24,6585.0,Container Sets
99,2020-02-25,6585.0,Container Sets
100,2020-02-26,6585.0,Container Sets
101,2020-02-27,5263.0,Container Sets
102,2020-02-28,4671.0,Container Sets
103,2020-02-29,4671.0,Container Sets
104,2020-03-01,4671.0,Container Sets
105,2020-03-02,4237.0,Container Sets
106,2020-03-03,3646.0,Container Sets
107,2020-03-04,3646.0,Container Sets
108,2020-03-05,5317.0,Container Sets
109,2020-03-06,5317.0,Container Sets
110,2020-03-07,5317.0,Container Sets
111,2020-03-08,5317.0,Container Sets
112,2020-03-09,5317.0,Container Sets
113,2020-03-10,5317.0,Container Sets
114,2020-03-11,5317.0,Container Sets
115,2020-03-12,5317.0,Container Sets
116,2020-03-13,-1.0,Container Sets
