,date,value,name_B081VL8MZ1
0,2020-05-25,58235.0,Medical Kits
1,2020-05-26,58235.0,Medical Kits
2,2020-05-27,68261.0,Medical Kits
3,2020-05-28,68261.0,Medical Kits
4,2020-05-29,112614.0,Medical Kits
5,2020-05-30,112614.0,Medical Kits
6,2020-05-31,112614.0,Medical Kits
7,2020-06-01,133717.0,Medical Kits
8,2020-06-02,140296.0,Medical Kits
9,2020-06-03,140296.0,Medical Kits
10,2020-06-04,140296.0,Medical Kits
11,2020-06-05,140296.0,Medical Kits
12,2020-06-06,140296.0,Medical Kits
13,2020-06-07,140296.0,Medical Kits
14,2020-06-08,159418.0,Medical Kits
15,2020-06-09,159418.0,Medical Kits
16,2020-06-10,159418.0,Medical Kits
17,2020-06-11,167501.0,Medical Kits
18,2020-06-12,167501.0,Medical Kits
19,2020-06-13,112416.0,Medical Kits
20,2020-06-14,112416.0,Medical Kits
21,2020-06-15,112416.0,Medical Kits
22,2020-06-16,56651.0,Medical Kits
23,2020-06-17,34933.0,Medical Kits
24,2020-06-18,18278.0,Medical Kits
25,2020-06-19,20080.0,Medical Kits
26,2020-06-20,20058.0,Medical Kits
27,2020-06-21,20058.0,Medical Kits
28,2020-06-22,20058.0,Medical Kits
29,2020-06-23,9585.0,Medical Kits
30,2020-06-24,9585.0,Medical Kits
31,2020-06-25,9585.0,Medical Kits
32,2020-06-26,10229.0,Medical Kits
33,2020-06-27,10229.0,Medical Kits
34,2020-06-28,8600.0,Medical Kits
35,2020-06-29,9329.0,Medical Kits
36,2020-06-30,9329.0,Medical Kits
37,2020-07-01,5752.0,Medical Kits
38,2020-07-02,5752.0,Medical Kits
39,2020-07-03,5752.0,Medical Kits
40,2020-07-04,5752.0,Medical Kits
41,2020-07-05,5752.0,Medical Kits
42,2020-07-06,9077.0,Medical Kits
43,2020-07-07,9077.0,Medical Kits
44,2020-07-08,9077.0,Medical Kits
45,2020-07-09,9077.0,Medical Kits
46,2020-07-10,5318.0,Medical Kits
47,2020-07-11,5318.0,Medical Kits
48,2020-07-12,8175.0,Medical Kits
49,2020-07-13,5732.0,Medical Kits
50,2020-07-14,5732.0,Medical Kits
51,2020-07-15,6419.0,Medical Kits
52,2020-07-16,5214.0,Medical Kits
53,2020-07-17,5214.0,Medical Kits
54,2020-07-18,8128.0,Medical Kits
55,2020-07-19,8128.0,Medical Kits
56,2020-07-20,8426.0,Medical Kits
57,2020-07-21,8426.0,Medical Kits
58,2020-07-22,8419.0,Medical Kits
59,2020-07-23,9922.0,Medical Kits
60,2020-07-24,11858.0,Medical Kits
61,2020-07-25,11858.0,Medical Kits
62,2020-07-26,11858.0,Medical Kits
63,2020-07-27,11858.0,Medical Kits
64,2020-07-28,11858.0,Medical Kits
