,date,value,name_B081ZVH23P
0,2020-05-26,8106.0,Incandescent Bulbs
1,2020-05-27,8106.0,Incandescent Bulbs
2,2020-05-28,8106.0,Incandescent Bulbs
3,2020-05-29,8106.0,Incandescent Bulbs
4,2020-05-30,8106.0,Incandescent Bulbs
5,2020-05-31,8106.0,Incandescent Bulbs
6,2020-06-01,8106.0,Incandescent Bulbs
7,2020-06-02,9024.0,Incandescent Bulbs
8,2020-06-03,9024.0,Incandescent Bulbs
9,2020-06-04,9024.0,Incandescent Bulbs
10,2020-06-05,10395.0,Incandescent Bulbs
11,2020-06-06,10395.0,Incandescent Bulbs
12,2020-06-07,10395.0,Incandescent Bulbs
13,2020-06-08,11312.0,Incandescent Bulbs
14,2020-06-09,12523.0,Incandescent Bulbs
15,2020-06-10,12523.0,Incandescent Bulbs
16,2020-06-11,12523.0,Incandescent Bulbs
17,2020-06-12,9079.0,Incandescent Bulbs
18,2020-06-13,9079.0,Incandescent Bulbs
19,2020-06-14,9079.0,Incandescent Bulbs
20,2020-06-15,11142.0,Incandescent Bulbs
21,2020-06-16,8526.0,Incandescent Bulbs
22,2020-06-17,8526.0,Incandescent Bulbs
23,2020-06-18,8526.0,Incandescent Bulbs
24,2020-06-19,7687.0,Incandescent Bulbs
25,2020-06-20,7687.0,Incandescent Bulbs
26,2020-06-21,7687.0,Incandescent Bulbs
27,2020-06-22,8387.0,Incandescent Bulbs
28,2020-06-23,8387.0,Incandescent Bulbs
29,2020-06-24,9053.0,Incandescent Bulbs
30,2020-06-25,9053.0,Incandescent Bulbs
31,2020-06-26,11013.0,Incandescent Bulbs
32,2020-06-27,11013.0,Incandescent Bulbs
33,2020-06-28,8146.0,Incandescent Bulbs
34,2020-06-29,8146.0,Incandescent Bulbs
35,2020-06-30,8146.0,Incandescent Bulbs
36,2020-07-01,10167.0,Incandescent Bulbs
37,2020-07-02,10167.0,Incandescent Bulbs
38,2020-07-03,10167.0,Incandescent Bulbs
39,2020-07-04,10167.0,Incandescent Bulbs
40,2020-07-05,10167.0,Incandescent Bulbs
41,2020-07-06,7902.0,Incandescent Bulbs
42,2020-07-07,7902.0,Incandescent Bulbs
43,2020-07-08,7902.0,Incandescent Bulbs
44,2020-07-09,7902.0,Incandescent Bulbs
45,2020-07-10,9469.0,Incandescent Bulbs
46,2020-07-11,9073.0,Incandescent Bulbs
47,2020-07-12,9073.0,Incandescent Bulbs
48,2020-07-13,7285.0,Incandescent Bulbs
49,2020-07-14,7285.0,Incandescent Bulbs
50,2020-07-15,7285.0,Incandescent Bulbs
51,2020-07-16,7312.0,Incandescent Bulbs
52,2020-07-17,7312.0,Incandescent Bulbs
53,2020-07-18,6981.0,Incandescent Bulbs
54,2020-07-19,6981.0,Incandescent Bulbs
55,2020-07-20,6842.0,Incandescent Bulbs
56,2020-07-21,6842.0,Incandescent Bulbs
57,2020-07-22,8432.0,Incandescent Bulbs
58,2020-07-23,6956.0,Incandescent Bulbs
59,2020-07-24,6434.0,Incandescent Bulbs
60,2020-07-25,6434.0,Incandescent Bulbs
61,2020-07-26,6150.0,Incandescent Bulbs
62,2020-07-27,7305.0,Incandescent Bulbs
63,2020-07-28,7305.0,Incandescent Bulbs
64,2020-07-29,7305.0,Incandescent Bulbs
65,2020-07-30,7305.0,Incandescent Bulbs
66,2020-07-31,6829.0,Incandescent Bulbs
67,2020-08-01,6956.0,Incandescent Bulbs
68,2020-08-02,6956.0,Incandescent Bulbs
69,2020-08-03,6642.0,Incandescent Bulbs
70,2020-08-04,6642.0,Incandescent Bulbs
71,2020-08-05,6642.0,Incandescent Bulbs
72,2020-08-06,16648.0,Incandescent Bulbs
73,2020-08-07,16648.0,Incandescent Bulbs
74,2020-08-08,16648.0,Incandescent Bulbs
75,2020-08-09,16648.0,Incandescent Bulbs
76,2020-08-10,16648.0,Incandescent Bulbs
77,2020-08-11,16648.0,Incandescent Bulbs
78,2020-08-12,16648.0,Incandescent Bulbs
79,2020-08-13,16648.0,Incandescent Bulbs
80,2020-08-14,16648.0,Incandescent Bulbs
81,2020-08-15,16648.0,Incandescent Bulbs
82,2020-08-16,16648.0,Incandescent Bulbs
83,2020-08-17,16648.0,Incandescent Bulbs
84,2020-08-18,16648.0,Incandescent Bulbs
85,2020-08-19,16648.0,Incandescent Bulbs
86,2020-08-20,16648.0,Incandescent Bulbs
87,2020-08-21,16648.0,Incandescent Bulbs
88,2020-08-22,16648.0,Incandescent Bulbs
89,2020-08-23,16648.0,Incandescent Bulbs
90,2020-08-24,16648.0,Incandescent Bulbs
91,2020-08-25,16648.0,Incandescent Bulbs
92,2020-08-26,16648.0,Incandescent Bulbs
93,2020-08-27,16648.0,Incandescent Bulbs
94,2020-08-28,16648.0,Incandescent Bulbs
95,2020-08-29,16648.0,Incandescent Bulbs
96,2020-08-30,16648.0,Incandescent Bulbs
97,2020-08-31,16648.0,Incandescent Bulbs
98,2020-09-01,16648.0,Incandescent Bulbs
99,2020-09-02,16648.0,Incandescent Bulbs
100,2020-09-03,16648.0,Incandescent Bulbs
101,2020-09-04,16648.0,Incandescent Bulbs
102,2020-09-05,16648.0,Incandescent Bulbs
103,2020-09-06,16648.0,Incandescent Bulbs
104,2020-09-07,16648.0,Incandescent Bulbs
105,2020-09-08,16648.0,Incandescent Bulbs
106,2020-09-09,16648.0,Incandescent Bulbs
107,2020-09-10,16648.0,Incandescent Bulbs
108,2020-09-11,16648.0,Incandescent Bulbs
109,2020-09-12,16648.0,Incandescent Bulbs
110,2020-09-13,16648.0,Incandescent Bulbs
111,2020-09-14,16648.0,Incandescent Bulbs
112,2020-09-15,16648.0,Incandescent Bulbs
113,2020-09-16,16648.0,Incandescent Bulbs
114,2020-09-17,16648.0,Incandescent Bulbs
115,2020-09-18,16648.0,Incandescent Bulbs
116,2020-09-19,16648.0,Incandescent Bulbs
117,2020-09-20,16648.0,Incandescent Bulbs
118,2020-09-21,16648.0,Incandescent Bulbs
119,2020-09-22,16648.0,Incandescent Bulbs
120,2020-09-23,16648.0,Incandescent Bulbs
121,2020-09-24,16648.0,Incandescent Bulbs
122,2020-09-25,16648.0,Incandescent Bulbs
123,2020-09-26,16648.0,Incandescent Bulbs
124,2020-09-27,16648.0,Incandescent Bulbs
125,2020-09-28,16648.0,Incandescent Bulbs
126,2020-09-29,16648.0,Incandescent Bulbs
127,2020-09-30,16648.0,Incandescent Bulbs
128,2020-10-01,16648.0,Incandescent Bulbs
129,2020-10-02,16648.0,Incandescent Bulbs
130,2020-10-03,16648.0,Incandescent Bulbs
131,2020-10-04,16648.0,Incandescent Bulbs
132,2020-10-05,16648.0,Incandescent Bulbs
133,2020-10-06,16648.0,Incandescent Bulbs
134,2020-10-07,16648.0,Incandescent Bulbs
135,2020-10-08,16648.0,Incandescent Bulbs
136,2020-10-09,16648.0,Incandescent Bulbs
137,2020-10-10,16648.0,Incandescent Bulbs
138,2020-10-11,16648.0,Incandescent Bulbs
139,2020-10-12,16648.0,Incandescent Bulbs
140,2020-10-13,16648.0,Incandescent Bulbs
141,2020-10-14,16648.0,Incandescent Bulbs
142,2020-10-15,16648.0,Incandescent Bulbs
143,2020-10-16,16648.0,Incandescent Bulbs
144,2020-10-17,34040.0,Incandescent Bulbs
145,2020-10-18,34040.0,Incandescent Bulbs
146,2020-10-19,34040.0,Incandescent Bulbs
147,2020-10-20,34040.0,Incandescent Bulbs
148,2020-10-21,34040.0,Incandescent Bulbs
149,2020-10-22,14748.0,Incandescent Bulbs
150,2020-10-23,14167.0,Incandescent Bulbs
151,2020-10-24,14167.0,Incandescent Bulbs
152,2020-10-25,14167.0,Incandescent Bulbs
153,2020-10-26,13003.0,Incandescent Bulbs
154,2020-10-27,13003.0,Incandescent Bulbs
155,2020-10-28,13003.0,Incandescent Bulbs
156,2020-10-29,10588.0,Incandescent Bulbs
157,2020-10-30,10588.0,Incandescent Bulbs
158,2020-10-31,8948.0,Incandescent Bulbs
159,2020-11-01,10130.0,Incandescent Bulbs
160,2020-11-02,9696.0,Incandescent Bulbs
161,2020-11-03,9696.0,Incandescent Bulbs
162,2020-11-04,9696.0,Incandescent Bulbs
163,2020-11-05,8567.0,Incandescent Bulbs
164,2020-11-06,8567.0,Incandescent Bulbs
165,2020-11-07,9408.0,Incandescent Bulbs
166,2020-11-08,9408.0,Incandescent Bulbs
167,2020-11-09,9408.0,Incandescent Bulbs
168,2020-11-10,7764.0,Incandescent Bulbs
