,date,value,name_B082385NCV
0,2019-12-01,18246.0,Throws
1,2019-12-02,10922.0,Throws
2,2019-12-03,10093.0,Throws
3,2019-12-04,8113.0,Throws
4,2019-12-05,7167.0,Throws
5,2019-12-06,7254.0,Throws
6,2019-12-07,7864.0,Throws
7,2019-12-08,5840.0,Throws
8,2019-12-09,6671.0,Throws
9,2019-12-10,6446.0,Throws
10,2019-12-11,7205.0,Throws
11,2019-12-12,6454.0,Throws
12,2019-12-13,6772.0,Throws
13,2019-12-14,6235.0,Throws
14,2019-12-15,5059.0,Throws
15,2019-12-16,5739.0,Throws
16,2019-12-17,5887.0,Throws
17,2019-12-18,5887.0,Throws
18,2019-12-19,5812.0,Throws
19,2019-12-20,5859.0,Throws
20,2019-12-21,5474.0,Throws
21,2019-12-22,5099.0,Throws
22,2019-12-23,5398.0,Throws
23,2019-12-24,5830.0,Throws
24,2019-12-25,6385.0,Throws
25,2019-12-26,7464.0,Throws
26,2019-12-27,7464.0,Throws
27,2019-12-28,8442.0,Throws
28,2019-12-29,7724.0,Throws
29,2019-12-30,7724.0,Throws
30,2019-12-31,7724.0,Throws
31,2020-01-01,7724.0,Throws
32,2020-01-02,7208.0,Throws
33,2020-01-03,8791.0,Throws
34,2020-01-04,8791.0,Throws
35,2020-01-05,8791.0,Throws
36,2020-01-06,8138.0,Throws
37,2020-01-07,8138.0,Throws
38,2020-01-08,8138.0,Throws
39,2020-01-09,10383.0,Throws
40,2020-01-10,10383.0,Throws
41,2020-01-11,10383.0,Throws
42,2020-01-12,7944.0,Throws
43,2020-01-13,7944.0,Throws
44,2020-01-14,8356.0,Throws
45,2020-01-15,8356.0,Throws
46,2020-01-16,8356.0,Throws
47,2020-01-17,13584.0,Throws
48,2020-01-18,11018.0,Throws
49,2020-01-19,8622.0,Throws
50,2020-01-20,8622.0,Throws
51,2020-01-21,8622.0,Throws
52,2020-01-22,8622.0,Throws
53,2020-01-23,8186.0,Throws
54,2020-01-24,8186.0,Throws
55,2020-01-25,8577.0,Throws
56,2020-01-26,8577.0,Throws
57,2020-01-27,8577.0,Throws
58,2020-01-28,8577.0,Throws
59,2020-01-29,8577.0,Throws
60,2020-01-30,8830.0,Throws
61,2020-01-31,8830.0,Throws
62,2020-02-01,8830.0,Throws
63,2020-02-02,8830.0,Throws
64,2020-02-03,8830.0,Throws
65,2020-02-04,8830.0,Throws
66,2020-02-05,8748.0,Throws
67,2020-02-06,8748.0,Throws
68,2020-02-07,8748.0,Throws
69,2020-02-08,8748.0,Throws
70,2020-02-09,11412.0,Throws
71,2020-02-10,11412.0,Throws
72,2020-02-11,11412.0,Throws
73,2020-02-12,8742.0,Throws
74,2020-02-13,9190.0,Throws
75,2020-02-14,9190.0,Throws
76,2020-02-15,9190.0,Throws
77,2020-02-16,8091.0,Throws
78,2020-02-17,8091.0,Throws
79,2020-02-18,8091.0,Throws
80,2020-02-19,10232.0,Throws
81,2020-02-20,10232.0,Throws
82,2020-02-21,10232.0,Throws
83,2020-02-22,13189.0,Throws
84,2020-02-23,13189.0,Throws
85,2020-02-24,15530.0,Throws
86,2020-02-25,12008.0,Throws
87,2020-02-26,12008.0,Throws
88,2020-02-27,12008.0,Throws
89,2020-02-28,12008.0,Throws
90,2020-02-29,12008.0,Throws
91,2020-03-01,12008.0,Throws
92,2020-03-02,12008.0,Throws
93,2020-03-03,12677.0,Throws
94,2020-03-04,12677.0,Throws
95,2020-03-05,12677.0,Throws
96,2020-03-06,12677.0,Throws
97,2020-03-07,12677.0,Throws
98,2020-03-08,12677.0,Throws
99,2020-03-09,12677.0,Throws
100,2020-03-10,9906.0,Throws
101,2020-03-11,10951.0,Throws
102,2020-03-12,10951.0,Throws
103,2020-03-13,10951.0,Throws
104,2020-03-14,10951.0,Throws
105,2020-03-15,10951.0,Throws
106,2020-03-16,10951.0,Throws
107,2020-03-17,10309.0,Throws
108,2020-03-18,10309.0,Throws
109,2020-03-19,10309.0,Throws
110,2020-03-20,13725.0,Throws
111,2020-03-21,13725.0,Throws
112,2020-03-22,13725.0,Throws
113,2020-03-23,9243.0,Throws
114,2020-03-24,9243.0,Throws
115,2020-03-25,9243.0,Throws
116,2020-03-26,9980.0,Throws
117,2020-03-27,9796.0,Throws
118,2020-03-28,9796.0,Throws
119,2020-03-29,9796.0,Throws
120,2020-03-30,9796.0,Throws
121,2020-03-31,10129.0,Throws
122,2020-04-01,10129.0,Throws
123,2020-04-02,10129.0,Throws
124,2020-04-03,10129.0,Throws
125,2020-04-04,10129.0,Throws
126,2020-04-05,10129.0,Throws
127,2020-04-06,9803.0,Throws
128,2020-04-07,9803.0,Throws
129,2020-04-08,9815.0,Throws
130,2020-04-09,11835.0,Throws
131,2020-04-10,11835.0,Throws
132,2020-04-11,11835.0,Throws
133,2020-04-12,9417.0,Throws
134,2020-04-13,9417.0,Throws
135,2020-04-14,10009.0,Throws
136,2020-04-15,10009.0,Throws
137,2020-04-16,10009.0,Throws
138,2020-04-17,8469.0,Throws
139,2020-04-18,8469.0,Throws
140,2020-04-19,8230.0,Throws
141,2020-04-20,8230.0,Throws
142,2020-04-21,8230.0,Throws
143,2020-04-22,7506.0,Throws
144,2020-04-23,7506.0,Throws
145,2020-04-24,7559.0,Throws
146,2020-04-25,8810.0,Throws
147,2020-04-26,8810.0,Throws
148,2020-04-27,10886.0,Throws
149,2020-04-28,10041.0,Throws
150,2020-04-29,10549.0,Throws
151,2020-04-30,11082.0,Throws
152,2020-05-01,11082.0,Throws
153,2020-05-02,11082.0,Throws
154,2020-05-03,11016.0,Throws
155,2020-05-04,11016.0,Throws
156,2020-05-05,11016.0,Throws
157,2020-05-06,11016.0,Throws
158,2020-05-07,8875.0,Throws
159,2020-05-08,8875.0,Throws
160,2020-05-09,8875.0,Throws
161,2020-05-10,5908.0,Throws
162,2020-05-11,5908.0,Throws
163,2020-05-12,6161.0,Throws
164,2020-05-13,6161.0,Throws
165,2020-05-14,6161.0,Throws
166,2020-05-15,7733.0,Throws
167,2020-05-16,7733.0,Throws
168,2020-05-17,6288.0,Throws
169,2020-05-18,7178.0,Throws
170,2020-05-19,7133.0,Throws
171,2020-05-20,7193.0,Throws
172,2020-05-21,6745.0,Throws
173,2020-05-22,6745.0,Throws
174,2020-05-23,5470.0,Throws
175,2020-05-24,5470.0,Throws
176,2020-05-25,6744.0,Throws
177,2020-05-26,6744.0,Throws
178,2020-05-27,8827.0,Throws
179,2020-05-28,7942.0,Throws
180,2020-05-29,7942.0,Throws
181,2020-05-30,7942.0,Throws
182,2020-05-31,7942.0,Throws
183,2020-06-01,8880.0,Throws
184,2020-06-02,8880.0,Throws
185,2020-06-03,9154.0,Throws
186,2020-06-04,10293.0,Throws
187,2020-06-05,9960.0,Throws
188,2020-06-06,9960.0,Throws
189,2020-06-07,10275.0,Throws
190,2020-06-08,10275.0,Throws
191,2020-06-09,10275.0,Throws
192,2020-06-10,10275.0,Throws
193,2020-06-11,10275.0,Throws
194,2020-06-12,16477.0,Throws
195,2020-06-13,16477.0,Throws
196,2020-06-14,16477.0,Throws
197,2020-06-15,15133.0,Throws
198,2020-06-16,16615.0,Throws
199,2020-06-17,15946.0,Throws
200,2020-06-18,15946.0,Throws
201,2020-06-19,15946.0,Throws
202,2020-06-20,11460.0,Throws
203,2020-06-21,11460.0,Throws
204,2020-06-22,14796.0,Throws
205,2020-06-23,14796.0,Throws
206,2020-06-24,13040.0,Throws
