,date,value,name_B0829HF35S
0,2020-05-27,2368.0,Bulletin Boards
1,2020-05-28,2516.0,Bulletin Boards
2,2020-05-29,2516.0,Bulletin Boards
3,2020-05-30,2351.0,Bulletin Boards
4,2020-05-31,2351.0,Bulletin Boards
5,2020-06-01,1834.0,Bulletin Boards
6,2020-06-02,1834.0,Bulletin Boards
7,2020-06-03,1834.0,Bulletin Boards
8,2020-06-04,1834.0,Bulletin Boards
9,2020-06-05,2797.0,Bulletin Boards
10,2020-06-06,2797.0,Bulletin Boards
11,2020-06-07,2782.0,Bulletin Boards
12,2020-06-08,2782.0,Bulletin Boards
13,2020-06-09,2782.0,Bulletin Boards
14,2020-06-10,2782.0,Bulletin Boards
15,2020-06-11,2908.0,Bulletin Boards
16,2020-06-12,2908.0,Bulletin Boards
17,2020-06-13,2617.0,Bulletin Boards
18,2020-06-14,2617.0,Bulletin Boards
19,2020-06-15,2686.0,Bulletin Boards
20,2020-06-16,3499.0,Bulletin Boards
21,2020-06-17,2956.0,Bulletin Boards
22,2020-06-18,3345.0,Bulletin Boards
23,2020-06-19,3345.0,Bulletin Boards
24,2020-06-20,3345.0,Bulletin Boards
25,2020-06-21,3345.0,Bulletin Boards
26,2020-06-22,3345.0,Bulletin Boards
27,2020-06-23,2733.0,Bulletin Boards
28,2020-06-24,2733.0,Bulletin Boards
29,2020-06-25,2958.0,Bulletin Boards
30,2020-06-26,2958.0,Bulletin Boards
31,2020-06-27,2958.0,Bulletin Boards
32,2020-06-28,2958.0,Bulletin Boards
33,2020-06-29,2871.0,Bulletin Boards
34,2020-06-30,2871.0,Bulletin Boards
35,2020-07-01,2871.0,Bulletin Boards
36,2020-07-02,2871.0,Bulletin Boards
37,2020-07-03,5367.0,Bulletin Boards
38,2020-07-04,6046.0,Bulletin Boards
39,2020-07-05,6046.0,Bulletin Boards
40,2020-07-06,3436.0,Bulletin Boards
41,2020-07-07,4331.0,Bulletin Boards
42,2020-07-08,4331.0,Bulletin Boards
43,2020-07-09,4345.0,Bulletin Boards
44,2020-07-10,3054.0,Bulletin Boards
45,2020-07-11,3054.0,Bulletin Boards
46,2020-07-12,3054.0,Bulletin Boards
47,2020-07-13,3054.0,Bulletin Boards
48,2020-07-14,2505.0,Bulletin Boards
49,2020-07-15,2787.0,Bulletin Boards
50,2020-07-16,2787.0,Bulletin Boards
51,2020-07-17,2787.0,Bulletin Boards
52,2020-07-18,2654.0,Bulletin Boards
53,2020-07-19,2654.0,Bulletin Boards
54,2020-07-20,2654.0,Bulletin Boards
55,2020-07-21,3263.0,Bulletin Boards
56,2020-07-22,3263.0,Bulletin Boards
57,2020-07-23,3372.0,Bulletin Boards
58,2020-07-24,3372.0,Bulletin Boards
59,2020-07-25,3372.0,Bulletin Boards
60,2020-07-26,3372.0,Bulletin Boards
61,2020-07-27,2536.0,Bulletin Boards
62,2020-07-28,2553.0,Bulletin Boards
63,2020-07-29,2553.0,Bulletin Boards
64,2020-07-30,3133.0,Bulletin Boards
65,2020-07-31,3133.0,Bulletin Boards
66,2020-08-01,2986.0,Bulletin Boards
67,2020-08-02,2511.0,Bulletin Boards
68,2020-08-03,2511.0,Bulletin Boards
69,2020-08-04,2940.0,Bulletin Boards
70,2020-08-05,2940.0,Bulletin Boards
71,2020-08-06,2921.0,Bulletin Boards
72,2020-08-07,2690.0,Bulletin Boards
73,2020-08-08,2982.0,Bulletin Boards
74,2020-08-09,2952.0,Bulletin Boards
75,2020-08-10,2018.0,Bulletin Boards
76,2020-08-11,2018.0,Bulletin Boards
77,2020-08-12,2018.0,Bulletin Boards
78,2020-08-13,2061.0,Bulletin Boards
79,2020-08-14,2153.0,Bulletin Boards
80,2020-08-15,2153.0,Bulletin Boards
81,2020-08-16,2137.0,Bulletin Boards
82,2020-08-17,1860.0,Bulletin Boards
83,2020-08-18,2004.0,Bulletin Boards
84,2020-08-19,2004.0,Bulletin Boards
85,2020-08-20,2122.0,Bulletin Boards
86,2020-08-21,1775.0,Bulletin Boards
87,2020-08-22,1691.0,Bulletin Boards
88,2020-08-23,1608.0,Bulletin Boards
89,2020-08-24,1875.0,Bulletin Boards
90,2020-08-25,1875.0,Bulletin Boards
91,2020-08-26,2048.0,Bulletin Boards
92,2020-08-27,2371.0,Bulletin Boards
93,2020-08-28,2806.0,Bulletin Boards
94,2020-08-29,2806.0,Bulletin Boards
95,2020-08-30,2806.0,Bulletin Boards
96,2020-08-31,2930.0,Bulletin Boards
97,2020-09-01,2930.0,Bulletin Boards
98,2020-09-02,5129.0,Bulletin Boards
99,2020-09-03,5129.0,Bulletin Boards
100,2020-09-04,3694.0,Bulletin Boards
101,2020-09-05,3694.0,Bulletin Boards
102,2020-09-06,2851.0,Bulletin Boards
103,2020-09-07,2234.0,Bulletin Boards
104,2020-09-08,1720.0,Bulletin Boards
105,2020-09-09,1816.0,Bulletin Boards
106,2020-09-10,1772.0,Bulletin Boards
107,2020-09-11,1772.0,Bulletin Boards
108,2020-09-12,1772.0,Bulletin Boards
109,2020-09-13,1531.0,Bulletin Boards
110,2020-09-14,1531.0,Bulletin Boards
