,date,value,name_B0829JKYLL
0,2019-12-09,28645.0,Wall & Tabletop Frames
1,2019-12-10,30224.0,Wall & Tabletop Frames
2,2019-12-11,23637.0,Wall & Tabletop Frames
3,2019-12-12,25857.0,Wall & Tabletop Frames
4,2019-12-13,22523.0,Wall & Tabletop Frames
5,2019-12-14,22523.0,Wall & Tabletop Frames
6,2019-12-15,22523.0,Wall & Tabletop Frames
7,2019-12-16,19111.0,Wall & Tabletop Frames
8,2019-12-17,19111.0,Wall & Tabletop Frames
9,2019-12-18,19111.0,Wall & Tabletop Frames
10,2019-12-19,14557.0,Wall & Tabletop Frames
11,2019-12-20,14557.0,Wall & Tabletop Frames
12,2019-12-21,14557.0,Wall & Tabletop Frames
13,2019-12-22,13995.0,Wall & Tabletop Frames
14,2019-12-23,13995.0,Wall & Tabletop Frames
15,2019-12-24,13995.0,Wall & Tabletop Frames
16,2019-12-25,14058.0,Wall & Tabletop Frames
17,2019-12-26,14058.0,Wall & Tabletop Frames
18,2019-12-27,14058.0,Wall & Tabletop Frames
19,2019-12-28,27137.0,Wall & Tabletop Frames
20,2019-12-29,27137.0,Wall & Tabletop Frames
21,2019-12-30,27137.0,Wall & Tabletop Frames
22,2019-12-31,27137.0,Wall & Tabletop Frames
23,2020-01-01,27137.0,Wall & Tabletop Frames
24,2020-01-02,32353.0,Wall & Tabletop Frames
25,2020-01-03,32353.0,Wall & Tabletop Frames
26,2020-01-04,32353.0,Wall & Tabletop Frames
27,2020-01-05,32353.0,Wall & Tabletop Frames
28,2020-01-06,18294.0,Wall & Tabletop Frames
29,2020-01-07,18294.0,Wall & Tabletop Frames
30,2020-01-08,18294.0,Wall & Tabletop Frames
31,2020-01-09,18294.0,Wall & Tabletop Frames
32,2020-01-10,18294.0,Wall & Tabletop Frames
33,2020-01-11,18294.0,Wall & Tabletop Frames
34,2020-01-12,18294.0,Wall & Tabletop Frames
35,2020-01-13,12635.0,Wall & Tabletop Frames
36,2020-01-14,12635.0,Wall & Tabletop Frames
37,2020-01-15,12635.0,Wall & Tabletop Frames
38,2020-01-16,15128.0,Wall & Tabletop Frames
39,2020-01-17,15128.0,Wall & Tabletop Frames
40,2020-01-18,15128.0,Wall & Tabletop Frames
41,2020-01-19,15128.0,Wall & Tabletop Frames
42,2020-01-20,15128.0,Wall & Tabletop Frames
43,2020-01-21,12155.0,Wall & Tabletop Frames
44,2020-01-22,12155.0,Wall & Tabletop Frames
45,2020-01-23,12155.0,Wall & Tabletop Frames
46,2020-01-24,12155.0,Wall & Tabletop Frames
47,2020-01-25,12155.0,Wall & Tabletop Frames
48,2020-01-26,12155.0,Wall & Tabletop Frames
49,2020-01-27,13502.0,Wall & Tabletop Frames
50,2020-01-28,13502.0,Wall & Tabletop Frames
51,2020-01-29,13502.0,Wall & Tabletop Frames
52,2020-01-30,13502.0,Wall & Tabletop Frames
53,2020-01-31,13502.0,Wall & Tabletop Frames
54,2020-02-01,11113.0,Wall & Tabletop Frames
55,2020-02-02,11113.0,Wall & Tabletop Frames
56,2020-02-03,11113.0,Wall & Tabletop Frames
57,2020-02-04,11113.0,Wall & Tabletop Frames
58,2020-02-05,12266.0,Wall & Tabletop Frames
59,2020-02-06,12266.0,Wall & Tabletop Frames
60,2020-02-07,12266.0,Wall & Tabletop Frames
61,2020-02-08,12266.0,Wall & Tabletop Frames
62,2020-02-09,12266.0,Wall & Tabletop Frames
63,2020-02-10,11868.0,Wall & Tabletop Frames
64,2020-02-11,11868.0,Wall & Tabletop Frames
65,2020-02-12,16495.0,Wall & Tabletop Frames
66,2020-02-13,16495.0,Wall & Tabletop Frames
67,2020-02-14,16495.0,Wall & Tabletop Frames
68,2020-02-15,16495.0,Wall & Tabletop Frames
