,date,value,name_B082NTB41N
0,2019-12-18,19453.0,Pool Hoses
1,2019-12-19,11672.0,Pool Hoses
2,2019-12-20,10180.0,Pool Hoses
3,2019-12-21,10180.0,Pool Hoses
4,2019-12-22,10180.0,Pool Hoses
5,2019-12-23,7052.0,Pool Hoses
6,2019-12-24,7960.0,Pool Hoses
7,2019-12-25,4652.0,Pool Hoses
8,2019-12-26,4652.0,Pool Hoses
9,2019-12-27,3418.0,Pool Hoses
10,2019-12-28,3418.0,Pool Hoses
11,2019-12-29,3418.0,Pool Hoses
12,2019-12-30,1863.0,Pool Hoses
13,2019-12-31,1863.0,Pool Hoses
14,2020-01-01,1863.0,Pool Hoses
15,2020-01-02,1863.0,Pool Hoses
16,2020-01-03,2487.0,Pool Hoses
17,2020-01-04,2487.0,Pool Hoses
18,2020-01-05,2487.0,Pool Hoses
19,2020-01-06,3034.0,Pool Hoses
20,2020-01-07,3034.0,Pool Hoses
21,2020-01-08,3163.0,Pool Hoses
22,2020-01-09,3163.0,Pool Hoses
23,2020-01-10,3163.0,Pool Hoses
24,2020-01-11,2829.0,Pool Hoses
25,2020-01-12,2829.0,Pool Hoses
26,2020-01-13,2367.0,Pool Hoses
27,2020-01-14,2367.0,Pool Hoses
28,2020-01-15,3135.0,Pool Hoses
29,2020-01-16,3135.0,Pool Hoses
30,2020-01-17,3135.0,Pool Hoses
31,2020-01-18,3843.0,Pool Hoses
32,2020-01-19,3843.0,Pool Hoses
33,2020-01-20,3631.0,Pool Hoses
34,2020-01-21,3631.0,Pool Hoses
35,2020-01-22,3864.0,Pool Hoses
36,2020-01-23,3864.0,Pool Hoses
37,2020-01-24,3864.0,Pool Hoses
38,2020-01-25,3864.0,Pool Hoses
39,2020-01-26,3864.0,Pool Hoses
40,2020-01-27,4163.0,Pool Hoses
41,2020-01-28,4163.0,Pool Hoses
42,2020-01-29,4163.0,Pool Hoses
43,2020-01-30,4163.0,Pool Hoses
44,2020-01-31,4163.0,Pool Hoses
45,2020-02-01,4163.0,Pool Hoses
46,2020-02-02,4163.0,Pool Hoses
47,2020-02-03,6298.0,Pool Hoses
48,2020-02-04,6298.0,Pool Hoses
49,2020-02-05,6298.0,Pool Hoses
50,2020-02-06,5015.0,Pool Hoses
51,2020-02-07,4189.0,Pool Hoses
52,2020-02-08,4189.0,Pool Hoses
53,2020-02-09,4189.0,Pool Hoses
54,2020-02-10,4189.0,Pool Hoses
55,2020-02-11,4189.0,Pool Hoses
56,2020-02-12,4189.0,Pool Hoses
57,2020-02-13,4189.0,Pool Hoses
58,2020-02-14,8584.0,Pool Hoses
59,2020-02-15,8584.0,Pool Hoses
60,2020-02-16,8584.0,Pool Hoses
61,2020-02-17,8584.0,Pool Hoses
62,2020-02-18,8584.0,Pool Hoses
63,2020-02-19,8584.0,Pool Hoses
