,date,value,name_B082X2SVKS
0,2020-05-23,3860.0,Kids' Electronics
1,2020-05-24,3860.0,Kids' Electronics
2,2020-05-25,3860.0,Kids' Electronics
3,2020-05-26,4007.0,Kids' Electronics
4,2020-05-27,3212.0,Kids' Electronics
5,2020-05-28,3271.0,Kids' Electronics
6,2020-05-29,3271.0,Kids' Electronics
7,2020-05-30,3271.0,Kids' Electronics
8,2020-05-31,3409.0,Kids' Electronics
9,2020-06-01,3443.0,Kids' Electronics
10,2020-06-02,3443.0,Kids' Electronics
11,2020-06-03,3443.0,Kids' Electronics
12,2020-06-04,3998.0,Kids' Electronics
13,2020-06-05,3998.0,Kids' Electronics
14,2020-06-06,3998.0,Kids' Electronics
15,2020-06-07,3509.0,Kids' Electronics
16,2020-06-08,3359.0,Kids' Electronics
17,2020-06-09,3359.0,Kids' Electronics
18,2020-06-10,3359.0,Kids' Electronics
19,2020-06-11,3635.0,Kids' Electronics
20,2020-06-12,3556.0,Kids' Electronics
21,2020-06-13,3940.0,Kids' Electronics
22,2020-06-14,3940.0,Kids' Electronics
23,2020-06-15,3940.0,Kids' Electronics
24,2020-06-16,4538.0,Kids' Electronics
25,2020-06-17,4530.0,Kids' Electronics
26,2020-06-18,4932.0,Kids' Electronics
27,2020-06-19,5574.0,Kids' Electronics
28,2020-06-20,5574.0,Kids' Electronics
29,2020-06-21,5574.0,Kids' Electronics
30,2020-06-22,5856.0,Kids' Electronics
31,2020-06-23,6327.0,Kids' Electronics
32,2020-06-24,5228.0,Kids' Electronics
33,2020-06-25,4634.0,Kids' Electronics
34,2020-06-26,4634.0,Kids' Electronics
35,2020-06-27,4634.0,Kids' Electronics
36,2020-06-28,6499.0,Kids' Electronics
37,2020-06-29,4966.0,Kids' Electronics
38,2020-06-30,4966.0,Kids' Electronics
39,2020-07-01,4966.0,Kids' Electronics
40,2020-07-02,4504.0,Kids' Electronics
41,2020-07-03,4504.0,Kids' Electronics
42,2020-07-04,4504.0,Kids' Electronics
43,2020-07-05,4504.0,Kids' Electronics
