,date,value,name_B08349D354
0,2020-04-13,10323.0,Flags
1,2020-04-14,10323.0,Flags
2,2020-04-15,13183.0,Flags
3,2020-04-16,13183.0,Flags
4,2020-04-17,13183.0,Flags
5,2020-04-18,28294.0,Flags
6,2020-04-19,28294.0,Flags
7,2020-04-20,10487.0,Flags
8,2020-04-21,10487.0,Flags
9,2020-04-22,10487.0,Flags
10,2020-04-23,12892.0,Flags
11,2020-04-24,12892.0,Flags
12,2020-04-25,12892.0,Flags
13,2020-04-26,12892.0,Flags
14,2020-04-27,6199.0,Flags
15,2020-04-28,6199.0,Flags
16,2020-04-29,6199.0,Flags
17,2020-04-30,11031.0,Flags
18,2020-05-01,11031.0,Flags
19,2020-05-02,11031.0,Flags
20,2020-05-03,11031.0,Flags
21,2020-05-04,5400.0,Flags
22,2020-05-05,5400.0,Flags
23,2020-05-06,5400.0,Flags
24,2020-05-07,5400.0,Flags
25,2020-05-08,11960.0,Flags
26,2020-05-09,13533.0,Flags
27,2020-05-10,13533.0,Flags
28,2020-05-11,13533.0,Flags
29,2020-05-12,18076.0,Flags
30,2020-05-13,18076.0,Flags
31,2020-05-14,18076.0,Flags
32,2020-05-15,18076.0,Flags
33,2020-05-16,18076.0,Flags
34,2020-05-17,18076.0,Flags
35,2020-05-18,18076.0,Flags
36,2020-05-19,18076.0,Flags
37,2020-05-20,19826.0,Flags
38,2020-05-21,19826.0,Flags
39,2020-05-22,19826.0,Flags
40,2020-05-23,19826.0,Flags
41,2020-05-24,19826.0,Flags
42,2020-05-25,24517.0,Flags
43,2020-05-26,24517.0,Flags
44,2020-05-27,13867.0,Flags
45,2020-05-28,13867.0,Flags
46,2020-05-29,13867.0,Flags
47,2020-05-30,13867.0,Flags
48,2020-05-31,13745.0,Flags
49,2020-06-01,11885.0,Flags
50,2020-06-02,11885.0,Flags
51,2020-06-03,11885.0,Flags
52,2020-06-04,6271.0,Flags
53,2020-06-05,6404.0,Flags
54,2020-06-06,6404.0,Flags
55,2020-06-07,6404.0,Flags
56,2020-06-08,6460.0,Flags
57,2020-06-09,6460.0,Flags
58,2020-06-10,4495.0,Flags
59,2020-06-11,4495.0,Flags
60,2020-06-12,4495.0,Flags
61,2020-06-13,4234.0,Flags
62,2020-06-14,4234.0,Flags
63,2020-06-15,4234.0,Flags
64,2020-06-16,3664.0,Flags
65,2020-06-17,3664.0,Flags
66,2020-06-18,3664.0,Flags
67,2020-06-19,1686.0,Flags
68,2020-06-20,1686.0,Flags
69,2020-06-21,1686.0,Flags
70,2020-06-22,2358.0,Flags
71,2020-06-23,2099.0,Flags
72,2020-06-24,2672.0,Flags
73,2020-06-25,2672.0,Flags
74,2020-06-26,2672.0,Flags
75,2020-06-27,2644.0,Flags
76,2020-06-28,2644.0,Flags
77,2020-06-29,1770.0,Flags
78,2020-06-30,1681.0,Flags
79,2020-07-01,1681.0,Flags
80,2020-07-02,1428.0,Flags
81,2020-07-03,1584.0,Flags
82,2020-07-04,2942.0,Flags
83,2020-07-05,4964.0,Flags
84,2020-07-06,4964.0,Flags
85,2020-07-07,4964.0,Flags
86,2020-07-08,4964.0,Flags
87,2020-07-09,5775.0,Flags
88,2020-07-10,5775.0,Flags
89,2020-07-11,3725.0,Flags
90,2020-07-12,4624.0,Flags
91,2020-07-13,4624.0,Flags
92,2020-07-14,4624.0,Flags
93,2020-07-15,3828.0,Flags
94,2020-07-16,3828.0,Flags
95,2020-07-17,3466.0,Flags
96,2020-07-18,3466.0,Flags
97,2020-07-19,3466.0,Flags
98,2020-07-20,3409.0,Flags
99,2020-07-21,3422.0,Flags
100,2020-07-22,3200.0,Flags
101,2020-07-23,2597.0,Flags
102,2020-07-24,2597.0,Flags
103,2020-07-25,2597.0,Flags
104,2020-07-26,2132.0,Flags
105,2020-07-27,2260.0,Flags
106,2020-07-28,2260.0,Flags
107,2020-07-29,2310.0,Flags
108,2020-07-30,2310.0,Flags
109,2020-07-31,2310.0,Flags
110,2020-08-01,2977.0,Flags
111,2020-08-02,2977.0,Flags
112,2020-08-03,2990.0,Flags
113,2020-08-04,2990.0,Flags
114,2020-08-05,2990.0,Flags
115,2020-08-06,2723.0,Flags
116,2020-08-07,2723.0,Flags
117,2020-08-08,2723.0,Flags
118,2020-08-09,2812.0,Flags
119,2020-08-10,2812.0,Flags
120,2020-08-11,2812.0,Flags
121,2020-08-12,2828.0,Flags
122,2020-08-13,2828.0,Flags
123,2020-08-14,3199.0,Flags
124,2020-08-15,3199.0,Flags
125,2020-08-16,3199.0,Flags
126,2020-08-17,3199.0,Flags
127,2020-08-18,2261.0,Flags
128,2020-08-19,2261.0,Flags
129,2020-08-20,2261.0,Flags
130,2020-08-21,1849.0,Flags
131,2020-08-22,2180.0,Flags
132,2020-08-23,2180.0,Flags
133,2020-08-24,2180.0,Flags
134,2020-08-25,2149.0,Flags
135,2020-08-26,2149.0,Flags
136,2020-08-27,2149.0,Flags
137,2020-08-28,2464.0,Flags
138,2020-08-29,2162.0,Flags
139,2020-08-30,2162.0,Flags
140,2020-08-31,1549.0,Flags
141,2020-09-01,1549.0,Flags
142,2020-09-02,1799.0,Flags
143,2020-09-03,1799.0,Flags
144,2020-09-04,2506.0,Flags
145,2020-09-05,2506.0,Flags
146,2020-09-06,2506.0,Flags
147,2020-09-07,4472.0,Flags
148,2020-09-08,4472.0,Flags
149,2020-09-09,4472.0,Flags
150,2020-09-10,4472.0,Flags
151,2020-09-11,4320.0,Flags
152,2020-09-12,4320.0,Flags
153,2020-09-13,4320.0,Flags
154,2020-09-14,3734.0,Flags
155,2020-09-15,3734.0,Flags
156,2020-09-16,3210.0,Flags
157,2020-09-17,3210.0,Flags
158,2020-09-18,3210.0,Flags
