,date,value,name_B083CX82YM
0,2020-02-26,328086.0,Bathroom Accessory Sets
1,2020-02-27,328086.0,Bathroom Accessory Sets
2,2020-02-28,328086.0,Bathroom Accessory Sets
3,2020-02-29,328086.0,Bathroom Accessory Sets
4,2020-03-01,328086.0,Bathroom Accessory Sets
5,2020-03-02,328086.0,Bathroom Accessory Sets
6,2020-03-03,473271.0,Bathroom Accessory Sets
7,2020-03-04,473271.0,Bathroom Accessory Sets
8,2020-03-05,473271.0,Bathroom Accessory Sets
9,2020-03-06,473271.0,Bathroom Accessory Sets
10,2020-03-07,473271.0,Bathroom Accessory Sets
11,2020-03-08,473271.0,Bathroom Accessory Sets
12,2020-03-09,473271.0,Bathroom Accessory Sets
13,2020-03-10,473271.0,Bathroom Accessory Sets
14,2020-03-11,473271.0,Bathroom Accessory Sets
15,2020-03-12,473271.0,Bathroom Accessory Sets
16,2020-03-13,473271.0,Bathroom Accessory Sets
17,2020-03-14,473271.0,Bathroom Accessory Sets
18,2020-03-15,473271.0,Bathroom Accessory Sets
19,2020-03-16,473271.0,Bathroom Accessory Sets
20,2020-03-17,473271.0,Bathroom Accessory Sets
21,2020-03-18,473271.0,Bathroom Accessory Sets
22,2020-03-19,473271.0,Bathroom Accessory Sets
23,2020-03-20,473271.0,Bathroom Accessory Sets
24,2020-03-21,473271.0,Bathroom Accessory Sets
25,2020-03-22,473271.0,Bathroom Accessory Sets
26,2020-03-23,473271.0,Bathroom Accessory Sets
27,2020-03-24,473271.0,Bathroom Accessory Sets
28,2020-03-25,473271.0,Bathroom Accessory Sets
29,2020-03-26,177025.0,Bathroom Accessory Sets
30,2020-03-27,177025.0,Bathroom Accessory Sets
31,2020-03-28,177025.0,Bathroom Accessory Sets
32,2020-03-29,177025.0,Bathroom Accessory Sets
33,2020-03-30,177025.0,Bathroom Accessory Sets
34,2020-03-31,177025.0,Bathroom Accessory Sets
35,2020-04-01,177025.0,Bathroom Accessory Sets
36,2020-04-02,177025.0,Bathroom Accessory Sets
37,2020-04-03,177025.0,Bathroom Accessory Sets
38,2020-04-04,177025.0,Bathroom Accessory Sets
39,2020-04-05,177025.0,Bathroom Accessory Sets
40,2020-04-06,177025.0,Bathroom Accessory Sets
41,2020-04-07,177025.0,Bathroom Accessory Sets
