,date,value,name_B083QPV95C
0,2020-05-27,1119.0,Educational Charts & Posters
1,2020-05-28,1119.0,Educational Charts & Posters
2,2020-05-29,1119.0,Educational Charts & Posters
3,2020-05-30,1057.0,Educational Charts & Posters
4,2020-05-31,1057.0,Educational Charts & Posters
5,2020-06-01,1057.0,Educational Charts & Posters
6,2020-06-02,1080.0,Educational Charts & Posters
7,2020-06-03,1080.0,Educational Charts & Posters
8,2020-06-04,1080.0,Educational Charts & Posters
9,2020-06-05,1086.0,Educational Charts & Posters
10,2020-06-06,1086.0,Educational Charts & Posters
11,2020-06-07,1086.0,Educational Charts & Posters
12,2020-06-08,1212.0,Educational Charts & Posters
13,2020-06-09,1212.0,Educational Charts & Posters
14,2020-06-10,1212.0,Educational Charts & Posters
15,2020-06-11,1124.0,Educational Charts & Posters
16,2020-06-12,1124.0,Educational Charts & Posters
17,2020-06-13,1124.0,Educational Charts & Posters
18,2020-06-14,1217.0,Educational Charts & Posters
19,2020-06-15,1217.0,Educational Charts & Posters
20,2020-06-16,1217.0,Educational Charts & Posters
21,2020-06-17,1217.0,Educational Charts & Posters
22,2020-06-18,1241.0,Educational Charts & Posters
23,2020-06-19,1241.0,Educational Charts & Posters
24,2020-06-20,1278.0,Educational Charts & Posters
25,2020-06-21,1278.0,Educational Charts & Posters
26,2020-06-22,1278.0,Educational Charts & Posters
27,2020-06-23,1878.0,Educational Charts & Posters
28,2020-06-24,1380.0,Educational Charts & Posters
29,2020-06-25,1380.0,Educational Charts & Posters
30,2020-06-26,1380.0,Educational Charts & Posters
31,2020-06-27,938.0,Educational Charts & Posters
32,2020-06-28,938.0,Educational Charts & Posters
33,2020-06-29,938.0,Educational Charts & Posters
34,2020-06-30,952.0,Educational Charts & Posters
35,2020-07-01,952.0,Educational Charts & Posters
36,2020-07-02,678.0,Educational Charts & Posters
37,2020-07-03,678.0,Educational Charts & Posters
38,2020-07-04,678.0,Educational Charts & Posters
39,2020-07-05,678.0,Educational Charts & Posters
40,2020-07-06,880.0,Educational Charts & Posters
41,2020-07-07,880.0,Educational Charts & Posters
42,2020-07-08,880.0,Educational Charts & Posters
43,2020-07-09,816.0,Educational Charts & Posters
44,2020-07-10,816.0,Educational Charts & Posters
45,2020-07-11,816.0,Educational Charts & Posters
46,2020-07-12,596.0,Educational Charts & Posters
47,2020-07-13,596.0,Educational Charts & Posters
48,2020-07-14,596.0,Educational Charts & Posters
49,2020-07-15,452.0,Educational Charts & Posters
50,2020-07-16,452.0,Educational Charts & Posters
51,2020-07-17,452.0,Educational Charts & Posters
52,2020-07-18,355.0,Educational Charts & Posters
53,2020-07-19,355.0,Educational Charts & Posters
54,2020-07-20,355.0,Educational Charts & Posters
55,2020-07-21,434.0,Educational Charts & Posters
56,2020-07-22,434.0,Educational Charts & Posters
57,2020-07-23,296.0,Educational Charts & Posters
58,2020-07-24,296.0,Educational Charts & Posters
59,2020-07-25,296.0,Educational Charts & Posters
60,2020-07-26,307.0,Educational Charts & Posters
61,2020-07-27,212.0,Educational Charts & Posters
62,2020-07-28,212.0,Educational Charts & Posters
63,2020-07-29,327.0,Educational Charts & Posters
64,2020-07-30,327.0,Educational Charts & Posters
65,2020-07-31,327.0,Educational Charts & Posters
66,2020-08-01,332.0,Educational Charts & Posters
67,2020-08-02,332.0,Educational Charts & Posters
68,2020-08-03,602.0,Educational Charts & Posters
69,2020-08-04,1812.0,Educational Charts & Posters
70,2020-08-05,713.0,Educational Charts & Posters
71,2020-08-06,713.0,Educational Charts & Posters
72,2020-08-07,398.0,Educational Charts & Posters
73,2020-08-08,398.0,Educational Charts & Posters
74,2020-08-09,398.0,Educational Charts & Posters
75,2020-08-10,437.0,Educational Charts & Posters
76,2020-08-11,437.0,Educational Charts & Posters
77,2020-08-12,432.0,Educational Charts & Posters
78,2020-08-13,416.0,Educational Charts & Posters
79,2020-08-14,310.0,Educational Charts & Posters
80,2020-08-15,310.0,Educational Charts & Posters
81,2020-08-16,310.0,Educational Charts & Posters
82,2020-08-17,184.0,Educational Charts & Posters
83,2020-08-18,182.0,Educational Charts & Posters
84,2020-08-19,182.0,Educational Charts & Posters
85,2020-08-20,182.0,Educational Charts & Posters
86,2020-08-21,167.0,Educational Charts & Posters
87,2020-08-22,167.0,Educational Charts & Posters
88,2020-08-23,167.0,Educational Charts & Posters
89,2020-08-24,179.0,Educational Charts & Posters
90,2020-08-25,198.0,Educational Charts & Posters
91,2020-08-26,198.0,Educational Charts & Posters
92,2020-08-27,1149.0,Educational Charts & Posters
93,2020-08-28,1149.0,Educational Charts & Posters
94,2020-08-29,1149.0,Educational Charts & Posters
95,2020-08-30,2911.0,Educational Charts & Posters
96,2020-08-31,2911.0,Educational Charts & Posters
97,2020-09-01,4999.0,Educational Charts & Posters
98,2020-09-02,4999.0,Educational Charts & Posters
99,2020-09-03,4999.0,Educational Charts & Posters
100,2020-09-04,2298.0,Educational Charts & Posters
101,2020-09-05,2298.0,Educational Charts & Posters
102,2020-09-06,2298.0,Educational Charts & Posters
103,2020-09-07,433.0,Educational Charts & Posters
104,2020-09-08,290.0,Educational Charts & Posters
105,2020-09-09,290.0,Educational Charts & Posters
106,2020-09-10,290.0,Educational Charts & Posters
