,date,value,name_B083ZLY75W
0,2020-05-25,1697.0,Gift Wrap Cellophane
1,2020-05-26,1575.0,Gift Wrap Cellophane
2,2020-05-27,1436.0,Gift Wrap Cellophane
3,2020-05-28,1436.0,Gift Wrap Cellophane
4,2020-05-29,1379.0,Gift Wrap Cellophane
5,2020-05-30,1379.0,Gift Wrap Cellophane
6,2020-05-31,1205.0,Gift Wrap Cellophane
7,2020-06-01,1319.0,Gift Wrap Cellophane
8,2020-06-02,1319.0,Gift Wrap Cellophane
9,2020-06-03,1319.0,Gift Wrap Cellophane
10,2020-06-04,1316.0,Gift Wrap Cellophane
11,2020-06-05,1316.0,Gift Wrap Cellophane
12,2020-06-06,1316.0,Gift Wrap Cellophane
13,2020-06-07,1171.0,Gift Wrap Cellophane
14,2020-06-08,1171.0,Gift Wrap Cellophane
15,2020-06-09,1053.0,Gift Wrap Cellophane
16,2020-06-10,1272.0,Gift Wrap Cellophane
17,2020-06-11,1272.0,Gift Wrap Cellophane
18,2020-06-12,1609.0,Gift Wrap Cellophane
19,2020-06-13,1609.0,Gift Wrap Cellophane
20,2020-06-14,1609.0,Gift Wrap Cellophane
21,2020-06-15,1609.0,Gift Wrap Cellophane
22,2020-06-16,966.0,Gift Wrap Cellophane
23,2020-06-17,1169.0,Gift Wrap Cellophane
24,2020-06-18,1072.0,Gift Wrap Cellophane
25,2020-06-19,1521.0,Gift Wrap Cellophane
26,2020-06-20,1869.0,Gift Wrap Cellophane
27,2020-06-21,1909.0,Gift Wrap Cellophane
28,2020-06-22,1909.0,Gift Wrap Cellophane
29,2020-06-23,1909.0,Gift Wrap Cellophane
30,2020-06-24,1362.0,Gift Wrap Cellophane
31,2020-06-25,1808.0,Gift Wrap Cellophane
32,2020-06-26,1987.0,Gift Wrap Cellophane
33,2020-06-27,2690.0,Gift Wrap Cellophane
34,2020-06-28,2690.0,Gift Wrap Cellophane
35,2020-06-29,2690.0,Gift Wrap Cellophane
36,2020-06-30,2202.0,Gift Wrap Cellophane
37,2020-07-01,1581.0,Gift Wrap Cellophane
38,2020-07-02,2290.0,Gift Wrap Cellophane
39,2020-07-03,2290.0,Gift Wrap Cellophane
40,2020-07-04,2290.0,Gift Wrap Cellophane
41,2020-07-05,6676.0,Gift Wrap Cellophane
42,2020-07-06,10121.0,Gift Wrap Cellophane
43,2020-07-07,10121.0,Gift Wrap Cellophane
44,2020-07-08,2924.0,Gift Wrap Cellophane
45,2020-07-09,2924.0,Gift Wrap Cellophane
46,2020-07-10,2924.0,Gift Wrap Cellophane
47,2020-07-11,2924.0,Gift Wrap Cellophane
48,2020-07-12,2637.0,Gift Wrap Cellophane
49,2020-07-13,2637.0,Gift Wrap Cellophane
50,2020-07-14,2637.0,Gift Wrap Cellophane
51,2020-07-15,2303.0,Gift Wrap Cellophane
52,2020-07-16,2303.0,Gift Wrap Cellophane
53,2020-07-17,2303.0,Gift Wrap Cellophane
54,2020-07-18,2667.0,Gift Wrap Cellophane
55,2020-07-19,2788.0,Gift Wrap Cellophane
