,date,value,name_B0841YKBPG
0,2020-05-26,13467.0,LED Bulbs
1,2020-05-27,14006.0,LED Bulbs
2,2020-05-28,14006.0,LED Bulbs
3,2020-05-29,14006.0,LED Bulbs
4,2020-05-30,14006.0,LED Bulbs
5,2020-05-31,14006.0,LED Bulbs
6,2020-06-01,15515.0,LED Bulbs
7,2020-06-02,15515.0,LED Bulbs
8,2020-06-03,14215.0,LED Bulbs
9,2020-06-04,17338.0,LED Bulbs
10,2020-06-05,17338.0,LED Bulbs
11,2020-06-06,17338.0,LED Bulbs
12,2020-06-07,17338.0,LED Bulbs
13,2020-06-08,15291.0,LED Bulbs
14,2020-06-09,15291.0,LED Bulbs
15,2020-06-10,15291.0,LED Bulbs
16,2020-06-11,15921.0,LED Bulbs
17,2020-06-12,15921.0,LED Bulbs
18,2020-06-13,15921.0,LED Bulbs
19,2020-06-14,15921.0,LED Bulbs
20,2020-06-15,14759.0,LED Bulbs
21,2020-06-16,17847.0,LED Bulbs
22,2020-06-17,17847.0,LED Bulbs
23,2020-06-18,17847.0,LED Bulbs
24,2020-06-19,17847.0,LED Bulbs
25,2020-06-20,17847.0,LED Bulbs
26,2020-06-21,17847.0,LED Bulbs
27,2020-06-22,16794.0,LED Bulbs
28,2020-06-23,16586.0,LED Bulbs
29,2020-06-24,16586.0,LED Bulbs
30,2020-06-25,19641.0,LED Bulbs
31,2020-06-26,21471.0,LED Bulbs
32,2020-06-27,21471.0,LED Bulbs
33,2020-06-28,19230.0,LED Bulbs
34,2020-06-29,19230.0,LED Bulbs
35,2020-06-30,17136.0,LED Bulbs
36,2020-07-01,17136.0,LED Bulbs
37,2020-07-02,17136.0,LED Bulbs
38,2020-07-03,17136.0,LED Bulbs
39,2020-07-04,17288.0,LED Bulbs
40,2020-07-05,16811.0,LED Bulbs
41,2020-07-06,16811.0,LED Bulbs
42,2020-07-07,14587.0,LED Bulbs
43,2020-07-08,14587.0,LED Bulbs
44,2020-07-09,12022.0,LED Bulbs
45,2020-07-10,12022.0,LED Bulbs
46,2020-07-11,17010.0,LED Bulbs
47,2020-07-12,17010.0,LED Bulbs
48,2020-07-13,13828.0,LED Bulbs
49,2020-07-14,13828.0,LED Bulbs
50,2020-07-15,13828.0,LED Bulbs
51,2020-07-16,14012.0,LED Bulbs
52,2020-07-17,14012.0,LED Bulbs
53,2020-07-18,14012.0,LED Bulbs
54,2020-07-19,14012.0,LED Bulbs
55,2020-07-20,14012.0,LED Bulbs
56,2020-07-21,14501.0,LED Bulbs
57,2020-07-22,14501.0,LED Bulbs
58,2020-07-23,13739.0,LED Bulbs
59,2020-07-24,13739.0,LED Bulbs
60,2020-07-25,13739.0,LED Bulbs
61,2020-07-26,13739.0,LED Bulbs
62,2020-07-27,12510.0,LED Bulbs
63,2020-07-28,13334.0,LED Bulbs
64,2020-07-29,13334.0,LED Bulbs
65,2020-07-30,13334.0,LED Bulbs
66,2020-07-31,11983.0,LED Bulbs
67,2020-08-01,11983.0,LED Bulbs
68,2020-08-02,11983.0,LED Bulbs
69,2020-08-03,11983.0,LED Bulbs
70,2020-08-04,13127.0,LED Bulbs
71,2020-08-05,13127.0,LED Bulbs
72,2020-08-06,13219.0,LED Bulbs
73,2020-08-07,13219.0,LED Bulbs
74,2020-08-08,13219.0,LED Bulbs
75,2020-08-09,13219.0,LED Bulbs
76,2020-08-10,13219.0,LED Bulbs
77,2020-08-11,13219.0,LED Bulbs
78,2020-08-12,11727.0,LED Bulbs
79,2020-08-13,12293.0,LED Bulbs
80,2020-08-14,12293.0,LED Bulbs
81,2020-08-15,13579.0,LED Bulbs
82,2020-08-16,13579.0,LED Bulbs
83,2020-08-17,10802.0,LED Bulbs
84,2020-08-18,10167.0,LED Bulbs
85,2020-08-19,10167.0,LED Bulbs
86,2020-08-20,10167.0,LED Bulbs
87,2020-08-21,10167.0,LED Bulbs
88,2020-08-22,12811.0,LED Bulbs
89,2020-08-23,12811.0,LED Bulbs
90,2020-08-24,12830.0,LED Bulbs
91,2020-08-25,12830.0,LED Bulbs
92,2020-08-26,10528.0,LED Bulbs
93,2020-08-27,10528.0,LED Bulbs
94,2020-08-28,10528.0,LED Bulbs
95,2020-08-29,10528.0,LED Bulbs
96,2020-08-30,10528.0,LED Bulbs
97,2020-08-31,10528.0,LED Bulbs
98,2020-09-01,10528.0,LED Bulbs
99,2020-09-02,14933.0,LED Bulbs
100,2020-09-03,14933.0,LED Bulbs
101,2020-09-04,14933.0,LED Bulbs
102,2020-09-05,15500.0,LED Bulbs
103,2020-09-06,15500.0,LED Bulbs
104,2020-09-07,17850.0,LED Bulbs
105,2020-09-08,17850.0,LED Bulbs
106,2020-09-09,17850.0,LED Bulbs
107,2020-09-10,17850.0,LED Bulbs
108,2020-09-11,11891.0,LED Bulbs
109,2020-09-12,11891.0,LED Bulbs
110,2020-09-13,11891.0,LED Bulbs
111,2020-09-14,11891.0,LED Bulbs
112,2020-09-15,11891.0,LED Bulbs
113,2020-09-16,13407.0,LED Bulbs
114,2020-09-17,13407.0,LED Bulbs
115,2020-09-18,14413.0,LED Bulbs
116,2020-09-19,14413.0,LED Bulbs
117,2020-09-20,14413.0,LED Bulbs
118,2020-09-21,14413.0,LED Bulbs
119,2020-09-22,12586.0,LED Bulbs
120,2020-09-23,12586.0,LED Bulbs
121,2020-09-24,13091.0,LED Bulbs
122,2020-09-25,13091.0,LED Bulbs
123,2020-09-26,13091.0,LED Bulbs
124,2020-09-27,12094.0,LED Bulbs
125,2020-09-28,12094.0,LED Bulbs
126,2020-09-29,11165.0,LED Bulbs
127,2020-09-30,12770.0,LED Bulbs
128,2020-10-01,12869.0,LED Bulbs
129,2020-10-02,12869.0,LED Bulbs
130,2020-10-03,12869.0,LED Bulbs
131,2020-10-04,12869.0,LED Bulbs
132,2020-10-05,10280.0,LED Bulbs
133,2020-10-06,10280.0,LED Bulbs
134,2020-10-07,10280.0,LED Bulbs
135,2020-10-08,11788.0,LED Bulbs
136,2020-10-09,12385.0,LED Bulbs
137,2020-10-10,12385.0,LED Bulbs
138,2020-10-11,12385.0,LED Bulbs
139,2020-10-12,12385.0,LED Bulbs
140,2020-10-13,12385.0,LED Bulbs
141,2020-10-14,15711.0,LED Bulbs
142,2020-10-15,15711.0,LED Bulbs
143,2020-10-16,15711.0,LED Bulbs
144,2020-10-17,32933.0,LED Bulbs
145,2020-10-18,32933.0,LED Bulbs
146,2020-10-19,30692.0,LED Bulbs
147,2020-10-20,30692.0,LED Bulbs
148,2020-10-21,30692.0,LED Bulbs
149,2020-10-22,30692.0,LED Bulbs
150,2020-10-23,30692.0,LED Bulbs
151,2020-10-24,30692.0,LED Bulbs
152,2020-10-25,36149.0,LED Bulbs
153,2020-10-26,24162.0,LED Bulbs
154,2020-10-27,24162.0,LED Bulbs
155,2020-10-28,24162.0,LED Bulbs
156,2020-10-29,24162.0,LED Bulbs
157,2020-10-30,15542.0,LED Bulbs
158,2020-10-31,15542.0,LED Bulbs
159,2020-11-01,21038.0,LED Bulbs
160,2020-11-02,21038.0,LED Bulbs
161,2020-11-03,16127.0,LED Bulbs
162,2020-11-04,16127.0,LED Bulbs
163,2020-11-05,18473.0,LED Bulbs
164,2020-11-06,18473.0,LED Bulbs
165,2020-11-07,19532.0,LED Bulbs
166,2020-11-08,19532.0,LED Bulbs
167,2020-11-09,19532.0,LED Bulbs
168,2020-11-10,19532.0,LED Bulbs
169,2020-11-11,19532.0,LED Bulbs
170,2020-11-12,29762.0,LED Bulbs
171,2020-11-13,29762.0,LED Bulbs
172,2020-11-14,29762.0,LED Bulbs
173,2020-11-15,29762.0,LED Bulbs
174,2020-11-16,29762.0,LED Bulbs
175,2020-11-17,29762.0,LED Bulbs
