,date,value,name_B084C1F1PD
0,2020-02-07,47466.0,Kitchen Trash Cans
1,2020-02-08,47466.0,Kitchen Trash Cans
2,2020-02-09,47466.0,Kitchen Trash Cans
3,2020-02-10,47466.0,Kitchen Trash Cans
4,2020-02-11,47466.0,Kitchen Trash Cans
5,2020-02-12,80361.0,Kitchen Trash Cans
6,2020-02-13,80361.0,Kitchen Trash Cans
7,2020-02-14,80361.0,Kitchen Trash Cans
8,2020-02-15,80361.0,Kitchen Trash Cans
9,2020-02-16,80361.0,Kitchen Trash Cans
10,2020-02-17,80361.0,Kitchen Trash Cans
11,2020-02-18,130800.0,Kitchen Trash Cans
12,2020-02-19,130800.0,Kitchen Trash Cans
13,2020-02-20,130800.0,Kitchen Trash Cans
14,2020-02-21,130800.0,Kitchen Trash Cans
15,2020-02-22,130800.0,Kitchen Trash Cans
16,2020-02-23,130800.0,Kitchen Trash Cans
17,2020-02-24,133515.0,Kitchen Trash Cans
18,2020-02-25,133515.0,Kitchen Trash Cans
19,2020-02-26,133515.0,Kitchen Trash Cans
20,2020-02-27,76835.0,Kitchen Trash Cans
21,2020-02-28,76835.0,Kitchen Trash Cans
22,2020-02-29,76835.0,Kitchen Trash Cans
23,2020-03-01,76835.0,Kitchen Trash Cans
24,2020-03-02,76835.0,Kitchen Trash Cans
25,2020-03-03,76835.0,Kitchen Trash Cans
26,2020-03-04,76835.0,Kitchen Trash Cans
27,2020-03-05,76835.0,Kitchen Trash Cans
28,2020-03-06,76835.0,Kitchen Trash Cans
29,2020-03-07,76835.0,Kitchen Trash Cans
30,2020-03-08,76835.0,Kitchen Trash Cans
31,2020-03-09,76835.0,Kitchen Trash Cans
32,2020-03-10,76835.0,Kitchen Trash Cans
33,2020-03-11,76835.0,Kitchen Trash Cans
34,2020-03-12,76835.0,Kitchen Trash Cans
35,2020-03-13,76835.0,Kitchen Trash Cans
36,2020-03-14,76835.0,Kitchen Trash Cans
37,2020-03-15,76835.0,Kitchen Trash Cans
38,2020-03-16,76835.0,Kitchen Trash Cans
39,2020-03-17,76835.0,Kitchen Trash Cans
40,2020-03-18,76835.0,Kitchen Trash Cans
41,2020-03-19,76835.0,Kitchen Trash Cans
42,2020-03-20,76835.0,Kitchen Trash Cans
43,2020-03-21,76835.0,Kitchen Trash Cans
44,2020-03-22,76835.0,Kitchen Trash Cans
45,2020-03-23,76835.0,Kitchen Trash Cans
46,2020-03-24,76835.0,Kitchen Trash Cans
47,2020-03-25,76835.0,Kitchen Trash Cans
48,2020-03-26,76835.0,Kitchen Trash Cans
49,2020-03-27,76835.0,Kitchen Trash Cans
50,2020-03-28,76835.0,Kitchen Trash Cans
51,2020-03-29,76835.0,Kitchen Trash Cans
52,2020-03-30,76835.0,Kitchen Trash Cans
53,2020-03-31,76835.0,Kitchen Trash Cans
54,2020-04-01,76835.0,Kitchen Trash Cans
55,2020-04-02,76835.0,Kitchen Trash Cans
56,2020-04-03,76835.0,Kitchen Trash Cans
57,2020-04-04,76835.0,Kitchen Trash Cans
58,2020-04-05,76835.0,Kitchen Trash Cans
59,2020-04-06,76835.0,Kitchen Trash Cans
60,2020-04-07,76835.0,Kitchen Trash Cans
61,2020-04-08,76835.0,Kitchen Trash Cans
62,2020-04-09,76835.0,Kitchen Trash Cans
63,2020-04-10,76835.0,Kitchen Trash Cans
64,2020-04-11,76835.0,Kitchen Trash Cans
65,2020-04-12,76835.0,Kitchen Trash Cans
66,2020-04-13,76835.0,Kitchen Trash Cans
67,2020-04-14,76835.0,Kitchen Trash Cans
68,2020-04-15,76835.0,Kitchen Trash Cans
69,2020-04-16,76835.0,Kitchen Trash Cans
70,2020-04-17,460779.0,Kitchen Trash Cans
71,2020-04-18,460779.0,Kitchen Trash Cans
72,2020-04-19,460779.0,Kitchen Trash Cans
73,2020-04-20,460779.0,Kitchen Trash Cans
74,2020-04-21,460779.0,Kitchen Trash Cans
75,2020-04-22,460779.0,Kitchen Trash Cans
76,2020-04-23,53738.0,Kitchen Trash Cans
77,2020-04-24,53738.0,Kitchen Trash Cans
78,2020-04-25,53738.0,Kitchen Trash Cans
79,2020-04-26,53738.0,Kitchen Trash Cans
80,2020-04-27,53738.0,Kitchen Trash Cans
81,2020-04-28,53738.0,Kitchen Trash Cans
82,2020-04-29,53738.0,Kitchen Trash Cans
83,2020-04-30,53738.0,Kitchen Trash Cans
84,2020-05-01,53738.0,Kitchen Trash Cans
85,2020-05-02,53738.0,Kitchen Trash Cans
86,2020-05-03,53738.0,Kitchen Trash Cans
87,2020-05-04,55206.0,Kitchen Trash Cans
88,2020-05-05,69094.0,Kitchen Trash Cans
89,2020-05-06,44530.0,Kitchen Trash Cans
90,2020-05-07,44530.0,Kitchen Trash Cans
91,2020-05-08,44530.0,Kitchen Trash Cans
92,2020-05-09,44530.0,Kitchen Trash Cans
93,2020-05-10,44530.0,Kitchen Trash Cans
94,2020-05-11,44530.0,Kitchen Trash Cans
95,2020-05-12,50363.0,Kitchen Trash Cans
96,2020-05-13,50363.0,Kitchen Trash Cans
97,2020-05-14,50363.0,Kitchen Trash Cans
98,2020-05-15,49762.0,Kitchen Trash Cans
99,2020-05-16,49762.0,Kitchen Trash Cans
100,2020-05-17,49762.0,Kitchen Trash Cans
101,2020-05-18,49762.0,Kitchen Trash Cans
102,2020-05-19,65868.0,Kitchen Trash Cans
103,2020-05-20,65868.0,Kitchen Trash Cans
104,2020-05-21,65868.0,Kitchen Trash Cans
105,2020-05-22,65868.0,Kitchen Trash Cans
106,2020-05-23,65868.0,Kitchen Trash Cans
107,2020-05-24,65556.0,Kitchen Trash Cans
108,2020-05-25,65556.0,Kitchen Trash Cans
109,2020-05-26,65556.0,Kitchen Trash Cans
110,2020-05-27,65556.0,Kitchen Trash Cans
111,2020-05-28,54033.0,Kitchen Trash Cans
112,2020-05-29,54033.0,Kitchen Trash Cans
113,2020-05-30,54033.0,Kitchen Trash Cans
114,2020-05-31,54033.0,Kitchen Trash Cans
115,2020-06-01,54033.0,Kitchen Trash Cans
116,2020-06-02,33215.0,Kitchen Trash Cans
117,2020-06-03,29263.0,Kitchen Trash Cans
118,2020-06-04,28055.0,Kitchen Trash Cans
119,2020-06-05,28055.0,Kitchen Trash Cans
120,2020-06-06,28055.0,Kitchen Trash Cans
121,2020-06-07,28055.0,Kitchen Trash Cans
122,2020-06-08,28123.0,Kitchen Trash Cans
123,2020-06-09,28123.0,Kitchen Trash Cans
