,date,value,name_B084FX7NDQ
0,2020-05-23,2442.0,Board Games
1,2020-05-24,2442.0,Board Games
2,2020-05-25,1711.0,Board Games
3,2020-05-26,1711.0,Board Games
4,2020-05-27,3414.0,Board Games
5,2020-05-28,7814.0,Board Games
6,2020-05-29,7814.0,Board Games
7,2020-05-30,7814.0,Board Games
8,2020-05-31,7814.0,Board Games
9,2020-06-01,7814.0,Board Games
10,2020-06-02,6062.0,Board Games
11,2020-06-03,6062.0,Board Games
12,2020-06-04,2551.0,Board Games
13,2020-06-05,2551.0,Board Games
14,2020-06-06,2738.0,Board Games
15,2020-06-07,2738.0,Board Games
16,2020-06-08,2024.0,Board Games
17,2020-06-09,2326.0,Board Games
18,2020-06-10,2326.0,Board Games
19,2020-06-11,3302.0,Board Games
20,2020-06-12,3864.0,Board Games
21,2020-06-13,3380.0,Board Games
22,2020-06-14,3380.0,Board Games
23,2020-06-15,11657.0,Board Games
24,2020-06-16,11657.0,Board Games
25,2020-06-17,11657.0,Board Games
26,2020-06-18,11657.0,Board Games
27,2020-06-19,38192.0,Board Games
28,2020-06-20,38192.0,Board Games
29,2020-06-21,38192.0,Board Games
30,2020-06-22,45135.0,Board Games
31,2020-06-23,45135.0,Board Games
32,2020-06-24,45135.0,Board Games
33,2020-06-25,68652.0,Board Games
34,2020-06-26,68652.0,Board Games
35,2020-06-27,68652.0,Board Games
36,2020-06-28,68652.0,Board Games
37,2020-06-29,68652.0,Board Games
38,2020-06-30,68652.0,Board Games
39,2020-07-01,68652.0,Board Games
40,2020-07-02,68652.0,Board Games
41,2020-07-03,68652.0,Board Games
42,2020-07-04,81290.0,Board Games
43,2020-07-05,81290.0,Board Games
44,2020-07-06,81290.0,Board Games
45,2020-07-07,113816.0,Board Games
46,2020-07-08,113816.0,Board Games
47,2020-07-09,92834.0,Board Games
48,2020-07-10,113383.0,Board Games
49,2020-07-11,113383.0,Board Games
50,2020-07-12,126293.0,Board Games
51,2020-07-13,136722.0,Board Games
52,2020-07-14,136722.0,Board Games
53,2020-07-15,136722.0,Board Games
54,2020-07-16,136722.0,Board Games
55,2020-07-17,71853.0,Board Games
56,2020-07-18,71853.0,Board Games
57,2020-07-19,71853.0,Board Games
58,2020-07-20,71853.0,Board Games
59,2020-07-21,138694.0,Board Games
60,2020-07-22,138694.0,Board Games
61,2020-07-23,138694.0,Board Games
62,2020-07-24,11290.0,Board Games
63,2020-07-25,11290.0,Board Games
64,2020-07-26,6177.0,Board Games
65,2020-07-27,7023.0,Board Games
66,2020-07-28,7023.0,Board Games
67,2020-07-29,9307.0,Board Games
68,2020-07-30,5968.0,Board Games
69,2020-07-31,5968.0,Board Games
70,2020-08-01,5469.0,Board Games
71,2020-08-02,5469.0,Board Games
72,2020-08-03,4392.0,Board Games
73,2020-08-04,6240.0,Board Games
74,2020-08-05,5375.0,Board Games
75,2020-08-06,4690.0,Board Games
76,2020-08-07,4690.0,Board Games
77,2020-08-08,4690.0,Board Games
78,2020-08-09,3761.0,Board Games
79,2020-08-10,4652.0,Board Games
80,2020-08-11,4652.0,Board Games
81,2020-08-12,4652.0,Board Games
82,2020-08-13,4208.0,Board Games
83,2020-08-14,4208.0,Board Games
84,2020-08-15,4208.0,Board Games
85,2020-08-16,5055.0,Board Games
86,2020-08-17,5055.0,Board Games
87,2020-08-18,4911.0,Board Games
88,2020-08-19,12477.0,Board Games
89,2020-08-20,12477.0,Board Games
90,2020-08-21,30619.0,Board Games
91,2020-08-22,39318.0,Board Games
92,2020-08-23,48857.0,Board Games
93,2020-08-24,49620.0,Board Games
94,2020-08-25,56166.0,Board Games
95,2020-08-26,56166.0,Board Games
96,2020-08-27,56166.0,Board Games
97,2020-08-28,49164.0,Board Games
98,2020-08-29,49164.0,Board Games
99,2020-08-30,49164.0,Board Games
100,2020-08-31,6144.0,Board Games
101,2020-09-01,6757.0,Board Games
102,2020-09-02,6151.0,Board Games
103,2020-09-03,6151.0,Board Games
104,2020-09-04,4715.0,Board Games
105,2020-09-05,4715.0,Board Games
106,2020-09-06,4715.0,Board Games
107,2020-09-07,4570.0,Board Games
108,2020-09-08,4570.0,Board Games
109,2020-09-09,3748.0,Board Games
110,2020-09-10,2702.0,Board Games
111,2020-09-11,2702.0,Board Games
112,2020-09-12,2702.0,Board Games
113,2020-09-13,2556.0,Board Games
114,2020-09-14,2556.0,Board Games
115,2020-09-15,2364.0,Board Games
116,2020-09-16,2364.0,Board Games
117,2020-09-17,2364.0,Board Games
118,2020-09-18,2861.0,Board Games
119,2020-09-19,2816.0,Board Games
120,2020-09-20,2816.0,Board Games
121,2020-09-21,2530.0,Board Games
122,2020-09-22,2525.0,Board Games
123,2020-09-23,2525.0,Board Games
124,2020-09-24,2525.0,Board Games
125,2020-09-25,2400.0,Board Games
126,2020-09-26,2400.0,Board Games
127,2020-09-27,2443.0,Board Games
128,2020-09-28,2236.0,Board Games
129,2020-09-29,2236.0,Board Games
130,2020-09-30,2357.0,Board Games
131,2020-10-01,2357.0,Board Games
132,2020-10-02,2357.0,Board Games
133,2020-10-03,3193.0,Board Games
134,2020-10-04,3284.0,Board Games
135,2020-10-05,3284.0,Board Games
136,2020-10-06,3780.0,Board Games
137,2020-10-07,2975.0,Board Games
138,2020-10-08,2975.0,Board Games
139,2020-10-09,3312.0,Board Games
140,2020-10-10,2842.0,Board Games
141,2020-10-11,3246.0,Board Games
142,2020-10-12,3246.0,Board Games
143,2020-10-13,3009.0,Board Games
144,2020-10-14,5526.0,Board Games
145,2020-10-15,6236.0,Board Games
146,2020-10-16,6236.0,Board Games
147,2020-10-17,4916.0,Board Games
148,2020-10-18,4755.0,Board Games
149,2020-10-19,4755.0,Board Games
150,2020-10-20,3834.0,Board Games
151,2020-10-21,2038.0,Board Games
152,2020-10-22,2038.0,Board Games
153,2020-10-23,3198.0,Board Games
154,2020-10-24,3198.0,Board Games
155,2020-10-25,3468.0,Board Games
156,2020-10-26,3468.0,Board Games
157,2020-10-27,1158.0,Board Games
158,2020-10-28,1158.0,Board Games
159,2020-10-29,1198.0,Board Games
160,2020-10-30,961.0,Board Games
161,2020-10-31,961.0,Board Games
162,2020-11-01,828.0,Board Games
163,2020-11-02,871.0,Board Games
164,2020-11-03,1075.0,Board Games
165,2020-11-04,1075.0,Board Games
166,2020-11-05,936.0,Board Games
167,2020-11-06,1130.0,Board Games
168,2020-11-07,1130.0,Board Games
169,2020-11-08,1036.0,Board Games
170,2020-11-09,1010.0,Board Games
171,2020-11-10,1010.0,Board Games
172,2020-11-11,1168.0,Board Games
173,2020-11-12,1168.0,Board Games
174,2020-11-13,3782.0,Board Games
175,2020-11-14,3782.0,Board Games
176,2020-11-15,9190.0,Board Games
177,2020-11-16,9190.0,Board Games
178,2020-11-17,11198.0,Board Games
179,2020-11-18,11198.0,Board Games
180,2020-11-19,29150.0,Board Games
181,2020-11-20,29150.0,Board Games
182,2020-11-21,30463.0,Board Games
183,2020-11-22,30463.0,Board Games
184,2020-11-23,45710.0,Board Games
185,2020-11-24,45710.0,Board Games
186,2020-11-25,42866.0,Board Games
187,2020-11-26,42866.0,Board Games
188,2020-11-27,42866.0,Board Games
189,2020-11-28,75432.0,Board Games
190,2020-11-29,75432.0,Board Games
191,2020-11-30,75497.0,Board Games
192,2020-12-01,91847.0,Board Games
193,2020-12-02,91847.0,Board Games
194,2020-12-03,91847.0,Board Games
195,2020-12-04,91847.0,Board Games
196,2020-12-05,93980.0,Board Games
197,2020-12-06,93980.0,Board Games
198,2020-12-07,93980.0,Board Games
199,2020-12-08,107804.0,Board Games
200,2020-12-09,107804.0,Board Games
201,2020-12-10,107804.0,Board Games
202,2020-12-11,107804.0,Board Games
203,2020-12-12,107804.0,Board Games
204,2020-12-13,107804.0,Board Games
205,2020-12-14,122262.0,Board Games
206,2020-12-15,122262.0,Board Games
207,2020-12-16,122262.0,Board Games
208,2020-12-17,1128.0,Board Games
209,2020-12-18,1128.0,Board Games
210,2020-12-19,559.0,Board Games
211,2020-12-20,559.0,Board Games
212,2020-12-21,559.0,Board Games
213,2020-12-22,676.0,Board Games
214,2020-12-23,676.0,Board Games
