,date,value,name_B084GK91M5
0,2020-05-30,4564.0,Decorations
1,2020-05-31,4564.0,Decorations
2,2020-06-01,4564.0,Decorations
3,2020-06-02,5267.0,Decorations
4,2020-06-03,2564.0,Decorations
5,2020-06-04,2564.0,Decorations
6,2020-06-05,2564.0,Decorations
7,2020-06-06,2579.0,Decorations
8,2020-06-07,2579.0,Decorations
9,2020-06-08,2579.0,Decorations
10,2020-06-09,2896.0,Decorations
11,2020-06-10,2896.0,Decorations
12,2020-06-11,2896.0,Decorations
13,2020-06-12,2411.0,Decorations
14,2020-06-13,2411.0,Decorations
15,2020-06-14,2411.0,Decorations
16,2020-06-15,3352.0,Decorations
17,2020-06-16,3352.0,Decorations
18,2020-06-17,2929.0,Decorations
19,2020-06-18,2929.0,Decorations
20,2020-06-19,2279.0,Decorations
21,2020-06-20,2279.0,Decorations
22,2020-06-21,2279.0,Decorations
23,2020-06-22,2468.0,Decorations
24,2020-06-23,2468.0,Decorations
25,2020-06-24,2468.0,Decorations
26,2020-06-25,3668.0,Decorations
27,2020-06-26,3668.0,Decorations
28,2020-06-27,3668.0,Decorations
29,2020-06-28,3410.0,Decorations
30,2020-06-29,3410.0,Decorations
31,2020-06-30,3410.0,Decorations
32,2020-07-01,3437.0,Decorations
33,2020-07-02,3437.0,Decorations
34,2020-07-03,2761.0,Decorations
35,2020-07-04,2761.0,Decorations
36,2020-07-05,2761.0,Decorations
37,2020-07-06,5024.0,Decorations
38,2020-07-07,5545.0,Decorations
39,2020-07-08,5545.0,Decorations
40,2020-07-09,5545.0,Decorations
41,2020-07-10,5113.0,Decorations
42,2020-07-11,5113.0,Decorations
43,2020-07-12,13855.0,Decorations
44,2020-07-13,13855.0,Decorations
45,2020-07-14,13855.0,Decorations
46,2020-07-15,22283.0,Decorations
47,2020-07-16,22283.0,Decorations
48,2020-07-17,39699.0,Decorations
49,2020-07-18,39699.0,Decorations
50,2020-07-19,39699.0,Decorations
51,2020-07-20,56673.0,Decorations
52,2020-07-21,56673.0,Decorations
53,2020-07-22,56673.0,Decorations
54,2020-07-23,71290.0,Decorations
55,2020-07-24,71290.0,Decorations
56,2020-07-25,71290.0,Decorations
57,2020-07-26,71290.0,Decorations
58,2020-07-27,97620.0,Decorations
59,2020-07-28,97620.0,Decorations
60,2020-07-29,97620.0,Decorations
61,2020-07-30,97620.0,Decorations
62,2020-07-31,97620.0,Decorations
63,2020-08-01,97620.0,Decorations
64,2020-08-02,103453.0,Decorations
65,2020-08-03,103453.0,Decorations
66,2020-08-04,103453.0,Decorations
67,2020-08-05,103453.0,Decorations
68,2020-08-06,103453.0,Decorations
69,2020-08-07,103453.0,Decorations
70,2020-08-08,6879.0,Decorations
71,2020-08-09,6879.0,Decorations
72,2020-08-10,6879.0,Decorations
73,2020-08-11,4685.0,Decorations
74,2020-08-12,4685.0,Decorations
75,2020-08-13,3777.0,Decorations
76,2020-08-14,3360.0,Decorations
77,2020-08-15,3360.0,Decorations
78,2020-08-16,3921.0,Decorations
79,2020-08-17,3921.0,Decorations
80,2020-08-18,3921.0,Decorations
81,2020-08-19,4123.0,Decorations
82,2020-08-20,4123.0,Decorations
83,2020-08-21,4123.0,Decorations
84,2020-08-22,4211.0,Decorations
85,2020-08-23,4211.0,Decorations
86,2020-08-24,3563.0,Decorations
87,2020-08-25,3563.0,Decorations
88,2020-08-26,3563.0,Decorations
89,2020-08-27,2400.0,Decorations
90,2020-08-28,2400.0,Decorations
91,2020-08-29,2400.0,Decorations
92,2020-08-30,2754.0,Decorations
93,2020-08-31,2754.0,Decorations
94,2020-09-01,2754.0,Decorations
95,2020-09-02,1797.0,Decorations
96,2020-09-03,1797.0,Decorations
97,2020-09-04,1797.0,Decorations
98,2020-09-05,2281.0,Decorations
99,2020-09-06,2281.0,Decorations
100,2020-09-07,2281.0,Decorations
101,2020-09-08,2391.0,Decorations
102,2020-09-09,2391.0,Decorations
103,2020-09-10,2391.0,Decorations
104,2020-09-11,2117.0,Decorations
105,2020-09-12,2117.0,Decorations
106,2020-09-13,2117.0,Decorations
107,2020-09-14,2284.0,Decorations
108,2020-09-15,2284.0,Decorations
109,2020-09-16,2214.0,Decorations
110,2020-09-17,2214.0,Decorations
111,2020-09-18,2214.0,Decorations
112,2020-09-19,2565.0,Decorations
113,2020-09-20,2565.0,Decorations
114,2020-09-21,2547.0,Decorations
115,2020-09-22,2547.0,Decorations
116,2020-09-23,2547.0,Decorations
117,2020-09-24,2631.0,Decorations
118,2020-09-25,2631.0,Decorations
119,2020-09-26,2631.0,Decorations
120,2020-09-27,2653.0,Decorations
121,2020-09-28,2653.0,Decorations
122,2020-09-29,2475.0,Decorations
123,2020-09-30,2327.0,Decorations
124,2020-10-01,2327.0,Decorations
125,2020-10-02,2327.0,Decorations
126,2020-10-03,2578.0,Decorations
127,2020-10-04,2578.0,Decorations
128,2020-10-05,2728.0,Decorations
129,2020-10-06,2728.0,Decorations
130,2020-10-07,2728.0,Decorations
131,2020-10-08,2882.0,Decorations
132,2020-10-09,2882.0,Decorations
133,2020-10-10,2754.0,Decorations
134,2020-10-11,2754.0,Decorations
135,2020-10-12,2754.0,Decorations
136,2020-10-13,4347.0,Decorations
137,2020-10-14,4347.0,Decorations
138,2020-10-15,4347.0,Decorations
139,2020-10-16,7964.0,Decorations
140,2020-10-17,7964.0,Decorations
141,2020-10-18,5927.0,Decorations
142,2020-10-19,5927.0,Decorations
143,2020-10-20,5927.0,Decorations
144,2020-10-21,5927.0,Decorations
145,2020-10-22,5388.0,Decorations
146,2020-10-23,5388.0,Decorations
147,2020-10-24,5388.0,Decorations
148,2020-10-25,5388.0,Decorations
149,2020-10-26,8108.0,Decorations
150,2020-10-27,8108.0,Decorations
151,2020-10-28,8108.0,Decorations
152,2020-10-29,5340.0,Decorations
153,2020-10-30,5340.0,Decorations
154,2020-10-31,5340.0,Decorations
155,2020-11-01,5725.0,Decorations
156,2020-11-02,5725.0,Decorations
157,2020-11-03,5725.0,Decorations
158,2020-11-04,3836.0,Decorations
159,2020-11-05,4736.0,Decorations
160,2020-11-06,4736.0,Decorations
161,2020-11-07,4736.0,Decorations
