,date,value,name_B084HDNYF1
0,2020-02-20,10817.0,Pool Vacuum Heads
1,2020-02-21,10817.0,Pool Vacuum Heads
2,2020-02-22,10817.0,Pool Vacuum Heads
3,2020-02-23,10817.0,Pool Vacuum Heads
4,2020-02-24,4777.0,Pool Vacuum Heads
5,2020-02-25,4777.0,Pool Vacuum Heads
6,2020-02-26,4777.0,Pool Vacuum Heads
7,2020-02-27,8803.0,Pool Vacuum Heads
8,2020-02-28,8803.0,Pool Vacuum Heads
9,2020-02-29,8803.0,Pool Vacuum Heads
10,2020-03-01,4483.0,Pool Vacuum Heads
11,2020-03-02,4483.0,Pool Vacuum Heads
12,2020-03-03,4483.0,Pool Vacuum Heads
13,2020-03-04,6331.0,Pool Vacuum Heads
14,2020-03-05,6331.0,Pool Vacuum Heads
15,2020-03-06,6331.0,Pool Vacuum Heads
16,2020-03-07,4472.0,Pool Vacuum Heads
17,2020-03-08,4472.0,Pool Vacuum Heads
18,2020-03-09,3518.0,Pool Vacuum Heads
19,2020-03-10,3803.0,Pool Vacuum Heads
20,2020-03-11,2790.0,Pool Vacuum Heads
21,2020-03-12,2187.0,Pool Vacuum Heads
22,2020-03-13,2187.0,Pool Vacuum Heads
23,2020-03-14,2187.0,Pool Vacuum Heads
24,2020-03-15,2187.0,Pool Vacuum Heads
25,2020-03-16,4727.0,Pool Vacuum Heads
26,2020-03-17,4727.0,Pool Vacuum Heads
27,2020-03-18,4727.0,Pool Vacuum Heads
28,2020-03-19,5500.0,Pool Vacuum Heads
29,2020-03-20,5500.0,Pool Vacuum Heads
30,2020-03-21,5500.0,Pool Vacuum Heads
31,2020-03-22,5500.0,Pool Vacuum Heads
32,2020-03-23,5500.0,Pool Vacuum Heads
33,2020-03-24,5500.0,Pool Vacuum Heads
34,2020-03-25,2393.0,Pool Vacuum Heads
35,2020-03-26,2393.0,Pool Vacuum Heads
36,2020-03-27,2938.0,Pool Vacuum Heads
37,2020-03-28,2938.0,Pool Vacuum Heads
38,2020-03-29,3699.0,Pool Vacuum Heads
39,2020-03-30,3699.0,Pool Vacuum Heads
40,2020-03-31,3699.0,Pool Vacuum Heads
41,2020-04-01,4877.0,Pool Vacuum Heads
42,2020-04-02,4877.0,Pool Vacuum Heads
43,2020-04-03,4877.0,Pool Vacuum Heads
44,2020-04-04,4877.0,Pool Vacuum Heads
45,2020-04-05,4877.0,Pool Vacuum Heads
46,2020-04-06,4362.0,Pool Vacuum Heads
47,2020-04-07,5393.0,Pool Vacuum Heads
48,2020-04-08,4528.0,Pool Vacuum Heads
49,2020-04-09,4528.0,Pool Vacuum Heads
50,2020-04-10,2976.0,Pool Vacuum Heads
51,2020-04-11,2976.0,Pool Vacuum Heads
52,2020-04-12,2897.0,Pool Vacuum Heads
53,2020-04-13,2635.0,Pool Vacuum Heads
