,date,value,name_B084JF7ZGG
0,2020-02-09,915.0,Fitted Sheets
1,2020-02-10,843.0,Fitted Sheets
2,2020-02-11,588.0,Fitted Sheets
3,2020-02-12,470.0,Fitted Sheets
4,2020-02-13,400.0,Fitted Sheets
5,2020-02-14,415.0,Fitted Sheets
6,2020-02-15,412.0,Fitted Sheets
7,2020-02-16,303.0,Fitted Sheets
8,2020-02-17,334.0,Fitted Sheets
9,2020-02-18,413.0,Fitted Sheets
10,2020-02-19,435.0,Fitted Sheets
11,2020-02-20,471.0,Fitted Sheets
12,2020-02-21,95.0,Fitted Sheets
13,2020-02-22,82.0,Fitted Sheets
14,2020-02-23,58.0,Fitted Sheets
15,2020-02-24,59.0,Fitted Sheets
16,2020-02-25,350.0,Fitted Sheets
17,2020-02-26,342.0,Fitted Sheets
18,2020-02-27,408.0,Fitted Sheets
19,2020-02-28,384.0,Fitted Sheets
20,2020-02-29,384.0,Fitted Sheets
21,2020-03-01,318.0,Fitted Sheets
22,2020-03-02,356.0,Fitted Sheets
23,2020-03-03,476.0,Fitted Sheets
24,2020-03-04,503.0,Fitted Sheets
25,2020-03-05,610.0,Fitted Sheets
26,2020-03-06,576.0,Fitted Sheets
27,2020-03-07,576.0,Fitted Sheets
28,2020-03-08,576.0,Fitted Sheets
29,2020-03-09,408.0,Fitted Sheets
30,2020-03-10,477.0,Fitted Sheets
31,2020-03-11,490.0,Fitted Sheets
32,2020-03-12,680.0,Fitted Sheets
33,2020-03-13,861.0,Fitted Sheets
34,2020-03-14,861.0,Fitted Sheets
35,2020-03-15,-1.0,Fitted Sheets
36,2020-03-16,-1.0,Fitted Sheets
37,2020-03-17,-1.0,Fitted Sheets
38,2020-03-18,-1.0,Fitted Sheets
39,2020-03-19,-1.0,Fitted Sheets
40,2020-03-20,-1.0,Fitted Sheets
41,2020-03-21,-1.0,Fitted Sheets
42,2020-03-22,-1.0,Fitted Sheets
43,2020-03-23,-1.0,Fitted Sheets
44,2020-03-24,-1.0,Fitted Sheets
45,2020-03-25,-1.0,Fitted Sheets
46,2020-03-26,-1.0,Fitted Sheets
47,2020-03-27,-1.0,Fitted Sheets
48,2020-03-28,-1.0,Fitted Sheets
49,2020-03-29,-1.0,Fitted Sheets
50,2020-03-30,-1.0,Fitted Sheets
51,2020-03-31,-1.0,Fitted Sheets
52,2020-04-01,-1.0,Fitted Sheets
53,2020-04-02,-1.0,Fitted Sheets
54,2020-04-03,-1.0,Fitted Sheets
55,2020-04-04,-1.0,Fitted Sheets
56,2020-04-05,-1.0,Fitted Sheets
57,2020-04-06,-1.0,Fitted Sheets
58,2020-04-07,-1.0,Fitted Sheets
59,2020-04-08,-1.0,Fitted Sheets
60,2020-04-09,-1.0,Fitted Sheets
61,2020-04-10,-1.0,Fitted Sheets
62,2020-04-11,-1.0,Fitted Sheets
63,2020-04-12,-1.0,Fitted Sheets
64,2020-04-13,-1.0,Fitted Sheets
65,2020-04-14,-1.0,Fitted Sheets
66,2020-04-15,-1.0,Fitted Sheets
67,2020-04-16,-1.0,Fitted Sheets
68,2020-04-17,-1.0,Fitted Sheets
69,2020-04-18,-1.0,Fitted Sheets
70,2020-04-19,-1.0,Fitted Sheets
71,2020-04-20,-1.0,Fitted Sheets
72,2020-04-21,-1.0,Fitted Sheets
