,date,value,name_B084L5VC48
0,2020-07-19,7677.0,All-Purpose Labels
1,2020-07-20,7677.0,All-Purpose Labels
2,2020-07-21,6228.0,All-Purpose Labels
3,2020-07-22,6228.0,All-Purpose Labels
4,2020-07-23,4314.0,All-Purpose Labels
5,2020-07-24,5660.0,All-Purpose Labels
6,2020-07-25,5660.0,All-Purpose Labels
7,2020-07-26,5660.0,All-Purpose Labels
8,2020-07-27,5660.0,All-Purpose Labels
9,2020-07-28,5660.0,All-Purpose Labels
10,2020-07-29,4829.0,All-Purpose Labels
11,2020-07-30,4163.0,All-Purpose Labels
12,2020-07-31,4163.0,All-Purpose Labels
13,2020-08-01,4163.0,All-Purpose Labels
14,2020-08-02,4163.0,All-Purpose Labels
15,2020-08-03,5243.0,All-Purpose Labels
16,2020-08-04,5243.0,All-Purpose Labels
17,2020-08-05,4496.0,All-Purpose Labels
18,2020-08-06,4496.0,All-Purpose Labels
19,2020-08-07,4496.0,All-Purpose Labels
20,2020-08-08,4971.0,All-Purpose Labels
21,2020-08-09,4971.0,All-Purpose Labels
22,2020-08-10,4971.0,All-Purpose Labels
23,2020-08-11,6736.0,All-Purpose Labels
24,2020-08-12,6736.0,All-Purpose Labels
25,2020-08-13,6736.0,All-Purpose Labels
26,2020-08-14,6736.0,All-Purpose Labels
27,2020-08-15,6736.0,All-Purpose Labels
28,2020-08-16,4832.0,All-Purpose Labels
29,2020-08-17,4832.0,All-Purpose Labels
30,2020-08-18,4832.0,All-Purpose Labels
31,2020-08-19,4832.0,All-Purpose Labels
32,2020-08-20,4832.0,All-Purpose Labels
33,2020-08-21,6723.0,All-Purpose Labels
34,2020-08-22,6723.0,All-Purpose Labels
35,2020-08-23,5746.0,All-Purpose Labels
36,2020-08-24,5746.0,All-Purpose Labels
37,2020-08-25,5746.0,All-Purpose Labels
38,2020-08-26,4977.0,All-Purpose Labels
39,2020-08-27,4977.0,All-Purpose Labels
40,2020-08-28,6652.0,All-Purpose Labels
41,2020-08-29,6652.0,All-Purpose Labels
42,2020-08-30,6652.0,All-Purpose Labels
43,2020-08-31,4777.0,All-Purpose Labels
44,2020-09-01,5219.0,All-Purpose Labels
45,2020-09-02,5541.0,All-Purpose Labels
46,2020-09-03,5541.0,All-Purpose Labels
47,2020-09-04,5541.0,All-Purpose Labels
48,2020-09-05,5541.0,All-Purpose Labels
49,2020-09-06,4492.0,All-Purpose Labels
50,2020-09-07,4492.0,All-Purpose Labels
51,2020-09-08,5441.0,All-Purpose Labels
52,2020-09-09,5441.0,All-Purpose Labels
53,2020-09-10,5069.0,All-Purpose Labels
54,2020-09-11,5727.0,All-Purpose Labels
55,2020-09-12,5727.0,All-Purpose Labels
56,2020-09-13,5727.0,All-Purpose Labels
57,2020-09-14,7004.0,All-Purpose Labels
58,2020-09-15,6274.0,All-Purpose Labels
59,2020-09-16,6274.0,All-Purpose Labels
60,2020-09-17,5107.0,All-Purpose Labels
61,2020-09-18,5107.0,All-Purpose Labels
62,2020-09-19,4737.0,All-Purpose Labels
63,2020-09-20,4737.0,All-Purpose Labels
64,2020-09-21,4292.0,All-Purpose Labels
65,2020-09-22,4292.0,All-Purpose Labels
66,2020-09-23,4292.0,All-Purpose Labels
67,2020-09-24,5346.0,All-Purpose Labels
68,2020-09-25,5346.0,All-Purpose Labels
69,2020-09-26,5346.0,All-Purpose Labels
70,2020-09-27,3723.0,All-Purpose Labels
71,2020-09-28,3723.0,All-Purpose Labels
72,2020-09-29,3723.0,All-Purpose Labels
73,2020-09-30,3548.0,All-Purpose Labels
74,2020-10-01,3548.0,All-Purpose Labels
75,2020-10-02,3209.0,All-Purpose Labels
76,2020-10-03,3209.0,All-Purpose Labels
77,2020-10-04,3209.0,All-Purpose Labels
78,2020-10-05,3209.0,All-Purpose Labels
79,2020-10-06,3349.0,All-Purpose Labels
80,2020-10-07,3837.0,All-Purpose Labels
81,2020-10-08,3837.0,All-Purpose Labels
82,2020-10-09,3837.0,All-Purpose Labels
83,2020-10-10,3797.0,All-Purpose Labels
84,2020-10-11,3797.0,All-Purpose Labels
85,2020-10-12,3797.0,All-Purpose Labels
86,2020-10-13,3376.0,All-Purpose Labels
87,2020-10-14,3376.0,All-Purpose Labels
88,2020-10-15,3376.0,All-Purpose Labels
89,2020-10-16,4617.0,All-Purpose Labels
90,2020-10-17,4617.0,All-Purpose Labels
91,2020-10-18,4617.0,All-Purpose Labels
92,2020-10-19,3181.0,All-Purpose Labels
93,2020-10-20,3181.0,All-Purpose Labels
94,2020-10-21,3094.0,All-Purpose Labels
95,2020-10-22,3094.0,All-Purpose Labels
96,2020-10-23,3094.0,All-Purpose Labels
97,2020-10-24,3933.0,All-Purpose Labels
98,2020-10-25,3933.0,All-Purpose Labels
99,2020-10-26,2798.0,All-Purpose Labels
100,2020-10-27,2798.0,All-Purpose Labels
101,2020-10-28,3744.0,All-Purpose Labels
102,2020-10-29,3744.0,All-Purpose Labels
103,2020-10-30,3374.0,All-Purpose Labels
104,2020-10-31,3374.0,All-Purpose Labels
105,2020-11-01,3739.0,All-Purpose Labels
106,2020-11-02,3739.0,All-Purpose Labels
107,2020-11-03,3638.0,All-Purpose Labels
108,2020-11-04,3638.0,All-Purpose Labels
109,2020-11-05,3638.0,All-Purpose Labels
110,2020-11-06,3638.0,All-Purpose Labels
111,2020-11-07,3836.0,All-Purpose Labels
112,2020-11-08,3836.0,All-Purpose Labels
113,2020-11-09,3836.0,All-Purpose Labels
114,2020-11-10,3874.0,All-Purpose Labels
115,2020-11-11,3874.0,All-Purpose Labels
116,2020-11-12,3874.0,All-Purpose Labels
117,2020-11-13,3874.0,All-Purpose Labels
118,2020-11-14,4247.0,All-Purpose Labels
119,2020-11-15,4247.0,All-Purpose Labels
120,2020-11-16,3391.0,All-Purpose Labels
121,2020-11-17,3391.0,All-Purpose Labels
122,2020-11-18,3391.0,All-Purpose Labels
123,2020-11-19,3618.0,All-Purpose Labels
124,2020-11-20,3618.0,All-Purpose Labels
125,2020-11-21,3618.0,All-Purpose Labels
126,2020-11-22,3618.0,All-Purpose Labels
127,2020-11-23,3452.0,All-Purpose Labels
128,2020-11-24,4786.0,All-Purpose Labels
129,2020-11-25,4786.0,All-Purpose Labels
130,2020-11-26,4288.0,All-Purpose Labels
131,2020-11-27,4288.0,All-Purpose Labels
132,2020-11-28,4288.0,All-Purpose Labels
133,2020-11-29,4257.0,All-Purpose Labels
134,2020-11-30,4257.0,All-Purpose Labels
135,2020-12-01,4257.0,All-Purpose Labels
136,2020-12-02,4413.0,All-Purpose Labels
137,2020-12-03,4413.0,All-Purpose Labels
138,2020-12-04,5176.0,All-Purpose Labels
139,2020-12-05,5176.0,All-Purpose Labels
140,2020-12-06,5176.0,All-Purpose Labels
